node1,node2,edge_betweenness
B3,B2,2.0
B3,P1,4.2
O4,B2,2.6666666666666665
P2,O4,1.3333333333333333
B2,B1,0.3333333333333333
O5,B1,0.6666666666666666
O5,P3,1.3333333333333333
O4,O5,0.3333333333333333
P2,P3,1.8333333333333333
O3,O4,1.0
O3,P4,2.9
P1,P5,2.5333333333333337
B3,O2,1.5999999999999999
P5,O2,1.5333333333333332
P1,P2,4.5
B3,B4,0.2
O3,B4,1.7
O3,O2,0.2
P4,P5,0.7333333333333334
O1,O2,0.5333333333333333
P4,O1,1.8666666666666665
P1,B4,4.833333333333333
P4,P3,0.8333333333333333
B4,B5,2.3333333333333335
B1,B5,0.3333333333333333
O1,B5,2.333333333333333
O1,O5,0.3333333333333333
