gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk3_median,median_IL10_KOTLS_median
Xkr4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm19938,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sox17,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mrpl15,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Lypla1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tcea1,0.00035657175513219313,0.01307226971766556,0.16348157845928635,-28.26427657594368,-28.134780303289496,-27.58356858968533,0.2947221598561535,0.0
Rgs20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Atp6v1h,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Rb1cc1,0.11728948203640081,0.5920806954901741,1.0,-28.12203236178185,-0.7225132997797605,27.882492097960675,0.1529789450778129,0.0919175218744675
4732440D04Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
St18,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pcmtd1,0.0007335473709934008,0.002778685068188869,0.029867793297539916,-28.093679419644634,-27.778562799781973,0.0,0.23024050472052998,0.0
Gm26901,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sntg1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rrs1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2610203C22Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mybl1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Vcpip1,0.47495853988950676,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sgk3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mcmdc2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Snhg6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tcf24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cops5,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Cspp1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Arfgef1,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Prex2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sulf1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slco5a1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ncoa2,0.47495853988950676,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tram1,0.00011113757243788204,0.00409621338413908,0.038707628800508063,0.16802460067599198,0.28782545052323927,0.4090556907779484,0.6264619174771525,0.7638736272041843
Lactb2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Eya1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm9947,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Msc,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Trpa1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Terf1,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sbspon,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rpl7,0.038707628800508063,0.3053901722632373,0.910105580693816,-0.08145881318076868,-0.037128701835162106,0.0040101403664689495,1.96383494270343,1.9147377238009538
Rdh10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Stau2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ube2w,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Eloc,0.25681656998967123,0.7227912249010906,1.0,-28.324655639973635,-0.5679878106549465,0.2140748426954958,0.32603582592004154,0.2292511530008525
D030040B21Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem70,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ly96,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Jph1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pi15,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il17a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il17f,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mcm3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Paqr8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Efhc1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tram2,0.0015241724220052392,0.02524410573946178,0.2315792029737146,0.12280080360529406,0.31942163825801395,0.49074328721535304,0.4116977516853502,0.5156583649522886
Tmem14a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gsta3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kcnq5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm29107,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ogfrl1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
B3gat2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Smap1,0.1037030213498498,0.6133484776563917,1.0,-2.1708879802934846,0.12325618972832172,0.44251547114164436,0.311787397011676,0.34131648870847736
Sdhaf4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fam135a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lmbrd1,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Phf3,0.048800235971531596,0.1768036740169494,0.7265114622524076,0.17621452101162563,0.3801248497125058,0.5344342899998136,0.32357387445186797,0.42344897155261574
Ptp4a1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ptp4a1.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Prim2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rab23,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Bag2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zfp451,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Bend6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dst,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm37233,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ccdc115,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Imp4,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ptpn18,0.13493688973565135,0.7344923394458999,1.0,-0.12836284392292868,0.002116098392216276,0.13734216885006292,0.6377333797547509,0.6383513107323088
Gm28417,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Arhgef4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm38336,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fam168b,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Plekhb2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Hs6st1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Uggt1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Neurl3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Arid5a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4930403P22Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kansl3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lman2l,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cnnm4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cnnm3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ankrd23,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ankrd39,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sema4c,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
D430040D24Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fam178b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cox5b,0.11526553941414623,0.6238787012780821,1.0,-0.08101026351923538,-0.00347768340870426,0.11324227596401927,0.8536580461228288,0.8509296850411154
Actr1b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zap70,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem131,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm38115,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Vwa3b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Inpp4a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Coa5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Unc50,0.06117467691385191,0.47285496692829576,1.0,-28.126236827230684,-27.918243948319056,-1.7085413837114773,0.25383956895363324,0.0
Mgat4a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2010300C02Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tsga10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lipt1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mitd1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mrpl30,0.020000689637630784,0.29396266503785995,0.9689946775534558,-28.42653988309592,-0.32583968788912204,0.12432592348864406,0.35704258211036577,0.2882670430521794
Txndc9,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Eif5b,0.02524410573946178,0.1568627450980392,0.42800865285385303,0.06272636020528694,0.1607864418877995,0.26661634190734923,0.8337244301877333,0.933176097950766
Rev1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Aff3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm16152,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lonrf2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Chst10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pdcl3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Npas2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rpl31,0.005458442486306265,0.1568627450980392,0.7920774787647853,-0.12317026983017093,-0.07394937489661135,-0.01498734868605182,1.4716015073516775,1.3977883002425038
Tbc1d8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cnot11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm15832,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rnf149,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Creg2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Map4k4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il1r2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm16894,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il1r1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il1rl2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il1rl1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il18r1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il18rap,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc9a4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc9a2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mfsd9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem182,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mrps9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gpr45,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tgfbrap1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8430432A02Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
AI597479,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fhl2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nck2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Uxs1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tpp2,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm8251,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tex30,0.029867793297539916,0.08856750257537103,0.4285302588511517,-25.631349867673162,0.0,0.0,0.0,0.0
Poglut2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
