"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Saa3",4.58818144050509e-154,6.39145457956528,0.35,0.005,9.20802133294967e-150
"Lyz2",7.23130306211526e-150,2.56303239741699,0.705,0.142,1.45125021153591e-145
"Serpina3f",2.24475638845607e-126,3.11939548147158,0.636,0.147,4.50500159599249e-122
"S100a8",8.43391312550764e-110,4.00788977104541,0.314,0.017,1.69260202515813e-105
"S100a9",1.93764706930022e-109,2.96554276475478,0.404,0.044,3.88866390337862e-105
"Serpina3g",4.13087816593702e-106,2.24382254595491,0.733,0.252,8.290259391219e-102
"B2m",2.18130663430729e-103,0.772063429054432,1,0.998,4.37766428439129e-99
"Txndc5",1.51085769398101e-101,1.011390508884,0.998,0.964,3.03214030605049e-97
"Crip1",2.74402669056766e-98,-2.94633118845473,0.813,0.93,5.50698716530025e-94
"Iigp1",7.05585001786343e-92,5.19010605359778,0.253,0.012,1.41603854008501e-87
"Jun",5.3648940343556e-84,2.13861331804878,0.726,0.302,1.07668058375483e-79
"Cenps",6.3508044814477e-78,2.27525973224357,0.415,0.08,1.27454295138174e-73
"Rps3a1",8.05795780888468e-74,-0.760340080978944,0.989,0.994,1.61715155266507e-69
"S100a10",2.98415649856447e-73,-1.92002935194983,0.621,0.817,5.98890367696903e-69
"Gm42418",4.29521938873139e-72,-0.55922450389236,1,0.999,8.62007579124503e-68
"Eif1",1.96082059782372e-71,-0.541052798989402,0.987,0.995,3.93517085777243e-67
"Gbp4",5.27605078219281e-70,2.66055953915994,0.398,0.088,1.05885063147828e-65
"Igtp",8.67719369960715e-68,2.10773610268554,0.48,0.134,1.74142600357416e-63
"Prg2",1.48647232230826e-67,1.56583797861601,0.855,0.527,2.98320130364045e-63
"Fxyd5",5.04018897851705e-67,-1.55942681020894,0.644,0.832,1.01151552609859e-62
"Iglv1",3.68488824205185e-65,1.12799745508171,0.971,0.79,7.39520221297385e-61
"mt-Atp6",4.3790322455595e-63,-0.406654549295776,1,0.999,8.78827981361335e-59
"Gm4841",4.79476433600941e-63,6.71122416956279,0.143,0.001,9.62261254593729e-59
"Gm49980",8.68782789056923e-63,2.2670538815825,0.39,0.089,1.74356017935834e-58
"Stat1",7.66919884427111e-61,1.39267358169908,0.76,0.371,1.53913151605677e-56
"S100a11",1.18715045153359e-55,-1.69264557862435,0.57,0.753,2.38249224118277e-51
"Sh3bgrl3",3.1177647135739e-55,-1.70877314642287,0.552,0.739,6.25704200367147e-51
"Vim",3.14850826827418e-55,-2.55807108802097,0.436,0.681,6.31874124359945e-51
"mt-Co3",2.76627540133373e-54,-0.362249622856951,1,0.999,5.55163810293667e-50
"Tyrobp",6.08225673619607e-54,2.50046124729802,0.232,0.031,1.22064810438719e-49
"Basp1",7.35955625609143e-54,-1.64693440271564,0.55,0.767,1.47698934503499e-49
"C1qb",1.00774407988904e-52,2.50432034757673,0.272,0.049,2.02244159392931e-48
"Rps2",1.12250060213563e-52,-0.759390198317361,0.966,0.984,2.252746458426e-48
"Gbp6",2.04080282399687e-50,3.84178183547605,0.143,0.007,4.09568718747933e-46
"Lrat",2.37208264949585e-50,6.40488829715759,0.112,0.001,4.76053266927321e-46
"Gbp2b",1.95037798774411e-48,1.91644909791843,0.29,0.06,3.91421358360366e-44
"AW112010",1.68646431385263e-47,1.07450341730946,0.724,0.343,3.38456523147085e-43
"Pafah1b3",5.31092331868389e-47,-1.12129402011131,0.684,0.819,1.06584920082667e-42
"Tagln2",2.7230673427789e-46,-1.81363996755463,0.417,0.644,5.46492385022296e-42
"Rplp1",6.88743765634809e-46,0.388691226811868,0.994,0.996,1.3822398632525e-41
"mt-Nd4",2.86028295537981e-44,-0.451755363511562,1,0.998,5.74030186315173e-40
"Ly6a",4.63994869026669e-44,1.19436314470767,0.943,0.795,9.31191302649621e-40
"Ptp4a2",1.87126220112996e-42,-0.738857302081854,0.905,0.934,3.75543611144771e-38
"Wls",3.88639141877313e-42,0.984739113935585,0.644,0.28,7.7995989383358e-38
"Ppia",5.87513949509893e-40,-0.58610508103429,0.97,0.982,1.1790817452714e-35
"Slc38a2",3.33564424601294e-39,-1.0533816912554,0.707,0.822,6.69430443732337e-35
"Tspan13",9.49758163313421e-39,-0.676758126892802,0.912,0.926,1.9060696579537e-34
"mt-Co2",6.78947920810175e-38,-0.247435701885668,1,0.999,1.36258058227394e-33
"H2-Q7",7.44309462386778e-38,0.952215558358585,0.968,0.781,1.49375466006402e-33
"Gm46620",1.03084265885489e-37,5.30148944954162,0.09,0.002,2.06879813205589e-33
"Alad",1.27915792111074e-37,1.02533103096609,0.61,0.275,2.56714203187714e-33
"Pou2af1",2.55093150902689e-36,0.830789771671304,0.882,0.646,5.11946444546606e-32
"Rpl22l1",3.03005034145974e-36,-0.882879276973953,0.806,0.875,6.08100803027556e-32
