"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Txn1",3.22613170271662e-59,1.73335302508192,0.995,0.981,6.47452371418198e-55
"Rps3a1",1.97436174925169e-55,-0.812310014555996,1,0.997,3.96234659457322e-51
"Ly6a",1.34064499792015e-51,3.40697483588995,0.865,0.254,2.69054044632596e-47
"Sh3bgrl3",5.70372538693897e-48,-1.071968988889,0.974,0.99,1.14468064790478e-43
"Cytip",1.25924511729569e-44,-1.34849676423585,0.948,0.994,2.52717902590072e-40
"Hk3",4.43829880057848e-44,3.23166464738332,0.693,0.089,8.90722186288096e-40
"Tspo",1.12937561561916e-42,1.22554790000987,1,0.943,2.26654392298609e-38
"Iigp1",8.77593411915691e-41,6.42993559983844,0.51,0.016,1.7612422183736e-36
"Stat1",4.04587769441902e-39,1.68747862557056,0.964,0.53,8.11967194492954e-35
"Samhd1",1.28288959211826e-38,1.51617688982599,0.979,0.622,2.57463112242214e-34
"Psmb9",2.01298174277797e-37,0.929801171856931,0.995,0.956,4.03985305958112e-33
"Csf2rb",4.76346277927023e-36,-1.65706966974296,0.906,0.987,9.55979345171743e-32
"Tpm3-rs7",1.6295241388151e-34,3.52659702721483,0.583,0.095,3.27029199418802e-30
"S100a11",1.28911998921733e-33,-1.00313303423957,0.984,0.997,2.58713490636025e-29
"H2-Q7",1.95878209547588e-33,1.16742106392021,0.979,0.848,3.93107978741055e-29
"Ly6c2",3.55756504050781e-33,3.98392456204925,0.516,0.051,7.13967727979513e-29
"Crem",8.18238231384893e-32,-1.92671573781717,0.609,0.879,1.64212230656634e-27
"Plaat3",8.61259146054086e-32,1.55407875115269,0.932,0.587,1.72846098021595e-27
"Tap1",4.33041696025293e-31,1.10915289070775,0.964,0.787,8.6907137975316e-27
"Crip1",5.11614082129698e-31,-1.34406996286968,0.974,1,1.02675830142609e-26
"Rps2",2.79816282121486e-30,-0.731309974450035,0.99,0.994,5.6156329658961e-26
"Zyx",3.64223080864835e-30,1.49222302652185,0.927,0.679,7.30959300987636e-26
"Tifa",1.62029542932687e-29,2.38152371848295,0.599,0.117,3.2517708971161e-25
"Cd38",1.61791142883255e-28,3.09273611196115,0.51,0.073,3.24698644652405e-24
"Fgl2",2.244800202209e-28,1.24663907685228,0.974,0.746,4.50508952581324e-24
"Tlr3",2.35573418396354e-28,2.32675389464402,0.656,0.171,4.72772293379643e-24
"Psmb8",2.32413934265707e-27,0.771059428879156,0.99,0.962,4.66431524677847e-23
"Cd81",5.20843420097748e-27,-2.3480566229203,0.359,0.752,1.04528065979417e-22
"Arid5b",7.48898344531343e-27,2.45631599047676,0.51,0.076,1.50296408763995e-22
"Atox1",9.42245547116112e-27,-0.626231878563744,0.995,1,1.89099258850732e-22
"Zbp1",2.38465507078784e-26,2.49066727086664,0.542,0.105,4.78576426156412e-22
"Fndc5",8.69542050134505e-26,2.32321843012359,0.609,0.159,1.74508394041494e-21
"Limd2",1.55534217388415e-25,1.48199018148551,0.875,0.429,3.12141620876811e-21
"Gbp2b",2.8813625941768e-25,4.55984839419208,0.349,0.016,5.78260659025343e-21
"Olfm1",4.8114164491604e-25,1.3921805170793,0.875,0.502,9.65603167182001e-21
"H2-K1",5.3626559390327e-25,0.644408860960695,1,0.99,1.07623142040447e-20
"Serpina3g",1.26063088527269e-24,2.00783915536536,0.635,0.187,2.52996012365376e-20
"Pld4",2.0788026278704e-24,1.11784766831204,0.927,0.689,4.17194899387311e-20
"Ifngr1",2.33657258666687e-24,-1.44661227894452,0.781,0.924,4.68926752418173e-20
"Saa3",4.75999951663929e-24,3.98625468511833,0.349,0.019,9.5528430299434e-20
"Phf11b",4.76860063629276e-24,1.52594358856116,0.724,0.263,9.57010461697594e-20
"B2m",4.94125523376256e-24,0.552626354259532,1,0.994,9.91660512863807e-20
"H2-T23",6.76902060397681e-24,1.00122397112823,0.958,0.79,1.35847474501211e-19
"Atp2b1",9.11891410753278e-24,-1.30568778062052,0.818,0.924,1.83007487224075e-19
"Eif1",3.5378027676401e-23,-0.540284008816136,0.995,0.997,7.10001637437692e-19
"Myof",3.56545299684964e-23,1.64213200971595,0.75,0.289,7.15550761937755e-19
"Tiparp",1.44795030785338e-22,-1.9766174966783,0.568,0.79,2.90589147283095e-18
"Actb",1.65592633558145e-22,0.497323903132428,1,1,3.32327856287841e-18
"Anxa5",1.85907427460378e-22,-1.18255990458126,0.786,0.921,3.73097616170233e-18
"Ly6e",2.04702273001944e-22,0.605685013760895,0.984,0.978,4.10816991687601e-18
"Psma3",2.43147205899171e-22,0.723652661406272,0.979,0.93,4.87972127519046e-18
"BC018473",5.64812773991506e-22,2.95513372998693,0.406,0.057,1.13352275612355e-17
"Ramp3",7.19778785497515e-22,-2.70503307451795,0.219,0.606,1.44452404461496e-17
"Btla",7.69296088538251e-22,1.04105582375586,0.927,0.66,1.54390032008742e-17
"Ptprc",7.91795930323907e-22,0.77086676182391,0.984,0.943,1.58905525256705e-17
"Cxcl9",1.2547944210542e-21,1.46850366052155,0.833,0.406,2.51824692361367e-17
"Ciita",1.37242009875717e-21,1.73272907710122,0.807,0.416,2.75430989619576e-17
"Ppt1",1.71561191332161e-21,0.628394916753044,0.99,0.987,3.44306154884514e-17
"Naaa",2.4462928331672e-21,0.728050071483532,0.979,0.933,4.90946508688326e-17
"Dusp5",1.08318107157927e-20,-1.24357879347266,0.797,0.946,2.17383609255244e-16
"Tlr11",1.31708747499367e-20,2.07438912841738,0.49,0.108,2.64326285356479e-16
"Vdac2",1.3420305683706e-20,0.711043190801463,0.953,0.914,2.69332114766296e-16
"S100a9",1.36850663941012e-20,2.05485716749467,0.365,0.041,2.74645597463217e-16
"Got1",2.41296817302392e-20,-1.25761849371802,0.792,0.873,4.8425858264417e-16
"Rps13",2.58170137950162e-20,-0.338244563891779,0.995,0.997,5.1812164985218e-16
"Ifitm2",3.13115621124811e-20,-1.3630688301637,0.833,0.927,6.28391740035382e-16
"Psme1",3.58824430901224e-20,0.454501024285416,1,0.994,7.20124750375666e-16
