"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mt-Atp6",4.93586778015428e-141,-0.637720822988389,0.999,0.999,9.90579304799163e-137
"Actb",1.15391421449868e-137,1.11886693494917,0.997,0.975,2.31579043707741e-133
"Lyz2",2.85471107322038e-129,2.79273627843347,0.545,0.086,5.72911965284599e-125
"mt-Nd2",1.2859524912376e-120,-0.991548163197668,0.953,0.989,2.58077805466474e-116
"H2-Q7",4.22671764019328e-116,1.09096629188413,0.988,0.775,8.48259963210389e-112
"Tpm3-rs7",6.77750779867982e-116,4.20223578690946,0.352,0.02,1.36017804011705e-111
"Crem",2.60888437612287e-110,-1.83487800792978,0.556,0.847,5.23577005444098e-106
"Rps3a1",4.06613304855636e-108,-0.75226346901104,0.977,0.996,8.16032241514775e-104
"mt-Co3",5.59613856129421e-105,-0.552907208783381,0.999,0.999,1.12308904786614e-100
"Jund",6.04006788874819e-103,1.26873812378859,0.974,0.736,1.21218122459287e-98
"B2m",4.32959266800597e-102,0.619210264197385,0.997,0.989,8.68905952542118e-98
"BC018473",1.57835447573163e-101,1.32490715155843,0.936,0.571,3.1675995973458e-97
"Ly6a",7.10169975775012e-100,1.43498434499429,0.911,0.54,1.42524012438287e-95
"Pfn1",1.00942945315295e-98,0.863364402316983,0.984,0.92,2.02582396953265e-94
"Saa3",2.90351546004747e-94,6.08223350331234,0.251,0.004,5.82706517676927e-90
"AW112010",3.49755800347206e-94,1.18998231996753,0.959,0.701,7.01924915716807e-90
"Ctsw",1.85978427771755e-90,2.00882910839544,0.568,0.162,3.73240106695135e-86
"Gmfg",1.11518698220932e-85,0.98090393260819,0.956,0.743,2.23806875459588e-81
"Lcp1",3.77450807568689e-79,1.13252977122543,0.868,0.538,7.57506025709603e-75
"Ramp3",2.38920321793027e-78,-2.74659849402086,0.23,0.595,4.79489193806425e-74
"Psmb8",2.58660350277482e-78,1.17790926677774,0.875,0.568,5.1910545697188e-74
"Il7r",9.5480355889667e-78,-1.23478206545107,0.8,0.902,1.91619526234973e-73
"Psmb9",1.40104144849796e-75,1.79454886470052,0.526,0.156,2.81175008299055e-71
"Rps2",1.29119251414719e-74,-0.795594282041332,0.952,0.965,2.59129425664199e-70
"S100a9",3.15030712967741e-73,3.07712781065944,0.266,0.024,6.32235137854959e-69
"Serpina3g",6.7697025531245e-73,2.11743322226394,0.436,0.105,1.35861160538656e-68
"Ckb",3.51751015648675e-72,1.43084604253719,0.732,0.365,7.05929113305326e-68
"Gm42418",4.11173540653698e-72,-0.356994003216336,0.999,0.999,8.25184178737907e-68
"mt-Nd4",2.82082026889856e-71,-0.658101284660126,0.975,0.987,5.66110419765251e-67
"Smap2",9.60663283400453e-71,-1.36134980536611,0.577,0.789,1.92795514345637e-66
"mt-Co2",1.1600034533678e-69,-0.374251653482331,0.999,0.998,2.32801093056385e-65
"Samd11",7.1578859620459e-69,3.51644159131794,0.251,0.024,1.43651613372299e-64
"Ccr5",1.05546839605528e-67,1.97998979219295,0.41,0.097,2.11821952404335e-63
"Tmsb4x",2.65690847971304e-66,0.462190379461713,1,1,5.3321496279361e-62
"Lilrb4a",3.28931038764449e-64,3.2814882081966,0.266,0.035,6.60131701696372e-60
"S100a8",4.42508609213637e-64,4.04984536898374,0.195,0.008,8.88070527830848e-60
"H2-T22",9.40347245559858e-64,1.47545242767908,0.566,0.196,1.88718288711408e-59
"H60b",3.17100622765871e-62,2.65885951353708,0.268,0.037,6.36389239828826e-58
"Cox5a",1.78625301283782e-61,0.86135229089059,0.897,0.714,3.58483117146422e-57
"Tff1",3.61456081879443e-61,2.91622476630599,0.245,0.029,7.25406210723854e-57
"Cd164",6.01792551337934e-61,-0.968116609668746,0.853,0.912,1.2077374712801e-56
"Gm15987",2.16406380194915e-59,1.65127841854057,0.433,0.123,4.34305964413176e-55
"H2-T23",4.85481776439534e-59,1.0936054096799,0.812,0.462,9.743133771365e-55
"Lilr4b",7.87802186484975e-59,3.00947901582968,0.251,0.034,1.5810402080567e-54
"Emb",2.39805905566713e-57,-0.630325319272018,0.984,0.991,4.81266471881836e-53
"mt-Nd1",6.93513681232978e-56,-0.593627846706517,0.97,0.986,1.39181260686646e-51
"Ucp2",7.26575453006426e-56,0.970300196001977,0.833,0.525,1.4581642766386e-51
"H2-Q6",9.44698656555636e-56,1.20545889566753,0.703,0.337,1.89591573384151e-51
"Gimap4",1.24180491132579e-55,1.81939170024207,0.405,0.119,2.49217827653973e-51
"Ptprcap",3.64025974690517e-55,0.937848811060229,0.864,0.56,7.30563728606399e-51
"1700097N02Rik",2.04217691183893e-54,2.02905174549489,0.297,0.058,4.09844484436956e-50
"Mndal",2.47863190679651e-54,1.32027568234256,0.599,0.25,4.97436637374991e-50
"Coro1a",5.64475617065606e-53,0.958208352815971,0.837,0.565,1.13284611588897e-48
"Ms4a6b",3.79005495682499e-52,1.66764372417314,0.389,0.114,7.60626129285208e-48
"Ifi203",3.81138233054633e-52,1.43430097404094,0.495,0.18,7.64906319917344e-48
"Ndufa1",6.75286587193626e-52,1.40139619100107,0.864,0.667,1.35523265183889e-47
"Cd163l1",2.72463942863551e-51,0.967311862632035,0.797,0.491,5.46807886932861e-47
"Map3k8",9.87957806640373e-51,1.56198595419825,0.371,0.102,1.98273252214656e-46
"Ifng",2.17219824221716e-50,4.39524917513407,0.151,0.006,4.35938465230563e-46
"Lat",3.81689581690227e-49,0.972438725301923,0.804,0.489,7.66012821494116e-45
"Nkg7",3.87396731284715e-49,3.64627689982391,0.225,0.036,7.77466500015294e-45
"Wdr95",1.06124794013268e-48,3.77114655886538,0.16,0.01,2.12981849105228e-44
"Pxdc1",5.31474651991736e-48,-3.35930903545631,0.045,0.317,1.06661647908222e-43
"Vim",5.10097263302337e-47,0.770364788961493,0.923,0.697,1.02371419772146e-42
"Malat1",1.80818562983921e-46,-0.498726037086857,1,1,3.6288477405243e-42
"Ikzf2",1.31780952730123e-45,1.01035365492549,0.749,0.416,2.64471194034083e-41
"Hilpda",5.1189123979379e-45,-2.54005466635811,0.195,0.458,1.02731452914216e-40
