gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk3_median,median_IL10_KOTLS_median
Xkr4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm19938,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sox17,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mrpl15,0.029867793297539916,0.08856750257537103,0.08856750257537103,0.0,0.0,0.0,0.0,0.0
Lypla1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tcea1,0.0004592558527205931,0.0059968683708232304,0.08340514978046831,-29.280214708365055,-29.00448504324042,-28.655673477457153,0.5385425296617343,0.0
Rgs20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Atp6v1h,0.00757216567920716,0.06067621353514402,0.3887558059849098,-28.663584451223578,-27.425132657431224,0.0,0.1802136000798675,0.0
Rb1cc1,0.009501095540355024,0.08856750257537103,0.2615722360139493,-26.57083842717998,0.0,0.0,0.0,0.0
4732440D04Rik,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
St18,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pcmtd1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm26901,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sntg1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rrs1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2610203C22Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mybl1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Vcpip1,0.009501095540355024,0.029867793297539916,0.08856750257537103,-26.57083842717998,0.0,0.0,0.0,0.0
Sgk3,0.08856750257537103,0.08856750257537103,1.0,0.0,0.0,0.0,0.0,0.0
Mcmdc2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Snhg6,0.08710000984342534,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Tcf24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cops5,0.029867793297539916,0.08856750257537103,0.08856750257537103,0.0,0.0,0.0,0.0,0.0
Cspp1,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Arfgef1,0.0007335473709934008,0.009501095540355024,0.08856750257537103,-28.522899155865122,-26.964191377180807,0.0,0.130927359735436,0.0
Prex2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sulf1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slco5a1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ncoa2,0.08856750257537103,0.2615722360139493,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Tram1,0.004653107842147308,0.09599617303554794,0.5834482930326043,-29.181356954393635,-28.43930277950869,0.0,0.36398475248991924,0.0
Lactb2,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Eya1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm9947,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Msc,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Trpa1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Terf1,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sbspon,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rpl7,0.23797729618163055,0.7344923394458999,1.0,-0.04620884256704416,0.0033665802132845967,0.04795252270734372,2.584984431754996,2.595934397520955
Rdh10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Stau2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ube2w,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Eloc,0.003682797038957457,0.09464756245883273,0.6422030526876021,-1.4371117640493327,-0.36651025027825146,0.05171813963731832,0.6685020836457802,0.5188640134639106
D030040B21Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem70,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ly96,0.2615722360139493,0.2615722360139493,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Jph1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pi15,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il17a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il17f,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mcm3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Paqr8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Efhc1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tram2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem14a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gsta3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kcnq5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm29107,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ogfrl1,0.029867793297539916,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
B3gat2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Smap1,0.0007335473709934008,0.009501095540355024,0.029867793297539916,-28.876196004808012,-27.625873422973452,0.0,0.20711738521023124,0.0
Sdhaf4,0.029867793297539916,0.08856750257537103,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Fam135a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lmbrd1,0.00033168419378085557,0.004667322155326527,0.07845851571482734,-29.293677294203405,-28.879968886689085,-27.70159969498312,0.49401132867048136,0.0
Phf3,0.04342057984045242,0.31197481303875285,0.9677512981486178,-29.153825629842927,-28.06127134116045,1.3104863638759001,0.393868330909382,0.0
Ptp4a1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ptp4a1.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Prim2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rab23,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Bag2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zfp451,0.009501095540355024,0.08856750257537103,0.29147411368370935,-26.52118715014576,0.0,0.0,0.0,0.0
Bend6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dst,0.0001720247930818143,0.0001720247930818143,0.0032593368359413715,-29.41578431133012,-29.02816429888934,-28.668862277811954,0.5474546793465005,0.0
Gm37233,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ccdc115,0.2615722360139493,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Imp4,0.029358625853610324,0.08856750257537103,0.2615722360139493,-0.6669925362785663,0.0,0.0,0.0,0.0
Ptpn18,0.0021592442645074223,0.03142017940779551,0.13493688973565135,-0.4242606684300479,-0.2973492115380379,-0.1575854332636926,1.422452310702535,1.159998606873065
Gm28417,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Arhgef4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm38336,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fam168b,0.2615722360139493,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Plekhb2,0.0007335473709934008,0.009501095540355024,0.08856750257537103,-28.33404139637684,-26.379595118679337,0.0,0.08730706709547875,0.0
Hs6st1,0.009501095540355024,0.08856750257537103,0.2615722360139493,-27.250227633390615,0.0,0.0,0.0,0.0
Uggt1,0.08856750257537103,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Neurl3,0.05568582679226139,0.3190687002989552,0.9034642790425517,-29.397780090909706,-1.062544305934007,0.1509667027201108,0.6270763238681765,0.29385778131963
Arid5a,0.029867793297539916,0.08856750257537103,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
4930403P22Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kansl3,0.009501095540355024,0.08856750257537103,0.2615722360139493,-26.290011306698624,0.0,0.0,0.0,0.0
Lman2l,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cnnm4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cnnm3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ankrd23,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ankrd39,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sema4c,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
D430040D24Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fam178b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cox5b,0.00409621338413908,0.09018814003334127,0.34314519329999205,-0.3198654657728791,-0.20933349602341822,-0.08381831722818521,1.4027144362949624,1.2130391761602124
Actr1b,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Zap70,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem131,0.12149000420761753,0.6993022710519221,1.0,-26.379595118679337,0.0,0.0,0.0,0.0
Gm38115,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Vwa3b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Inpp4a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Coa5,0.009501095540355024,0.029867793297539916,0.2615722360139493,-27.81120177707198,0.0,0.0,0.0,0.0
Unc50,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Mgat4a,0.011901349858900767,0.11472751266057678,0.6422997782082179,-29.448729628517206,-28.715762006407857,-0.1993002469076244,0.5352905194603302,0.0
2010300C02Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tsga10,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lipt1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mitd1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mrpl30,0.0007335473709934008,0.009501095540355024,0.12233417091613663,-29.166115806211746,-28.122381686975988,0.0,0.29220015084970874,0.0
Txndc9,0.009501095540355024,0.08856750257537103,0.2615722360139493,-27.391785962940354,0.0,0.0,0.0,0.0
Eif5b,0.015860919266492024,0.13493688973565135,0.3837421608319441,-0.5153916166117131,-0.36207420447025707,-0.1687706783630735,1.2369131603349575,0.9631421514816708
Rev1,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Aff3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm16152,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lonrf2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Chst10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pdcl3,0.002778685068188869,0.029867793297539916,0.2615722360139493,-28.237333535600065,0.0,0.0,0.0,0.0
Npas2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rpl31,0.00019052155275065493,0.015860919266492024,0.08288044772564862,-0.23819358620129485,-0.18955296486100628,-0.11664368721346573,2.154461779559285,1.88857387131943
Tbc1d8,0.029867793297539916,0.08856750257537103,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Cnot11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm15832,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rnf149,0.20101901669925296,0.7280611426419807,1.0,-0.14293203486189054,0.09129208630372203,0.3486748363826711,0.7057726459444653,0.7519952839105217
Creg2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Map4k4,0.00047630388187663733,0.010866496667145469,0.11526553941414623,0.2845114101019023,0.6268046576287888,1.0816675280934394,0.6695857469756585,1.0351945713360675
Il1r2,0.010408775719352021,0.09464756245883273,0.7552483193005225,0.2243642062874095,1.5124553352871088,29.77268462243104,0.31664619572859054,0.8761766001428759
Gm16894,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il1r1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il1rl2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il1rl1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il18r1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il18rap,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc9a4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc9a2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mfsd9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
