"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gbp2b",2.3748879264565e-160,4.63141055445114,0.633,0.042,4.76616257960554e-156
"Ly6a",1.63800575971183e-125,3.94599400712697,0.797,0.265,3.28731375916568e-121
"Iigp1",1.02929361568683e-119,5.53661410148785,0.466,0.024,2.06568935732189e-115
"Ifi44",1.78784416962663e-115,4.54065931049132,0.458,0.024,3.58802446402368e-111
"Ccrl2",6.37383479460591e-110,3.16225968644568,0.755,0.205,1.27916490492946e-105
"Sh3bgrl3",1.35973015322323e-105,-1.16792265252794,0.958,0.992,2.7288424445037e-101
"Cxcl9",2.15060532934416e-97,3.66871564747807,0.612,0.12,4.3160498354608e-93
"Plaat3",3.3630076010348e-95,2.39915585235986,0.797,0.287,6.74921995451675e-91
"Tpm3-rs7",2.24540143899287e-92,3.77438254931617,0.51,0.081,4.50629614791479e-88
"Rps3a1",1.11589060951837e-91,-0.7451770291496,0.99,0.995,2.23948086424241e-87
"Upp1",2.05707832382348e-91,4.67830059042797,0.427,0.04,4.12835048808135e-87
"Psmb8",1.57155837433842e-87,1.08708175003651,0.987,0.948,3.15396050145977e-83
"Saa3",2.73412589545105e-87,5.81946598844677,0.326,0.011,5.48711725958071e-83
"Scimp",3.91702882100722e-86,2.80900592409447,0.56,0.103,7.86108514087939e-82
"B2m",5.38811410736287e-85,0.70325017036463,1,0.998,1.08134062020665e-80
"Ms4a4c",2.65397493972914e-83,1.98878916724363,0.766,0.277,5.32626230654242e-79
"Psmb9",9.87318143760708e-80,1.34188038687947,0.956,0.786,1.98144878271337e-75
"Sec61b",4.55596667152157e-78,-1.59907490358781,0.951,0.982,9.14336951307663e-74
"Crem",1.30908660197875e-77,-2.17127303279853,0.495,0.862,2.62720590151115e-73
"Il18bp",1.25637527546556e-76,3.08959539537193,0.424,0.055,2.52141954033182e-72
"Gm4951",2.03693954149853e-76,6.11964387519858,0.26,0.003,4.08793396583341e-72
"Ptpn6",5.27651561149833e-76,2.33096767495723,0.706,0.248,1.0589439180716e-71
"Ly6i",1.10529469306363e-75,3.48006808937132,0.469,0.081,2.21821591950941e-71
