gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk3_median,median_IL10_KOTLS_median
Xkr4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm19938,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sox17,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mrpl15,0.12233417091613663,0.3519631185845171,0.8822739356449067,0.0,0.0,0.0,0.0,0.0
Lypla1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tcea1,0.12268189206148206,0.5115624678043149,1.0,-0.29355936564471646,-0.16597973319385473,0.10230202963373805,0.6568062430283492,0.5856091467704447
Rgs20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Atp6v1h,0.029867793297539916,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Rb1cc1,0.15351977021153562,0.7035921884209926,1.0,-26.678594080724995,0.0,0.0,0.0,0.0
4732440D04Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
St18,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pcmtd1,0.08856750257537103,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm26901,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sntg1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rrs1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2610203C22Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mybl1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Vcpip1,0.15064962279690167,0.7670968684102772,1.0,0.0,0.0,0.0,0.0,0.0
Sgk3,0.029867793297539916,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Mcmdc2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Snhg6,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Tcf24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cops5,0.009501095540355024,0.04801397289426615,0.48226199810251935,-27.325912236131476,0.0,0.0,0.0,0.0
Cspp1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Arfgef1,0.009501095540355024,0.08856750257537103,0.2615722360139493,-26.39268519617451,0.0,0.0,0.0,0.0
Prex2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sulf1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slco5a1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ncoa2,0.2615722360139493,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Tram1,0.002778685068188869,0.05161263766000387,0.4466858661521166,-28.85223991117417,-28.318244677513608,0.0,0.3346887166016628,0.0
Lactb2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Eya1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm9947,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Msc,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Trpa1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Terf1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sbspon,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rpl7,0.00409621338413908,0.11526553941414623,0.5713582599031516,0.014637465779537612,0.047065811761541336,0.10131403137849736,2.918379478987945,3.015863629214542
Rdh10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Stau2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ube2w,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Eloc,0.00030165912518853697,0.015860919266492024,0.18134476462649837,-0.38481334134038914,-0.26769521418556586,-0.13356416422116316,0.8387216559543688,0.6953200819625552
D030040B21Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem70,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ly96,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Jph1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pi15,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il17a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il17f,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mcm3,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Paqr8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Efhc1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tram2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem14a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gsta3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kcnq5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm29107,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ogfrl1,3.5291394948257277e-05,0.0007335473709934008,0.009501095540355024,-29.067539054648226,-28.877790897273727,-27.713290169516803,0.4932660981426413,0.0
B3gat2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Smap1,0.00409621338413908,0.06909581646423751,0.42800865285385303,0.09505256058622552,0.28074368537904504,0.47869930887780854,0.5303049930907622,0.6474828270043322
Sdhaf4,0.08856750257537103,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fam135a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lmbrd1,0.029867793297539916,0.2615722360139493,1.0,-26.44219042022552,0.0,0.0,0.0,0.0
Phf3,0.06909581646423751,0.5713582599031516,1.0,-0.127947314705799,0.06086581770401869,0.3204403665927198,0.603416795719916,0.6268958494067878
Ptp4a1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ptp4a1.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Prim2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rab23,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Bag2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zfp451,0.26658862144836687,0.6993022710519221,0.9505209847403642,0.0,0.0,0.0,0.0,0.0
Bend6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dst,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm37233,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ccdc115,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Imp4,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ptpn18,1.5876796062554575e-05,6.35071842502183e-05,0.00409621338413908,-0.63660063351509,-0.4875249581599959,-0.3393590084744328,1.3838711636718348,0.9879026787404795
Gm28417,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Arhgef4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm38336,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fam168b,0.009501095540355024,0.029867793297539916,0.4198490637342591,-27.333641473100116,0.0,0.0,0.0,0.0
Plekhb2,0.002778685068188869,0.009501095540355024,0.08856750257537103,-28.188148328241827,-26.028900696881546,0.0,0.068466772771048,0.0
Hs6st1,0.2615722360139493,0.8822739356449067,1.0,0.0,0.0,0.0,0.0,0.0
Uggt1,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Neurl3,0.00043860957713416177,0.0038003384534461434,0.033602585312933086,0.5009229189675459,1.091028327170128,29.53998292928747,0.36358667188354227,0.7783715228705425
Arid5a,0.08715662938217593,0.47495853988950676,1.0,0.0,0.0,0.0,0.0,0.0
4930403P22Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kansl3,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Lman2l,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cnnm4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cnnm3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ankrd23,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ankrd39,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sema4c,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
D430040D24Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fam178b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cox5b,0.00011113757243788204,0.00409621338413908,0.11526553941414623,-0.21922130898447179,-0.15746889585551974,-0.09836378928914628,1.74604944283309,1.563132509467065
Actr1b,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Zap70,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem131,0.00047630388187663733,0.012399777724855125,0.09788044772564897,0.23122792847004395,0.35802103509430205,0.49278896957533347,0.8464448182587203,1.0884863321502398
Gm38115,0.08856750257537103,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Vwa3b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Inpp4a,0.2615722360139493,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Coa5,0.0007335473709934008,0.009501095540355024,0.08856750257537103,-28.670322858337883,-27.418245770631167,0.0,0.17935537776385124,0.0
Unc50,0.009501095540355024,0.2615722360139493,0.8822739356449067,-27.29427847166231,0.0,0.0,0.0,0.0
Mgat4a,0.11700976449772585,0.7039203384624914,1.0,-28.072721873753938,0.0,28.604255660711708,0.0,0.0
2010300C02Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tsga10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lipt1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mitd1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mrpl30,0.0010637453361911566,0.06909581646423751,0.8506311026434865,-0.298141039947048,-0.16750780856753755,0.013737750331787658,0.6973603041099463,0.617177567750124
Txndc9,0.13939272189750068,0.6319793444436901,1.0,-28.61263899176144,0.09200805654320987,28.71536739663501,0.191596937393788,0.2061498968567525
Eif5b,0.02524410573946178,0.3053901722632373,0.9699293482575216,-0.053879974650173364,0.10876985775711173,0.24026523789473492,0.9601729530902765,1.0378092613603063
Rev1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Aff3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm16152,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lonrf2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Chst10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pdcl3,0.24087212175615258,0.7264717268578031,1.0,-0.2312755080131097,0.025946973051055956,0.4690667072085972,0.5060651220086345,0.50961035498013
Npas2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rpl31,0.02511629753115822,0.2082876875446535,0.5713582599031516,-0.10600449555881558,-0.07155879320249478,-0.035062213268523816,2.4256150065418502,2.3071014512551624
Tbc1d8,0.02884223199411227,0.2838788176757985,0.9042011148711016,0.0,2.9994103684025646,29.096034326269915,0.0,0.47258888167373947
Cnot11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm15832,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rnf149,0.0007335473709934008,0.010222453583624358,0.29147411368370935,-28.628421029763373,-27.33579795370315,0.0,0.1693930838164085,0.0
Creg2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Map4k4,0.0010637453361911566,0.015860919266492024,0.18201833769945164,0.09501840574546751,0.22864036769040047,0.3810039632658755,1.3555642315629197,1.5918727463268239
Il1r2,1.5876796062554575e-05,1.5876796062554575e-05,0.005493371437643883,0.38281632402300597,0.5057870551018324,0.7367356181961859,1.7545274723349125,2.4898679196040088
Gm16894,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il1r1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il1rl2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il1rl1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il18r1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il18rap,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc9a4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc9a2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mfsd9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem182,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
