gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk3_median,median_IL10_KOTLS_median
Xkr4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm19938,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sox17,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mrpl15,0.029867793297539916,0.08856750257537103,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Lypla1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tcea1,0.0011483811028681454,0.003742292233365757,0.02115099435571617,-29.384515373636575,-29.281977705620804,-29.006037468099304,0.6527601313668497,0.0
Rgs20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Atp6v1h,0.1853939469443623,0.47495853988950676,0.8822739356449067,0.0,0.0,0.0,0.0,0.0
Rb1cc1,0.009501095540355024,0.08856750257537103,0.2615722360139493,-26.71426826216035,0.0,0.0,0.0,0.0
4732440D04Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
St18,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pcmtd1,0.08856750257537103,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm26901,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sntg1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rrs1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2610203C22Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mybl1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Vcpip1,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Sgk3,0.029867793297539916,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Mcmdc2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Snhg6,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Tcf24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cops5,0.009501095540355024,0.029867793297539916,0.2615722360139493,-27.304253052688697,0.0,0.0,0.0,0.0
Cspp1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Arfgef1,0.009501095540355024,0.08856750257537103,0.2615722360139493,-26.44219042022552,0.0,0.0,0.0,0.0
Prex2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sulf1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slco5a1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ncoa2,0.2615722360139493,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Tram1,0.0057606676070176424,0.11820294448069384,0.6953707911129164,-28.869375376634295,-28.257993258598933,0.0,0.32114956813759654,0.0
Lactb2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Eya1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm9947,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Msc,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Trpa1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Terf1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sbspon,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rpl7,1.5876796062554575e-05,1.5876796062554575e-05,0.00011113757243788204,-0.2026339385959508,-0.16706999301561193,-0.12839324155179366,2.91543275733506,2.5967188028887063
Rdh10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Stau2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ube2w,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Eloc,0.00022199620514430827,0.000585110770471496,0.006145513185645535,-1.7979419505985101,-0.6942807602804095,-0.5032594066025221,0.8357116139324507,0.5189915836365975
D030040B21Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem70,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ly96,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Jph1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pi15,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il17a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il17f,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mcm3,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Paqr8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Efhc1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tram2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem14a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gsta3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kcnq5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm29107,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ogfrl1,3.5291394948257277e-05,0.0001720247930818143,0.002778685068188869,-29.05873703711397,-28.871245752249507,-27.919576455503325,0.4910333440605731,0.0
B3gat2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Smap1,3.5291394948257277e-05,3.5291394948257277e-05,0.0001720247930818143,-29.13213556889659,-28.98085005914553,-28.819198214802327,0.5297917203742506,0.0
Sdhaf4,0.08856750257537103,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fam135a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lmbrd1,0.07598867855418287,0.4469684694114323,0.9595657057843286,-26.325912244706892,0.0,0.0,0.0,0.0
Phf3,0.0007048903820158186,0.010506691493470274,0.15038861025134914,-29.308347468701594,-29.055832390796134,-0.29002420315293875,0.595144877622547,0.0
Ptp4a1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ptp4a1.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Prim2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rab23,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Bag2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zfp451,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Bend6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dst,0.47495853988950676,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm37233,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ccdc115,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Imp4,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ptpn18,0.00019052155275065493,0.005493371437643883,0.11526553941414623,-0.3720211222983963,-0.24015337388849073,-0.13912377485792515,1.3686766147589502,1.1604191020128876
Gm28417,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Arhgef4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm38336,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fam168b,0.002778685068188869,0.029867793297539916,0.08856750257537103,-27.60051934136254,0.0,0.0,0.0,0.0
Plekhb2,0.002778685068188869,0.009501095540355024,0.08856750257537103,-28.308526099068704,-26.325912244706892,0.0,0.08411805915530325,0.0
Hs6st1,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Uggt1,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Neurl3,0.29987139936657675,0.7702490012791944,1.0,-28.663695891251347,-0.16435847627844744,27.977295898621087,0.3492633340392123,0.29385778131963
Arid5a,0.08856750257537103,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4930403P22Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kansl3,0.029867793297539916,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Lman2l,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cnnm4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cnnm3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ankrd23,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ankrd39,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sema4c,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
D430040D24Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fam178b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cox5b,1.5876796062554575e-05,1.5876796062554575e-05,1.5876796062554575e-05,-0.5846306149891665,-0.5242741273636078,-0.45347571076007587,1.7454175386035338,1.213219754489055
Actr1b,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Zap70,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem131,6.0342433300663835e-05,9.016783792651294e-05,0.00031886695226255874,-29.756794984554656,-29.650722940670786,-29.56890585105026,0.8428630202075557,0.0
Gm38115,0.08856750257537103,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Vwa3b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Inpp4a,0.2615722360139493,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Coa5,0.0007335473709934008,0.009501095540355024,0.08856750257537103,-28.645720034013397,-27.409746168178057,0.0,0.17830181651085125,0.0
Unc50,0.009501095540355024,0.029867793297539916,0.2615722360139493,-27.235318254718106,0.0,0.0,0.0,0.0
Mgat4a,0.19044890712163923,0.7039203384624914,1.0,-28.08533513261269,0.0,28.44325506601515,0.08047326552060025,0.0
2010300C02Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tsga10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lipt1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mitd1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mrpl30,3.5291394948257277e-05,3.5291394948257277e-05,0.00012175575045247107,-29.48496253147991,-29.36530996406973,-29.20243577716999,0.6915747533569003,0.0
Txndc9,0.0007335473709934008,0.009501095540355024,0.029867793297539916,-28.65197415536607,-27.453770532789154,0.0,0.18382662852319026,0.0
Eif5b,0.18134476462649837,0.6784313725490196,1.0,-0.1247248147290192,0.02407078449630786,0.13922814432064556,0.9461413294729555,0.9625530250791263
Rev1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Aff3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm16152,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lonrf2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Chst10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pdcl3,0.0001720247930818143,0.0007335473709934008,0.0007335473709934008,-29.051990630807875,-28.888101240411235,-28.459742521344026,0.49680389380080847,0.0
Npas2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rpl31,1.5876796062554575e-05,1.5876796062554575e-05,6.35071842502183e-05,-0.398334764477544,-0.35808421327045625,-0.325249682076817,2.4210794739178727,1.8901210907976862
Tbc1d8,0.009501095540355024,0.009501095540355024,0.08856750257537103,-27.630471702037976,-26.281295120604447,0.0,0.0815564194623745,0.0
Cnot11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm15832,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rnf149,0.0012547060309404212,0.01059954433910975,0.056833321083365085,0.8281839345433138,2.088980732680681,29.52812731218944,0.178224536256485,0.7529530124832351
Creg2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Map4k4,0.00047630388187663733,0.009557831229657855,0.08249583234103358,-0.5527094012258708,-0.39288678071727523,-0.22685500442351658,1.3609655278893575,1.0358450782505089
Il1r2,0.0007761696331711662,0.0029639058244674285,0.03379836211495692,-1.1893566980733723,-0.9903183654791914,-0.7500769525289194,1.7436919909587951,0.8765839963394862
Gm16894,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il1r1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il1rl2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il1rl1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il18r1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il18rap,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc9a4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc9a2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mfsd9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
