gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_IL10_KOTLS_median,FDR_BH
Rpl7,0.1002619671350321,0.384456616654759,0.967135032150512,-0.0051637969996735,0.0245147248762871,0.0512781313836163,2.553396840430375,2.596748712230018,0.6703926864789906
Eloc,0.0350742166692285,0.4613027199414199,1.0,-0.3603626551628714,28.88839300379359,29.077282260996547,0.0,0.5199501239329802,0.7390831128696093
Ptpn18,0.0037310470747003,0.0283400809716599,0.2991188378185282,-0.234639407174448,-0.1619254797349253,-0.079906850442148,1.2971565766547202,1.1606944100731935,0.18436624104640284
Neurl3,0.2222416373559457,0.68089429484237,1.0,-28.99475027123348,27.835765678650503,29.067628781410495,0.0,0.2956572802033507,0.8145157986833559
Cox5b,0.4319679288719536,0.9018020163531,1.0,-0.0807333545458808,0.0947820266166765,0.1732563538766606,1.12608165059415,1.2132364762698176,0.9018020163531
Eif5b,0.0026196713503215,0.0221084385171072,0.1198301182821306,0.1296542514764629,0.2444119443872979,0.4686715774786851,0.818645762662845,0.9640089109813984,0.1745092746950328
Rpl31,0.2268397237437485,0.7108438517107247,1.0,-0.0527584554684477,0.0028451603660012,0.045943437685694,1.88149083400534,1.8895498090965288,0.8145157986833559
Rnf149,0.3706266179443429,0.7669824200341356,1.0,-0.1842658640168936,-0.0082720713664633,0.2184052524907078,0.7552878222195393,0.7501457060594554,0.8145157986833559
Map4k4,0.0756305004651066,0.2268397237437485,0.5918075732317218,0.1321521575173629,0.3301321829516996,0.534524772188293,0.831025808874414,1.033508917620476,0.5350164002242992
Il1r2,0.286498866504372,0.5768562928749242,0.931590849261792,0.0345818294655078,29.67172690973721,29.84512752932475,0.0,0.8774087979890682,0.8128772235572606
Stat1,0.009676412056069,0.0537771224294564,0.1071410174792678,27.990805148490924,29.11962899121509,29.417534644568534,0.0,0.5832867341437142,0.2656751351448241
Gls,0.2905542727973867,0.7732396602365642,1.0,-0.1898032281865406,-0.0563641367459656,0.1448022558675249,0.865692767216787,0.8331507842097533,0.8145157986833559
Stk17b,0.0125881846092709,0.0996836284270154,0.4819502247286362,-29.54423748033052,-29.340993136194708,0.0,0.6854754550724775,0.0,0.3401437509681319
Sf3b1,0.0011907597046915,0.0221084385171072,0.1422164007303326,0.0561768673276904,0.1419364776272971,0.2322902648683983,1.25977120936673,1.395184367229165,0.1745092746950328
Hspd1,0.009676412056069,0.0665726730801842,0.3149828163118131,27.599091158555574,28.92897590210468,29.173490862074782,0.0,0.5110807130228915,0.2890211955227433
Hspe1,3.969199015638645e-05,0.0002778439310947,0.0026196713503215,0.2438215326482578,0.3431077175394855,0.4641078057937637,0.9010127076967096,1.142727174176015,0.029906110401465888
Bzw1,0.009764229578471,0.0831150273874732,0.3402397396205445,-0.2576176024742719,-0.1534219229130266,-0.0695112565016134,1.0106315180345948,0.9054175775712598,0.3174457820218331
Clk1,0.2493616494799674,0.7663825503387747,1.0,-0.2277757257401554,-0.0537300697270327,0.2037585558019619,0.7060420357201,0.6725456158519885,0.8145157986833559
Ndufb3,0.1442514134025913,0.6876330788688081,1.0,-1.2459810197303876,-0.1893555494044878,29.04064660136441,0.599606405351931,0.5204956777655487,0.8145157986833559
Cflar,0.0683496070492974,0.3102821300157158,0.7997601285820589,0.0152999770276588,0.11257179986701,0.2374858335824749,0.9774818968845044,1.055209743327861,0.6226678676925551
Sumo1,0.0987488370284312,0.4717437453091039,1.0,-0.2598279388495007,-0.0599786471140066,0.1935780784449987,0.720312299993611,0.6935557955325851,0.7505664584219361
Fam117b,0.0649452757139218,0.3959854587360712,0.9659938147885658,-0.1145016870842353,29.10433268202457,29.2340671853203,0.0,0.5906479805796253,0.6864520983067471
Raph1,0.0006316440116511,0.0035063931358507,0.0126631805582279,-29.85073741033321,-29.683049153930465,-29.51552065806023,0.861962074283414,0.0,0.09399063269032246
Eef1b2,0.0221084385171072,0.2268397237437485,0.535841867111217,0.0409660088771802,0.0716332232036484,0.108481622011318,2.11584664540864,2.2277486918934213,0.5350164002242992
Rpl37a,0.195562435500516,0.6503532587123918,1.0,-0.0232953732847604,0.0177742349414086,0.0456269309627339,3.35474817232787,3.398329075377842,0.8145157986833559
Arpc2,0.0683496070492974,0.3402397396205445,0.9018020163531,-0.0614368486602514,-0.0180564352804743,0.0107371351086947,2.13607809489659,2.112340167739596,0.637411157770134
Tmbim1,0.2496909769142927,0.7012007398756748,1.0,-0.3921772783197396,-0.1563777406897345,29.16977246622382,0.690114173149696,0.622261456840349,0.8145157986833559
Slc11a1,0.0171511081214365,0.0784432237751736,0.4293451746530331,-1.5983094846218513,-0.5869447084082016,-0.3111522171001337,0.982917372375588,0.6557864636123347,0.3174457820218331
Dock10,0.1596400709657414,0.6477164962454822,1.0,25.893783796127323,28.967271731536897,29.173916758408005,0.0,0.5268506254095363,0.8145157986833559
Trip12,0.0191021715635158,0.0996836284270154,0.4954367160479347,0.0,26.742708838780235,28.89610815569469,0.0,0.1122942507827142,0.3401437509681319
Itm2c,0.1422164007303326,0.7732396602365642,1.0,0.0206194349120878,0.1478164574552159,0.2928727262567289,0.930057656646055,1.0280949006221487,0.8145157986833559
Ncl,0.0017861395570373,0.0221084385171072,0.1673414304993252,-0.1756859254488096,-0.1272418912141257,-0.0696884060047924,1.72245224331595,1.572301087461634,0.1745092746950328
Ptma,0.2268397237437485,0.7108438517107247,1.0,-0.0344587774594762,-0.0084719736507386,0.0213506885441148,2.94523167264238,2.926422083503388,0.8145157986833559
Inpp5d,0.0963724170579419,0.3706266179443429,0.8323721218513491,-0.1238597791086016,0.0834582261171062,29.35923279690935,0.6386955782027455,0.6739230083913843,0.6703926864789906
Arl4c,0.0683496070492974,0.3402397396205445,0.7732396602365642,-0.0050029403962449,0.0484751450090889,0.1220388335011199,2.14280620604603,2.212450553151931,0.637411157770134
