gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_IL10_KOnonTLS_median,FDR_BH
Rpl7,0.2991188378185282,0.7732396602365642,1.0,-0.0181689834430512,0.0060901300794779,0.0317200734431077,2.55519178654666,2.566534510911594,0.8109233175301924
Eloc,0.1436870544628578,0.6720346257845016,1.0,-29.070871260227747,0.7496490163097874,29.01787436831716,0.0,0.2410593227305895,0.8109233175301924
Ptpn18,0.1422164007303326,0.4824164483607208,0.967135032150512,-0.1159326762176473,-0.0355735426275561,0.0543014883435886,1.29435344165433,1.265156730344475,0.8109233175301924
Cox5b,0.2268397237437485,0.4824164483607208,0.967135032150512,-0.0523951259530956,0.1080496339049875,0.1967905448361127,1.12608165059415,1.228388620248945,0.8109233175301924
Eif5b,0.0071842502183059,0.0831150273874732,0.4319679288719536,0.0424098591785801,0.1567902556867166,0.3885096015735036,0.8236446895082465,0.909102775228036,0.43664655233137334
Rpl31,0.1422164007303326,0.6503532587123918,1.0,-0.0543457941605745,0.0009883946758248,0.0440413924992592,1.882750362965015,1.8889728449254364,0.8109233175301924
Rnf149,0.374017623126423,0.8311969243531333,1.0,-0.1619239158263854,-0.0243938335907308,0.1828750999901471,0.766740405185958,0.7497238155255626,0.8437313474465177
Map4k4,0.0170675557672461,0.0556481701992537,0.1673414304993252,0.2203908622097456,0.3946562144384595,0.6290638875493961,0.831025808874414,1.0842975535825776,0.3941158383099044
Il1r2,0.4102951033896167,0.633582560502326,1.0,-0.0172143092458119,29.6276851996092,29.760632586437083,0.0,0.8455712101290022,0.8109233175301924
Stat1,0.0083942365928358,0.0317453225160542,0.0817767479068113,29.24415335571498,29.397781299093594,29.53698616294584,0.0,0.707316810673852,0.32002717022941124
Gls,0.4319679288719536,0.8325897513232108,1.0,-0.1154899092161406,0.009789894752914,0.1983084165703275,0.865692767216787,0.8723759494210268,0.8437313474465177
Stk17b,0.0197862073487422,0.1205880807258087,0.5256199649153802,-29.5458595397036,-29.345476328261025,0.0,0.6851369148602631,0.0,0.4997706012302961
Sf3b1,0.0680320711280463,0.6503532587123918,1.0,-0.0631655900965976,0.0195630640645084,0.1115733669298474,1.25977120936673,1.2793830859660211,0.8109233175301924
Hspe1,0.0007541478129713,0.0221084385171072,0.1198301182821306,0.0752966125202724,0.1731364204312551,0.2877274338667723,0.9010127076967096,1.015872485798135,0.2660144376413221
Bzw1,0.0683496070492974,0.2991188378185282,0.6503532587123918,-0.1724717271752676,-0.0836288873984899,-0.0095082371205719,1.007541894794325,0.9504809724587556,0.6958710592909212
Clk1,0.0757983951553266,0.5254410213627343,1.0,-0.2585798810794935,-0.110646813065027,0.154545431429386,0.6989612374112766,0.6465860052573054,0.8109233175301924
Ndufb3,0.0868125051167999,0.5982803055119194,1.0,-29.29144599297465,-1.229341516018101,28.123584237405804,0.5851253040344739,0.228737573464762,0.8109233175301924
