gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_Salmonella_infNonTLSwk6_median,FDR_BH
Tcea1,0.0449578329938776,0.5039104645747324,1.0,0.0,27.81399736997608,28.824259541991783,0.0,0.2359649542123847,0.6265571471390232
Atp6v1h,0.0191546447804258,0.1332470203401324,0.7441250623860661,0.0,27.775788807544675,28.793739516109994,0.0,0.2297976496285337,0.24340142958546093
Tram1,0.0173711500544092,0.0441363158740108,0.376759117811582,28.96543562441889,29.087471600108568,29.17316796586151,0.0,0.5704288061642475,0.11678847834386902
Rpl7,0.1892773892773893,0.6125874125874127,1.0,-0.0151530429930917,0.0230257391899006,0.0583531211912289,2.553396840430375,2.594408306847495,0.6930692536356945
Eloc,0.0041476751667831,0.0677460138406892,0.4436570559117131,0.1399278097392049,29.20338629818127,29.3413726575244,0.0,0.6316157233956335,0.16369721921452438
Lmbrd1,0.0025903828378144,0.0025903828378144,0.0123932749910412,28.812850853436164,29.076115280397552,29.22665976103569,0.0,0.5659562444063537,0.03276387672104558
Phf3,0.0060291882724203,0.0901559774973563,0.6155996805739075,26.57217975593698,28.427531758097984,28.965777264615426,0.0,0.3610270649451262,0.1940725440161741
Dst,0.0007946359005854,0.0025903828378144,0.0074408008082341,29.490178353609885,29.651756490587758,29.76170902193464,0.0,0.8434670610951993,0.03276387672104558
Ptpn18,0.0006216006216006,0.0139860139860139,0.1205905205905206,0.1296499976691024,0.2178060556332693,0.3158895745869291,1.29435344165433,1.5016700152028788,0.07844143623960088
Neurl3,0.0056142135483653,0.0421027181166023,0.3837143535858314,0.0939616664302769,29.36350380390636,29.55263419478464,0.0,0.7237232294103091,0.11678847834386902
Cox5b,0.0205128205128205,0.151981351981352,0.4634032634032634,0.1259753889363517,0.2936717596581311,0.3887766817848853,1.12608165059415,1.3908030222440426,0.2674988479211128
Mgat4a,0.0007946359005854,0.0074408008082341,0.1320242671934039,27.04644791371005,28.95367580811755,29.153794257844023,0.0,0.51990608700716,0.054368241762156724
Mrpl30,0.0074408008082341,0.0449578329938776,0.203551256135826,0.0,26.349730637477315,28.534240876840965,0.0,0.0855183463591022,0.11678847834386902
Eif5b,0.0003108003108003,0.0037296037296037,0.04009324009324,0.1672890408173101,0.3342610468959459,0.5673723423050855,0.818645762662845,1.0207292474183882,0.039538111214411475
Rpl31,0.0093240093240093,0.151981351981352,0.8665112665112666,0.0189481110450352,0.0820595650833762,0.1392207468373617,1.8844045768193,2.00219100681262,0.2674988479211128
Rnf149,0.0014457807008947,0.0239017976171966,0.1830025939015227,0.1046095072526277,0.2773256460392087,0.4893127941372439,0.750911495878616,0.9170299346372824,0.08954735307048602
Map4k4,0.1476485888064738,0.4634032634032634,1.0,-0.0613943973107109,0.151926767580929,0.3826044078596564,0.831025808874414,0.912129053944254,0.5809170096251435
Il1r2,0.4436570559117131,0.8153345943552276,1.0,-0.4566494976676695,29.22995072323034,29.66342549670427,0.0,0.6722437406407658,0.8220580791904823
Tpp2,0.0074408008082341,0.0449578329938776,0.0980347968077632,0.0,27.329565910261863,28.748369894278287,0.0,0.1686677241875841,0.11678847834386902
Stat1,0.0007946359005854,0.0015383197232882,0.0060562738692192,29.86863606969726,30.03952653243165,30.196753429843813,0.0,1.103566584201907,0.03276387672104558
