gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_Salmonella_infTLSwk6_median,FDR_BH
Rpl7,0.1892773892773893,0.6943278943278944,1.0,-0.0196277666988568,0.0119203154804473,0.042232590834894,2.553968009020775,2.574106805102195,0.7525667264229358
Ptpn18,0.0092385392385392,0.151981351981352,0.6943278943278944,0.0323341797170122,0.1348523542689037,0.2282062413377921,1.294425200315985,1.4270390578474874,0.33830300944394903
Cox5b,0.0289044289044289,0.2318570318570318,0.6943278943278944,0.0679585263539488,0.2624001497890763,0.4029401956031988,1.1272405568070225,1.37704433057475,0.44708865639098183
Eif5b,0.0093240093240093,0.0277509926719708,0.1048818005561559,0.2292936008472344,0.3795769011974457,0.6332800805002805,0.829347466855935,1.0548458367051023,0.1250430728691598
Rpl31,0.04009324009324,0.151981351981352,0.5358197358197359,0.0302450721876526,0.1121069054989282,0.1822336246289373,1.882750362965015,2.0475590208669026,0.33830300944394903
Rnf149,0.0064847002909101,0.042658103683907,0.2226536979813717,0.0815616159633525,0.2847913621177655,0.5173490757420806,0.766740405185958,0.9229716413809044,0.163249281405721
Map4k4,0.054079254079254,0.3837143535858314,0.9550893550893552,-0.5982992327519477,-0.2306316994330278,0.0261605917926616,0.831025808874414,0.7004502177209373,0.5974395414637472
Gls,0.2318570318570318,0.772139521993872,1.0,-0.5240267190089865,-0.2954579637790718,-0.072652556828371,0.865692767216787,0.7063835553176578,0.7875724095236291
Stk17b,0.1884202386400567,0.6827510662271137,1.0,-1.3345860414681991,-0.2285690314863957,29.17989389646321,0.6854754550724775,0.5725943082492714,0.7525667264229358
Sf3b1,0.0003108003108003,0.0006216006216006,0.0205128205128205,0.2158949070770303,0.3159551308136993,0.4125551005882762,1.25977120936673,1.56560196631592,0.01627612153927887
Hspe1,0.0003108003108003,0.0139860139860139,0.054079254079254,0.2875697730029701,0.4401452524475038,0.6003148903288862,0.902930953184364,1.2194511386614502,0.08043979142244989
Bzw1,0.0003108003108003,0.0037296037296037,0.0289733790565552,-0.7498356619670832,-0.5718688224419115,-0.3885061590819512,1.0106315180345948,0.6797967932745922,0.03865578865578835
Clk1,0.0725931484850583,0.5240789974851849,1.0,-0.1308232906387693,0.0688904484444858,0.3596777328998578,0.6989612374112766,0.729739565198644,0.7024250818717223
Ndufb3,0.0409970611329001,0.3235367862420667,1.0,-0.2350131465464991,0.1181030369213184,29.35255640495532,0.5957854852117245,0.639922628746318,0.5360931203627833
Cflar,0.1892773892773893,0.6943278943278944,1.0,-0.2051243836389287,-0.0216036357045792,0.1698329925796529,0.9774818968845044,0.9609233951268108,0.7525667264229358
Sumo1,0.151981351981352,0.6943278943278944,1.0,-0.1869481817682295,0.0392485965923714,0.3551781777808553,0.720312299993611,0.7385944173931135,0.7525667264229358
Eef1b2,0.0012432012432012,0.0093240093240093,0.04009324009324,0.1262611857033014,0.1655714303384927,0.2080725431844023,2.11584664540864,2.377337030853252,0.063543762173899
Rpl37a,0.2307925407925408,0.5358197358197359,0.9550893550893552,-0.0013974425588016,0.0417095613086756,0.0763498426070456,3.356986322081875,3.4602094500976373,0.7024250818717223
Arpc2,0.0205128205128205,0.1892773892773893,0.8665112665112666,-0.1114557483997799,-0.0529928206189924,0.0062652277450483,2.13607809489659,2.067619094817448,0.3956533662416016
Tmbim1,0.0938616938616938,0.5240789974851849,1.0,-0.6642473427180183,-0.265856470683691,29.09046073531448,0.690114173149696,0.5755321821915821,0.7024250818717223
Slc11a1,0.0559609954834341,0.3541094107998596,1.0,-0.5469230307058689,-0.3494699774873787,-0.0987720390368143,0.982917372375588,0.76751058889697,0.5628416353767737
Itm2c,0.0012432012432012,0.0205128205128205,0.151981351981352,0.2506781419099024,0.418020338763204,0.5694099147783652,0.930057656646055,1.24312717192656,0.09961873795237298
Ncl,0.0037296037296037,0.04009324009324,0.2318570318570318,-0.2135287386066217,-0.1466979144300918,-0.0579518563719209,1.721976911122145,1.5498519493741625,0.15644225055989727
Ptma,0.0093240093240093,0.151981351981352,0.778865578865579,-0.0876535312552048,-0.0415826315828139,-0.0045004938792656,2.94523167264238,2.86266425697967,0.33830300944394903
Inpp5d,0.0307467786153291,0.1476485888064738,0.6012221988088494,-0.0398702903605179,0.1952153555634358,29.513844168993824,0.6446352957803525,0.7361860586403262,0.33830300944394903
Arl4c,0.0003108003108003,0.0006216006216006,0.0059052059052059,-0.3720998557423107,-0.2843287957955491,-0.1962826894351182,2.143066963178875,1.760612461947685,0.01627612153927887
Lrrfip1,0.280963480963481,0.778865578865579,1.0,-0.1823773579907434,0.0527459790765229,0.2378386748639592,0.871636647661803,0.916680347348822,0.7875724095236291
Cops9,0.042658103683907,0.1699316367319585,0.6431322050036423,-0.0120267646179469,0.2852806416933837,29.46504878685531,0.657730165735909,0.8195758783786055,0.3757377301073304
Dbi,0.0059052059052059,0.0721056721056721,0.4634032634032634,-0.4126208963873565,-0.255187527017099,-0.0969845058327794,1.15930125268211,0.9754007477780204,0.22776236109569445
Actr3,0.2318570318570318,0.6943278943278944,1.0,-0.062475697830824,0.0067444444744176,0.0925668422579599,1.61732432517537,1.6299143131458025,0.7525667264229358
Ubxn4,0.04009324009324,0.280963480963481,0.9550893550893552,-0.3101601781700972,-0.1470204663570969,0.0436563882747035,0.8546998407783666,0.7692750978930583,0.4878859747969696
Cxcr4,0.0721056721056721,0.280963480963481,0.778865578865579,-0.4332976962096907,-0.1800678713328635,-0.0127212646647365,1.2175322159706,1.090261703262319,0.4878859747969696
Mapkapk2,0.0021756021756021,0.0289044289044289,0.2318570318570318,0.1912419391767567,0.3329012340680294,0.4817636391243621,0.908650452894172,1.141680673560835,0.1250430728691598
Rab7b,0.146972137101075,0.4634032634032634,0.9550893550893552,-0.2575126839447069,-0.0960414974527413,0.0733354129865155,1.593493588551385,1.4794418214924776,0.6512517614212529
Snrpe,0.0938616938616938,0.5358197358197359,1.0,-0.0488181678800023,0.1058828637880448,0.2246940412247891,0.959024412558643,1.0291313254618912,0.7024250818717223
Btg2,0.3837143535858314,0.7755025504297255,1.0,-0.2615204795828538,0.1299835963653153,0.5394572249545563,0.740896492496562,0.8080326191027474,0.7875724095236291
Ptprc,0.0289044289044289,0.2318570318570318,0.778865578865579,-0.1446500314789977,-0.0746498332266268,-0.0044455258201647,2.0164096372382074,1.909268512820325,0.44708865639098183
Rgs1,0.0003108003108003,0.0064882642630802,0.0721056721056721,0.5476828810037481,0.7669986377156877,1.0852130996531462,1.27288339611673,2.183684670903185,0.05613759079795477
Ptgs2,0.3536482839214715,0.772139521993872,1.0,-0.3617910744011838,-0.0101714730020934,0.6235707040204256,1.41458546225642,1.3934773213277825,0.7875724095236291
Tpr,0.0021522921522921,0.0205128205128205,0.1892773892773893,0.2295375730773253,0.3688452126922297,0.5478478204544377,0.818079411896209,1.053691072541771,0.09961873795237298
Rgl1,0.3209116751597887,0.7715426535572856,1.0,-0.5976052612322009,-0.2528783194082591,0.3177480655148456,0.767234548898252,0.6345275773561078,0.7875724095236291
