gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_IL10_KOnonTLS_median,median_IL10_KOTLS_median,FDR_BH
Rpl7,0.078252228526237,0.2602362026171888,0.7508318840891169,-0.0015182555810172,0.0171951142045527,0.0364890624804701,2.566062799686165,2.5965668909264075,0.5636054774913702
Eloc,0.163433805324401,0.6488668531146259,1.0,-0.5255104563511847,1.0668511022129854,29.058799350153315,0.2462137035977837,0.5195586779985326,0.8418154117459485
Ptpn18,0.026229387834857,0.0885337720142295,0.2365840933218761,-0.1923650417302954,-0.125394275407656,-0.062326998897249,1.2625405682586048,1.1594481981101952,0.35901970996115135
Neurl3,0.1070588241295602,0.3615213310630785,0.7965236087650202,-0.4156677467884205,28.068811265131178,29.079054885856824,0.0,0.2936638956708531,0.6538424827072925
Cox5b,0.0998774027692641,0.3708443333042212,0.9309874465595672,-0.0819101015755731,-0.0152706703027213,0.0465946669935549,1.2266806741363263,1.2142275611703977,0.6538424827072925
Eif5b,0.0530979572855834,0.2602362026171888,0.7074539677020747,0.0165444456440397,0.0839078213851851,0.160304532442911,0.9103546018838564,0.9645697468521012,0.5636054774913702
Rpl31,0.2602362026171888,0.623604884395689,0.9769702553219756,-0.0287934726420478,0.0008115381879686,0.0282422276992546,1.889210090695636,1.8894625821486264,0.8230744602124918
Rnf149,0.4175244108041326,0.8173223156733437,1.0,-0.116740854852765,0.0070054922758485,0.1259052787325893,0.7494287174008383,0.753862164891207,0.8543904218919066
Map4k4,0.2854763088518824,0.5833604667027033,0.9769702553219756,-0.1613764734610656,-0.0650715198659194,0.0327455407722729,1.0850042703033962,1.0369346793058918,0.8080470068814829
Il1r2,0.4322062983352083,0.7941351991290153,1.0,-0.1579387604069604,0.0548657138425783,0.2684057800467202,0.8463058268472284,0.8778636724586995,0.848397744310294
Stat1,0.4952503605543905,0.8317243315691052,1.0,-1.4457733105059356,-0.2753289076619417,0.0900008120908658,0.7094118761120624,0.587352249770541,0.8543904218919066
Gls,0.2848453061960151,0.7074539677020747,1.0,-0.1422069859027874,-0.0646779577581418,0.0050082253900508,0.8722516948878983,0.8341929035989527,0.848397744310294
Sf3b1,0.0013477473616173,0.0072599549881905,0.0350891160940478,0.0755168657288376,0.1251651258140105,0.1671714359981914,1.2792815927473111,1.3956099991069,0.11597720009252092
Hspd1,0.0254083791365315,0.1391855515972279,0.4696553434230565,1.9124857605855048,28.91536545499263,29.17826803548845,0.0,0.5078683507381228,0.4373702842052263
Hspe1,0.0019961432996286,0.0101931049911082,0.0404041195882236,0.1127479181365382,0.1684759337736832,0.2373253143267671,1.0172510590982338,1.141572100391321,0.13468642100610387
Bzw1,0.078252228526237,0.2602362026171888,0.6650055421020291,-0.1336640714017298,-0.0683282214790171,-0.0016171899963174,0.9509967772579652,0.9068404186951944,0.5636054774913702
Clk1,0.1259397851414355,0.5440197437542305,1.0,-0.0815185315796005,0.0573724313269944,0.2110922671426524,0.6463323343999051,0.672056827341592,0.7816596966146192
