gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk3_median,median_Salmonella_infNonTLSwk6_median,FDR_BH
Tcea1,0.0308091044172122,0.3169975086812533,1.0,-29.12595528709566,-0.8419306929054063,1.6821177680691604,0.426064618820613,0.2380448346652849,0.7721257302743612
Tram1,0.0149230023889751,0.1119097370670114,0.5576726074341468,0.4345379077445258,2.304657580399909,29.15761060329964,0.1161482004570815,0.57109938330436,0.7721257302743612
Rpl7,0.1048951048951048,0.5053613053613053,0.959129759129759,-0.0092008215353278,0.0358931252799349,0.0853973001916398,2.5297829891313475,2.5933327253591187,0.7721257302743612
Eloc,0.1605283605283605,0.6741981971505068,1.0,-0.1912265049861072,0.057198885701394,0.2485609759866051,0.6032808830809585,0.6317193079415915,0.7721257302743612
Lmbrd1,0.0176767254458421,0.2042192702898491,0.957492737513927,-0.0719357907350853,1.9312450961607224,29.181862297977244,0.1426278539162087,0.5651797385781905,0.7721257302743612
Phf3,0.1311305028696508,0.6314395816467896,1.0,-1.6373678075641305,1.418302738023464,28.90106561482277,0.1351296870554182,0.3629162811235137,0.7721257302743612
Dst,0.0518570202911714,0.3706183398171955,0.958117093999278,-0.0299748516217181,0.4661977445265434,1.5276378793721563,0.610291995198232,0.8448056382262024,0.7721257302743612
Ptpn18,0.0281274281274281,0.1303807303807303,0.7209013209013208,-0.2868810124298228,-0.1772587479787,-0.056677324098342,1.6921916181340175,1.4998583574583224,0.7721257302743612
Neurl3,0.1048951048951048,0.5053613053613053,0.960151515151514,-0.4147303987921854,-0.1215028091293962,0.1494103052023614,0.7795607349545594,0.7240897171764413,0.7721257302743612
Cox5b,0.1303807303807303,0.4418026418026417,0.959129759129759,-0.0121435977454801,0.0995835142039877,0.2117854408320112,1.296903074836595,1.3894732121343076,0.7721257302743612
Eif5b,0.0498834498834498,0.5737373737373737,1.0,-0.2570592557336454,-0.0800553818783045,0.1695500014292411,1.084291855853945,1.0226987768380176,0.7721257302743612
Rpl31,0.2786324786324786,0.7984459984459983,1.0,-0.0679461241230016,0.0122145044435966,0.0897673112629534,1.981846469943585,2.0031515793449977,0.8028438038229958
Rnf149,0.0498834498834498,0.3169975086812533,0.8784770784770783,-0.0113234638415927,0.2206360641867247,0.4410330194388374,0.7858106195200361,0.9162374492084888,0.7721257302743612
Map4k4,0.0281274281274281,0.3282051282051281,0.959129759129759,-0.088353537486755,0.2299792974937267,0.5463227329652877,0.7740638418369539,0.9096752839310376,0.7721257302743612
Tpp2,0.1480106940237816,0.5465237317126098,1.0,-28.946440861914333,-0.5485628423316542,28.15478767966253,0.253080008858846,0.1778037991400194,0.7721257302743612
Stat1,0.0206682206682206,0.1605283605283605,0.5053613053613053,-0.6243204914009862,-0.3882852105144443,-0.1558828963615777,1.4356712988923177,1.1024392090236226,0.7721257302743612
Gls,0.0829836829836829,0.4418026418026417,0.960151515151514,-0.1024988234241476,0.1385632742986268,0.3655477521897196,0.723920965365509,0.7957550697160003,0.7721257302743612
Nab1,0.1447541897224064,0.679098518159855,1.0,-28.355173271683658,0.0,28.38413575441548,0.0906603215289297,0.1162581848652662,0.7721257302743612
Stk17b,0.1947234362000748,0.7123816042098661,1.0,-0.3245587334339099,-0.0830146932543782,0.1551702487403289,0.658685495170927,0.6270177362539701,0.7721257302743612
Sf3b1,0.0379176379176379,0.5737373737373737,1.0,-0.189030160209822,-0.0369953758951159,0.0926754164594622,1.3447795838261851,1.313967271487619,0.7721257302743612
Coq10b,0.2687359373937462,0.7129894874507409,1.0,-0.4689168460877548,0.0147197411228046,0.8385509624983786,0.5440379957949679,0.5465186381294347,0.7721257302743612
Hspd1,0.0485284880562916,0.4295368450634365,1.0,-0.099324803425701,0.2449397134406317,2.2544251833434497,0.4879873645583197,0.575216589794324,0.7721257302743612
Hspe1,0.2786324786324786,0.7209013209013208,1.0,-0.130852274842298,0.0519361992059831,0.2181140234316914,1.0451370069040111,1.0850294494857329,0.7721257302743612
Bzw1,0.1303807303807303,0.7209013209013208,1.0,-0.1523581789495139,0.0286257531787463,0.1935897646182375,0.8181528710903012,0.8343893399630415,0.7721257302743612
Clk1,0.1048951048951048,0.461920478323797,0.959129759129759,-0.4492077274311982,-0.1605226407396566,0.0834036832599455,0.7488384008703525,0.6726828441444341,0.7721257302743612
Ndufb3,0.0828964098822239,0.5283087192353848,1.0,-0.0935828929679358,0.1663371105580349,0.6416752978629258,0.6252106316692512,0.6943641664551622,0.7721257302743612
Cflar,0.2786324786324786,0.7209013209013208,1.0,-0.1366128189738059,0.0403946737347503,0.2764640602918883,0.8503007888466518,0.8665490152722293,0.7721257302743612
Sumo1,0.1048951048951048,0.6453768453768453,1.0,-0.2415630390972833,-0.0092458078072097,0.298809259502215,0.6903030367530683,0.6845566102791676,0.7721257302743612
Fam117b,0.0591504362583107,0.397321419035571,0.957810850422856,-0.0157395256671467,0.6155698499660582,2.1047239036181344,0.368189128356681,0.5618663174751088,0.7721257302743612
Nrp2,0.0822168388123539,0.6339972307873878,1.0,-0.2887381703439183,0.1640450885354139,1.7117154382613289,0.5353574880576982,0.597379305032672,0.7721257302743612
