gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk6_median,median_IL10_KOnonTLS_median,FDR_BH
Tcea1,0.0007335473709934,0.009501095540355,0.088567502575371,-28.88582826330257,-27.829504312888844,0.0,0.238514925409308,0.0,0.01993396992760822
Atp6v1h,0.0027786850681888,0.009501095540355,0.060676213535144,-28.788838119738237,-27.776881603564213,0.0,0.2299718460205934,0.0,0.01993396992760822
Tram1,0.0001720247930818,0.0008503839505192,0.0065537839558987,-29.17840999277571,-29.08874678736893,-28.975084247369168,0.5709332287788838,0.0,0.004916618599995501
Rpl7,0.1152655394141462,0.4726680955783123,1.0,-0.0431176718925283,-0.016278823370148,0.0188212505121394,2.595828548914759,2.566151302211225,0.5528582654427506
Eloc,0.0246637587729408,0.10896999584124,0.3481170935585413,-29.32563767789876,-1.396940545375281,-0.1629788040470031,0.6313293296144978,0.2419366709738442,0.16133564214096066
Lmbrd1,0.0006206439352771,0.0023050978559082,0.0174080378282394,-29.233926307869137,-29.07468713474311,-28.83254440439485,0.5653962729617875,0.0,0.009280909725010856
Phf3,0.0003316841937808,0.0075721656792071,0.0759886785541828,-28.943290208850733,-28.452303074344947,-26.57217975593698,0.3672794897110584,0.0,0.019696201575475955
Dst,3.529139494825728e-05,0.0001720247930818,0.0001720247930818,-29.76673765350387,-29.64929878879653,-29.488395758987423,0.8420313968646114,0.0,0.002385890623763593
Ptpn18,6.35071842502183e-05,0.0010637453361911,0.015860919266492,-0.3402008413328657,-0.2494667735716383,-0.1722245248980183,1.5015490841131052,1.2639175323272238,0.0057498897314234906
Neurl3,0.0006051899264875,0.00315340827298,0.0256231161316959,-29.564356335784773,-29.40324223826159,-1.4000504036955828,0.7198408263262402,0.0,0.009899101228066082
Cox5b,0.004096213384139,0.0314201794077955,0.1813447646264983,-0.2485310529914114,-0.1835673726344426,-0.1141543298240079,1.39204648673819,1.2255618219932312,0.05509085199428251
Mgat4a,3.529139494825728e-05,0.0007335473709934,0.009501095540355,-29.152760126506717,-28.93853829670149,-27.04644791371005,0.5144794794237002,0.0,0.004351269632483577
Mrpl30,0.0007335473709934,0.009501095540355,0.088567502575371,-28.55796867189252,-26.37177860260144,0.0,0.086835316867127,0.0,0.01993396992760822
Eif5b,0.0001905215527506,0.0123997777248551,0.1574747955862501,-0.2702047113983994,-0.1673577259297616,-0.057938943418358,1.021084356054475,0.9100173597868676,0.024922325526193913
Rpl31,0.0010637453361911,0.038707628800508,0.2090299277605772,-0.1283200032660795,-0.0839419731257293,-0.038021445516632,2.003370510445139,1.8882098085765129,0.06603066089498424
Rnf149,6.35071842502183e-05,0.0029639058244674,0.0573787409700722,-0.4147282063408606,-0.2905920217053185,-0.164770280462579,0.9144006866546333,0.7491509225399452,0.009467531952051885
Map4k4,0.0054933714376438,0.0824958323410335,0.3837421608319441,0.1092981025359307,0.250675526463111,0.3903161401944398,0.9107660103678126,1.0846792555760252,0.12539091987276887
Il1r2,0.1736964858864386,0.5622453293122838,1.0,-0.0661452202510358,0.3142076511571685,1.087434260278392,0.6807374346133406,0.8454177413491695,0.642013885408464
Tpp2,0.0007335473709934,0.009501095540355,0.0298677932975399,-28.755819065795983,-27.318454714070302,0.0,0.1673687226115482,0.0,0.01993396992760822
Stat1,0.0092079327359871,0.0331970060098276,0.1295450020706858,-0.8707049299682273,-0.6350657751443365,-0.4073607328358732,1.0965070464968223,0.710502603927761,0.05781785508098667
Gls,0.2702706993728666,0.7344923394458999,1.0,-0.0224455956116951,0.1388505323449366,0.2953078102002331,0.7937862259258893,0.8722660000256154,0.7577173936576279
Nab1,0.0075721656792071,0.0759886785541828,0.5098433838583576,-28.64474737930047,-26.837175449770204,0.0,0.1198932700654715,0.0,0.11805383989667685
Stk17b,0.0016408810607041,0.0169230724566994,0.144747399408133,-29.402689809617964,-29.223456327004847,-2.3788661351999743,0.62847382757605,0.0,0.03278733126022249
Sf3b1,0.0824958323410335,0.4726680955783123,1.0,-0.1013993981358099,-0.0393903349604266,0.0307437679063211,1.314834922367125,1.2795836832890752,0.5528582654427506
Coq10b,0.0001712003574158,0.0035729616071004,0.0516126376600038,-29.17122072432013,-29.01706792070992,-28.556522515740564,0.5432601254132887,0.0,0.011082853745623822
Hspd1,0.0027171818924305,0.0320895709002733,0.2408516040602033,-29.21158176261414,-29.10123660268893,-28.880835562333,0.5762926359881362,0.0,0.05610301055961657
Hspe1,0.0573787409700722,0.343145193299992,0.910105580693816,-0.1792529402953427,-0.0963115759044817,0.0034955927510499,1.0873990200893906,1.0171802033009576,0.427061490571584
Bzw1,0.0201317774073192,0.1349368897356513,0.4268635389378423,0.0857260243124768,0.1864267003914889,0.2893421312881513,0.8372641866123818,0.9509290948756184,0.19411787208427947
Clk1,0.1813447646264983,0.5713582599031516,1.0,-0.2368736967771171,-0.0616465170007145,0.1111645400188627,0.6747172222598026,0.6463817509560696,0.6427780423910455
Ndufb3,0.0027978174746771,0.0170924461025135,0.0946475624588327,-29.461096865495627,-1.6203204960528257,-0.4231344018790109,0.6909381314318322,0.228737573464762,0.03304539579819276
Cflar,0.1568627450980392,0.4268635389378423,0.7920774787647853,0.0822506104498673,0.2069849986629775,0.3205510218676268,0.866697542339488,1.003340990644343,0.5070739178409869
Sumo1,0.1768036740169494,0.6712057066317096,1.0,-0.1351742604905862,0.0331184299730378,0.1981013151710682,0.6861464478570055,0.7041096695438208,0.7252744983306371
Fam117b,0.0434205798404524,0.224994298489295,0.7802566569665166,-29.208699500934912,-2.378751293403448,-0.0321661933974395,0.5640687181538463,0.10838537715752,0.3020312882732858
Nrp2,0.082022527544501,0.3388103085407754,0.905874626961447,-29.34354730071524,-2.281259446359065,-0.1093771776238394,0.5931795902788392,0.1196651418415887,0.427061490571584
Eef1b2,0.0573787409700722,0.1568627450980392,0.3063340477891553,-0.1124332415614402,-0.0823986754372394,-0.0549772327303687,2.2582387016514827,2.1339232029136603,0.22001900513084985
Klf7,0.0007335473709934,0.0032593368359413,0.060676213535144,-28.996359259480688,-28.474065850559715,0.0,0.372861822797732,0.0,0.01017915965686283
Rpl37a,0.038707628800508,0.3053901722632373,0.8506311026434865,-0.0322637478713035,-0.0146977075045437,0.0016529187640292,3.371153415146975,3.337410483495539,0.3890849684274299
Arpc2,0.2082876875446535,0.6238787012780821,1.0,-0.0498899245496733,-0.0183334949850358,0.0175700570302593,2.1325028148680127,2.1054846924576704,0.6858161174699494
Aamp,0.0007335473709934,0.009501095540355,0.0298677932975399,-28.87107657956959,-27.71075339709235,0.0,0.2196685953562664,0.0,0.01993396992760822
Tmbim1,0.2153107493499366,0.7868234305012446,1.0,-0.0278289167255512,0.1499332206491756,0.3637828092044115,0.645461861911075,0.7154045868041601,0.7999588467126936
Slc11a1,0.0277670579016166,0.1813447646264983,0.5118010169025737,-0.2240278440458489,-0.1226120207832422,-0.0156524787854736,1.0468569269303627,0.9621552357027692,0.2489232794685292
Cul3,0.0027786850681888,0.009501095540355,0.088567502575371,-28.351597230449336,-26.26308402814542,0.0,0.0805334057444212,0.0,0.01993396992760822
Dock10,0.0003359251183343,0.0027978174746771,0.0320726224833987,-29.39745238749285,-29.25999618347151,-29.12569322734778,0.6428897849998829,0.0,0.009327760084370551
Trip12,0.0006255118296727,0.0020527232777102,0.0127351376460744,-29.35377327068048,-29.239626310775364,-29.124764050813027,0.6338763973195788,0.0,0.009280909725010856
Sp140,0.0007335473709934,0.0027786850681888,0.0298677932975399,-28.944382141275558,-28.404172073052276,0.0,0.3552285306354187,0.0,0.009280909725010856
Itm2c,1.5876796062554575e-05,0.0001905215527506,0.0015241724220052,-0.477814192584762,-0.389238412603156,-0.3013773946591468,1.2570775029753751,0.9614722510581816,0.00240057156465756
Ncl,0.1344451059776137,0.5208065412399778,0.9699293482575216,-0.0104841050327595,0.0345250620973673,0.084639013620292,1.5252959201297165,1.5617672587207263,0.5988128073287851
Ptma,0.0073033261887751,0.0824958323410335,0.5208065412399778,-0.0017489796618538,0.0245050507657258,0.05181916915237,2.8549491603281787,2.902774529478271,0.12539091987276887
Eif4e2,0.0004570259517539,0.0023050978559082,0.0407414450451619,-29.103181474401424,-28.9447554880957,-28.22035386689779,0.516701376216244,0.0,0.009280909725010856
Inpp5d,0.0046993949313229,0.0335975653949324,0.1737374509882648,-1.5610225184593431,-0.4279228338617176,-0.1742066087408379,0.7443137747273054,0.5570652952175865,0.05845976378718239
Arl4c,6.35071842502183e-05,0.0007144558228149,0.004096213384139,0.2539096961494774,0.2977813431451346,0.3416077546843414,1.7513526671956776,2.153258192544257,0.004351269632483577
Lrrfip1,0.1152655394141462,0.5208065412399778,1.0,-0.179358828411525,-0.0749423679033538,0.0257168257718471,0.901862204968387,0.8568610625406353,0.5988128073287851
Ube2f,0.0006238547844523,0.0127264932339823,0.1403889715411655,-29.043953935352164,-28.914335315802177,-27.868413927774363,0.5059204494766495,0.0,0.025550882569764465
Ndufa10,0.0001720247930818,0.0027786850681888,0.0298677932975399,-28.925984117105987,-28.13289187014906,0.0,0.2943366435297199,0.0,0.009280909725010856
Cops9,0.0029843143638779,0.0323085927088115,0.2023498679699781,-0.3470208192143411,-0.2380744814672159,-0.1089878354509838,0.856244713183661,0.7244476485174987,0.056431930094644936
Gpr35,0.007578779259748,0.0554174053687391,0.3122865812940756,-29.457744403584424,-29.20321146821816,-0.467452555675272,0.6399252970741796,0.0,0.090723655563339
Hdlbp,0.0184328959552221,0.1492176721126898,0.6113519816838257,-1.818373640219608,-0.2711178653664738,-0.020672886742607,0.6512268223246549,0.5415332246569847,0.21382014662736018
Fam174a,3.529139494825728e-05,0.0007335473709934,0.0035319278065916,-29.4246143924219,-29.285038726089297,-29.11881436866049,0.6541465890716713,0.0,0.004351269632483577
St8sia4,0.0027786850681888,0.060676213535144,0.4198490637342591,-28.544564022758884,-26.76001546360804,0.0,0.1136494491714522,0.0,0.09673249749450967
Vps4b,0.1528728780095813,0.4629209642261225,0.9692169978474025,-0.192062803826082,0.0041744651239101,0.2313257846237062,0.6902622015488883,0.69202972601095,0.547769819715755
Ralb,0.0027786850681888,0.009501095540355,0.0303214477874576,-28.64387506068461,-27.027298307193004,0.0,0.1367815399925665,0.0,0.01993396992760822
Dbi,0.0054933714376438,0.0978804477256489,0.6238787012780821,-0.1681646253922967,-0.1082126838106898,-0.0155501418695438,1.190086472977805,1.1038090448376423,0.14538827479248825
Actr3,0.0015241724220052,0.0314201794077955,0.343145193299992,-0.1426716681830452,-0.0892417796534212,-0.0298526462779634,1.7157913412382138,1.6131862488083275,0.05509085199428251
Ubxn4,0.0252441057394617,0.1813447646264983,0.5713582599031516,0.0493874306237267,0.2069940284823106,0.368124748020054,0.722807035784139,0.8378030142721815,0.2489232794685292
Cxcr4,0.0007144558228149,0.004096213384139,0.0314201794077955,0.1730339824380418,0.3105780305350396,0.4882051326520453,1.059336847328703,1.3109755367489475,0.012129306082369453
Mapkapk2,6.35071842502183e-05,0.004096213384139,0.038707628800508,-0.2919142488903132,-0.217401646287848,-0.1264996664967894,1.0109866874894724,0.8682151605419592,0.012129306082369453
Rab7b,0.0003016591251885,0.004096213384139,0.0473446058585377,-0.3695317221574336,-0.2798572739686464,-0.1933316149078375,1.6846699997793375,1.38671087583992,0.012129306082369453
Nucks1,3.529139494825728e-05,0.0001720247930818,0.0027786850681888,-29.169935934519625,-29.01902531337625,-28.83301596398758,0.5439976999534882,0.0,0.002385890623763593
Snrpe,0.1568627450980392,0.5713582599031516,1.0,-0.0476395484255289,0.0342955247748334,0.1190053807259827,1.0118047656895803,1.0360107800452465,0.6427780423910455
