gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk6_median,median_Salmonella_infTLSwk6_median,FDR_BH
Atp6v1h,0.0485974356945255,0.4041303296058642,1.0,-1.435732980506446,0.7311913065335361,28.97164710675213,0.2342566767144027,0.4457595712912521,0.7801472889302248
Tram1,0.11250638569044,0.6453768453768453,1.0,-1.2227830248240927,-0.093347149764121,0.1523200995776852,0.5707406458385589,0.5342513859514232,0.7801472889302248
Rpl7,0.326965811965812,0.7984459984459983,1.0,-0.0437045162139977,-0.0105788064605404,0.0264072605668861,2.594408306847495,2.574106805102195,0.8016992708494454
Eloc,0.1033079701313654,0.5053613053613053,1.0,-0.5062044104658036,-0.1057031257088881,0.1326736095730963,0.6304338702298125,0.5860665122234155,0.7801472889302248
Lmbrd1,0.0235438968213817,0.2042192702898491,0.8729594252880423,-29.14194834307088,-1.0423185712894485,0.0198529098148545,0.5660306630694125,0.270336811561549,0.7801472889302248
Phf3,0.0752002988766929,0.3112018520843261,0.8729594252880423,-0.2122936264743287,0.5605204905569858,3.3102782704672937,0.3675831069943819,0.5761224990536415,0.7801472889302248
Dst,0.1605283605283605,0.7209013209013208,1.0,-0.2821201504794612,0.0159224161978825,0.2467590155070448,0.8416264518901293,0.8502296215829015,0.7801472889302248
Ptpn18,0.0103263403263403,0.1605283605283605,0.7984459984459983,-0.1748465932986551,-0.0747034805770896,0.0178826308825558,1.5010169319670126,1.425248778279815,0.7801472889302248
Neurl3,0.1303807303807303,0.7129894874507409,1.0,-0.1893222785637616,0.0784299326322824,0.3088785396513108,0.7178985379108269,0.7608651861644307,0.7801472889302248
Cox5b,0.1048951048951048,0.6453768453768453,1.0,-0.1441081489084567,-0.0152925563470685,0.0945775478332286,1.3910754265822227,1.3771863623327374,0.7801472889302248
Mgat4a,0.0131325729425316,0.065285648928054,0.3706183398171955,0.1306718422658713,0.4940366078193503,2.3762049602252087,0.5078922779211432,0.685617329131645,0.7801472889302248
Mrpl30,0.0050527393002986,0.0720770195258305,0.4883708485316103,0.4037581745459354,2.669780096876167,29.12558758092561,0.0855183463591022,0.5307327195980218,0.7801472889302248
Eif5b,0.1303807303807303,0.6453768453768453,1.0,-0.0908439830321984,0.0510832440490349,0.2013677821554145,1.0237143341802786,1.0549439084433812,0.7801472889302248
Rpl31,0.1048951048951048,0.5053613053613053,1.0,-0.0377912809840496,0.0279280619681323,0.0965903629392641,2.003093072788418,2.046054525494055,0.7801472889302248
Rnf149,0.2344988344988344,0.7209013209013208,1.0,-0.1580451373949872,0.0077259281787631,0.1665238061763656,0.9154482376096482,0.9224513899297352,0.7801472889302248
Map4k4,0.001087801087801,0.0281274281274281,0.2798717948717937,-0.6901774952817694,-0.3751645882747884,-0.1588522336863816,0.9092732944038482,0.7048632412291032,0.7801472889302248
Il1r2,0.2072440909861849,0.7123816042098661,1.0,-0.7356119339775171,-0.0123408839141159,0.7243930278856561,0.6762588692593567,0.6584217694011225,0.7801472889302248
Stat1,0.0281274281274281,0.1303807303807303,0.6453768453768453,0.0155347476011744,0.3012275086513707,0.5674204640977828,1.1076612048094887,1.3595632300439302,0.7801472889302248
Gls,0.0498834498834498,0.3282051282051281,0.8004467754467735,-0.4396846076469818,-0.1821803041531411,0.0378372716707227,0.7981536248743565,0.7040429422203482,0.7801472889302248
Stk17b,0.0822168388123539,0.5737373737373737,1.0,-1.4797439719219458,-0.1397974159790208,0.2326184481199911,0.62681146379958,0.5709436916854848,0.7801472889302248
Sf3b1,0.0001554001554001,0.0006216006216006,0.0281274281274281,0.1750992451779848,0.2539603492129286,0.3329757884365839,1.3140780149425275,1.5680804527059051,0.5361305361305175
Coq10b,0.1385464150989199,0.6741981971505068,1.0,-0.799465856361761,-0.0289218869718567,0.390724489767505,0.5435836087801482,0.532294480799888,0.7801472889302248
Hspd1,0.1550343725091923,0.6453768453768453,1.0,-0.1977389511536867,0.1556474111288536,0.3529708179490845,0.5757703439461397,0.640041416660478,0.7801472889302248
Hspe1,0.0069930069930069,0.1303807303807303,0.6453768453768453,0.0393957221550378,0.1770359073280604,0.3118255568853305,1.0863425029778877,1.2243441872993388,0.7801472889302248
Bzw1,0.0046620046620046,0.0649572649572649,0.3282051282051281,-0.4848115792496825,-0.301680659868398,-0.1069226247093795,0.8360545970732365,0.6796755158054436,0.7801472889302248
Clk1,0.0829836829836829,0.4418026418026417,1.0,-0.1047679044973912,0.116444338167875,0.3251927845815993,0.6718973312216312,0.7302047129063768,0.7801472889302248
Ndufb3,0.1303807303807303,0.6453768453768453,1.0,-0.4669816745471246,-0.1161161932871984,0.0979665817821374,0.6911350661181723,0.6412619330646759,0.7801472889302248
Cflar,0.1048951048951048,0.5053613053613053,0.959129759129759,-0.0573779888017833,0.1484713672099893,0.3218077666908495,0.8653784852957322,0.9617766085220268,0.7801472889302248
Sumo1,0.0379176379176379,0.5053613053613053,1.0,-0.0892551248617603,0.1136259995693855,0.3099166067776879,0.68509731524351,0.7436871169193877,0.7801472889302248
Fam117b,0.2202347585707377,0.6314395816467896,1.0,-2.2381975005662484,-0.5085032534123998,0.0905209658813524,0.5623596311389435,0.3932603260101555,0.7801472889302248
Nrp2,0.0498512995287267,0.4274785219508331,1.0,-1.6506332028522193,-0.193159233336104,0.1708618527685615,0.5961216186867857,0.528476442571534,0.7801472889302248
Eef1b2,0.0104118104118104,0.0829836829836829,0.3282051282051281,0.0275623916927962,0.0731212570843518,0.114560171540685,2.257108554560185,2.3772283318568177,0.7801472889302248
Rpl37a,0.326965811965812,0.7209013209013208,1.0,0.0103053894475703,0.0368634613249882,0.0604507355139357,3.37220498078233,3.4609011718197973,0.7801472889302248
Arpc2,0.0147630147630147,0.2344988344988344,0.959129759129759,-0.0994219425575441,-0.0450594700195463,0.0163509447112856,2.132694286249622,2.0669589273709548,0.7801472889302248
Aamp,0.1775092803161707,0.6854434826775221,1.0,-28.75274085083487,-1.1033412866758507,27.70758403151169,0.2196685953562664,0.0989907303536672,0.7801472889302248
Tmbim1,0.0281274281274281,0.2786324786324786,0.959129759129759,-0.5996691619557083,-0.1637720416591836,0.0814768581435741,0.6470544810890295,0.5791398488683723,0.7801472889302248
Slc11a1,0.0003108003108003,0.0104118104118104,0.1612385877152257,-0.6385068825279767,-0.4508758949273682,-0.2068104901643977,1.04822767225716,0.7626232272437037,0.6907835753989593
Dock10,0.0104118104118104,0.2786324786324786,0.959129759129759,-0.0180001715870097,0.2003035428349877,0.3926111620972237,0.644283844691075,0.73907016213382,0.7801472889302248
Trip12,0.2476478461028965,0.7525377274994569,1.0,-0.4403394333514974,0.0090078373562806,0.261021004459774,0.6319267781765638,0.6387482073616282,0.7993396428180808
