gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk3_median,median_Salmonella_infTLSwk6_median,FDR_BH
Tcea1,0.0014673378644344,0.0288663193874748,0.3514015705829848,-29.29446771943076,-2.9392346320819867,-0.7268342765726235,0.5385425296617343,0.083182955853602,0.794477847467538
Atp6v1h,0.0619790574036473,0.4186613785292437,1.0,-1.3007251892102418,1.3822808264455009,28.99697793300541,0.1802136000798675,0.462839540487055,0.794477847467538
Arfgef1,0.0298123774316675,0.2143384593166685,0.8481082486251795,-28.543227806984195,-26.851566100441485,0.0,0.121095170550644,0.0,0.794477847467538
Tram1,0.082182863095549,0.5606272147226752,1.0,-0.8432039325743124,0.4803467308845417,28.835271864897816,0.3639847524899192,0.5269034913061478,0.794477847467538
Rpl7,0.3822843822843822,0.7984459984459983,1.0,-0.0588658028761183,-0.005878066470824,0.0379538492454922,2.58162258689528,2.574881036882513,0.8040873973987491
Eloc,0.0404213463806162,0.4295368450634365,1.0,-0.6385000373772419,-0.1813396557679089,0.2596099699148295,0.667431989215555,0.5852764338031703,0.794477847467538
Smap1,0.0402162497314596,0.312686223816409,1.0,-28.876291921467278,-27.60017304360173,0.6459819692496911,0.2321975531036855,0.0,0.794477847467538
Lmbrd1,0.0310325195001449,0.3514015705829848,0.95799832386793,-29.09283877809756,-0.6773026133672035,0.8318546818395467,0.4940331699186395,0.278120187058895,0.794477847467538
Phf3,0.1826944712149479,0.7840226582999281,1.0,-0.3318149813302731,0.4752916600491974,2.7836038856777723,0.4053273750894267,0.57388900827792,0.8040873973987491
Dst,0.0069930069930069,0.1033079701313654,0.5743749772898306,0.1594170839246138,0.6065906491386337,0.9892538775158988,0.540653486486842,0.8476468443864857,0.794477847467538
Ptpn18,0.1948717948717948,0.7209013209013208,1.0,-0.133870892422489,0.0066311279321383,0.1612888206777517,1.4213864569770749,1.4247073703769138,0.794477847467538
Plekhb2,0.1480106940237816,0.6854434826775221,1.0,-28.19788990366226,0.0,27.87588503291852,0.0873070670954787,0.0792258561832072,0.794477847467538
Neurl3,0.0658827641887259,0.4935627897033893,1.0,-0.1409895875468026,0.2625026754494637,0.9767214238991104,0.6352035283910975,0.7581499428115263,0.794477847467538
Cox5b,0.2344988344988344,0.7209013209013208,1.0,-0.1746658663216516,-0.020589748634735,0.1327046716729775,1.4017418107861823,1.3829391999475524,0.794477847467538
Mgat4a,0.1221757823939265,0.5283087192353848,1.0,-0.1596228102342534,0.3267389280986852,1.821623777471279,0.5536964014175793,0.687082285834753,0.794477847467538
Mrpl30,0.1057722078507525,0.5531274454486008,1.0,-0.3538097508941064,0.8320175386202788,29.06222457189515,0.2922001508497087,0.5307642027324759,0.794477847467538
Eif5b,0.1149164463964125,0.3442073387850138,0.91629779799785,-0.4089602204446126,-0.2259199835813334,-0.0184508704534776,1.2335237427531025,1.05287386446826,0.794477847467538
Rpl31,0.0281274281274281,0.1605283605283605,0.7209013209013208,-0.1519796166331077,-0.0772526162340162,0.0093368176634846,2.1602735478780923,2.04317707628566,0.794477847467538
Rnf149,0.001087801087801,0.0180440947460136,0.1605283605283605,0.1474310544952348,0.3834570647087694,0.6752900700097044,0.7054494916713813,0.9257979207421948,0.794477847467538
Map4k4,0.1303807303807303,0.6453768453768453,1.0,-0.3993321012694735,0.0550427809965252,0.5416508841253478,0.669428442861995,0.6970136833529383,0.794477847467538
Il1r2,0.0353771825066999,0.3409871533819059,1.0,-0.3706909690953142,1.183250789922934,29.517068709881723,0.315587215324383,0.661539005732106,0.794477847467538
Tpp2,0.1832329769288219,0.5068648382325069,1.0,-28.632291956699483,-27.240919726767235,0.9664462006071476,0.1787713934868845,0.0,0.794477847467538
Stat1,0.1605283605283605,0.5053613053613053,0.960151515151514,-0.4793329463855761,-0.2078262088093843,0.1132071477252558,1.5524586344475335,1.34185507040169,0.794477847467538
Gls,0.0281274281274281,0.2344988344988344,0.8784770784770783,-0.6104781641335093,-0.3045768877403049,-0.0279556992512606,0.8661391457113354,0.7040287214126577,0.794477847467538
Nab1,0.1182122887796561,0.6854434826775221,1.0,-28.269866624365765,0.0,26.91372727997717,0.0873070670954787,0.0,0.794477847467538
Stk17b,0.2630105719268568,0.7898534698691263,1.0,-0.964688400365279,0.1577657937160044,1.2159537360816357,0.4996807433204144,0.5668260502398598,0.8040873973987491
Ankrd44,0.1832329769288219,0.6945980769823016,1.0,-28.2849428164986,-0.2585448703782457,27.75717573613083,0.0963103249799625,0.0,0.794477847467538
Sf3b1,0.0046620046620046,0.0829836829836829,0.5053613053613053,0.1034274852413615,0.2527125193200984,0.4064264366726997,1.3155549425545523,1.5663603038559923,0.794477847467538
Coq10b,0.0122413863708278,0.1782588513308433,0.8293276535635627,0.0109857046213748,1.258680865784137,29.11147993554222,0.2174054955306065,0.5364507984830773,0.794477847467538
Hspd1,0.3684845482829788,0.7123816042098661,1.0,-0.3048528613346389,0.0677461318670702,0.9195366629967144,0.6155732209995737,0.6387423192717376,0.794477847467538
Hspe1,0.0069930069930069,0.1149164463964125,0.6453768453768453,0.0211553449495195,0.2858463873516916,0.5969866144797992,1.020743801421838,1.2175684780981475,0.794477847467538
Bzw1,0.1303807303807303,0.6741981971505068,1.0,-0.4462310563588677,-0.0441869100164628,0.3211923838408134,0.702572483144245,0.6810719784431616,0.794477847467538
Clk1,0.1297435897435897,0.6453768453768453,1.0,-0.3102288969718343,0.0182747989886098,0.4541276253448633,0.7234401921548108,0.7279568279554653,0.794477847467538
Ndufb3,0.2071684704687765,0.7123816042098661,1.0,-0.3969697424809638,-0.0106486377583944,0.754586155986418,0.6518844526402202,0.6423757799610502,0.794477847467538
Cflar,0.1948717948717948,0.7209013209013208,1.0,-0.2459783150740152,0.0390221217948702,0.344755639250673,0.9400680517845862,0.9639364091537526,0.794477847467538
Sumo1,0.0379176379176379,0.3822843822843822,0.959129759129759,0.0167266670993978,0.2321820305693445,0.4736620297471405,0.629986933362918,0.7419837613066069,0.794477847467538
Fam117b,0.2355589199240795,0.7840226582999281,1.0,-1.7102634338496003,0.018165245051212,1.6284959211438126,0.3895999582671445,0.3989207596433257,0.8040873973987491
Nrp2,0.0399796029462569,0.3648813140419181,0.91629779799785,-1.8233717187947835,-0.377174159651788,0.1608129155147045,0.649734491839542,0.5267901932494093,0.794477847467538
Eef1b2,0.1948717948717948,0.7209013209013208,1.0,-0.0516316619260475,0.0203576738129788,0.0971791203880401,2.3447071529095176,2.376617219948713,0.794477847467538
Rpl37a,0.3822843822843822,0.7984459984459983,1.0,-0.0243774646666362,0.0168869210465871,0.0498403237107167,3.421242258375945,3.4609011718197973,0.8040873973987491
Arpc2,0.0498834498834498,0.5053613053613053,1.0,-0.0521531717885262,0.0246451703188782,0.1000128024126264,2.03559905585527,2.067746580607312,0.794477847467538
Aamp,0.0522595003179697,0.2240117207489593,0.6947629066242401,-29.029036577974797,-2.368974550716364,-0.4867335585869353,0.5057184371988614,0.0956797034091505,0.794477847467538
Tmbim1,0.0177903286236667,0.1889374480029941,0.9173276714857508,-0.0065604976937016,0.4630951273385301,1.452119771871778,0.4107224597191272,0.579638593391786,0.794477847467538
Slc11a1,0.0069930069930069,0.1303807303807303,0.5992415158356712,-0.65762598431317,-0.362348855874852,-0.0529103438416254,0.9737251986181265,0.763393899368565,0.794477847467538
Cul3,0.0847449524226575,0.3654215579150202,0.955270926520046,-28.434171489255604,-27.453782932250025,0.1084133739391897,0.1946736964043774,0.0,0.794477847467538
Dock10,0.0009056827549713,0.0129063396350218,0.1550343725091923,0.3714607472828145,0.9584912525988912,29.495329312504577,0.3895999582671445,0.7421727473211254,0.794477847467538
Trip12,0.0164620142375873,0.2202347585707377,0.8739030607634299,-0.0096754910757907,0.7122194641292239,2.4092639861266623,0.3832028106173549,0.644289151982529,0.794477847467538
Sp140,0.0804834339913725,0.4935627897033893,1.0,-1.529285231296471,-0.2290464529965834,0.3059817255263992,0.5369801615480094,0.4787843025203412,0.794477847467538
Itm2c,0.0206682206682206,0.3822843822843822,1.0,-0.0789323187854118,0.1145213268601054,0.3337932484994719,1.1467570758173649,1.240688823034925,0.794477847467538
Psmd1,0.0590476624124287,0.2630105719268568,0.7840226582999281,-28.9665237448227,-1.3779566032027506,0.0025380470534526,0.482955668186827,0.1893940832930224,0.794477847467538
Ncl,0.0498834498834498,0.2786324786324786,0.8784770784770783,0.0556361840970083,0.16868160845417,0.3376855845031747,1.3936126244202076,1.5506004613787177,0.794477847467538
Ptma,0.0069930069930069,0.1948717948717948,0.8804933954933936,-0.096852509181626,-0.0426641272266361,0.0068888854375309,2.943431637778745,2.858667749082869,0.794477847467538
Eif4e2,0.1266856129229834,0.5632366271431426,1.0,-0.6672697066436734,-0.1116107940333593,0.2631231019311226,0.5713586044018104,0.5343024950119947,0.794477847467538
Inpp5d,0.1948717948717948,0.7209013209013208,1.0,-0.2440120436156967,-0.0146305967463851,0.2797800857252638,0.740031629789602,0.731716398923712,0.794477847467538
Arl4c,0.2689136478931439,0.7209013209013208,1.0,-0.0668181471447076,0.055489421886642,0.1714073901024888,1.6899509908003123,1.7603919706828126,0.794477847467538
Lrrfip1,0.0177903286236667,0.2344988344988344,0.8345378388321095,0.0271491536750949,0.3415189823811452,0.7481905368548486,0.7269504366533108,0.9167005533532806,0.794477847467538
Ube2f,0.0059447260934286,0.039099715658779,0.2692687150341355,0.5537058322972553,28.94555908945981,29.29664528040728,0.0,0.5710221484800524,0.794477847467538
Ndufa10,0.2496751994882275,0.6275008061114353,1.0,0.1955539957437776,28.39008636347046,29.009923593555943,0.0,0.4185817870862472,0.794477847467538
Cops9,0.1948717948717948,0.5623719669710694,1.0,-0.0974452054910591,0.1337442989436759,0.395378560824067,0.7450054118245628,0.8187046729322778,0.794477847467538
Gpr35,0.1832329769288219,0.7173273000417575,1.0,-28.85910671849055,-1.2342973999017148,26.66235969382142,0.260695509972604,0.1113483563617127,0.794477847467538
Hdlbp,0.0379176379176379,0.3282051282051281,0.959129759129759,-0.5873588706624924,-0.309484452767883,0.0373543353713,0.7917214067151392,0.6367360793220516,0.794477847467538
Fam174a,0.0379176379176379,0.4945189922275712,1.0,-0.5232908214504443,-0.1037462349832582,0.2088930608064645,0.6429456864452497,0.6050562379917575,0.794477847467538
Vps4b,0.0135133331633497,0.1025458809789091,0.461920478323797,0.1425558251516683,0.4925797019596727,1.1424940822604954,0.5137006033553859,0.7392625916447285,0.794477847467538
Tsn,0.2073914000366514,0.7011912626598479,1.0,-1.5969118999407006,1.4735773634357003,28.839910660002683,0.1398343396757095,0.3159226678466755,0.794477847467538
Ralb,0.1447541897224064,0.5465237317126098,1.0,-28.303292318951453,-1.1856646293061224,26.736919127149264,0.13387696767703,0.0,0.794477847467538
Dbi,0.3282051282051281,0.7984459984459983,1.0,-0.1530055112160979,0.0362966987335291,0.2646152345809146,0.951889867957371,0.9746262452748052,0.8040873973987491
Ddx18,0.0324742023051655,0.0847449524226575,0.4881429337396992,-27.36552415676741,-26.15182089383776,0.0,0.074555987088821,0.0,0.794477847467538
Actr3,0.1048951048951048,0.5053613053613053,1.0,-0.076576937094068,0.0600043412235803,0.1866322740443928,1.5625169387855662,1.6299686709712775,0.794477847467538
R3hdm1,0.2243131265111537,0.7463178799324552,1.0,-27.810779787988253,0.1421784703545584,28.00617235323021,0.107495530695156,0.1062111274394205,0.8040873973987491
Ubxn4,0.0398386547180505,0.3180689668505534,0.9580911282267016,-0.0332276413292358,0.2745541980025014,0.9502480328644768,0.6331028692385827,0.7669969006909926,0.794477847467538
