gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk6_median,median_IL10_KOTLS_median,FDR_BH
Rpl7,0.3827272366436454,0.7920774787647853,1.0,-0.0106105667812332,0.0117840383305697,0.0362003788930928,2.573988323345996,2.59643171081179,0.7977150408912251
Eloc,0.056833321083365,0.3942823566778916,0.9691122863264724,-1.3058319220409,-0.1770295153283592,0.2235367290985773,0.5840842602486332,0.5195969957795871,0.5796462698173679
Ptpn18,6.35071842502183e-05,0.0007144558228149,0.0123997777248551,-0.3720844422026398,-0.2977105325885772,-0.2063508314392569,1.4222095356269286,1.1600796995575575,0.011553771306092383
Neurl3,0.0088116873156729,0.0677220065521783,0.3096634064006939,-29.573862457396764,-1.3691221085532672,-0.3656957718576102,0.7573510769586678,0.292780204549092,0.18147671516825256
Cox5b,0.0003016591251885,0.0314201794077955,0.343145193299992,-0.3018974821257341,-0.1848879322290918,-0.0509362592613124,1.3824126819474924,1.2134518291496987,0.10491930114933481
Eif5b,0.0252441057394617,0.2082876875446535,0.7920774787647853,-0.266040574410174,-0.1269519149539345,-0.0082467760440463,1.05297724725818,0.9650469374588444,0.3672611562313828
Rpl31,0.0201317774073192,0.0978804477256489,0.343145193299992,-0.1691513710232094,-0.110143326325879,-0.053357185803801,2.042876633801085,1.889670166337496,0.2284549831452259
Rnf149,0.0007144558228149,0.0097222837672139,0.0978804477256489,-0.4690612103688829,-0.2959814754782937,-0.1083621850991468,0.9229841207399836,0.7521670663362385,0.047234443023545646
Map4k4,0.0004763038818766,0.0095578312296578,0.0698706693486399,0.3796796215348998,0.5699671169345275,0.8565139039982951,0.7004502177209373,1.0376041592287333,0.046635624792985476
Il1r2,0.0487874848323117,0.3527230778905403,0.9689976177727812,-0.0168688869670598,0.4169368281057481,1.1331311994032425,0.6610623509420689,0.8793914264811564,0.5388428126478969
Stat1,0.0002345546750104,0.001641642300541,0.0143349236323432,-2.3819767249397645,-1.2072897789383108,-0.8316942492843612,1.3499840476127638,0.5845096859758585,0.017868645040503964
Gls,0.0252441057394617,0.2702706993728666,0.8506311026434865,0.0892236500732913,0.2402688909301377,0.444562777116306,0.7073841884248933,0.834729780553632,0.44275894600591165
Sf3b1,0.0001905215527506,0.0095578312296578,0.1820183376994516,-0.2314060868051276,-0.1667605134649243,-0.108674666757235,1.566167034591055,1.395355023784485,0.046635624792985476
Hspd1,0.1371995439236274,0.5028277071539042,0.9689946775534558,-2.5657535631676622,-0.3483902036148504,0.0046249717033478,0.6422507566088735,0.5117848614003051,0.681677801794275
Hspe1,0.0252441057394617,0.3837421608319441,0.9699293482575216,-0.2175981108654394,-0.0952651236938276,0.0469907501237121,1.2186065231470926,1.1432900148071927,0.5656199558095842
Bzw1,0.0004763038818766,0.0054933714376438,0.0573787409700722,0.2410316897851448,0.4166738932759032,0.5949005119883909,0.6817241919772438,0.9067825672920864,0.033253991804346426
Clk1,0.0573787409700722,0.3747677914932922,0.9699293482575216,-0.3188590624764489,-0.1152408499631596,0.08436526476477,0.7279314492372702,0.6727774529323827,0.5656199558095842
Ndufb3,0.027304566629281,0.1879938007844447,0.7863630156873557,-1.5831666211262572,-0.3118007691756015,0.0637221086397226,0.6351364457479667,0.5156867514863692,0.34603086583413234
Cflar,0.0978804477256489,0.4726680955783123,1.0,-0.0282986796464786,0.1365247904961157,0.2891209599043886,0.9584110769414595,1.0553755717082711,0.6468452405098767
Sumo1,0.0276556527566731,0.2782729813185302,0.9382708442439336,-0.2984124664322518,-0.0981067503922705,0.0789533860475987,0.7403463584277279,0.6935209443288428,0.4552095590355147
Fam117b,0.0927576203686832,0.4143554061444077,0.9689976177727812,-0.049378804503595,0.5508930867741024,2.3950054257149795,0.4045929743602966,0.5896363872742705,0.6013465637890635
Eef1b2,0.0010637453361911,0.0123997777248551,0.0978804477256489,-0.1247133751213675,-0.0933941271136028,-0.0536919000269734,2.37658228765085,2.2256220089917464,0.05377987886795392
Rpl37a,0.1152655394141462,0.4268635389378423,0.9699293482575216,-0.0460677191705915,-0.0260654954837966,-0.0012700444314866,3.457239831338456,3.397257302727713,0.604767867431336
Arpc2,0.0473446058585377,0.4268635389378423,0.9699293482575216,-0.0245170796614353,0.0323006235757305,0.0824823891069071,2.064841079808964,2.1128935052868654,0.604767867431336
Tmbim1,0.2028472404323827,0.6985956961394035,1.0,-0.1044840941889599,0.1028530054308885,0.3829307051698958,0.5776454111331759,0.6217070872558214,0.7634943326471614
Slc11a1,0.0474424416551647,0.3244455432516746,0.8757377346256979,-1.2535757448119464,-0.2420342338570226,0.0395434825756788,0.762674884490555,0.6556428119830076,0.5151084922312701
Dock10,0.0004045515741784,0.0110508192098248,0.1504274686628478,-1.7172152791438204,-0.4981295234805957,-0.2334577154300754,0.7393895904225244,0.5248665782748019,0.05300647180305793
Trip12,0.0018421077780277,0.0257405349167252,0.2110782552067569,-29.421903396336432,-1.7384921361325036,-0.2843880325904688,0.6387482073616282,0.2064497109711395,0.09049156995569231
Itm2c,1.5876796062554575e-05,0.0029848376597602,0.0824958323410335,-0.3664520627359652,-0.2714097822327379,-0.1496438157755664,1.24288103133212,1.0278138066121565,0.023302318833438255
Ncl,0.1152655394141462,0.6238787012780821,1.0,-0.057302604851766,0.0180891691894956,0.0797206225990078,1.5528389123603286,1.5724096806324988,0.7333652023331141
Ptma,0.0040684289910296,0.1152655394141462,0.8521179645947434,-0.0014831684340656,0.0333310947519971,0.0770833988636447,2.85943732814723,2.92622035260986,0.25385328913776944
Inpp5d,0.069716785684335,0.5208065412399778,0.9699293482575216,-0.3087332735066535,-0.1231891886540881,0.0785949620447999,0.7360597553301351,0.6745317384834073,0.6895356779925788
Arl4c,1.5876796062554575e-05,1.5876796062554575e-05,0.0001111375724378,0.2633098549830481,0.3312251609442096,0.4047700830982133,1.75929234824772,2.2126209585073098,0.00138250254944706
Lrrfip1,0.0015241724220052,0.0690958164642375,0.5713582599031516,-0.3221142226579786,-0.1986944423887233,-0.0415725737309866,0.9178671817876768,0.8017402225410954,0.18147671516825256
Cops9,0.1349368897356513,0.5713582599031516,1.0,-0.1720881540665929,-0.0359256153687769,0.1217161377623177,0.8205221876602408,0.7999368329314649,0.718641722455964
Hdlbp,0.007318906196645,0.0802713616470359,0.3902077589809362,-29.24869510425172,-0.5556425114166366,-0.1272453027101833,0.6368470504003729,0.4454247111672665,0.20389799609181206
Vps4b,0.3053901722632373,0.7868234305012446,1.0,-0.1009643392993292,0.0377399898414048,0.2153600993132625,0.738505007047373,0.757911869676624,0.7977150408912251
Dbi,0.0095578312296578,0.1349368897356513,0.7920774787647853,0.02251188749167,0.1415220598486934,0.2693391841216405,0.9735378272676096,1.0751122498035313,0.275719420903894
Actr3,0.0690958164642375,0.4726680955783123,1.0,-0.0857020764941855,-0.0274857125922055,0.0237223439709958,1.6295895305194388,1.599236434462,0.6468452405098767
Ubxn4,0.0473446058585377,0.2702706993728666,0.7920774787647853,-0.0521785693590315,0.1062200637564682,0.2503381727120486,0.770135298501134,0.8292123999560503,0.44275894600591165
Cxcr4,1.5876796062554575e-05,3.175359212510915e-05,0.0010637453361911,0.3454020803262257,0.4850893626519696,0.6931931602880211,1.0856978899364202,1.5147935739809824,0.0017116698231249314
