gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_IL10_KOTLS_median,FDR_BH
Tcea1,0.0466343433504458,0.535841867111217,1.0,-0.1841863524357034,0.0771324770950812,1.355862232349618,0.5419735954236955,0.5837640323611945,0.6868706559109036
Rpl7,0.0096997300944669,0.2268397237437485,0.967135032150512,-0.0080133373822932,0.0271825451559515,0.0681464091140332,2.96011141717653,3.01628020475871,0.453679447487497
Eloc,0.0556481701992537,0.535841867111217,1.0,-0.1828675821581471,-0.0413830174871055,0.1147819329372034,0.721332717492722,0.6963404958441518,0.6868706559109036
Phf3,0.0076510274728813,0.1489907302984038,0.7738832016541465,0.0349825521528542,0.3155786517605146,29.28288445310747,0.5037215927243093,0.6282538335305606,0.3657295560744551
Ptpn18,0.0556481701992537,0.2991188378185282,0.8385667222354514,-0.2157112382481172,-0.1036994156620347,0.0664351520192804,1.06923266812781,0.9925520875825964,0.5303468846769098
Neurl3,0.1422164007303326,0.4979215207238823,0.967135032150512,-0.0327037959032864,0.2402239269803389,0.627975227701523,0.65526408106592,0.7784551090532296,0.6868706559109036
Cox5b,0.0170675557672461,0.2614114471699611,0.967135032150512,-0.0063239864579116,0.0624825572026547,0.1327890707951925,1.49386367079281,1.5632416101868452,0.48826216855373894
Tmem131,0.0683496070492974,0.3402397396205445,0.9018020163531,-0.0668771266900141,0.0819302592872186,0.2524896911039994,1.02789328185095,1.08770968319623,0.5669239325170428
Mrpl30,0.0076550160232633,0.2188746753829587,0.9326171489301228,-0.0060506728547574,0.4908790767811564,29.24641264986954,0.447419516166051,0.6178536842812684,0.453679447487497
Eif5b,0.0017861395570373,0.0831150273874732,0.6503532587123918,0.0034289873490146,0.2457336852209889,0.3784202055627476,0.8742251385461051,1.0343185308916687,0.24859629813190182
Rpl31,0.2991188378185282,0.7108438517107247,1.0,-0.0406588423615475,-0.0170117953003694,0.0865295591730839,2.33896277690862,2.30695140752517,0.7369247736704468
Map4k4,0.0221084385171072,0.2991188378185282,0.967135032150512,-0.069169555562745,0.094641046955544,0.2666111572243664,1.47804847134915,1.591014972588125,0.5303468846769098
Il1r2,0.0037310470747003,0.1422164007303326,0.8369453044375644,-0.0127901559800937,0.152959348972393,0.2457302424808252,2.24044164865131,2.490651530389915,0.3497470003145957
Nabp1,7.938398031277289e-05,0.001520619382914,0.0126206082246849,0.2576538065691325,0.5905737851365723,0.901334975396986,0.7883287048699841,1.1784370136616773,0.018358023095543564
Stat4,0.009764229578471,0.0831150273874732,0.384456616654759,0.1968775257054995,0.3766066652523022,0.7840578509731763,0.815049384524173,1.0548224048019286,0.24859629813190182
Gls,0.0129792807811383,0.1002619671350321,0.4319679288719536,-0.4420169011929067,-0.2355107568350009,-0.0589092573278794,0.927411669093928,0.802077632420551,0.28209299227822593
Nab1,0.0784432237751736,0.5768562928749242,1.0,-0.2041988745994243,0.9664705151803018,29.10046513981488,0.289672161365024,0.5451925010371115,0.6948898826275213
Stk17b,0.0683496070492974,0.5918075732317218,1.0,-0.1598142656518189,-0.015133750177796,0.1937702190055659,0.984174856667648,0.9753475489385413,0.6948898826275213
Sf3b1,3.969199015638645e-05,0.0011907597046915,0.0129792807811383,0.1940082171874207,0.2958208234072633,0.394432684145364,1.33084051251727,1.6383630275263124,0.015205085459906845
Coq10b,0.0050774704574022,0.2195861585503833,0.9662340001638232,-0.092161821408733,1.1379103050660269,29.239774709948264,0.2651227962428205,0.6018614823748587,0.453679447487497
Hspd1,0.0076550160232633,0.1177655400828241,0.7035844410913497,-0.0695474226954719,0.2613837082168521,29.279320965666,0.53737720971936,0.6375961431292126,0.3151176179775632
