gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_IL10_KOnonTLS_median,FDR_BH
Tcea1,0.0366325518229717,0.5259869247938622,1.0,-0.1466861577146277,0.1233417850541588,1.3474834374159534,0.5419735954236955,0.5981825631577671,0.7171666837996632
Rpl7,0.0831150273874732,0.5918075732317218,1.0,-0.029352485669754,0.0110407742495855,0.0550093149960445,2.96011141717653,2.984571360716764,0.7171666837996632
Eloc,0.1422164007303326,0.6503532587123918,1.0,-0.05638915613324,0.0779626978191568,0.2306891828806545,0.721332717492722,0.7548110182371417,0.7171666837996632
Phf3,0.1593868477328266,0.6368275127236042,1.0,-1.1845007287062563,-0.0155161863746822,29.025842342661814,0.504862459267922,0.507143281957941,0.7171666837996632
Ptpn18,0.3402397396205445,0.7732396602365642,1.0,-0.1181313005497777,-0.0030791537188837,0.1438410061209952,1.06923266812781,1.0620342421531412,0.7767411228489561
Neurl3,0.0752681487184407,0.5254410213627343,0.967135032150512,-0.362434794938864,-0.0998675744561277,0.2922144044439083,0.65526408106592,0.6187293718795062,0.7171666837996632
Cox5b,0.0447040962133841,0.4824164483607208,1.0,-0.0297702056633764,0.0425200487605068,0.1130954516159117,1.48798858236429,1.541385380036075,0.7171666837996632
Tmem131,0.0001587679606255,0.005239342700643,0.1198301182821306,0.0875333259938332,0.2216911798397245,0.3777949115934854,1.02789328185095,1.198493681234405,0.10728561745470512
Mrpl30,0.0058000126059287,0.1882503316229982,0.9662340001638232,-0.0101360366507954,0.4939801584901456,29.23755580431624,0.4432704413917235,0.6121410557688951,0.569570244313319
Eif5b,0.0283400809716599,0.4319679288719536,0.967135032150512,-0.1123453592040305,0.1189712805359297,0.2299964990205765,0.8742251385461051,0.9425916136431384,0.7171666837996632
Rpl31,0.2614114471699611,0.8369453044375644,1.0,-0.0412620161758688,-0.0133785515794152,0.0865546023353992,2.33896277690862,2.3141829315702465,0.8375745866213521
Map4k4,0.009764229578471,0.195562435500516,0.9018020163531,-0.0354173382622093,0.129741157849441,0.3069036228232437,1.486382458314095,1.6347272695517088,0.569570244313319
Il1r2,0.195562435500516,0.7108438517107247,1.0,-0.1797960157748778,-0.0031934268018936,0.1002553009942918,2.24044164865131,2.23713998783726,0.7391665364273239
Nabp1,0.0690826075465267,0.5259869247938622,1.0,-0.2176865101867236,0.1160553217207024,0.439502739407031,0.787661841382427,0.8391712196040921,0.7171666837996632
Stat4,0.0026196713503215,0.0683496070492974,0.3402397396205445,0.2338430922641358,0.3745543543830981,0.7774964456710861,0.815049384524173,1.0595606009245149,0.3374978465430835
Gls,0.035654322457728,0.2614114471699611,0.8369453044375644,-0.3436225306482454,-0.1345923048188812,0.0413638447484039,0.916080783310782,0.8448636380950515,0.6395930812191511
Nab1,0.1293317454163906,0.6313502004972404,1.0,-0.42062370239281,0.9790239304415193,29.028297954463323,0.2568881348417915,0.5025296805394697,0.7171666837996632
Stk17b,0.0071842502183059,0.2991188378185282,0.967135032150512,-0.307795483752977,-0.1201584160738142,0.0967948130314345,0.984174856667648,0.9042743803089162,0.6747918188753578
Sf3b1,0.0683496070492974,0.5918075732317218,1.0,-0.0677457514388875,0.0426736349139618,0.1474488386300529,1.322742577094405,1.369841011783575,0.7171666837996632
Coq10b,0.1657468583652259,0.6606161717035915,1.0,-1.5346462300573138,0.2048624966588504,29.044207836916748,0.276009731986991,0.4516195144698948,0.7260777246387121
Hspd1,0.1162727128892006,0.6419036360134158,1.0,-0.2082406997677624,0.1241044308981188,29.13627477927793,0.524731783730138,0.581617914681851,0.7171666837996632
Hspe1,0.0037032626815908,0.0221084385171072,0.1673414304993252,0.2088729234606353,0.3555192797359259,0.5045423884420722,0.984174856667648,1.261365820681915,0.1886303311940364
Bzw1,0.0004763038818766,0.0283400809716599,0.384456616654759,-0.3717235467531876,-0.2082404901710154,-0.0664891681979102,1.055172806985405,0.9255099979378142,0.214321862348178
Clk1,0.1673414304993252,0.6503532587123918,1.0,-0.0792815975578606,0.0701202957786062,0.1716191046946041,0.862990549870064,0.9132214690578876,0.7171666837996632
Ndufb3,0.0830376319278985,0.5825996812113596,1.0,-0.1302716878703834,0.0244512637736248,0.2256593485638761,0.727039824303559,0.7388295565933549,0.7171666837996632
Cflar,0.0283400809716599,0.384456616654759,1.0,-0.4020970102312353,-0.1668863815818491,0.1685685907634674,0.768459750406761,0.6782767626119534,0.7171666837996632
Sumo1,0.0283400809716599,0.4319679288719536,1.0,-0.09091251589682,0.0849207316972147,0.2371737589685351,0.936292811265318,0.9961221696725132,0.7171666837996632
Nop58,0.0049524246414781,0.0589512994058284,0.4041065818700761,-29.590854944118963,-1.837562755618164,-0.2857138920625358,0.723632404484391,0.2039482327078705,0.3273710036354779
Fam117b,0.0987919501311903,0.4824164483607208,0.967135032150512,-0.0734967051949357,0.1107737770347654,0.3083882874916063,0.7544701367072986,0.8088138851233881,0.7171666837996632
Eef1b2,0.0002778439310947,0.0449313328570294,0.4319679288719536,0.0272798508410808,0.0759171748870155,0.1483764161872898,2.500416414792735,2.6324726602515263,0.2844618635502147
Rpl37a,0.1002619671350321,0.535841867111217,1.0,-0.0139204574075048,0.0192916058383935,0.0466317759997183,3.6357432861740646,3.6875151007337874,0.7171666837996632
Arpc2,0.0556481701992537,0.2991188378185282,0.8369453044375644,-0.1154567683037118,-0.0550018049123186,0.0207744367452772,2.35761446440175,2.2666706752645127,0.6747918188753578
Aamp,0.1591952817207008,0.6590591567394866,1.0,-0.3996486854774586,-0.0661582036657726,1.1349442325764003,0.541268169233118,0.5210399681895725,0.7255647126718416
Dock10,0.0358418671112169,0.4148928043041017,0.967135032150512,-0.0250592842293152,0.1101364252459392,0.301472911754579,0.733056029837485,0.7944927174404246,0.7171666837996632
Sp140,0.0026196713503215,0.0200615758782193,0.1172938522158873,0.2544326040066811,0.4368972308768213,29.55645032776395,0.6142649267734575,0.82388551849647,0.18543026037437424
Itm2c,0.0683496070492974,0.535841867111217,1.0,-0.2901604580787781,-0.07915897110222,0.1511636622716661,0.728589662258604,0.690293062488037,0.7171666837996632
Ncl,0.0283400809716599,0.1673414304993252,0.6503532587123918,-0.1814399872628683,-0.0944317548607265,-0.0276061494177038,1.72147541372121,1.6074558740614036,0.5303129618919091
