gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_Salmonella_infTLSwk6_median,FDR_BH
Tcea1,0.0125222247240691,0.1476485888064738,0.7282210233302229,-0.0234675781127881,0.2916652627176769,1.52596999899237,0.558183842489362,0.6888846715401126,0.3670390432465567
Rpl7,0.054079254079254,0.5358197358197359,1.0,-0.0253643199148939,0.0212891665690991,0.0696305011904921,2.96011141717653,3.0051744755577423,0.7233566433566434
Eloc,0.280963480963481,0.778865578865579,1.0,-0.1429865775742017,0.0074115131137345,0.171337765548847,0.7214179028612304,0.7231608669943865,0.7806002460790881
Phf3,0.0060656947207601,0.1289960116674872,0.6851773174958848,0.1006145262488486,0.3704997838092091,29.38685654762659,0.5236972743440474,0.6680054522648757,0.33946318859865054
Ptpn18,0.0037296037296037,0.0721056721056721,0.3356643356643357,0.3211358273862245,0.4379515851868324,0.6187056206876619,1.06923266812781,1.4403340564682487,0.23614638663814144
Neurl3,0.2424330322693051,0.6843747548063993,1.0,-0.0253073359383353,0.2874051872395188,0.6620463077010156,0.6565217047517,0.8185397717519897,0.730586638614698
Cox5b,0.0003108003108003,0.0093240093240093,0.1205905205905206,0.1029700782429052,0.1952453619437446,0.2908721879941943,1.48798858236429,1.715527037640905,0.07071580105287952
Tmem131,0.0205128205128205,0.0638399918688504,0.2971897434333751,-0.6199297390189057,-0.4110977246601736,-0.2081426011287325,1.02789328185095,0.776458448513389,0.22620469559828882
Mrpl30,0.004214831119272,0.0718263311415725,0.3968919968919969,0.26302013338468,0.786496992418384,29.545825610850397,0.4432704413917235,0.745784907652737,0.23614638663814144
Eif5b,0.0205128205128205,0.2318570318570318,0.9550893550893552,-0.0076412876231763,0.250466744787201,0.4188650465435161,0.8742251385461051,1.04805117383874,0.4735355416142102
Rpl31,0.0139860139860139,0.151981351981352,0.5358197358197359,0.0068632749610393,0.0399478239078314,0.141386956342766,2.33896277690862,2.3954206938514826,0.3670390432465567
Map4k4,0.0037296037296037,0.0938616938616938,0.6125874125874127,-0.4185040896508141,-0.2309677583901288,-0.0229323549267104,1.486382458314095,1.2830564422860362,0.2754636667680144
Il1r2,0.04009324009324,0.151981351981352,0.5243725159435484,-0.4547158602081904,-0.248800290100416,-0.0820264243348973,2.24044164865131,1.888118139224971,0.3670390432465567
Nabp1,0.0921673180446737,0.52296164404117,1.0,-0.901850795035111,-0.2562701106346311,0.2026505384520875,0.7883287048699841,0.6537366866013048,0.7233566433566434
Stat4,0.1020809611324846,0.4436570559117131,0.9536916548852497,-0.899418574730587,-0.4454082936995984,0.0185113865923263,0.815049384524173,0.5935692775334798,0.6874663797740721
