gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_IL10_KOnonTLS_median,median_IL10_KOTLS_median,FDR_BH
Tcea1,0.126022121770373,0.6650055421020291,1.0,-0.1220148004115818,-0.0316832575302576,0.0827886752795526,0.5987254462908251,0.5845304781155725,0.7589562419887909
Rpl7,0.0072599549881905,0.1123511976904639,0.623604884395689,0.0019582838850006,0.0153699614657057,0.0304054929151516,2.985027580406524,3.015441063948505,0.3060862041281378
Eloc,0.0262285730511206,0.2365840933218761,0.8852339144732017,-0.2143492471451638,-0.1169616321474421,-0.0041574514831921,0.7568787131048176,0.6974857886219326,0.45384948553226173
Smap1,0.0219260788575885,0.2143941431124333,0.8852339144732017,0.0056559918042206,0.1504920268395863,0.3758533670602855,0.584308357300509,0.6473727058964363,0.43191858685351764
Phf3,0.0022483857835668,0.0219915342300499,0.1392241769628668,0.1254201361023479,0.310910703643574,1.4199063798970244,0.5082045538773148,0.625201514660606,0.12490033225255769
Ptpn18,0.0101931049911082,0.1123511976904639,0.5443701458566098,-0.2180732231169625,-0.1011771519379259,-0.0030197512384271,1.0621959719556535,0.9913217376592602,0.3060862041281378
Neurl3,0.002436734808989,0.0326256118674943,0.1750848216646599,0.1589877202783318,0.3358418536127137,0.5040346531011085,0.6197048322112457,0.7795990599756886,0.15646780129351556
Cox5b,0.1409552191443714,0.5833604667027033,0.9775459989389258,-0.0307542755838542,0.0214680237060311,0.0715565275439914,1.5427786076775163,1.563386881513397,0.7434177016706619
Tmem131,0.0303828219765775,0.1572127533400038,0.623604884395689,-0.2272672667068375,-0.1379926651260198,-0.0319854267585682,1.1984905550281724,1.08879935399676,0.3650784095458608
Mrpl30,0.1123511976904639,0.6650055421020291,1.0,-0.0804275143550695,0.0130377038246372,0.1104799150235607,0.6129823807458893,0.6184244603518119,0.7589562419887909
Txndc9,0.1846693194135207,0.6752130023701057,1.0,-28.5415319197328,26.57755790938629,28.759555789361634,0.0,0.211339298252066,0.7589562419887909
Eif5b,0.0120228254076174,0.0998774027692641,0.4704864220587896,0.0379262678842687,0.1330376243231512,0.2099563316478768,0.9425099480296636,1.0360254118610437,0.28910941051603056
Pdcl3,0.0021618912344304,0.0194185872228727,0.1392574997333549,2.3670510957801447,28.931068559741856,29.08988628916747,0.0,0.5131156140162996,0.11404902133433568
Rpl31,0.3407786135629546,0.7950121719642381,1.0,-0.0312319840950444,-0.003809336782633,0.026652757597537,2.315063799122065,2.30713195824233,0.797965777556675
Tbc1d8,0.0010843325616735,0.0109168257616513,0.1353727854089086,0.0,28.767180305071285,29.10947966578669,0.0,0.4568610794421695,0.08760482455265722
