gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk3_median,median_IL10_KOnonTLS_median,FDR_BH
Tcea1,0.0040888165108717,0.0536666629062044,0.343145193299992,-0.4102167223903875,-0.2980969602061956,-0.1004630936870926,0.7341699514386655,0.597105740699422,0.12924184343106515
Rpl7,0.1568627450980392,0.6784313725490196,1.0,-0.0198576318606206,0.0057373961592997,0.0335669973400982,2.9722470711433147,2.9844232317430848,0.7221513624403514
Eloc,0.2082876875446535,0.7344923394458999,1.0,-0.1106471755628549,0.0140512215676944,0.1623955262535366,0.7467014514170733,0.755667090206211,0.745106390593962
Smap1,0.0958748348780117,0.6156969987931198,1.0,-0.2712019301690467,-0.043262125264853,0.210997474189581,0.591485474136447,0.5815008466302655,0.7075328728549493
Phf3,0.0118309705207014,0.1295450020706858,0.6689706667452711,-1.3260788893233055,-0.2235911466275656,-0.0367381298800768,0.5990376431503065,0.5095239852312597,0.24745739171053452
Ptpn18,1.5876796062554575e-05,1.5876796062554575e-05,0.0002462939704825,-0.6210864716154678,-0.5221256808233196,-0.427052098038831,1.5231970294861,1.061754312403225,0.0005572755417956656
Neurl3,0.0758473341985505,0.5355561233584674,1.0,-0.3382382421829148,-0.1109479420909177,0.2146052907618783,0.6653395671207367,0.6205056813247605,0.6660060205449851
Cox5b,3.175359212510915e-05,0.0015241724220052,0.0690958164642375,-0.2386256260874062,-0.1821670535299436,-0.1051625400552656,1.7521918492548738,1.542205453857295,0.010190181335691908
Tmem131,1.5876796062554575e-05,0.0021592442645074,0.0124863062633959,0.4729405460518656,0.7435355850061499,0.9448079626912704,0.7157996321055848,1.1980299292478538,0.012900335946248467
Mrpl30,0.0010637453361911,0.0639774891491002,0.7920774787647853,-0.3484795008463952,-0.1761008060582637,-0.0238414403287303,0.6932728965511125,0.6123139480448014,0.1472531061726831
Eif5b,0.0690958164642375,0.343145193299992,0.9699293482575216,-0.0505340810297146,0.1231550193322738,0.2619818597419563,0.8636557276108623,0.9424386751955948,0.48812142998296737
Rpl31,0.0021592442645074,0.0314201794077955,0.3063340477891553,-0.1164781687045919,-0.0785247201575091,-0.0404611284798689,2.4424866609951623,2.3142300060225987,0.0858247702111768
Map4k4,1.5876796062554575e-05,3.175359212510915e-05,0.0021592442645074,0.3023273027507099,0.4272540864599381,0.5323511040002075,1.2186633261071913,1.634657399009059,0.0008105826062482409
Il1r2,3.175359212510915e-05,0.0004763038818766,0.0055386203064221,0.2800456809092232,0.3685081705704253,0.5644402288518705,1.73051833274348,2.2346162665782,0.004428679802349314
Nabp1,0.0002462939704825,0.003760918126399,0.039410942315507,0.5335329570409105,0.9230497968572396,3.215343892066297,0.4447253470550246,0.842831838978643,0.019702720333821627
Stat4,1.5876796062554575e-05,0.0004386095771341,0.0041113902719868,0.7490665928624952,1.0008641799186893,3.5521620215515064,0.529402457515832,1.05950017925659,0.004428679802349314
Stat1,1.5876796062554575e-05,1.5876796062554575e-05,0.0002462939704825,-1.3357778600799497,-1.1775784171129553,-0.9723644854005108,1.8594295362177928,0.82336271774473,0.0005572755417956656
Gls,0.0252441057394617,0.3053901722632373,0.910105580693816,0.0295593971279057,0.1721003216604791,0.3209007183553758,0.7544419944360296,0.8458016955776017,0.4480332307811757
Nab1,0.0315078594360238,0.3140483223727142,0.9689946775534558,-1.1169063893295954,-0.15178819019932,0.0914311892607627,0.5608880906083705,0.5031910954642242,0.45977460334858256
Stk17b,1.5876796062554575e-05,0.0010637453361911,0.0389235532269586,-0.5315344144377814,-0.361142181911652,-0.2120264725845632,1.16334935854217,0.905165618875701,0.007658966420575919
Sf3b1,0.015860919266492,0.0824958323410335,0.3837421608319441,-0.2555711669252108,-0.1342273448039209,-0.023481844285637,1.5039901621116476,1.371102803004925,0.17159133126934967
