gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk3_median,median_Salmonella_infNonTLSwk6_median,FDR_BH
Tcea1,0.2786324786324786,0.7209013209013208,1.0,-0.2263855243400263,-0.0755301398324758,0.1391685397197734,0.7287798803137939,0.6893089132598793,0.7494076618421543
Sgk3,0.1651999264393238,0.6217687412649331,1.0,-28.41803780587397,0.2840629497612347,28.42519138983401,0.1057823152769827,0.1999788935322697,0.7494076618421543
Tram1,0.0069768551490836,0.169000047821659,0.914168625946128,-28.97337714320057,-1.1649389536361603,0.0063083109292753,0.5122885291469055,0.2271745622925685,0.7494076618421543
Rpl7,0.0498834498834498,0.2786324786324786,0.8784770784770783,-0.0085527485674738,0.0198242381169054,0.0528914519034024,2.9725697341443222,3.010445993632937,0.7494076618421543
Eloc,0.0206682206682206,0.3282051282051281,0.959129759129759,-0.3198662565295527,-0.1643335347561126,0.0188067543026666,0.7461846685970559,0.6636737827087029,0.7494076618421543
Ogfrl1,0.0288623671067265,0.4109392401761573,1.0,-28.95578006222097,-0.9296689626254164,0.4708277545055516,0.4897379707511219,0.2515851879728315,0.7494076618421543
Smap1,0.0046620046620046,0.1048951048951048,0.7984459984459983,0.0098423388006867,0.2282941733902613,0.4854441202772514,0.5948774808530165,0.6934300438307421,0.7494076618421543
Phf3,0.0281274281274281,0.4418026418026417,1.0,-0.1151801282295772,0.0622552215655578,0.2286401167372185,0.6005705972726715,0.6225878155682699,0.7494076618421543
Ptpn18,0.0206682206682206,0.1948717948717948,0.8784770784770783,-0.2161209313075942,-0.0789439398560874,0.0186362997151691,1.52329168138052,1.44577025156277,0.7494076618421543
Neurl3,0.1605283605283605,0.6741981971505068,1.0,-0.2650069449841037,0.0788760204010463,0.4414388274558477,0.6650773663485614,0.6956529508448271,0.7494076618421543
Cox5b,0.0498834498834498,0.4418026418026417,1.0,-0.1279575544317647,-0.0556076780492102,0.024919945507039,1.7539367275288875,1.6837224579900063,0.7494076618421543
Tmem131,0.1948717948717948,0.7209013209013208,1.0,-0.2267913549935473,0.0623487027102531,0.3032349204630295,0.7208989858947543,0.7569880155585216,0.7494076618421543
Mrpl30,0.0829836829836829,0.5053613053613053,1.0,-0.3801070092817909,-0.1514830643999412,0.0938284576346646,0.6921444610523233,0.6187470402299966,0.7494076618421543
Txndc9,0.0112746152015495,0.1649836223964053,0.8715033902986823,-29.03346424684848,-2.473342614781067,-0.1785074373682407,0.485666149107528,0.0923088256431435,0.7494076618421543
Eif5b,0.0829836829836829,0.4418026418026417,1.0,-0.0411207168935482,0.1536545280943729,0.3518872409113668,0.8634273945885572,0.9640106247237512,0.7494076618421543
Pdcl3,0.021823660863095,0.4589281861225893,1.0,-28.85438787653552,-0.5618373746563683,0.3136990040641796,0.466713955398973,0.3093457842618872,0.7494076618421543
Rpl31,0.2335081585081585,0.7209013209013208,1.0,-0.0571295415912045,0.0015378640890645,0.0467007325023956,2.44030640481284,2.445949231397722,0.7494076618421543
Rnf149,0.0704615426471519,0.312686223816409,0.956284952863831,-29.090810052881743,-2.499376843302336,1.2921714244756488,0.396420478670748,0.0926340233427482,0.7494076618421543
Map4k4,0.0379176379176379,0.3822843822843822,0.959129759129759,-0.0781697286703963,0.0850244537227203,0.2427566443594934,1.22517596428464,1.30043753984706,0.7494076618421543
Il1r2,0.1605283605283605,0.5737373737373737,1.0,-0.1338539911827007,0.0113935551098028,0.2343575861530632,1.72830682073955,1.7263461959980777,0.7494076618421543
Tpp2,0.0890830543003471,0.5244497218060842,1.0,-28.597611450477917,-27.25201737742429,26.459965270321444,0.230690312822671,0.0,0.7494076618421543
Nabp1,0.0235032740972903,0.2575318164737318,0.956302873568115,-29.011924592369823,-1.9341149805578648,1.184615347388877,0.4344027378326261,0.077531460036225,0.7494076618421543
Stat4,0.065285648928054,0.4589281861225893,1.0,-0.4369770813870917,0.2563270936107144,2.5100290892068737,0.5309762980476015,0.6169839384426492,0.7494076618421543
Stat1,0.0006138306138306,0.0104118104118104,0.0649572649572649,-0.4877396009697279,-0.3643424266283001,-0.2413042055621702,1.855046701445125,1.4440231541890425,0.7494076618421543
Gls,0.0829836829836829,0.5737373737373737,1.0,-0.2686063625169318,-0.0637445840293187,0.1709377604994231,0.7518302400643905,0.7141123192756089,0.7494076618421543
Nab1,0.1022985256696753,0.5992415158356712,1.0,-0.2016864441170381,0.0836288950767554,0.3624648477486534,0.5608880906083705,0.5982439556415822,0.7494076618421543
Asnsd1,0.1119097370670114,0.6217687412649331,1.0,-28.577412970317244,-2.339510813081452,26.18125094819554,0.2944958158438419,0.0,0.7494076618421543
Stk17b,0.0498834498834498,0.5053613053613053,1.0,-0.1232247205182272,0.0752435096237511,0.2539674555369578,1.16334935854217,1.226437100794826,0.7494076618421543
Ankrd44,0.0206682206682206,0.3282051282051281,1.0,-0.1109973806960503,0.1493179043936372,0.4743561723487795,0.597435655835156,0.6523208577612432,0.7494076618421543
Sf3b1,0.3282051282051281,0.7984459984459983,1.0,-0.0918274250055872,0.0233245485480573,0.1371382839547072,1.502975138105637,1.5256009766159302,0.7995452816012704
Coq10b,0.1605283605283605,0.7209013209013208,1.0,-0.2786497474593674,-0.0241424033288097,0.2614531634340332,0.7961107685270452,0.7767144001042798,0.7494076618421543
Hspd1,0.1275273133578452,0.6362542681663956,1.0,-0.2179812252714655,0.0163808507837172,0.3553257182220997,0.6018024786709405,0.6047761687656715,0.7494076618421543
Hspe1,0.0069930069930069,0.0379176379176379,0.2344988344988344,-0.3678217855821369,-0.2172824864252475,-0.1031859299559618,1.4650487610468326,1.26353012811096,0.7494076618421543
Bzw1,0.1303807303807303,0.6453768453768453,1.0,-0.2020674110381775,-0.0371136462170204,0.1602493048881157,0.8370936062525213,0.8145270120441275,0.7494076618421543
Clk1,0.0104118104118104,0.1948717948717948,0.8784770784770783,0.0155611359857529,0.125144852167279,0.2498365320181276,1.013758980895605,1.09980341147938,0.7494076618421543
Ndufb3,0.0649572649572649,0.3822843822843822,0.959129759129759,-0.2731418430680919,-0.1100730812060069,0.0348347883497386,0.8754680354182816,0.812277124697677,0.7494076618421543
Cflar,0.187959068257727,0.6453768453768453,1.0,-0.5237686957654393,-0.0630153131341698,0.3146386247117058,0.5554483153597365,0.528454559605851,0.7494076618421543
