gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk3_median,median_Salmonella_infTLSwk3_median,FDR_BH
Tcea1,0.1303807303807303,0.5053613053613053,0.959129759129759,-0.3972713843909687,-0.1492396720616596,0.0587792219098108,0.7323513434421425,0.6615760551542058,0.7562781578048752
Tram1,0.0218738790819876,0.2042192702898491,0.8744592481051268,-28.94642082972037,-0.6391770095280799,-0.0268047304117476,0.5094538446656944,0.3154309432182937,0.7562781578048752
Rpl7,0.0829836829836829,0.5053613053613053,1.0,-0.082226825196611,-0.0259194329707958,0.0148398131811361,2.97223204504075,2.920287176624686,0.7562781578048752
Eloc,0.0104118104118104,0.1948717948717948,0.7984459984459983,0.0085923363495672,0.1712157695701423,0.3308446436996959,0.7456798145755859,0.8385328733061033,0.7562781578048752
Ogfrl1,0.0828794206054772,0.6339972307873878,1.0,-1.1253977483939124,0.0124815468201469,0.8422414157816163,0.487005137910722,0.4960342533278732,0.7562781578048752
Smap1,0.0379176379176379,0.4418026418026417,1.0,-0.4252889436334658,-0.1564359958375116,0.1211224418903802,0.5910863008667067,0.5297696702710257,0.7562781578048752
Phf3,0.0829836829836829,0.6173740364648027,1.0,-0.2201543323363086,0.0202842959778165,0.2272221167218753,0.599028288827568,0.6056866432883672,0.7562781578048752
Ptpn18,0.0104118104118104,0.1303807303807303,0.7984459984459983,-0.2866332593196973,-0.1392681053850212,-0.0066646841950946,1.523753400665095,1.3824794625730776,0.7562781578048752
Neurl3,0.0095247309527959,0.0720770195258305,0.491634177169701,-29.283361312216982,-0.8199728420722965,-0.1802269640009231,0.6650773663485614,0.3718711613812011,0.7562781578048752
Cox5b,0.2344988344988344,0.7209013209013208,1.0,-0.0733166020383895,-0.0038174873490618,0.0777129408783652,1.756310455704315,1.747076752803615,0.7562781578048752
Tmem131,0.0649572649572649,0.4418026418026417,0.959129759129759,-0.0358049416098828,0.2410211232143935,0.4633286921677964,0.7151119629555616,0.8456461512808979,0.7562781578048752
Mrpl30,0.0649572649572649,0.5737373737373737,1.0,-0.223103433995989,-0.0011445263290516,0.1855492339604636,0.690621229962061,0.6949822295014034,0.7562781578048752
Txndc9,0.0047293973166576,0.0785934912071024,0.6340349639450514,-29.004420260578197,-1.4123880832724078,0.0226946428239086,0.485666149107528,0.1845831566768852,0.7562781578048752
Eif5b,0.0281274281274281,0.3822843822843822,1.0,-0.0618559613894511,0.147405061599588,0.3488174480182101,0.8654403506287732,0.959471117932868,0.7562781578048752
Pdcl3,0.1146659128588798,0.6362542681663956,1.0,-0.4313219876990689,0.1006448778793158,0.5541654520208315,0.4684273794813202,0.5066517752636019,0.7562781578048752
Rpl31,0.1297435897435897,0.6453768453768453,1.0,-0.0529017572077731,-0.0084425192245207,0.0380706758635233,2.44030640481284,2.4256150065418502,0.7562781578048752
Rnf149,0.0924391357016531,0.5576726074341468,1.0,-29.03069741864805,-1.0541335741078846,27.14089816650867,0.39329842250098,0.169659602714718,0.7562781578048752
Map4k4,0.0104118104118104,0.2344988344988344,0.8784770784770783,-0.0170844831312288,0.1608088156945216,0.3200012606179485,1.2232433249396149,1.3624777362819087,0.7562781578048752
Il1r2,0.1948717948717948,0.7209013209013208,1.0,-0.1986916713355841,0.0352730907165487,0.2685535616012707,1.726785874729695,1.7643123860959498,0.7562781578048752
Tpp2,0.0590476624124287,0.5531274454486008,1.0,-26.90414092693385,0.3953345516735396,28.668479899409885,0.230690312822671,0.3246000618599971,0.7562781578048752
Nabp1,0.2040396519556515,0.7090730856847203,1.0,-27.582211841541515,-0.0667991448258411,3.1892064751000526,0.4343510142628107,0.4096799404422757,0.7562781578048752
Stat4,0.044406322145509,0.2900470430093371,0.957810850422856,-0.1031929189207619,0.4574350096252652,28.95382372434216,0.5242197572354277,0.6878380204242547,0.7562781578048752
Stat1,0.0456414828589801,0.3282051282051281,0.959129759129759,-0.0097062955383235,0.0884538362430708,0.1678719558700009,1.8594295362177928,1.9799260633354987,0.7562781578048752
Gls,0.2344988344988344,0.7209013209013208,1.0,-0.1979566512464067,-0.0134714573463047,0.1641411007339398,0.7486320828161948,0.7433941220663915,0.7562781578048752
Nab1,0.0828794206054772,0.5053613053613053,1.0,-0.7333952227505109,-0.1703778406155038,0.1827492942426341,0.5592854459705034,0.5010445898464357,0.7562781578048752
Stk17b,0.0498834498834498,0.5053613053613053,0.959129759129759,-0.2734987906039384,-0.069978384813618,0.112546959910932,1.1651416146188576,1.110056338299631,0.7562781578048752
Ankrd44,0.1048951048951048,0.6453768453768453,1.0,-0.3866785388739388,-0.0663389938011294,0.2297737032341668,0.597435655835156,0.5635325678224441,0.7562781578048752
