gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_IL10_KOTLS_median,FDR_BH
Rb1cc1,0.0012982623324188,0.0053615566625386,0.0198937322170479,-30.09535580770515,-29.034612059652734,0.0,0.549906865271355,0.0,0.08332148867458636
Rpl7,0.0017861395570373,0.0556481701992537,0.5372410097642283,0.0052439010747213,0.0563248265979928,0.1238257919969252,3.0934319407557,3.221067192921886,0.25195037688638483
Ptpn18,0.1389615849030182,0.3308744891371221,0.966278470916598,-0.2252784153043262,-0.1329331396427238,0.06990826039616,1.65204321679743,1.4963782602604851,0.6290606118386273
Neurl3,0.0664972075357454,0.3959854587360712,0.96248159037959,-30.135493800842653,-29.11622699021545,0.0,0.581912496707765,0.0,0.689974662949215
Cox5b,0.0042842898008292,0.0550475799641002,0.3289562053157725,0.1205405405196839,1.5070092789770206,30.26665532099038,0.4517254079075985,1.2627108831173235,0.25195037688638483
Eif5b,0.2614621421768898,0.7490776934570623,1.0,-29.524287388168837,0.087901688550747,29.67767236889775,0.0,0.3492448329623525,0.7991088566564208
Rpl31,0.1422164007303326,0.5918075732317218,1.0,-0.1253389714435931,-0.0106433160517234,0.0614232773623478,2.266722784107335,2.2571756092626547,0.7611456512731224
Il18r1,0.2723545022408976,0.6965221546336016,1.0,-0.2068507141588001,0.6934605244092484,30.26610343029228,0.785600922942995,1.2272300969099812,0.7611456512731224
Nabp1,0.0002022927909285,0.0030416127709719,0.0459684365467881,-30.46660710231781,-30.26777032235038,-29.034612059652734,1.292726848036,0.0,0.0760403192742975
Stat4,0.1389615849030182,0.6503532587123918,0.8369453044375644,-0.3424315771044762,-0.2337680614894335,-0.0507893309316915,1.74460943309666,1.4639639621003826,0.7611456512731224
Gls,0.286417686105596,0.6677650547665812,1.0,-0.295857303488145,-0.0086304786255702,0.9735580250011644,1.12264402955817,1.0970349441453864,0.7611456512731224
Stk17b,0.1278179644246845,0.7108438517107247,1.0,-0.3816801470903809,-0.0063607687904482,0.1293823893397821,1.87312901738138,1.866234386585935,0.7611456512731224
Sf3b1,0.0831150273874732,0.3402397396205445,0.966278470916598,-0.0178126682893917,0.0877265857364596,0.1817775959737783,1.45666876632877,1.5433206418591938,0.6290606118386273
Hspe1,0.0034900941570847,0.1384410174210646,0.6414642630986135,0.0831921248090465,0.976011545461037,30.29729361,0.67096947517441,1.3007685150656223,0.4172164817343941
Bzw1,0.0037577431218805,0.0281411500293627,0.173483958426336,-30.385179963159583,-30.18526993586972,-0.6279618712217921,1.28265535242243,0.0,0.18106162843004933
Clk1,0.0017861395570373,0.1002619671350321,0.5918075732317218,-0.2129306761166369,-0.1152319036494996,0.0107229554299722,1.54602136135724,1.4275856922444563,0.36258258555121675
Sumo1,0.0004421450211041,0.0093051670732942,0.1177410976744685,0.9042336706098584,1.1923130158025874,30.28986510949072,0.565196875064045,1.28419380826695,0.11458024505348621
Cd28,0.0129792807811383,0.195562435500516,0.9018020163531,-0.443184773048688,-0.1340636863604016,0.0023666579808957,1.8498800654113,1.6762193146529538,0.5020017875571281
Ctla4,0.2614114471699611,0.6503532587123918,1.0,-0.0856052051025097,0.110814168709129,0.2620744809913674,1.52010483234034,1.666221875293485,0.7611456512731224
Icos,0.0129792807811383,0.1422164007303326,0.8369453044375644,-0.0096232110503217,0.2833562408699924,0.5688548960126838,1.80862327528006,2.1897301652116874,0.4172164817343941
Eef1b2,0.0007541478129713,0.0449313328570294,0.4319679288719536,0.0100369931405308,0.066719292558683,0.1342412088906651,2.60655636723982,2.7329431608052626,0.22946573934848238
Rpl37a,0.4824164483607208,0.8369453044375644,1.0,-0.0201379001179904,-0.0033132672274527,0.0106441841941259,3.96622182132176,3.963600832582704,0.8428083188294213
Arpc2,0.0017861395570373,0.1673414304993252,0.967135032150512,-0.0222614426696773,0.1245943828624117,0.2818095001731331,2.12164341369804,2.3170133268236763,0.4560252252943696
