gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_IL10_KOnonTLS_median,FDR_BH
Rb1cc1,0.0012982623324188,0.0053615566625386,0.0198937322170479,-30.09535580770515,-29.034612059652734,0.0,0.549906865271355,0.0,0.18576216907266094
Rpl7,0.0071842502183059,0.384456616654759,0.967135032150512,-0.0140700919927956,0.0360874760176506,0.1023499386582949,3.0934319407557,3.177948035190644,0.7573409605674015
Ptpn18,0.1389615849030182,0.2991188378185282,0.966278470916598,-0.1908361589053777,-0.1086039760971101,0.0559129264928718,1.65204321679743,1.52407999472275,0.7104072398190046
Neurl3,0.0035063931358507,0.058080805439756,0.4639528590961361,-30.134769780913327,-29.11622699021545,0.0,0.581912496707765,0.0,0.45012624215810904
Cox5b,0.0004268920055365,0.0076550160232633,0.0834836063534532,0.1578006087213909,1.573015496906322,30.310081362488013,0.4517254079075985,1.29671046223007,0.21470497322390872
Rpl31,0.0449313328570294,0.384456616654759,0.967135032150512,-0.1418532620961723,-0.0188170660954454,0.0606453050868423,2.266722784107335,2.2495207570951785,0.7573409605674015
Il18r1,0.0093051670732942,0.0746416924145041,0.5832976882782075,0.0667054342666793,0.9028585539153622,30.467429920180003,0.785600922942995,1.44735073455305,0.5053328371510679
Nabp1,0.0020922145085811,0.0416732654960307,0.3959854587360712,-30.46660710231781,-30.06425340259812,-0.6478848247307791,1.292726848036,0.0,0.40909255628603464
Stat4,0.1422164007303326,0.6503532587123918,1.0,-0.2622554992067736,-0.1350386982826445,0.0346991335704533,1.722572718230135,1.5593386289099138,0.7696452732676781
Gls,0.0987488370284312,0.4218308744273433,0.9662340001638232,-0.084503653997986,0.2386120765225601,1.1306961045910475,1.03938775839069,1.23529714069732,0.7696452732676781
Stk17b,0.1198301182821306,0.6503532587123918,1.0,-0.3944000327017548,-0.0223646057124498,0.1060110499992196,1.87477820555165,1.848652120931345,0.7696452732676781
Sf3b1,0.3842113904504527,0.7732396602365642,1.0,-0.1055072942633941,-0.0018837834128109,0.0726740325076351,1.45666876632877,1.45063424831691,0.793446271566788
Hspe1,0.0158250082707493,0.2899181831607423,0.9662340001638232,-0.062009609061213,0.8691810254117883,30.18556450429037,0.67096947517441,1.19454798094894,0.7104072398190046
Bzw1,0.0248582541509547,0.2899181831607423,0.8989467697321653,-0.3607718121142416,-0.195052613396521,0.1721398314594187,1.2504463789033,1.1036079640810263,0.7104072398190046
Clk1,7.938398031277289e-05,0.0129792807811383,0.1673414304993252,-0.3503224202989223,-0.2504018881783588,-0.1230996106423051,1.54602136135724,1.300352504388145,0.25482654600301524
Sumo1,0.0026507906056257,0.1356553584260904,0.7341922322477382,0.768271510206679,1.070423949039399,30.16638263761839,0.565196875064045,1.1787901789129938,0.6026292088501144
