gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_Salmonella_infNonTLSwk6_median,FDR_BH
Rpl7,0.0003108003108003,0.0139860139860139,0.2318570318570318,0.0299836029536587,0.0967074889053652,0.1760417412439819,3.0934319407557,3.3237839955367523,0.21114369501466146
Ptpn18,0.1828417017123981,0.6851773174958848,1.0,-0.1183494562409972,0.0013905677469633,0.1552937876186379,1.65204321679743,1.6434756812070876,0.8100202020202021
Cox5b,0.0391701660299839,0.3164717878479781,1.0,-1.315133064970648,1.4868285064412867,30.263882486496144,0.4517254079075985,0.9380076365387788,0.6684719535783366
Rpl31,0.3342968142968144,0.778865578865579,1.0,-0.029385103520494,0.1071731796890607,0.203912436015486,2.266722784107335,2.476568662977097,0.8100202020202021
Il18r1,0.1116117682982922,0.5958830905651777,1.0,-0.6092973918255188,0.6282809296691034,30.332457525921438,0.785600922942995,1.18408024895898,0.8100202020202021
Stat4,0.1146687981746683,0.4870641534695065,1.0,-0.466357495442919,-0.2438681260067749,-0.0284048325669997,1.74460943309666,1.445649185507755,0.8026268444497502
Gls,0.2628903364198475,0.768278203545834,1.0,-1.2736059095160048,-0.0250983095080972,1.0273452195555663,1.12264402955817,1.0181955496830346,0.8100202020202021
Stk17b,0.280963480963481,0.778865578865579,1.0,-0.3122048498167922,0.0459984355784585,0.2104810915111352,1.87477820555165,1.95133384509202,0.8100202020202021
Sf3b1,0.04009324009324,0.1205905205905206,0.3356643356643357,0.0875899510218321,0.2247365498769245,0.3456107116802732,1.45666876632877,1.7012798146737786,0.49943684633950125
Hspe1,0.2932707266977624,0.7603899357833063,1.0,-29.034612059652734,0.20658659564054,29.98570451466941,0.67096947517441,0.8114952302603875,0.8100202020202021
Bzw1,0.0677460138406892,0.219289318460756,0.6799884022342944,-30.27830334584093,-1.087612521110934,-0.0696800942507775,1.28265535242243,0.5899748233966043,0.6165289256198345
Clk1,0.2318570318570318,0.6943278943278944,1.0,0.0081324612307888,0.1883114812982262,0.3672402699460199,1.551368994196845,1.7666552090910748,0.8100202020202021
Sumo1,0.039102657638135,0.3164717878479781,0.9002274502182291,-0.2455010166746746,1.0205570396980652,30.224888693000217,0.565196875064045,1.124461079438645,0.6684719535783366
Cd28,0.04009324009324,0.3029010468563048,0.9550893550893552,-0.433039766730362,-0.1206425296058184,0.0625294148853501,1.8498800654113,1.7010866356251124,0.6684719535783366
Ctla4,0.3248386127491286,0.778865578865579,1.0,-0.3412871405583692,-0.0645222077211179,0.1749807655197076,1.54573084079698,1.4984246250307036,0.8100202020202021
Icos,0.04009324009324,0.1892773892773893,0.778865578865579,-0.0388824500939709,0.2988746383202862,0.6336852178352783,1.801464497645485,2.197668794281778,0.5905454545454546
Eef1b2,0.0093240093240093,0.1205905205905206,0.6125874125874127,0.0138899779655814,0.083520747990575,0.1606439443796444,2.60655636723982,2.75739427919675,0.49943684633950125
Rpl37a,0.0716550116550116,0.2318570318570318,0.6125874125874127,0.0175900667393306,0.0395827961277822,0.0728913321930929,3.97927286214841,4.083040971501798,0.6165289256198345
Arpc2,0.151981351981352,0.6943278943278944,1.0,-0.136986531310341,0.0273623632684935,0.1988992720166311,2.12164341369804,2.156368525610265,0.8100202020202021
Ncl,0.0059052059052059,0.151981351981352,0.778865578865579,-0.2910272379152923,-0.146241622131457,0.0031279559565366,2.23732106466724,2.02634748570917,0.5429562803608605
Ptma,0.0289044289044289,0.151981351981352,0.4634032634032634,-0.1784313679539046,-0.0867880273601434,-0.0351989124606744,3.0160220129097826,2.8394609438337453,0.5429562803608605
Actr3,0.2624806919433113,0.6835629105167564,1.0,-0.9064965844508864,-0.1626201733735144,1.1117996254233558,1.34739250373263,1.2201503342746052,0.8100202020202021
Snrpe,0.1321178224188759,0.6843747548063993,1.0,-0.1934208724696653,-0.0655417534323617,0.0945576999275785,1.46505633091344,1.3860237434335176,0.8100202020202021
Btg2,0.1199222999222999,0.5358197358197359,1.0,-0.351791078454299,-0.1348598279145982,0.0127102295966298,1.79301056409911,1.63406739335865,0.8100202020202021
Ptprc,0.0139860139860139,0.0721056721056721,0.3356643356643357,0.0836603096805004,0.199312524922976,0.3287052833366709,2.5037680331382,2.887519476925678,0.4044475415596105
Rgs1,0.00340809957091,0.0227796928098559,0.1289960116674872,-30.958053025652735,-2.5359010644564663,-0.6586594070371145,1.801464497645485,0.29311302639556,0.28054990092138316
Tpr,0.0235255986784301,0.1178837571664433,0.4835220598680489,0.1768657349022838,1.329402451141538,30.57475313440024,0.549906865271355,1.499127896347725,0.49943684633950125
Arpc5,0.20261353134705,0.7715426535572856,1.0,-0.3669796559680237,-0.0663046645304156,0.8530578292827259,1.29580270219512,1.2229814448263476,0.8100202020202021
4930523C07Rik,0.1332470203401324,0.5168677495508638,1.0,-30.248674771170663,-1.5632572659787751,0.7235836981547379,1.15059116719208,0.2974357741979175,0.8100202020202021
Gas5,0.2467376368078808,0.778865578865579,1.0,-0.2724762141248598,-0.0452876519414367,0.1739351858144364,1.55010236289611,1.5134446950606302,0.8100202020202021
Prdx6,0.0925337611903636,0.451509187944989,0.9550893550893552,-0.189691670221572,0.0912413550592462,0.4557547207310219,1.462634698746075,1.5600011461704475,0.7857707509881422
Prrc2c,0.1205905205905206,0.6125874125874127,1.0,-0.1835732381908991,0.018535844174361,0.2695723931056913,1.83734175178422,1.8410444250835625,0.8100202020202021
Hnrnpu,0.0289044289044289,0.1892773892773893,0.6951752225529518,-0.4558073629974155,-0.1860801403017256,0.0352413887782206,1.52010483234034,1.3507809178865011,0.5905454545454546
Itpkb,0.0516999549363111,0.2159249389401403,0.6604192593759595,-30.457673052782607,-2.8198653096334407,0.5177488601807806,1.31921310141975,0.18725797015218,0.6165289256198345
H3f3a,0.0012432012432012,0.04009324009324,0.2823310023310011,-0.2132971814959466,-0.1091699767833188,-0.0294805049783488,2.58474520449285,2.3983430630533675,0.34747474747474666
Fam107b,0.0175710667676868,0.1476485888064738,0.6012221988088494,-0.8812968254502647,-0.4454926587261466,-0.1473001652831802,1.60196005252185,1.18225157247,0.5429562803608605
Celf2,0.04009324009324,0.4634032634032634,1.0,-0.1324835834685252,0.1003112718524467,1.297364263411252,1.33200247558617,1.4704368904659575,0.7857707509881422
Vim,0.0006216006216006,0.0091553779041863,0.0553192420704978,-2.784482012893044,-1.0284626547065323,-0.6845740091223518,2.20078805549461,1.093106637186745,0.198347107438016
Rpl7a,0.151981351981352,0.6943278943278944,1.0,-0.086260466450367,0.0098113309209805,0.12147258542971,2.383945668299675,2.3801062815594234,0.8100202020202021
Set,0.4023069607299596,0.8153345943552276,1.0,-0.3985695189335345,0.017809163498684,30.11241315692476,1.21815743931789,1.247684939777374,0.8364609882568603
Rpl12,0.0003108003108003,0.0021756021756021,0.0289044289044289,0.1054059337529435,0.1586109907520291,0.20077132700415,3.6897484873249,4.121966468787587,0.1131313131313092
Hspa5,0.04009324009324,0.280963480963481,0.6943278943278944,-0.476026280203711,-0.3382871514594934,-0.1999134625938282,2.19120286332434,1.73335181572602,0.6477384684281237
Traf1,0.2200419962272734,0.7260951618325295,1.0,-0.3935694023970673,0.5496226790328245,30.291477306654485,0.864402761245295,1.25805750149255,0.8100202020202021
Rpl35,0.151981351981352,0.6125874125874127,1.0,-0.0467581595183126,0.0375010173341276,0.1158138228301806,2.57781820946429,2.6381523948524777,0.8100202020202021
Cytip,0.0203496503496503,0.2318570318570318,0.778865578865579,-0.3424448868654684,-0.2237209301855569,-0.0080450115505358,2.22153018051283,1.901214993412664,0.6165289256198345
Ssb,0.2628903364198475,0.768278203545834,1.0,-1.2028221242556425,0.0307689836200976,29.918634936466475,0.906210599086756,0.9990935952107456,0.8100202020202021
Hnrnpa3,0.1205905205905206,0.4634032634032634,0.9550893550893552,-0.0265069828751679,0.1248036491341315,0.2901570131245073,1.45666876632877,1.599594267942305,0.7857707509881422
Srp14,0.23176412298755,0.7603899357833063,1.0,-1.5585376584462594,0.0519715332550642,30.066483411505875,0.805439734782585,0.9162255905197224,0.8100202020202021
Pdia3,0.0235255986784301,0.1989589310924021,0.8609521360603793,-1.4716816456528925,-0.3825325551461951,0.0274478481137967,1.44310956872518,1.09927403558188,0.6165289256198345
Serf2,0.3356643356643357,0.778865578865579,1.0,-0.183764163949384,-0.0719464966673365,0.0582770859810553,2.2383217373567,2.124474150974581,0.8100202020202021
B2m,0.151981351981352,0.5358197358197359,1.0,-0.0242109501847736,0.018668560100583,0.0932542482268583,3.39335159073661,3.4348538580044825,0.8100202020202021
Eif2s2,0.1816061904559506,0.6778471254686949,1.0,-0.7340313233979281,-0.1289471730302815,0.9095151579928722,1.35952832695924,1.254426193343635,0.8100202020202021
Rbm39,0.2318570318570318,0.6125874125874127,1.0,-0.0839286691125378,0.0285968778112551,0.1631668238113558,2.32724172953015,2.373877346293465,0.8100202020202021
Top1,0.2318570318570318,0.7282210233302229,1.0,-0.2436618531542616,0.1176991986943266,0.4136167836119159,1.2940240606845217,1.4136579838954375,0.8100202020202021
Stk4,0.1148370473682217,0.4835220598680489,0.9536916548852497,-0.0502687342767276,0.3110877571235194,30.422035324502534,1.1471093717718102,1.4008150157794774,0.8024408653129322
