gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_Salmonella_infTLSwk6_median,FDR_BH
Rpl7,0.0037296037296037,0.054079254079254,0.5358197358197359,0.0134101493247099,0.0653096667957669,0.1364237380491291,3.0934319407557,3.25178727477812,0.24193350509139946
Ptpn18,0.0938616938616938,0.6125874125874127,1.0,-0.0892426915686977,0.0173625284098884,0.1968780312277423,1.65204321679743,1.6543626754810925,0.7932509545412773
Cox5b,0.0014014282659465,0.0307467786153291,0.2704562807161357,0.1449047190464531,1.567654449137133,30.322543139734456,0.4517254079075985,1.29729147494549,0.19216736634580686
Rpl31,0.1892773892773893,0.5358197358197359,0.9562121212121204,-0.0181734495046056,0.1124681038249108,0.1878291902333722,2.266722784107335,2.4553423512060077,0.7772129273835758
Stat4,0.3356643356643357,0.8620647160700694,1.0,-0.2586163716404969,-0.1173347701261867,0.0677964284837849,1.74460943309666,1.575276952239825,0.8665112665112666
Stk17b,0.2318570318570318,0.6943278943278944,1.0,-0.2397101270168792,0.1294309004044015,0.257365987944108,1.87312901738138,2.05106580248954,0.7932509545412773
Sf3b1,0.0205128205128205,0.0721056721056721,0.1892773892773893,0.0942621580840947,0.2210289315383657,0.3206935377018927,1.45666876632877,1.6951085401377974,0.27302732837300686
Hspe1,0.1692825080005217,0.6799884022342944,1.0,-0.8106149185731009,0.8591455180762123,30.235003217494715,0.67096947517441,1.200655192781635,0.7932509545412773
Clk1,0.3968919968919969,0.778865578865579,1.0,-0.0735111897044677,0.0545069122516736,0.1892749408231581,1.54602136135724,1.6118544232645076,0.8073606610191977
Sumo1,0.0014034822813198,0.0156942952060345,0.1116944677616236,0.9474115779497202,1.2512515003678135,30.35351565839909,0.565196875064045,1.33394572163508,0.15030946065428813
Cd28,0.1892773892773893,0.6943278943278944,1.0,-0.2514328808347183,0.0519203289349288,0.1981412701548301,1.8498800654113,1.909720971446415,0.7932509545412773
Ctla4,0.0112833336286544,0.0926061884983559,0.4174708539811019,-30.605848352396333,-0.8979442719038391,-0.3935766988324956,1.52010483234034,0.864126281013627,0.3191297591297589
Icos,0.054079254079254,0.280963480963481,0.9550893550893552,-0.0326532579415387,0.2843410894624754,0.5817493619916159,1.80862327528006,2.18508031320079,0.5740840356224972
Eef1b2,0.0059052059052059,0.0721056721056721,0.3968919968919969,0.0153384919935006,0.0777253954674151,0.1485732092967494,2.60655636723982,2.754811175627895,0.27302732837300686
Rpl37a,0.0938616938616938,0.280963480963481,0.5358197358197359,0.0238773759218678,0.043740099908002,0.0635221989612688,3.96622182132176,4.092794381905556,0.5740840356224972
Arpc2,0.0139860139860139,0.3968919968919969,1.0,-0.0525516444418981,0.1014294903433645,0.265185865318971,2.12164341369804,2.27815920037912,0.6693615026948361
Ncl,0.0003108003108003,0.0059052059052059,0.0825940945359642,-0.3464500520250688,-0.243575379975583,-0.1245450981804214,2.2019108769821347,1.87871826236045,0.08365708365708359
Ptma,0.0012432012432012,0.0139860139860139,0.0721056721056721,-0.2320701478583083,-0.1418089306815286,-0.0890666539604503,3.01485362096831,2.729823799291565,0.13823385916409087
Actr3,0.1816653005134988,0.640428787412791,1.0,-0.4124193024609042,-0.2001499844533904,0.9872328647292856,1.34739250373263,1.166519489892135,0.7932509545412773
Snrpe,0.0370731471147282,0.2318570318570318,0.9077864979090876,-0.180480314692452,-0.1047650006408563,0.0013405656373239,1.46505633091344,1.356633041306405,0.5297808523614974
Btg2,0.0003108003108003,0.0139860139860139,0.280963480963481,-0.5589601121470368,-0.358168960826682,-0.2416933914580054,1.79301056409911,1.388518473514575,0.13823385916409087
Ptprc,0.0003108003108003,0.0003108003108003,0.0012432012432012,0.2808671058138531,0.3892008738610044,0.5036924394360777,2.4976478663063304,3.2850296560496424,0.02201502201502125
Tpr,0.0125222247240691,0.0540064437120849,0.1895194278227644,0.3472622972168619,1.4745502319250856,30.59452314147868,0.549906865271355,1.59362738012641,0.24193350509139946
Arpc5,0.0518299272179096,0.3164717878479781,0.9081114183203758,-30.32642361891382,-0.5448428376751814,0.304302956248994,1.29580270219512,0.8521060646252185,0.6229578281980029
Gas5,0.1205905205905206,0.6125874125874127,1.0,-0.2353286383294921,-0.0522390899802243,0.1049273491574052,1.52458668064213,1.471342117188735,0.7932509545412773
Prdx6,0.151981351981352,0.6022000059254968,1.0,-0.5407189268278119,-0.2305221949668756,0.1265129461423044,1.462634698746075,1.25027040271201,0.7932509545412773
Prrc2c,0.0021522921522921,0.04009324009324,0.280963480963481,0.0413005194820299,0.1620223320507396,0.4017437418618986,1.83734175178422,2.04754649751255,0.22925988133529662
Hnrnpu,0.1205905205905206,0.6125874125874127,1.0,-0.2307950841999194,-0.0655995811088801,0.1095183443215975,1.52010483234034,1.4517290919623251,0.7932509545412773
H3f3a,0.0021756021756021,0.151981351981352,0.9550893550893552,-0.1494388521268271,-0.0590893602931689,0.0084281917835292,2.58474520449285,2.481033704315045,0.42494785915838545
Srp9,0.1295850583242484,0.6694111706224701,1.0,-30.09535580770515,0.0,29.86527516449779,0.594236091753515,0.4456861725200672,0.7932509545412773
Fam107b,0.0120506007705678,0.0421027181166023,0.1816653005134988,-1.5767615147366474,-0.4719412217609865,-0.2510901726941235,1.60402000419271,1.168851530408535,0.2294897982994997
Celf2,0.0093240093240093,0.1828417017123981,0.8620647160700694,0.0017072822260637,0.2118238935628303,1.443874300165963,1.33200247558617,1.558575814768145,0.4759934345733163
Rpl7a,0.1892773892773893,0.6943278943278944,1.0,-0.0938471240047787,-0.016980463803041,0.0798122924770414,2.3699687631323947,2.34247889300701,0.7932509545412773
Set,0.4169563825538743,0.8168005804132161,1.0,-0.2118457724232472,0.0302017151550655,30.11004138806752,1.21815743931789,1.243927428234,0.8405332849288544
