gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_IL10_KOnonTLS_median,median_IL10_KOTLS_median,FDR_BH
Rpl7,0.0035417982818979,0.0303828219765775,0.2144938077835174,0.0076526245218277,0.0194814060850428,0.031910539612278,3.17794866533598,3.2212571649337374,0.0971476218614134
Ptpn18,0.1572127533400038,0.5833604667027033,1.0,-0.0722673391311903,-0.0259787222861201,0.0123039061929231,1.5251846457107223,1.498515258966445,0.7022708735845492
Cox5b,0.0530462776109959,0.2365840933218761,0.664938845276299,-0.0985651764393107,-0.038646936479213,0.0203281163509703,1.2969610610448763,1.2622590874520874,0.384353446108679
Rpl31,0.1934539136476827,0.4025038237820035,0.7074539677020747,-0.0287562900149163,0.0075289447348488,0.0404474246710132,2.24807446415115,2.25791710924786,0.5475797277467906
Il18r1,0.0098670914216588,0.0548680082330767,0.2124944962928325,-0.4170917298730026,-0.2398047475208016,-0.1347716620951608,1.4473058673255776,1.227155646237845,0.1427136794456192
Stat4,0.0225760625231335,0.1123511976904639,0.3708443333042212,-0.1489504336450883,-0.0914133783049732,-0.0365132276460528,1.55862200912017,1.4627664661217823,0.2274205695186003
Gls,0.0016481779776653,0.0222830889126695,0.1261836274950477,-0.3436267327839106,-0.1687277025271123,-0.0782699010959323,1.2352788348406538,1.0980075473105888,0.0792530306756155
Stk17b,0.4025038237820035,0.8398599725400034,1.0,-0.0308081267976166,0.0121434066029913,0.0549893790640378,1.84945712454383,1.866764015180331,0.8415363397506621
Sf3b1,0.00090093559636,0.0101931049911082,0.078252228526237,0.0485951102560919,0.0883910536977206,0.1346669495145368,1.4509531678141725,1.54189748397167,0.049201333707079964
Hspe1,0.00200950485566,0.0303828219765775,0.2602362026171888,0.0370691015527769,0.127363667395266,0.2387903861039607,1.1931152045188098,1.3000556820080849,0.0971476218614134
Clk1,0.022495993943345,0.078252228526237,0.2365840933218761,0.0796110529586893,0.1366915392289851,0.1889890576087079,1.2997156183107,1.4274113259187124,0.18019549871638063
Sumo1,0.0007314819918142,0.0101931049911082,0.0885337720142295,0.0663987482518187,0.1236229571941632,0.1904454190230105,1.17965305001953,1.2833330502667926,0.049201333707079964
Cd28,0.0051079054249954,0.0225760625231335,0.1123511976904639,0.0579832863772883,0.1223862205653556,0.1798178551045193,1.540095965636635,1.6777947845642425,0.0792530306756155
Ctla4,0.0002462062328227,0.0011061781840807,0.0042647649140305,-0.3349204408199092,-0.2819855298948405,-0.2215776491859076,2.025600739399375,1.665210790008965,0.018510048280283714
Icos,0.0530979572855834,0.2854763088518824,0.8398599725400034,-0.0879964414049141,-0.045772579230041,-0.0006393640488969,2.2618105518028697,2.1902955454910487,0.4342700213443787
Eef1b2,0.0141379694559114,0.0998774027692641,0.3407786135629546,0.0125096351471758,0.0325677690459763,0.0492684923912744,2.6727707632516435,2.733419790866121,0.21066578231164107
Rpl37a,0.1409552191443714,0.2365840933218761,0.5067205148778584,0.0034710657191857,0.0123116600955175,0.0221041869799886,3.93005383269917,3.96330007834093,0.384353446108679
Arpc2,0.0530979572855834,0.4357306600317365,0.9769702553219756,-0.0082631457980971,0.014717635879304,0.0385080569312767,2.293693719433365,2.3172008058099465,0.5741123132176685
Ncl,0.1939308522824107,0.7074539677020747,1.0,-0.016884755053542,0.0175423994696608,0.0509742304069214,2.0488709167479824,2.07415304890244,0.7805316302998715
Ptma,0.026229387834857,0.1939308522824107,0.5833604667027033,-0.036232633395318,-0.0172024901505729,0.0005117747851602,2.9166316795698464,2.881699965337606,0.3311336321284699
Actr3,0.1939308522824107,0.7074539677020747,1.0,-0.0683038957482843,0.0074110070600343,0.0739277509889913,1.2209744260429614,1.2303886101500388,0.7805316302998715
Snrpe,0.0060989459312143,0.0404041195882236,0.2365840933218761,0.0251991344737018,0.0785276808424831,0.1263191909020826,1.41415527905807,1.493958287972915,0.11394869681622609
Btg2,0.002436734808989,0.0165749267498532,0.0998774027692641,-0.215407218770591,-0.1611041673203495,-0.0942924525972394,1.435855542735729,1.2847648643936838,0.06500479084708052
Ptprc,0.0005920421458944,0.00200950485566,0.0072599549881905,0.1347750348674123,0.1683912795354344,0.204254872645022,2.259039387047636,2.5382413235192125,0.023459800873053955
Rgs1,9.700571686015188e-05,0.0002454401733027,0.0008986087527771,-0.8638915939145525,-0.7430881838277803,-0.6494056818730273,2.259207448114433,1.3493990646147511,0.014860257861949439
Tpr,0.0463865932813986,0.2602362026171888,0.7950121719642381,-0.0127031465065831,0.0378602822942571,0.0944013166474037,1.5103688179900865,1.5525147078809238,0.4095253094477392
Arpc5,0.0604143694013455,0.2602362026171888,0.7508318840891169,-0.1177943795511224,-0.058805766069216,0.0014786184714812,1.4239304259837775,1.3681369512895676,0.4095253094477392
4930523C07Rik,0.0092933756248382,0.0802163779374212,0.327829142871759,-30.088822153199335,-1.7081764975932416,-0.1563260296004435,1.0572577127986262,0.3242244581150432,0.18387498504376915
Gas5,0.2854763088518824,0.7074539677020747,1.0,-0.0566389508075972,0.022594707939047,0.0861506170057955,1.6109413020593588,1.6375134225273325,0.7805316302998715
Prdx6,0.0193733193315928,0.1409552191443714,0.5443701458566098,-0.1203399559135844,-0.0738684570454283,-0.0180046046776768,1.652247838209474,1.567348850899525,0.26207229633509055
Prrc2c,0.0035498386349135,0.0141379694559114,0.0606019697120061,0.0841048519223876,0.1200007441132299,0.1587757532315234,1.84545648866125,2.00617570325827,0.05865504683361589
Hnrnpu,0.0060989459312143,0.0350891160940478,0.1409552191443714,0.0735082167750568,0.1256108897059519,0.1851153499473009,1.274464259485405,1.390420574256765,0.10547746274977243
H3f3a,0.078252228526237,0.3708443333042212,0.9309874465595672,-0.030308272602213,-0.0123555255280433,0.0059083010998231,2.509899029335054,2.4893858461378717,0.5229321778615703
Srp9,0.2581168138040263,0.7609548092906337,1.0,-0.0876955546989294,0.0194349462498852,0.1212631941159383,1.141168774569155,1.1537307692147798,0.8025195677812986
Fam107b,0.1572127533400038,0.5833604667027033,1.0,-0.129850330658184,-0.0547893005267536,0.0152076169644648,1.2993107360112035,1.25061037587193,0.7022708735845492
Celf2,0.0003822980939997,0.0051079054249954,0.0350891160940478,0.0812077197925881,0.1213382391082087,0.161837565081361,1.448025725361764,1.57672673016859,0.03770836063746605
Vim,0.0002196522091938,0.0004642339994646,0.0012894511967541,-1.7587338204273415,-0.6891629891432624,-0.5537129248201114,1.8774691099927847,1.168845583731055,0.014860257861949439
Edf1,0.0083285102576179,0.0502173255615299,0.2331568404810104,-30.148948972857323,-1.3339889816622044,-0.1602724409718963,1.152158723718855,0.4597556732715778,0.1377546307753443
Rpl7a,0.1748533068932927,0.623604884395689,1.0,-0.0182660237599572,0.0029768139753338,0.0245070134934187,2.499647884049224,2.5054207236553605,0.7297194684536966
Set,0.0024836325570125,0.0209539010383305,0.1162189779067234,0.2012693854145481,0.3193550016365197,1.6915829954952846,0.9963103316264228,1.2397014168058624,0.07849894269583516
Rpl12,0.0086155581188204,0.0303828219765775,0.0998774027692641,0.0269372305832477,0.0432363072936692,0.0607434616365798,3.700982860830119,3.814115348811988,0.0971476218614134
Hspa5,0.0042647649140305,0.0120228254076174,0.0350891160940478,-0.2640410673599363,-0.2145217086824553,-0.1655656452540609,1.933628906464249,1.6649769546573987,0.05437349869030572
Rpl35,0.3708443333042212,0.7508318840891169,1.0,-0.0243063491529173,0.0012628759957532,0.0254503395761158,2.491812568941884,2.493877721468909,0.7935107490794456
