gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk3_median,median_Salmonella_infNonTLSwk6_median,FDR_BH
Rb1cc1,0.0127769927806435,0.0764479298304189,0.4881429337396992,-29.144528346410183,-27.21161600280458,0.0,0.15542205414445,0.0,0.7807185978859797
Rpl7,0.2786324786324786,0.7209013209013208,1.0,-0.0536995555280585,-0.0063411262489486,0.0345344587429257,3.331759830943665,3.3263470557713024,0.7807185978859797
Ptpn18,0.1048951048951048,0.5053613053613053,1.0,-0.0839576861167817,0.0666034885153991,0.2202301566307835,1.5654239927883475,1.642687840286385,0.7807185978859797
Cox5b,0.0399796029462569,0.3169975086812533,0.95799832386793,-2.6968389374678847,-0.5455600144952537,0.0552639151423922,1.35736673168913,0.9256697741276548,0.7807185978859797
Eif5b,0.0158728572562095,0.2516139128667293,0.955270926520046,-30.130593151563005,-28.8431075809404,27.74287756812968,0.7097191032568795,0.0,0.7807185978859797
Rpl31,0.1948717948717948,0.6453768453768453,1.0,-0.0888544460843253,-0.0113751823213683,0.0486422216468904,2.486358324162582,2.4699054647275425,0.7807185978859797
Map4k4,0.0310325195001449,0.3651514359784691,0.958555419076078,-30.029163509753385,-2.903555828654587,0.9056028947796048,0.7026592348038363,0.1144168140364575,0.7807185978859797
Il18r1,0.2628736030405287,0.7463178799324552,1.0,-1.262809715813472,-0.124392928389174,0.6046081550963026,1.293219283728555,1.1809525317391518,0.7968443372480516
Nabp1,0.0494631804817343,0.3050045206475589,0.955270926520046,-30.142010015503985,-29.039883896229547,0.1274571038120143,0.6699320736652485,0.0,0.7807185978859797
Stat4,0.0498834498834498,0.5053613053613053,1.0,-0.3530967360041536,-0.0740730826958778,0.1443854562531552,1.522325802517765,1.4469961197960275,0.7807185978859797
Stat1,0.0214681709862187,0.1651999264393238,0.6856723475351414,-30.22233216706529,-29.51639401926501,0.0,0.7950637282357815,0.0,0.7807185978859797
Gls,0.1025458809789091,0.6339972307873878,1.0,-1.7029138440480844,0.0431669716143665,1.2454696429417536,0.9900489795278912,0.992765107538472,0.7807185978859797
Nab1,0.0127769927806435,0.0933375471780228,0.5655630979387989,1.184549761905007,29.456346798356723,30.16912141351719,0.0,0.7387099887855797,0.7807185978859797
Stk17b,0.0829836829836829,0.4418026418026417,1.0,-0.237228534033129,-0.0873453260233275,0.0538662389703911,2.07015417735965,1.9486697486861824,0.7807185978859797
Sf3b1,0.1303807303807303,0.6453768453768453,1.0,-0.0788754330320084,0.0463292430287298,0.1765082856582545,1.6478239526496852,1.7013152691828937,0.7807185978859797
Hspe1,0.0133028361855967,0.1559493936014953,0.8744661318050502,-30.03127380985405,-0.5198122333861324,0.0835404771593013,1.1774949861177255,0.819431947964125,0.7807185978859797
Bzw1,0.311062831417752,0.7840226582999281,1.0,-29.96558855218082,-0.5803396103914521,1.3135624157801329,0.9793722420309487,0.58415197957979,0.8005610871836035
Clk1,0.0379176379176379,0.3282051282051281,0.959129759129759,0.0150944562942374,0.2356009686761241,0.4511705010651395,1.50616089584525,1.7630460332486626,0.7807185978859797
Sumo1,0.169000047821659,0.7090730856847203,1.0,-1.077045829298919,0.0752079894808202,1.2576073221087345,1.0764365968955425,1.1227772914994425,0.7807185978859797
Cd28,0.0829836829836829,0.4418026418026417,1.0,-0.0622943267533533,0.1238040253205252,0.3364658153553582,1.5575239788931776,1.70282592294307,0.7807185978859797
Ctla4,0.1303807303807303,0.7209013209013208,1.0,-0.3499330926299555,-0.1034034729294789,0.1711611130582162,1.63008890950428,1.5083547845458425,0.7807185978859797
Icos,0.1605283605283605,0.7209013209013208,1.0,-0.1745485082231898,-0.0366702283695365,0.1193215103815943,2.25339974073416,2.197138707741305,0.7807185978859797
Eef1b2,0.1048951048951048,0.5053613053613053,1.0,-0.0921574363637366,-0.0292339155705317,0.0392529601549638,2.8142904546817578,2.75739427919675,0.7807185978859797
Rpl37a,0.5053613053613053,0.8784770784770783,1.0,-0.0224667118243108,0.0057564793309744,0.0362127220113686,4.069042234837937,4.082842516200649,0.8784770784770783
Arpc2,0.1948717948717948,0.7209013209013208,1.0,-0.0984327446341106,-0.0031267664787878,0.0990964649059874,2.16429583040506,2.1553459859933586,0.7807185978859797
Ncl,0.1303807303807303,0.6453768453768453,1.0,-0.1325988052152964,0.0258711148298941,0.1669798405118981,1.98700156264641,2.0245068557033763,0.7807185978859797
Ptma,0.0649572649572649,0.5053613053613053,0.959129759129759,-0.0962691357554291,-0.0415064995864798,0.0156906339215835,2.9261492674146723,2.83935074400879,0.7807185978859797
Lrrfip1,0.0127769927806435,0.2516139128667293,1.0,-29.514657276492738,-27.21161600280458,0.0,0.15542205414445,0.0,0.7807185978859797
Actr3,0.0619790574036473,0.4945189922275712,1.0,-1.028785085834323,-0.1244109447903613,0.2015050427599592,1.2840961773509698,1.2084677983528611,0.7807185978859797
Ubxn4,0.0092177973470549,0.0924391357016531,0.476087344441214,-30.051184443425328,-29.52514103640232,-1.138019559534648,0.8122491946112824,0.0,0.7807185978859797
Nucks1,0.169000047821659,0.6978946698210747,1.0,-2.135522525910053,0.1234926118573518,2.4241255840642677,0.775981026977517,0.8252263929134025,0.7807185978859797
Snrpe,0.1048951048951048,0.6453768453768453,1.0,-0.1806607797324359,0.0128932154807586,0.2111525994366315,1.37675279127473,1.380757210661335,0.7807185978859797
Btg2,0.0498834498834498,0.2786324786324786,0.8784770784770783,-0.0326848174818648,0.2714788030613065,0.4227854045157801,1.3375980194338386,1.6352683662420686,0.7807185978859797
Ptprc,0.1605283605283605,0.5737373737373737,1.0,-0.0283757030179049,0.0654489358344831,0.1601463163494085,2.7555845326385224,2.8863489945388823,0.7807185978859797
Rgs1,0.0325306307291984,0.2496751994882275,0.957810850422856,-30.37822289292792,-1.798418960842489,0.2665531122478378,1.192110326567268,0.3056758861438375,0.7807185978859797
Tpr,0.1048951048951048,0.6453768453768453,1.0,-0.2863589737803846,-0.0380213262405806,0.1781346574574537,1.551999961651155,1.4981115854396705,0.7807185978859797
Arpc5,0.1048951048951048,0.6453768453768453,1.0,-0.2722027657453988,0.0232249488186367,0.2747552543405457,1.1952699825496151,1.2226621603643988,0.7807185978859797
4930523C07Rik,0.0820772977283139,0.5531274454486008,1.0,-30.160084998787493,-1.3904701013003278,1.7051495710671545,0.8823338324517974,0.3071206809607775,0.7807185978859797
Gas5,0.2343064835240773,0.7209013209013208,1.0,-0.2262298460701958,0.015918418194632,0.2856107271538836,1.48810001517097,1.5120424680969826,0.7807185978859797
Prdx6,0.1303807303807303,0.5053613053613053,0.959129759129759,-0.0132637617156934,0.1421439933699806,0.3272883785359223,1.4245436589767126,1.5589513426450976,0.7807185978859797
Prrc2c,0.1948717948717948,0.7209013209013208,1.0,-0.1703958087126948,0.0133873666378703,0.1641760117837089,1.8212811787675172,1.842533544557495,0.7807185978859797
Pfdn2,0.2496751994882275,0.7723374412927804,1.0,-29.3223405695856,0.0,28.85631535726448,0.15542205414445,0.0,0.8005610871836035
Slamf6,0.1419908466507321,0.5068648382325069,1.0,-28.008167237390005,0.0,29.03794970698847,0.0,0.1616135131783212,0.7807185978859797
Tagln2,0.0287082281575455,0.3694929212098171,1.0,-29.87000697386537,-28.528394224659724,0.5135541086423265,0.4604072113959863,0.0,0.7807185978859797
Hnrnpu,0.188510304358411,0.6587604079106861,1.0,-0.2271604957930443,-0.0019245456819623,0.1950257083760159,1.3491823420042688,1.3527634528728163,0.7807185978859797
Itpkb,0.0561297453735418,0.3654215579150202,1.0,0.0,27.480451891384813,29.62593255748989,0.0,0.18725797015218,0.7807185978859797
H3f3a,0.1048951048951048,0.6453768453768453,1.0,-0.1032719746185183,-0.0217624760648482,0.0557972002247965,2.43858466942347,2.3983430630533675,0.7807185978859797
Srp9,0.0399290996811333,0.3648813140419181,1.0,-30.11615442739328,-0.8348528552099748,0.3318268667653529,1.108668274312435,0.6189112583102875,0.7807185978859797
Fam107b,0.2687359373937462,0.7517368206683361,1.0,-0.5362540211234653,-0.0283013920039019,0.3658860709981735,1.204454119483525,1.18938803393516,0.7978586270547463
Celf2,0.0281274281274281,0.5053613053613053,1.0,-0.0942637620678206,0.1955095816469217,0.4823780598145561,1.2729426788288114,1.4705720339896813,0.7807185978859797
Atp5c1,0.0752002988766929,0.6217687412649331,1.0,-30.065693659542973,-1.06495676971671,29.217885114148235,0.61980380760026,0.269654865701985,0.7807185978859797
Vim,0.2202347585707377,0.7090730856847203,1.0,-1.363889562495311,0.2918226148850538,29.298358715600585,0.8519967565314792,1.07368553074809,0.7807185978859797
Edf1,0.0035383895982645,0.0550394824230302,0.476087344441214,-30.14631167138212,-29.805630822778223,-0.7781411935030028,1.010590369232093,0.0,0.7807185978859797
Rpl7a,0.0046620046620046,0.1303807303807303,0.6453768453768453,-0.174410626612038,-0.098892137441252,0.0035182124834925,2.559245054046375,2.379753320575475,0.7807185978859797
Set,0.0649572649572649,0.5737373737373737,1.0,-0.4833657996783998,0.0028864817689639,0.1698858258219162,1.2252635101244,1.2451103828006551,0.7807185978859797
Rpl12,0.0206682206682206,0.2344988344988344,0.8784770784770783,0.0056537077749308,0.0393283091921083,0.0806542571812123,4.012261804766689,4.12306303771728,0.7807185978859797
Hspa5,0.0829836829836829,0.5737373737373737,1.0,-0.2420687403019442,-0.0636497547964,0.1028322470146708,1.8109184808960623,1.73335181572602,0.7807185978859797
Traf1,0.0104118104118104,0.1605283605283605,0.7984459984459983,-0.7127216223588138,-0.2289551623358711,0.0383026869276589,1.465126734971805,1.2578689491348336,0.7807185978859797
Rab14,0.1388637976716842,0.6217687412649331,1.0,-29.96142494214654,-0.958394480914579,29.20874497015088,0.4234740501117837,0.0,0.7807185978859797
Rpl35,0.4418026418026417,0.7984459984459983,1.0,-0.0882995718677181,-0.0087624901422293,0.080187382153566,2.646557202783238,2.6381523948524777,0.8005610871836035
Arhgap15,0.0820772977283139,0.5498255885806054,1.0,-29.502076723024995,-27.47773763667151,28.194230427901022,0.2019544644126012,0.0,0.7807185978859797
Cytip,0.194013209013209,0.7209013209013208,1.0,-0.1350651869395411,0.0120762871035271,0.1540717400890579,1.881559418966225,1.8998225030095572,0.7807185978859797
March7,0.0035383895982645,0.0310325195001449,0.312686223816409,-30.189935128463315,-29.85753497051558,-1.5340968861043216,1.0093220032611914,0.0,0.7807185978859797
Ppig,0.1452908980243374,0.6662276454096188,1.0,-27.925081748502627,-0.2370361134360769,28.63338370974289,0.92669768539496,0.7630901171090625,0.7807185978859797
Ssb,0.1686509059388473,0.6978946698210747,1.0,-1.6257771129034213,-0.1944466166749284,0.6847857300574702,1.1446455890343477,0.98889399938041,0.7807185978859797
Atp5g3,0.2073914000366514,0.7463178799324552,1.0,-2.012376317895375,0.0159283665148845,29.66009291558507,0.82042864004252,0.7918095462592649,0.7968443372480516
Hnrnpa3,0.1303807303807303,0.6453768453768453,1.0,-0.193293620134988,-0.0483028332523405,0.1063636803072836,1.6473071797421526,1.5977423740461776,0.7807185978859797
Zc3h15,0.0035113107016013,0.0702701306056764,0.5244497218060842,-30.10371404885523,-29.784290353935827,-0.7347915260142323,0.9615312797070396,0.0,0.7807185978859797
Cd82,0.1826273205277613,0.7011912626598479,1.0,-29.28469299495136,0.2623337293224702,29.34166992269085,0.269271259642235,0.3478918607545125,0.7807185978859797
Cd44,0.2715886742433745,0.7791362111653477,1.0,-29.87911842632476,-1.3038707900907966,28.905906026671797,0.3251968853120247,0.0,0.8005610871836035
Eif3m,0.289818055067093,0.7898534698691263,1.0,-2.459769404626442,-0.1811764786018246,0.5783573696032104,1.112918617430862,0.9946192347280988,0.8005610871836035
Nop10,0.0522595003179697,0.2808875253195705,0.7011912626598479,-30.17087074206962,-29.96750811669389,-1.547528733409225,1.1089262098209,0.0,0.7807185978859797
Srp14,0.11250638569044,0.5967990595834041,1.0,-1.804994458333236,-0.3729378092400988,0.2045922791384553,1.1853906136402323,0.8971313473095075,0.7807185978859797
Rtf1,0.0402162497314596,0.2715886742433745,0.9538571530616036,-29.710795463957524,-27.37630983286665,27.66962492594848,0.2586423606186625,0.0,0.7807185978859797
Pdia3,0.3056410254213622,0.7840226582999281,1.0,-1.1304856348684744,0.0538740154174101,2.161660159161056,0.9850210780518096,1.099127531851315,0.8005610871836035
Serf2,0.0147630147630147,0.1303807303807303,0.4418026418026417,-0.2459292954134233,-0.1432585108007422,-0.0733503746420795,2.3463755394730947,2.1248601205708537,0.7807185978859797
B2m,0.0829836829836829,0.5053613053613053,1.0,-0.0597850054827888,-0.0257870990929351,0.0168790093932587,3.502392258592929,3.435279616353315,0.7807185978859797
Snrpb,0.0561971119187938,0.2172187573017174,0.5374806305482035,-30.029325301559048,-29.436160527917213,-1.4768670488013276,0.7450904136731138,0.0,0.7807185978859797
Rrbp1,0.0127769927806435,0.091125993228696,0.4328024837451926,-29.69038462180411,-28.605098407517147,0.0,0.4083124746013072,0.0,0.7807185978859797
Fkbp1a,0.0309783644973281,0.2355589199240795,0.9538571530616036,-30.145397474342094,-29.826903435901485,-0.4429545513741961,1.0282246347573871,0.0,0.7807185978859797
Chmp4b,0.0310325195001449,0.3593635170698864,1.0,-30.04030147698604,-1.3516898482088742,0.2875416787432981,1.0150279806595104,0.3575947406425652,0.7807185978859797
Eif2s2,0.0828964098822239,0.4935627897033893,1.0,-0.7573060251976045,-0.0706685496083054,0.2322904202645668,1.2999016720858412,1.24808703616566,0.7807185978859797
Rbm39,0.0498834498834498,0.4418026418026417,0.959129759129759,-0.0326321115836596,0.040522863071146,0.131872081974684,2.313415642329385,2.379412513943301,0.7807185978859797
Scand1,0.0548784312548176,0.3648813140419181,0.957810850422856,-30.035018813725,-1.0644459115626344,0.7087250423255681,1.0677844808247523,0.4648344549741462,0.7807185978859797
Top1,0.0829836829836829,0.5684870004402581,1.0,-0.0952064284351905,0.1217989839256744,0.3323078355613368,1.2907326338816727,1.4127393576611027,0.7807185978859797
Serinc3,0.0847449524226575,0.3854182323682291,1.0,-0.0780373418772028,27.55353961337334,28.91298980271071,0.0,0.2830607002264725,0.7807185978859797
Stk4,0.1048951048951048,0.6453768453768453,1.0,-0.2276473285030977,0.0872298803498176,0.32110198119148,1.3178804521882324,1.4067304987831777,0.7807185978859797
Sys1,0.1651999264393238,0.7723374412927804,1.0,-28.083675950649187,1.558075954103497,29.35312313425389,0.0,0.2717862950043275,0.8005610871836035
Ptpn1,0.0496329132677271,0.4186613785292437,1.0,-29.95307337389221,-2.670577617438667,1.203265066095398,0.6129376092365095,0.1616135131783212,0.7807185978859797
Gnas,0.2344988344988344,0.7209013209013208,1.0,-0.2290843627183489,-0.0404490431918095,0.1518586386952896,1.64761695069791,1.6029405675596171,0.7807185978859797
Atp5e,0.1605283605283605,0.6453768453768453,1.0,-0.1362366154844602,-0.045439613149229,0.0606781913385108,2.066889883890365,1.9997349006800225,0.7807185978859797
Psma7,0.2974507468492199,0.7886676855699262,1.0,-2.1327786568185694,-0.2777095250993886,1.0264484719974858,0.967425310446788,0.8039072264022451,0.8005610871836035
Rps21,0.1605283605283605,0.5053613053613053,0.959129759129759,0.0110070180779572,0.0567352041423578,0.1057272963273976,3.826472835254703,3.980448094908815,0.7807185978859797
Rpl22l1,0.0498834498834498,0.5053613053613053,1.0,-0.0584116350632103,0.0332951832016464,0.1168163403941525,2.612639982205575,2.6744782592979224,0.7807185978859797
Sec62,0.0704615426471519,0.3694929212098171,0.956284952863831,-30.20322956625212,-1.5885239193433014,0.3114202940925152,1.0975178952286448,0.3804698568307835,0.7807185978859797
Ttc14,0.0819053727570234,0.574872695668895,1.0,-29.91834251242748,-0.8195634157141594,29.07567094164454,0.3911813074444518,0.269654865701985,0.7807185978859797
4932438A13Rik,0.2073914000366514,0.7430135555886839,1.0,-28.136678422440248,1.891899280394096,29.40403466294088,0.0,0.2219308937576587,0.7968443372480516
Serp1,0.0495434179315451,0.451913458279073,1.0,-29.62677759412377,-27.21161600280458,27.480451891384813,0.2900507190911175,0.0,0.7807185978859797
Mbnl1,0.1303807303807303,0.5053613053613053,1.0,-0.0107877789773941,0.0871558120152165,0.1960983931304913,2.0807362852411098,2.21813800528302,0.7807185978859797
Ccnl1,0.1832329769288219,0.6945980769823016,1.0,-29.46265850601681,0.7002640296681382,29.342227906564265,0.1952726017235207,0.354740726417435,0.7807185978859797
Pdcd10,0.1480106940237816,0.6549402754623503,1.0,-28.491766795317204,27.267972600894403,29.842669231417013,0.0,0.4449354807265759,0.7807185978859797
