gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk6_median,median_Salmonella_infTLSwk6_median,FDR_BH
Rpl7,0.0104118104118104,0.1948717948717948,0.959129759129759,-0.068414095205829,-0.0318614609695515,0.0083457421071316,3.3233880769978774,3.251888092875705,0.5352909884030214
Ptpn18,0.1303807303807303,0.6453768453768453,1.0,-0.0930449262399918,0.0121074892562343,0.1193703980466106,1.6423850909615076,1.6526429415910449,0.7648023628792858
Cox5b,0.0513398264234592,0.4935627897033893,1.0,-0.0572429440545043,0.4823943075758777,2.5983575352225743,0.9296281806313476,1.29834549112136,0.7648023628792858
Rpl31,0.1948717948717948,0.7209013209013208,1.0,-0.0653005513940258,-0.0091576049498526,0.0612477099707628,2.47040715798695,2.45333951843035,0.7648023628792858
Map4k4,0.1970345369219474,0.6727535536421879,1.0,-29.27109293569462,-0.0438291514501646,0.0649214031580077,0.1144168140364575,0.0,0.7648023628792858
Il18r1,0.0014600619162422,0.0070967292562013,0.0706320011511006,-30.41933554923957,-30.137341543692155,-29.05763813338965,1.1809834018394625,0.0,0.1381774931648606
Stat4,0.0147630147630147,0.2344988344988344,0.959129759129759,-0.0447006952971054,0.1288492314448386,0.3062978924350844,1.4463115630077277,1.5751223105340024,0.5993753993753991
Gls,0.0082441676805517,0.1311305028696508,0.8621866944007625,-30.244697663956156,-29.53678565108605,0.2692366154381949,1.0299145732962498,0.0,0.4568862784195202
Nab1,0.0820772977283139,0.5372487561593727,1.0,-30.107664316261143,-0.7240906945374688,1.6917017307638882,0.7387099887855797,0.4699682883461855,0.7648023628792858
Stk17b,0.1303807303807303,0.5053613053613053,1.0,-0.0389615360338045,0.0739416241253152,0.1961030443312467,1.946920390514245,2.04900510567346,0.7648023628792858
Sf3b1,0.1948717948717948,0.7209013209013208,1.0,-0.1197549043736875,-0.012481808835976,0.1013810774213917,1.70652586299286,1.69435387413204,0.7648023628792858
Hspe1,0.0591504362583107,0.3551961528579356,0.957492737513927,-0.8175081921528412,0.4977726133209,30.16164863723372,0.8114952302603875,1.208863920168185,0.7335427857166986
Bzw1,0.0127769927806435,0.0764479298304189,0.5244497218060842,-30.08408067163197,-29.12176852735372,0.0,0.5846375926598575,0.0,0.3686926049342153
Clk1,0.0498834498834498,0.3282051282051281,0.959129759129759,-0.3046114765913194,-0.1383891192783949,0.0365715034408754,1.7728642849994452,1.6128354591716176,0.7031449672226369
Sumo1,0.0147319011399459,0.1647642041750097,0.6355065570939342,0.0615435085038895,0.2460734242753667,1.3084986300273598,1.13091148148069,1.33294252090282,0.5232648387695328
Cd28,0.0206682206682206,0.1605283605283605,0.6470671614286911,0.0518165351867876,0.1629038787816528,0.2995441425896009,1.7076371866877362,1.9076795915644904,0.5169006949942875
Ctla4,0.0016625122099821,0.0229215547738114,0.169000047821659,-30.547712564863925,-0.772999120810373,-0.2798658435599291,1.50326580242843,0.901411082954384,0.21991404725019054
Icos,0.1303807303807303,0.6453768453768453,1.0,-0.1339216992973482,-0.010852157236286,0.1233545750740992,2.1982981242328226,2.183318208483415,0.7648023628792858
Eef1b2,0.2344988344988344,0.7209013209013208,1.0,-0.0569196730025934,-0.00233686412251,0.0482322985670138,2.75739427919675,2.7549091424212,0.7648023628792858
Rpl37a,0.3822843822843822,0.7984459984459983,1.0,-0.0253556713152356,0.0039314629082048,0.0273278032393206,4.081432896669125,4.09187499056228,0.8032997735125392
