gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk3_median,median_Salmonella_infTLSwk6_median,FDR_BH
Rpl7,0.0069930069930069,0.1605283605283605,0.8003532133873983,-0.0887967897945717,-0.0364714559133107,0.0059796361091676,3.328100703637659,3.25114199902647,0.5331127034830737
Ptpn18,0.1605283605283605,0.7209013209013208,1.0,-0.1322026360433225,-0.0314526389511017,0.0859800673004372,1.69118953977969,1.657052469132985,0.7756898212898211
Cox5b,0.0353705115545237,0.3282051282051281,0.959129759129759,-0.224945566773659,-0.0660660675154688,0.0609799550817679,1.34806832141898,1.297116100701865,0.6979223674875846
Rpl31,0.0376728826728826,0.2344988344988344,0.8784770784770783,-0.1273429052783708,-0.0624373046660788,0.004578119433196,2.5675473677732104,2.457774830124315,0.6154164534652337
Stat4,0.0206682206682206,0.2786324786324786,0.8804933954933936,-0.0105565448765889,0.1159472633136047,0.2590413144747655,1.4557369069172674,1.5730113546561326,0.6546038144291418
Nab1,0.1687962529391395,0.7011912626598479,1.0,-29.71501069979626,-0.3143698780750155,2.749723790570689,0.6289099708720394,0.4844521396311425,0.7756898212898211
Stk17b,0.0206682206682206,0.1605283605283605,0.5737373737373737,0.0463907791961022,0.1274558105288395,0.19920973236786,1.8782994112687312,2.05368358563465,0.5331127034830737
Sf3b1,0.0006216006216006,0.0379176379176379,0.4433916083916068,0.0466259728010877,0.1482282055183057,0.2800813855595949,1.53083010089597,1.69483183777292,0.3815207781187986
Hspe1,0.056715944432522,0.3169975086812533,0.957810850422856,-1.1784016611472878,-0.1364041607345964,0.0687338789833316,1.307921914063455,1.1971387457393723,0.6979223674875846
Clk1,0.0498834498834498,0.3822843822843822,0.960151515151514,-0.07403187785839,0.093015249886132,0.2451330232771418,1.5077029392751575,1.613294799962155,0.7398165383776893
Sumo1,0.1605283605283605,0.7111541697294341,1.0,-0.0583594857440356,0.0323813615072802,0.1504305814631775,1.30436865445074,1.333422663592945,0.7756898212898211
Cd28,0.0001554001554001,0.0018648018648018,0.0379176379176379,0.1967714829807075,0.3129835137300135,0.4407098608062543,1.535452631641045,1.91047047161494,0.20065268065267367
Ctla4,0.030056881600676,0.3112018520843261,0.95799832386793,-30.19198527921118,-0.3727308958747979,0.2901499765567161,1.1276648769042037,0.8853124288721065,0.6979223674875846
Icos,0.1048951048951048,0.5053613053613053,0.960151515151514,-0.0266113000890067,0.0987880581603255,0.2171743818134852,2.0389142947842203,2.188112331265048,0.7756898212898211
Eef1b2,0.0104118104118104,0.1303807303807303,0.6470671614286911,-0.1068330169685645,-0.0572688705491693,-0.0091222598791068,2.8674782180654628,2.75752882682701,0.48711689545022857
Rpl37a,0.3282051282051281,0.7209013209013208,1.0,-0.0113655372489209,0.006468017601004,0.0267240859789444,4.073815525901296,4.094001596592005,0.7756898212898211
Arpc2,0.2343064835240773,0.7209013209013208,1.0,-0.0485148619887636,-0.0056505529994969,0.04292387309277,2.2858382229883274,2.27726092626419,0.7756898212898211
Ncl,0.2786324786324786,0.7209013209013208,1.0,-0.070029662758926,0.0216648460230349,0.1100816587664434,1.847114354757275,1.87370836457623,0.7756898212898211
Ptma,0.0281274281274281,0.3822843822843822,1.0,-0.0857733970487883,-0.0283326360059545,0.0232591199670688,2.780931269033088,2.728525589713225,0.7398165383776893
Actr3,0.0073620625226393,0.0829836829836829,0.5737373737373737,-0.3812545074512618,-0.236758759448103,-0.101817954166389,1.3764031860972177,1.167670865163125,0.4420318954972416
Nucks1,0.042540179680975,0.4323095522662977,1.0,-30.0016699992758,-1.6475380226336804,0.1842377748201754,0.9854193715703532,0.280183410320323,0.7742339455694504
Snrpe,0.1048951048951048,0.6453768453768453,1.0,-0.1477653835388947,-0.0401784505577816,0.0716870851131451,1.398688303917615,1.357384982368775,0.7756898212898211
Btg2,0.0829836829836829,0.5053613053613053,1.0,-0.0443962974180978,0.1741403589511047,0.3455834127823368,1.229276025718425,1.38870987244417,0.7756898212898211
Ptprc,0.0003108003108003,0.0029526029526029,0.0206682206682206,0.1035661435329216,0.1477581711712895,0.1838781640931253,2.9624849871109675,3.2857887109059924,0.2647500647500601
Tpr,0.0134408033545495,0.1048951048951048,0.5070707070707055,-0.287748328018134,-0.1586991854121657,-0.0413369996006962,1.7788514731253875,1.592535003491525,0.4625702166685769
Arpc5,0.0033731866908446,0.0485974356945255,0.4313419524116315,-30.34210274258226,-0.6414786122633855,-0.0698749670251145,1.2955642391583613,0.8512877404800134,0.3946661181955293
Gas5,0.1948717948717948,0.7209013209013208,1.0,-0.1696717725611211,-0.0112888249655218,0.1377658514298238,1.485893008204285,1.47341025285821,0.7756898212898211
Prdx6,0.0649572649572649,0.2786324786324786,0.8784770784770783,-0.3149046078848115,-0.1455052206429271,0.045320898504925,1.3951299963246802,1.25114867573021,0.6546038144291418
Prrc2c,0.0147630147630147,0.2344988344988344,0.959129759129759,0.0029443042297995,0.0821599876988392,0.177679848945444,1.9373746804745824,2.048871278617915,0.6154164534652337
Slamf6,0.1604138863551888,0.6339972307873878,1.0,-0.045108959573807,0.10698628800239,0.4918435490473658,1.2648066358756949,1.3588459734232123,0.7756898212898211
Hnrnpu,0.0069519576779363,0.1948717948717948,0.959129759129759,-0.0181527978746011,0.1511695822436584,0.3604266849112113,1.3097536346760987,1.45150884009902,0.5857040538604782
H3f3a,0.0498834498834498,0.5737373737373737,1.0,-0.0585566855385281,-0.0130027903626346,0.0303805673472046,2.502420237951875,2.4810039209165824,0.7756898212898211
Srp9,0.0354146352874263,0.3593635170698864,1.0,-30.021053584476785,-1.270567238128986,0.1962130739371511,1.0262957632804004,0.378648164026596,0.7398165383776893
Fam107b,0.3648813140419181,0.7898534698691263,1.0,-1.0971433523126777,0.0094251310796783,0.2163364694039286,1.15151060254633,1.167570883376,0.8044268673482156
Celf2,0.0046620046620046,0.1605283605283605,0.8784770784770783,0.0020278936148124,0.1627290496051314,0.3274972887125119,1.388854329819475,1.5606247120916223,0.5331127034830737
Atp5c1,0.0424886615917809,0.2202347585707377,0.7898534698691263,-30.1966942180942,-1.225879599312734,0.024918719993741,1.1752993254855613,0.4998787656378865,0.6154164534652337
Rpl7a,0.0206682206682206,0.3282051282051281,0.8804933954933936,-0.1420408268449734,-0.0687411821320088,-0.0080260777812717,2.454353877458733,2.34284210513181,0.6979223674875846
Set,0.0829836829836829,0.6362542681663956,1.0,-0.1958554182676043,0.0283777323588798,0.3484112113372091,1.2163575051731024,1.241368213218665,0.7756898212898211
Rpl12,0.0829836829836829,0.3822843822843822,0.959129759129759,0.0034301073871112,0.038103437017948,0.0693378069188743,3.9527276690088224,4.06448862406603,0.7398165383776893
Hspa5,0.1605283605283605,0.7209013209013208,1.0,-0.1193324012955297,0.0037559445107482,0.1598529261581905,1.8554197213095736,1.85886504478016,0.7756898212898211
Traf1,0.0288478471059736,0.2900470430093371,0.959129759129759,-1.441771792322616,-0.1648067534662444,0.133185445767485,1.1916451183630423,1.0927067597574949,0.6726090911164799
Rpl35,0.0649572649572649,0.3282051282051281,0.7984459984459983,-0.1476294541820314,-0.0954796916333016,-0.0445379364516566,2.7737934143481624,2.6031820711520326,0.6979223674875846
Cytip,0.0006216006216006,0.0104118104118104,0.0829836829836829,-0.4799853662616501,-0.3720127749386008,-0.2410541310818187,2.0964826381577124,1.615414235215765,0.30548084394238106
Ppig,0.024610569200446,0.2202347585707377,0.8293276535635627,-30.251883983703397,-1.004975743105342,0.1840316537793291,1.1506791317376526,0.56209229163947,0.6154164534652337
Ssb,0.0133130027638166,0.1235871323724041,0.5737373737373737,-1.214668246217887,-0.1984718927202065,0.0274289413598961,1.338117217271475,1.166875393998955,0.48711689545022857
Atp5g3,0.0133130027638166,0.187959068257727,0.95799832386793,-1.3646876993801436,-0.1586988634336082,0.0428077172745834,1.18402453302347,1.062940132388571,0.5857040538604782
Hnrnpa3,0.0498834498834498,0.3282051282051281,0.959129759129759,-0.0562881112688851,0.0772098813556123,0.1847037549150017,1.511890045256295,1.5961900687182475,0.6979223674875846
Nop10,0.1705220617263874,0.7058654396235203,1.0,-30.01414387749881,-0.9277870742288206,0.2226224143935351,1.0151008386342983,0.53524534994886,0.7756898212898211
Srp14,0.0053485092573125,0.1016558735526014,0.5623719669710694,-1.1514073338095234,-0.1769795995072437,-0.0059408777381989,1.3258127093460952,1.17853801905695,0.4625702166685769
Serf2,0.0498834498834498,0.2786324786324786,0.6453768453768453,-0.1605383836423095,-0.1162726810915914,-0.0747229499978936,2.414298622477628,2.229639467411495,0.6546038144291418
B2m,0.1048951048951048,0.5737373737373737,1.0,-0.0395068553446754,-0.0149557135937213,0.0137173647081563,3.401614339541105,3.36500035616776,0.7756898212898211
Eif2s2,0.0518570202911714,0.4418026418026417,1.0,-0.2293238461411018,-0.0732126618937613,0.0749370216599695,1.2582545746077989,1.1978352976116424,0.7742339455694504
Rbm39,0.1948717948717948,0.6453768453768453,1.0,-0.0169179699911561,0.0452707013799546,0.1129135246581775,2.165090433232129,2.2343075289714625,0.7756898212898211
Scand1,0.0325306307291984,0.2619562016970459,0.8715033902986823,-30.21932865724069,-14.724955731611695,0.0051990654073803,1.0844501446191526,0.1760054560085247,0.6546038144291418
Top1,0.0498834498834498,0.2786324786324786,0.959129759129759,0.0030989971443913,0.1683609449446525,0.3121121919737019,1.3553072965619426,1.529443040686563,0.6546038144291418
Stk4,0.0046620046620046,0.0649572649572649,0.5053613053613053,0.0491371657566672,0.160541831509876,0.3334027972916451,1.4529895301474114,1.61742875709552,0.4270473148618619
Gnas,0.1048951048951048,0.4418026418026417,0.959129759129759,-0.1709928141521041,-0.0815153751928065,0.0041088401422291,1.572824582791521,1.4886138543590124,0.7742339455694504
Atp5e,0.0147630147630147,0.1605283605283605,0.6453768453768453,-0.1833948939035317,-0.1199092637253007,-0.0484239377928342,2.0514530613773,1.885434201122525,0.5331127034830737
Psma7,0.0308276094320916,0.169000047821659,0.7123816042098661,-1.365785130467081,-0.2370094334902343,0.0124153823567362,1.2966624283479924,1.102497852430595,0.5544025959027594
Rps21,0.5037723387723388,0.8784770784770783,1.0,-0.0350950549285511,-0.0007151581198668,0.0305777531956489,3.857242093382768,3.858193491958645,0.8784770784770783
Rpl22l1,0.0206682206682206,0.1948717948717948,0.7228399378399359,0.0163292960880078,0.0600749370981152,0.1117154365132473,2.61127928836762,2.7198277743457,0.5857040538604782
Sec62,0.3404141987186221,0.7922976624962125,1.0,-0.8332581201499416,0.0641362273093946,0.2709841135387869,1.13327987522911,1.191266111852925,0.8044268673482156
Mbnl1,0.0029526029526029,0.0829836829836829,0.6453768453768453,0.0153325966795757,0.0933008123013579,0.1439780251503922,2.2583892373179224,2.41497536363026,0.4420318954972416
Pdcd10,0.0325306307291984,0.2976405854092169,0.955270926520046,-30.047591190380317,-15.232003821323447,-0.2440164377774998,0.9863935765677588,0.160491305482293,0.6785196396193165
Rps3a1,0.2775291375291375,0.7984459984459983,1.0,-0.0434864976812241,0.0079723029503418,0.0360328782649284,3.405936250453175,3.427584297915465,0.8044268673482156
Tpm3,0.0206682206682206,0.1275273133578452,0.4935627897033893,-0.360129741804459,-0.208003814292898,-0.0733346791778763,1.4849341899893211,1.2937683293604023,0.48711689545022857
Rps27,0.1303807303807303,0.4418026418026417,0.8784770784770783,-0.0218529670556535,0.0262306820515356,0.0700639370674357,4.294372674028023,4.366606734166172,0.7742339455694504
S100a11,0.0206682206682206,0.1948717948717948,0.7209013209013208,-0.2952500842815115,-0.17876680622976,-0.0608088499906338,1.85701255896036,1.6363730048531502,0.5857040538604782
S100a10,0.0047054670733129,0.0129063396350218,0.0518570202911714,-30.851387610084444,-1.1990713425716368,-0.5602301420187109,1.850114473412184,0.8142450874938515,0.30548084394238106
Mcl1,0.1948717948717948,0.7209013209013208,1.0,-0.1224862609165591,-0.0222327071580366,0.0804806516439053,1.474602712110625,1.44822313846819,0.7756898212898211
Cd2,0.1048951048951048,0.6453768453768453,1.0,-0.0634718110157892,0.0396441534322369,0.2088900470663413,1.822461711526468,1.87173168387593,0.7756898212898211
Csde1,0.044406322145509,0.4418026418026417,1.0,-0.0464299349766991,0.1791888350158751,0.6659866919436017,1.1446572280891538,1.3008246525546476,0.7742339455694504
Ptpn22,0.0147630147630147,0.2344988344988344,0.959129759129759,0.001289027514789,0.1356010116125206,0.241448547371793,1.5698325588988429,1.7296512261359451,0.6154164534652337
Rap1a,0.0498834498834498,0.4418026418026417,1.0,0.0156697827969085,0.1510683468443148,0.2948374064042857,1.3992183465743802,1.55578337348025,0.7742339455694504
Atp5f1,0.0095379523581334,0.1550343725091923,0.8743693658364476,-2.579219860975932,-0.1867078275938032,-0.0017827483568916,1.2429400674045674,1.0852624745603552,0.5331127034830737
Cd53,0.0069930069930069,0.1303807303807303,0.5755283605283589,0.0332345335587084,0.1235056204267741,0.2079559654444906,1.6674430205818775,1.8205734569436,0.48711689545022857
Rpl34,0.0649572649572649,0.3282051282051281,0.959129759129759,-0.045223310087723,-0.0214486138074462,-0.002317354286408,3.862868763731915,3.80772002470592,0.6979223674875846
Ube2d3,0.1948717948717948,0.7209013209013208,1.0,-0.0749704451458719,0.0096630359189457,0.1329329356921308,1.8350962330647336,1.8451649514861423,0.7756898212898211
H2afz,0.0829836829836829,0.412043512043512,0.959129759129759,-0.01627665856105,0.0686964968617541,0.134259359721593,2.4975230420699064,2.62081763620572,0.7742339455694504
Sh3glb1,0.0513398264234592,0.4239989896164244,1.0,-1.543847125361453,-0.2102394616052778,0.1248264440130992,1.1073328104545097,0.965996674461554,0.7742339455694504
Gng5,0.2786324786324786,0.7209013209013208,1.0,-0.0923560754897274,0.008067583832234,0.0829530172979841,1.8518496066102823,1.8649453865304149,0.7756898212898211
Srsf11,0.1146659128588798,0.6453768453768453,1.0,-0.2418603250278181,-0.0207322041766008,0.2398561055170525,1.224383257720465,1.206640812454965,0.7756898212898211
Rps20,0.2344988344988344,0.7209013209013208,1.0,-0.0383183072746372,-0.0146741080190327,0.0283046957997229,4.063850718750272,4.015521342363259,0.7756898212898211
Rab2a,0.0496329132677271,0.3514015705829848,0.9563151474800834,-29.981051351590875,-1.1996656598674007,0.542281865749017,0.9610127259277566,0.41927814124563,0.7398165383776893
Pnrc1,0.0006216006216006,0.0379176379176379,0.4418026418026417,0.0278616829737683,0.1144585742538253,0.209432352752451,1.7691470017512674,1.90929970617008,0.3815207781187986
Dnaja1,0.1048951048951048,0.4418026418026417,0.959129759129759,-0.036493887277689,0.0497959036863088,0.1358128629948196,1.558420238440585,1.60818448283841,0.7742339455694504
Tln1,0.1826944712149479,0.5967990595834041,1.0,-1.5469988699833968,-0.1095359712436639,0.2102150182358347,1.0755230379026626,1.005057773962605,0.7756898212898211
Anp32b,0.2236234260763643,0.672143970444527,1.0,-1.650342060811125,-0.2519923935198273,0.2374211720453443,1.15168655375476,0.965259396854979,0.7756898212898211
Sec61b,0.0147630147630147,0.1033079701313654,0.3282051282051281,-0.3227529819125799,-0.2017975838635403,-0.1099419613999338,1.4660963068796424,1.28240727780314,0.4625702166685769
Txn1,0.1948717948717948,0.7209013209013208,1.0,-0.1395639134560716,0.0056098062221184,0.1643964176606155,1.2687034697981212,1.2752209269646149,0.7756898212898211
Ptbp3,0.0513398264234592,0.4503513435848739,1.0,-0.8149085125228872,0.2106693898647633,1.0509165099462423,1.015606508186064,1.1795780278185977,0.7756898212898211
Atp6v1g1,0.0720770195258305,0.4935627897033893,1.0,-0.7636677161862149,0.2917730910355619,1.5182317564101175,0.9153905959399928,1.1612593665195852,0.7756898212898211
Tnfsf8,0.0649572649572649,0.4418026418026417,1.0,-0.0135841343975749,0.1184527678812468,0.2058080425713347,2.0198628189694725,2.206583574423065,0.7742339455694504
Rps6,0.0206682206682206,0.1303807303807303,0.5053613053613053,-0.0942993994051759,-0.0536827765329123,-0.0162969281116531,3.2658856598072523,3.14144778347612,0.48711689545022857
Jak1,0.0046620046620046,0.0649572649572649,0.5053613053613053,0.0535675114915895,0.1399924205437534,0.2760026231742852,1.382404793067756,1.5168069790687624,0.4270473148618619
Mier1,0.1149164463964125,0.6741981971505068,1.0,-0.1676031879486872,0.0579755947104899,0.3387416577491073,1.21975872978482,1.270425933980745,0.7756898212898211
Tut4,0.0649572649572649,0.3822843822843822,0.959129759129759,-0.0115983140315311,0.10177123554465,0.1999124280356083,1.495379805470901,1.60599889799817,0.7398165383776893
Uqcrh,0.0006216006216006,0.0069930069930069,0.1303807303807303,-0.2127207338288259,-0.133110063814731,-0.0597814620509826,2.2720475531704776,2.080426851905885,0.30548084394238106
Prdx1,0.0172872158825007,0.187959068257727,0.8345378388321095,-30.238852782132028,-0.3639951434454418,0.1104729525329793,1.221606738044125,0.9562879225722783,0.5857040538604782
Rps8,0.0069930069930069,0.2786324786324786,0.959129759129759,-0.046929062901468,-0.0254458560778908,0.0112514159618354,4.063416883454162,3.993154553102725,0.6546038144291418
Ybx1,0.0379176379176379,0.3822843822843822,0.959129759129759,-0.1778019511564471,-0.0648587026704082,0.0458426250599459,1.87372331710081,1.796749845866215,0.7398165383776893
Sfpq,0.0096538748156927,0.1057722078507525,0.6314395816467896,-30.085678418811067,-1.646079457501014,-0.0832922797966062,1.035997395061144,0.3466235977811395,0.4626459172658931
Lck,0.1303807303807303,0.6453768453768453,1.0,-0.1028955768515636,0.0205364866546457,0.1512416914898033,1.4707530687986012,1.487324265482415,0.7756898212898211
Khdrbs1,0.2344988344988344,0.6453768453768453,1.0,-0.1372579361288081,0.0235314110838804,0.1636325139078406,1.3330599083840775,1.355349174984715,0.7756898212898211
Ptp4a2,0.1043473193473193,0.6453768453768453,1.0,-0.0690193802735855,0.0207614666345878,0.115165229382645,2.010517211807048,2.03898871573574,0.7756898212898211
Laptm5,0.0104118104118104,0.1303807303807303,0.7209013209013208,-0.2140903276206504,-0.1320490282713228,-0.0390349227782978,2.061712848550235,1.8760366346889497,0.48711689545022857
Dnajc8,0.0163913508162683,0.2900470430093371,1.0,-30.09162760840096,-1.0317879053832129,0.0937281039001025,1.0817320045614525,0.52939569144135,0.6726090911164799
Zdhhc18,0.0550394824230302,0.3648813140419181,1.0,-30.08267915946489,-1.4342584491622592,0.6368796731036838,0.926110869952535,0.3668373159615835,0.7398165383776893
Cd52,0.0001554001554001,0.0006216006216006,0.0104118104118104,-0.3532187183489712,-0.2793426130122166,-0.2081370239366516,2.8014477628521925,2.310609146586355,0.1672105672105614
Sh3bgrl3,0.0001554001554001,0.0018648018648018,0.0147630147630147,-0.4889459179118852,-0.370768497713686,-0.2555458270433706,1.822932279317685,1.410660590298685,0.20065268065267367
Tmem50a,0.1311305028696508,0.6217687412649331,1.0,-29.937037241316755,-0.8182129758978568,28.651155032834467,0.7586917702733952,0.421263239782853,0.7756898212898211
Rsrp1,0.1303807303807303,0.3822843822843822,0.7984459984459983,-0.2882169225905063,-0.1903829014641428,-0.0787051789091654,1.64651405602583,1.4420627012517149,0.7398165383776893
Syf2,0.0640434571260127,0.4295368450634365,1.0,-0.6204162187361458,0.1657270074114074,0.5592739264041778,1.0041964651449709,1.13369323525493,0.7742339455694504
Srrm1,0.0658596267079394,0.5737373737373737,1.0,-0.1127211919450525,0.0928847965234578,0.3744609005148686,1.17502845416454,1.26040537351638,0.7756898212898211
Rpl11,0.0046620046620046,0.0281274281274281,0.1303807303807303,-0.0821078618076835,-0.0626458758212157,-0.0442148599351112,3.753433067760355,3.5949919933708347,0.3439217348308254
Cdc42,0.1048951048951048,0.461920478323797,1.0,-0.1900265332889676,-0.0812502086178462,0.0308396888372491,1.67958558738143,1.594449752217065,0.7756898212898211
Park7,0.2172187573017174,0.7090730856847203,1.0,-29.71412434144069,-0.1393545702571209,1.836222478406136,0.8294098383841275,0.56209229163947,0.7756898212898211
Rpl22,0.0006216006216006,0.0281274281274281,0.3282051282051281,-0.0868281945098577,-0.0576786490290704,-0.0306925350226471,3.2447122428021338,3.11983024174879,0.3439217348308254
Tnfrsf4,0.3282051282051281,0.792746526993248,1.0,-0.169100226282953,0.0103579560163875,0.1861340146671188,1.51169880832192,1.5153024684982723,0.8044268673482156
