Unnamed: 0,p_val,avg_log2FC,p_val_adj
Skap2,1.59E-05,-0.556359374,0.000557276
Ccr7,1.59E-05,1.189428313,0.000557276
Ptprc,1.59E-05,-0.488477144,0.000557276
Cytip,1.59E-05,0.336053003,0.000557276
H2-T23,1.59E-05,-0.594202154,0.000557276
Ly6e,1.59E-05,-0.624259901,0.000557276
Rps3a1,1.59E-05,0.153400844,0.000557276
H2-Q7,1.59E-05,-0.612958339,0.000557276
Rrbp1,1.59E-05,-0.634859524,0.000557276
Etv3,1.59E-05,0.774782189,0.000557276
Ms4a6c,1.59E-05,-0.685299823,0.000557276
Samhd1,1.59E-05,-0.664589019,0.000557276
Crip1,1.59E-05,0.777208574,0.000557276
Tspo,1.59E-05,-0.3534784,0.000557276
Csf2rb,1.59E-05,0.714990542,0.000557276
Psmb8,1.59E-05,-0.408636172,0.000557276
Tap1,1.59E-05,-0.69656287,0.000557276
Vdac2,1.59E-05,-0.633486709,0.000557276
Psmb9,1.59E-05,-0.625420357,0.000557276
Arhgdib,1.59E-05,-0.437091192,0.000557276
Eif1,1.59E-05,0.217699962,0.000557276
Ifitm1,1.59E-05,-0.90878894,0.000557276
Nap1l1,1.59E-05,-0.310634767,0.000557276
Cd9,1.59E-05,1.020708038,0.000557276
Stat1,1.59E-05,-1.177578417,0.000557276
Tmsb4x,1.59E-05,0.091255733,0.000557276
Dusp5,1.59E-05,0.60558859,0.000557276
S100a6,1.59E-05,0.429591288,0.000557276
B2m,1.59E-05,-0.151555561,0.000557276
Anp32b,1.59E-05,-0.674964887,0.000557276
Rab8b,1.59E-05,0.739548219,0.000557276
Marcks,1.59E-05,1.08118544,0.000557276
Sec61b,1.59E-05,0.29736644,0.000557276
Dek,1.59E-05,-0.719786632,0.000557276
Sp140,1.59E-05,-0.514230806,0.000557276
Nr4a3,1.59E-05,0.572147728,0.000557276
Ptpn18,1.59E-05,-0.522125681,0.000557276
Ifitm3,1.59E-05,-0.323851185,0.000557276
Sh3bgrl3,1.59E-05,0.376844897,0.000557276
Ddx6,1.59E-05,0.620174815,0.000557276
Map4k4,3.18E-05,0.427254086,0.000810583
Atp1a1,3.18E-05,0.634853114,0.000810583
Spag9,3.18E-05,0.316059968,0.000810583
Tln1,3.18E-05,-0.479048817,0.000810583
Plac8,3.18E-05,-0.336405248,0.000810583
Clic1,3.18E-05,-0.46685814,0.000810583
