gene_cell,source,log2fc_median_LP
1810026B05Rik_M4,DEG,-0.3610669743260255
1810026B05Rik_T3,DEG,-1.974655919691912
1810037I17Rik_T2,DEG,0.1833930906676542
1810037I17Rik_T5,DEG,0.1239922840583429
2410006H16Rik_B1,DEG,-0.2219791782946402
2410006H16Rik_M0,DEG,-0.6274272225553448
2410006H16Rik_M1,DEG,-0.9760365953693332
2410006H16Rik_M3,DEG,-0.5699783345158906
2410006H16Rik_O4,DEG,0.0755379270553737
2410006H16Rik_T2,DEG,-0.4710881056840119
2410006H16Rik_T5,DEG,0.0211034928964326
2900097C17Rik_O7,DEG,-0.6962952666024547
4930523C07Rik_B1,DEG,-0.6700758745012785
A530032D15Rik_B1,DEG;Signature,0.7263711270625312
A930005H10Rik_T6_0,Signature,
AI662270_T5,DEG,-0.3116553139640753
AU020206_T4,DEG,-2.402789536082929
AW112010_M0,DEG;Signature,-0.5153059539983605
AW112010_M1,DEG,-0.6131268652745405
AW112010_M3,DEG,-1.096240658488653
AW112010_M4,DEG,-0.9933730031964392
AW112010_M5,DEG,-0.7236115463203193
AW112010_O10,DEG,-1.1398446735272096
AW112010_O4,DEG,-0.6360731331068448
AW112010_T0,DEG,-0.2872863935022028
AW112010_T2,DEG,-0.170146319409056
AW112010_T3,DEG,-0.278278034617696
AW112010_T4,DEG,-0.5632706270856869
AW112010_T5,DEG,-0.2546329881235831
AW112010_T7,DEG,-0.8096278298460002
AY036118_M0,DEG,0.160391716798293
AY036118_M2,DEG,0.1523415126337467
AY036118_M4,DEG,0.0986571851804698
AY036118_O10,DEG,0.1932098834984051
AY036118_O4,DEG,-0.2604033582543249
Abca1_M1,Signature,0.1842161192262182
Abcf1_T5,DEG,-0.4178031612379558
Abhd17a_M4,DEG,-1.546521022676045
Abi3bp_O7,DEG,-0.2229958149573686
Abi3bp_T4,DEG;Signature,-0.3788030262415702
Ablim1_M5,Signature,
Ablim1_M7,Signature,0.647878831640595
Ablim1_T6,Signature,-0.3460787212265681
Abracl_M0,DEG,-0.2208561884764179
Abracl_M3,DEG,-0.2920908093145149
Abracl_M4,DEG,-0.2773736914245162
Abracl_M5,DEG,-0.3435089198989216
Abracl_T0,DEG,-0.5716139388469419
Abracl_T2,DEG,-0.3021790007525424
Abracl_T3,DEG,-0.2667197787209215
Abracl_T4,DEG,-0.2937505866676805
Abracl_T5,DEG,-0.2812656759473069
Acbd3_M3,DEG,0.6010459573674964
Acin1_M3,DEG,-0.6327710402997483
Acod1_M2,Signature,-0.1016793354849142
Acp5_M1,DEG;Signature,-1.0590710968630774
Acsl1_M0,Signature,
Acta2_O13,Signature,0.3392665056535845
Actb_B1,DEG,-0.1323270544032358
Actb_M0,DEG,-0.0515435322774481
Actb_M1,DEG,-0.0777140029562146
Actb_M2,DEG,0.00115074896763
Actb_M4,DEG,-0.0739931543737093
Actb_T0,DEG,-0.2013486972699635
Actb_T1,DEG,-0.1722412090827358
Actb_T2,DEG,-0.1705528018508544
Actb_T3,DEG,-0.3063272126677829
Actb_T4,DEG,-0.1798274231652607
Actb_T5,DEG,-0.1265041204595422
Actb_T7,DEG,-0.2616659425308192
Actg1_B2,DEG,0.0978300548493703
Actg1_B3,DEG,0.3614447568140081
Actg1_M0,DEG,-0.0876340761537521
Actg1_M2,DEG,0.1184366312438446
Actg1_M3,DEG,0.1420299335657288
Actg1_M4,DEG,0.04351062310722
Actg1_M5,DEG,0.1756500838827174
Actg1_M6,Signature,0.0501562987469574
Actg1_M7,DEG,0.2395209489684102
Actg1_O10,DEG,0.028773380378751
Actg1_O7,DEG,0.0535173339799794
Actg1_T1,DEG,0.1751816968523409
Actg1_T3,DEG,0.0628071096661551
Actg1_T4,DEG,0.0881705752152597
Actg1_T5,DEG,0.0447228728287022
Actn1_M3,Signature,0.0062730237907836
Actn1_M4,DEG,-0.5296845087051938
Actr2_M0,DEG,-0.3026131847552903
Actr2_M4,DEG,-0.1853159938840909
Actr2_M5,DEG,0.068821893882212
Actr3_B1,DEG,-0.2935169733879175
Actr3_M0,DEG,-0.2447958984816714
Actr3_M1,DEG,-0.0892417796534212
Actr3_M3,DEG,-0.2880922567344922
Actr3_M4,DEG,-0.2097716882318663
Actr3_T2,DEG,-0.2684320524338677
Actr3_T3,DEG,-0.3165551574224396
Actr3_T5,DEG,-0.3266439355414211
Adam17_M0,DEG,-0.980602606722734
Adam17_M1,DEG,-0.4228196027225628
Adam17_M5,DEG,-1.257325820988279
Adam19_M4,DEG,0.6151613858918263
Adamts1_O7,DEG,0.2655242039457399
Adamts4_O7,DEG,-3.509461921786494
Add3_O7,DEG,-2.6145040260964008
Adgre1_M0,DEG,-2.786634246520734
Adgre1_M1,DEG,-0.6378741109138779
Adgrl4_O10,Signature,0.0384248597130631
Adipor1_M5,DEG,-0.9571531864048268
Adk_T6_3,Signature,
Aebp1_O4,DEG,-0.422728588645022
Aebp2_M3,DEG,0.1814258529288578
Aebp2_T1,DEG;Signature,0.3246883305211852
Aebp2_T2,DEG,0.2392557201602506
Aebp2_T5,DEG,0.2136345015364264
Ago2_M3,DEG,0.240829119395252
Ago2_M4,DEG,0.3873435732328124
Agpat3_M4,Signature,-0.2219626932623204
Agpat4_M3,DEG,0.1151243664406037
Agpat4_M4,DEG,0.5713210615519175
Ahnak_B3,DEG,0.9477054392027991
Ahnak_B7,Signature,1.273746348441144
Ahnak_M1,DEG;Signature,1.9947738508977864
Ahnak_T1,DEG,1.0898581585163665
Ahnak_T2,DEG,0.8808304697927791
Ahnak_T3,DEG,0.1643678923552274
Ahnak_T4,DEG,0.1351371999876594
Ahr_M1,DEG,0.2316117952803119
Ahr_M3,DEG,0.2040823620466567
Ahr_M5,DEG,1.174459561519177
Ahr_T8,Signature,0.162089935579329
Aicda_B4,Signature,
Aif1_M1,DEG,-0.1849739462179001
Aif1_M4,DEG,-0.1521634222683091
Aif1_M5,DEG,-0.5593568574799624
Aimp1_M3,DEG,-2.620762188718325
Aimp1_M4,DEG,-0.3461128171041326
