gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk3_median,median_IL10_KOnonTLS_median
Xkr4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm19938,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sox17,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mrpl15,0.002778685068188869,0.029867793297539916,0.2615722360139493,-28.119927055773722,0.0,0.0,0.0,0.0
Lypla1,0.2615722360139493,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Tcea1,0.0040888165108717575,0.05366666290620448,0.34314519329999205,-0.41021672239038753,-0.2980969602061956,-0.10046309368709265,0.7341699514386655,0.597105740699422
Rgs20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Atp6v1h,0.009501095540355024,0.08856750257537103,0.2615722360139493,-26.513443312601897,0.0,0.0,0.0,0.0
Rb1cc1,0.08856750257537103,0.47495853988950676,1.0,0.0,0.0,0.0,0.0,0.0
4732440D04Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
St18,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pcmtd1,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Gm26901,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sntg1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rrs1,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2610203C22Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mybl1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Vcpip1,0.2615722360139493,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Sgk3,0.0007335473709934008,0.009501095540355024,0.029867793297539916,-28.597369342449255,-27.24175288659693,0.0,0.15870687583506563,0.0
Mcmdc2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Snhg6,0.009501095540355024,0.08856750257537103,0.2615722360139493,-27.37740822551641,0.0,0.0,0.0,0.0
Tcf24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cops5,0.009501095540355024,0.08856750257537103,0.2615722360139493,-27.208233406118165,0.0,0.0,0.0,0.0
Cspp1,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Arfgef1,0.009501095540355024,0.08856750257537103,1.0,-26.513443312601897,0.0,0.0,0.0,0.0
Prex2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sulf1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slco5a1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ncoa2,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tram1,8.600635107884218e-05,0.00139813990539153,0.025222573436938574,-29.062677155255347,-28.923977185519952,-28.745267273339856,0.5093129582364015,0.0
Lactb2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Eya1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm9947,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Msc,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Trpa1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Terf1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sbspon,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rpl7,0.1568627450980392,0.6784313725490196,1.0,-0.019857631860620686,0.005737396159299706,0.03356699734009826,2.9722470711433147,2.9844232317430848
Rdh10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Stau2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ube2w,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Eloc,0.2082876875446535,0.7344923394458999,1.0,-0.1106471755628549,0.014051221567694436,0.16239552625353665,0.7467014514170733,0.755667090206211
D030040B21Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem70,0.2615722360139493,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Ly96,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Jph1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pi15,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il17a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il17f,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mcm3,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Paqr8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Efhc1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tram2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem14a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gsta3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kcnq5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm29107,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ogfrl1,3.5291394948257277e-05,0.0004954208174452059,0.009501095540355024,-29.118720858109423,-28.8681691624878,-27.73859788355057,0.48998731494431647,0.0
B3gat2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Smap1,0.09587483487801178,0.6156969987931198,1.0,-0.27120193016904676,-0.043262125264853,0.21099747418958104,0.591485474136447,0.5815008466302655
Sdhaf4,0.00933303527855088,0.029867793297539916,0.08856750257537103,-27.78126613266356,0.0,0.0,0.0,0.0
Fam135a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lmbrd1,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Phf3,0.011830970520701414,0.12954500207068584,0.6689706667452711,-1.3260788893233055,-0.2235911466275656,-0.03673812988007684,0.5990376431503065,0.5095239852312597
Ptp4a1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ptp4a1.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Prim2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rab23,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Bag2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zfp451,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Bend6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dst,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm37233,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ccdc115,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Imp4,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ptpn18,1.5876796062554575e-05,1.5876796062554575e-05,0.000246293970482502,-0.6210864716154678,-0.5221256808233196,-0.427052098038831,1.5231970294861,1.061754312403225
Gm28417,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Arhgef4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm38336,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fam168b,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Plekhb2,0.009501095540355024,0.08856750257537103,0.4198490637342591,-26.443041924163126,0.0,0.0,0.0,0.0
Hs6st1,0.47495853988950676,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Uggt1,0.009501095540355024,0.08856750257537103,1.0,-26.439426574688703,0.0,0.0,0.0,0.0
Neurl3,0.07584733419855058,0.5355561233584674,1.0,-0.33823824218291487,-0.11094794209091771,0.21460529076187831,0.6653395671207367,0.6205056813247605
Arid5a,0.029867793297539916,0.08856750257537103,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
4930403P22Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kansl3,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lman2l,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cnnm4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cnnm3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ankrd23,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ankrd39,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sema4c,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
D430040D24Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fam178b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cox5b,3.175359212510915e-05,0.0015241724220052392,0.06909581646423751,-0.23862562608740628,-0.1821670535299436,-0.10516254005526565,1.7521918492548738,1.542205453857295
Actr1b,0.029867793297539916,0.2615722360139493,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Zap70,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem131,1.5876796062554575e-05,0.0021592442645074223,0.012486306263395969,0.4729405460518656,0.7435355850061499,0.9448079626912705,0.7157996321055848,1.1980299292478538
Gm38115,0.2615722360139493,0.7670968684102772,0.9505209847403642,0.0,0.0,0.0,0.0,0.0
Vwa3b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Inpp4a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Coa5,0.002778685068188869,0.029867793297539916,0.2615722360139493,-27.41347558702289,0.0,0.0,0.0,0.0
Unc50,0.029867793297539916,0.2615722360139493,0.8822739356449067,0.0,0.0,0.0,0.0,0.0
Mgat4a,0.009501095540355024,0.2870251802988596,0.9595657057843286,-28.361512186787014,0.0,0.0,0.0,0.0
2010300C02Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tsga10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lipt1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mitd1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mrpl30,0.0010637453361911566,0.06397748914910027,0.7920774787647853,-0.34847950084639523,-0.17610080605826375,-0.023841440328730357,0.6932728965511125,0.6123139480448014
Txndc9,0.008568016688252352,0.12990218326362052,0.7770968489780832,-29.043384686423387,-28.747434112064084,-0.042375049886513916,0.4836896628401144,0.0
Eif5b,0.06909581646423751,0.34314519329999205,0.9699293482575216,-0.05053408102971464,0.12315501933227388,0.26198185974195637,0.8636557276108623,0.9424386751955949
Rev1,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Aff3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm16152,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lonrf2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Chst10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pdcl3,0.0008411785260747075,0.02101953872444007,0.3030376487724357,-28.97420379075732,-28.79732252940727,-2.026435868827872,0.46710323304806,0.0
Npas2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rpl31,0.0021592442645074223,0.03142017940779551,0.3063340477891553,-0.11647816870459192,-0.07852472015750911,-0.04046112847986899,2.4424866609951623,2.3142300060225987
Tbc1d8,0.022313118725828633,0.4198490637342591,0.9507471027664631,-27.41484462713585,0.0,0.0,0.0,0.0
Cnot11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm15832,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rnf149,0.0024238779803224205,0.013394916753769956,0.12233417091613663,-29.121225520183348,-28.57505397070935,0.0,0.39989722643544623,0.0
Creg2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Map4k4,1.5876796062554575e-05,3.175359212510915e-05,0.0021592442645074223,0.30232730275070996,0.4272540864599381,0.5323511040002075,1.2186633261071913,1.634657399009059
Il1r2,3.175359212510915e-05,0.00047630388187663733,0.005538620306422123,0.2800456809092232,0.3685081705704253,0.5644402288518705,1.7305183327434799,2.2346162665782
Gm16894,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il1r1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il1rl2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il1rl1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il18r1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il18rap,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc9a4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc9a2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
