gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk6_median,median_IL10_KOTLS_median
Xkr4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm19938,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sox17,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mrpl15,0.04801397289426615,0.4198490637342591,0.8822739356449067,-26.554322934898607,0.0,0.0,0.0,0.0
Lypla1,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Tcea1,0.009557831229657855,0.1568627450980392,0.7926978841143436,-0.3731051030148925,-0.23948965732488514,-0.04951065297336054,0.6901866535657922,0.5846093307999235
Rgs20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Atp6v1h,0.009501095540355024,0.08856750257537103,0.8822739356449067,-27.26568663132461,0.0,0.0,0.0,0.0
Rb1cc1,0.15351977021153562,0.7563611602870911,0.9242203280316527,0.0,0.0,0.0,0.0,0.0
4732440D04Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
St18,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pcmtd1,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm26901,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sntg1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rrs1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2610203C22Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mybl1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Vcpip1,0.2615722360139493,0.7563611602870911,1.0,0.0,0.0,0.0,0.0,0.0
Sgk3,0.009501095540355024,0.029867793297539916,0.2615722360139493,-26.53095556018188,0.0,0.0,0.0,0.0
Mcmdc2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Snhg6,0.002778685068188869,0.029867793297539916,0.3519631185845171,-28.668783565825798,0.0,0.0,0.0,0.0
Tcf24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cops5,0.009501095540355024,0.08856750257537103,0.7670968684102772,-26.97240939777157,0.0,0.0,0.0,0.0
Cspp1,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Arfgef1,0.009501095540355024,0.08856750257537103,1.0,-26.080805007712907,0.0,0.0,0.0,0.0
Prex2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sulf1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slco5a1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ncoa2,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tram1,0.0012730863420067167,0.0333863238295691,0.3431319879068183,-28.882051947301832,-28.51880612049167,-26.423901184422256,0.38506435323238164,0.0
Lactb2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Eya1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm9947,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Msc,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Trpa1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Terf1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sbspon,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rpl7,0.11526553941414623,0.6238787012780821,1.0,-0.02886955667186267,0.00488872616170089,0.03739332861162442,3.0089076462640847,3.0157508632976624
Rdh10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Stau2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ube2w,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Eloc,0.2082876875446535,0.6784313725490196,1.0,-0.1772151862924576,-0.04962288237653248,0.07394957083517652,0.7252160070976545,0.6976177387018976
D030040B21Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem70,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ly96,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Jph1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pi15,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il17a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il17f,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mcm3,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Paqr8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Efhc1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tram2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem14a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gsta3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kcnq5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm29107,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ogfrl1,0.0007335473709934008,0.002778685068188869,0.03765027643980603,-28.96538461395072,-27.854744494753042,0.0,0.24272472319386423,0.0
B3gat2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Smap1,0.09788044772564897,0.64330403310901,1.0,-0.20579690267563794,-0.03504753763208523,0.17882369984520768,0.6608412707740807,0.6473832297617048
Sdhaf4,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fam135a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lmbrd1,0.029867793297539916,0.08856750257537103,0.8688620210805279,-26.423901184422256,0.0,0.0,0.0,0.0
Phf3,0.11526553941414623,0.6784313725490196,1.0,-0.22193443817751207,-0.07772670136724304,0.08262238017701437,0.6648317629774487,0.6276955565670543
Ptp4a1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ptp4a1.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Prim2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rab23,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Bag2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zfp451,0.29147411368370935,0.6993022710519221,0.9505209847403642,0.0,0.0,0.0,0.0,0.0
Bend6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dst,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm37233,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ccdc115,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Imp4,0.9815393059003498,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ptpn18,3.135667222354531e-05,0.00409621338413908,0.05737874097007224,-0.6644855404276834,-0.5443250587239103,-0.42754236026272285,1.4424821045867597,0.9910775544953535
Gm28417,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Arhgef4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm38336,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fam168b,0.009501095540355024,0.08856750257537103,0.4198490637342591,-26.554322934898607,0.0,0.0,0.0,0.0
Plekhb2,0.009501095540355024,0.08856750257537103,0.2615722360139493,-26.096936041726924,0.0,0.0,0.0,0.0
Hs6st1,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Uggt1,0.47495853988950676,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Neurl3,0.3053901722632373,0.7575324115669454,1.0,-0.2589052218828581,-0.05986106487302267,0.18961097198674537,0.8185976017024206,0.7791957580705879
Arid5a,0.15351977021153562,0.7670968684102772,0.9505209847403642,0.0,0.0,0.0,0.0,0.0
4930403P22Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kansl3,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Lman2l,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cnnm4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cnnm3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ankrd23,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ankrd39,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sema4c,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
D430040D24Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fam178b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cox5b,0.00019052155275065493,0.012399777724855125,0.18134476462649837,-0.2119255609969891,-0.13482390746867962,-0.04627911985705619,1.7153060265242175,1.5632181824647748
Actr1b,0.029867793297539916,0.08856750257537103,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Zap70,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem131,0.00019052155275065493,0.0021592442645074223,0.015860919266492024,0.33937525256658707,0.4926401312140746,0.7034737020966482,0.7738707514441625,1.089144981511825
Gm38115,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Vwa3b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Inpp4a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Coa5,0.009501095540355024,0.08856750257537103,0.2615722360139493,-26.97240939777157,0.0,0.0,0.0,0.0
Unc50,0.029867793297539916,0.4198490637342591,0.9242203280316527,0.0,0.0,0.0,0.0,0.0
Mgat4a,0.010604607267588526,0.16353270214527704,0.8450263631423363,-29.00970665313499,-28.37097042699012,0.17262106757837078,0.442218086526953,0.0
2010300C02Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tsga10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lipt1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mitd1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mrpl30,0.0007144558228149559,0.038707628800508063,0.34314519329999205,-0.38398089149074444,-0.26176624034071727,-0.08846264192952286,0.7437784533940146,0.6177336382981499
Txndc9,0.13943209600504602,0.6837320643963538,1.0,-28.49364120128034,0.34088837636279057,28.720095063120088,0.111021609601768,0.207530967047716
Eif5b,0.18134476462649837,0.7344923394458999,1.0,-0.1514683204656416,-0.022593897575980536,0.14174099445066562,1.052878835021875,1.0364996566631526
Rev1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Aff3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm16152,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lonrf2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Chst10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pdcl3,0.1736964858864386,0.7249560728402249,1.0,-0.29835029871081836,0.05046481762259479,1.1604400136719963,0.5020195264827115,0.5149406595878392
Npas2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rpl31,0.00409621338413908,0.11526553941414623,0.7344923394458999,-0.10454193590982427,-0.055038661692573765,-0.018606717205922853,2.3946505793008885,2.30636496720127
Tbc1d8,0.010836137721840637,0.06941380109538582,0.43320176614994776,0.0,28.77424519595563,29.09818190457366,0.0,0.462854553333532
Cnot11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm15832,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rnf149,0.0001720247930818143,0.002778685068188869,0.07602681765695554,-28.951136076000626,-28.28774036074532,0.0,0.3276863544437487,0.0
Creg2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Map4k4,1.5876796062554575e-05,0.00019052155275065493,0.00409621338413908,0.19469814262761903,0.31517036157966494,0.42282225435504145,1.2808419127903137,1.5913420141302526
Il1r2,0.00019052155275065493,0.0021592442645074223,0.020131777407319206,0.27239018829304684,0.40348588266174024,0.5253542312040563,1.883386145969365,2.489795149311901
Gm16894,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il1r1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il1rl2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il1rl1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il18r1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Il18rap,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc9a4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc9a2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mfsd9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem182,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
