Variable 1,Variable 2,Edge Name,Measurable 1,Measurable 2,Cell Type 1,Cell Type 2,Edge Type,Percent Inclusion,Median Combined p-Value,Median Corrected p-Value,metapy_comb_pval,metapy_fdr_adj_pvals,Min,99.99% Confidence Interval Lower Bound,99.74% Confidence Interval Lower Bound,95.45% Confidence Interval Lower Bound,68.27% Confidence Interval Lower Bound,Median,68.27% Confidence Interval Upper Bound,95.45% Confidence Interval Upper Bound,99.74% Confidence Interval Upper Bound,99.99% Confidence Interval Upper Bound,Max,Percentile of 0
Tcea1_M3,Ndufa6_M0,Tcea1_M3<==>Ndufa6_M0,Tcea1,Ndufa6,M3,M0,M0<==>M3,0.3,0.3539595498402638,0.9420491292417148,0.0050416049546307,0.0064046865037851,-0.0119047619047618,-0.0118629761904761,-0.0108183333333333,0.007107738095238,0.1074383333333332,0.3238095238095237,0.505485119047619,0.6502398809523807,0.6791973809523807,0.6808848809523808,0.6809523809523809,0.1
Tram1_B3,Il1rn_M0,Tram1_B3<==>Il1rn_M0,Tram1,Il1rn,B3,M0,B3<==>M0,0.0,0.0731631687457459,0.3765093928552412,0.0057704811087468,0.0072143720099266,0.0404761904761904,0.0405383333333332,0.0420919047619047,0.0687511904761904,0.1907957142857142,0.4666666666666665,0.6319830952380951,0.7024726190476189,0.7181004761904761,0.7190111904761904,0.719047619047619,0.0
Tram1_B3,Cxcl16_M3,Tram1_B3<==>Cxcl16_M3,Tram1,Cxcl16,B3,M3,B3<==>M3,0.3,0.5606386529542847,1.0,0.0392931964387746,0.040110092128336,-0.2476190476190476,-0.2475986904761904,-0.2470897619047619,-0.2383565476190476,-0.1626520238095238,0.313095238095238,0.5126520238095238,0.641373214285714,0.6629764285714284,0.664235357142857,0.6642857142857141,0.3
Tram1_B3,Cygb_O7,Tram1_B3<==>Cygb_O7,Tram1,Cygb,B3,O7,B3<==>O7,0.0,0.1463263374914919,0.8582076668569052,0.0022196680266441,0.0039776669508445,0.2619047619047619,0.2620054761904762,0.2645233333333334,0.3077297619047618,0.4989572619047618,0.6166666666666667,0.6782639285714285,0.7279142857142856,0.7352685714285713,0.7356971428571427,0.7357142857142857,0.0
Tram1_B3,Pcsk5_O7,Tram1_B3<==>Pcsk5_O7,Tram1,Pcsk5,B3,O7,B3<==>O7,0.8,0.1748818546250497,0.9387485830430324,0.0009343509720206,0.0028480934883586,0.2738095238095238,0.2738288095238095,0.2743109523809524,0.2825845238095237,0.3726946428571428,0.5297619047619047,0.7599635714285714,0.8190476190476189,0.8190476190476189,0.8190476190476189,0.8190476190476189,0.0
Tram1_O7,Fcrla_B2,Tram1_O7<==>Fcrla_B2,Tram1,Fcrla,O7,B2,B2<==>O7,0.6,0.4803681871274144,1.0,0.0080001157720561,0.0093358600646401,0.2047619047619047,0.2047769047619047,0.2051519047619047,0.2115869047619047,0.2676372619047618,0.4714285714285713,0.6044423809523809,0.7018720238095235,0.722555952380952,0.7237613095238092,0.7238095238095236,0.0
Tram1_O7,Ebf1_O7,Tram1_O7<==>Ebf1_O7,Tram1,Ebf1,O7,O7,O7<==>O7,0.6,0.0,0.0,0.0032668680276995,0.0044768191490697,0.0952380952380952,0.0953205952380952,0.0973830952380952,0.1327755952380952,0.3468236904761904,0.613095238095238,0.7367570238095238,0.7727214285714284,0.7782371428571427,0.7785585714285713,0.7785714285714285,0.0
Tram1_O7,Add3_O7,Tram1_O7<==>Add3_O7,Tram1,Add3,O7,O7,O7<==>O7,0.6,0.10242446133603,0.4143544638205513,0.0012372947662776,0.0031827216607345,0.1285714285714286,0.1286625,0.1309392857142857,0.1700089285714285,0.3411392857142856,0.6178571428571428,0.766335119047619,0.799830357142857,0.8067249999999999,0.8071267857142856,0.807142857142857,0.0
Tram1_T5,Dusp2_B5,Tram1_T5<==>Dusp2_B5,Tram1,Dusp2,T5,B5,B5<==>T5,0.0,0.2291661834463226,1.0,0.0069056578608793,0.008272590289993,-0.7547619047619047,-0.7547265476190476,-0.7538426190476191,-0.7386744047619047,-0.6558166666666666,-0.4714285714285713,-0.134635476190476,-0.0564505952380952,-0.0458788095238095,-0.045262738095238,-0.0452380952380951,1.0
Rpl7_M0,Ndufb5_M0,Rpl7_M0<==>Ndufb5_M0,Rpl7,Ndufb5,M0,M0,M0<==>M0,0.4,0.4488418953608004,0.8316689380608171,0.0092122383782724,0.0105038622782492,-0.0285714285714285,-0.0285639285714285,-0.0283764285714285,-0.0251589285714285,-0.005792619047619,0.3023809523809523,0.534400119047619,0.6622577380952379,0.6866188095238093,0.6880384523809522,0.688095238095238,0.2
Rpl7_M0,Smim14_M3,Rpl7_M0<==>Smim14_M3,Rpl7,Smim14,M0,M3,M0<==>M3,0.6,0.4005010953784487,0.9538537974295908,0.0011475259021809,0.0030072959779545,-0.0238095238095237,-0.0236766666666666,-0.020355238095238,0.0366404761904761,0.2765220238095238,0.3607142857142856,0.7134353571428572,0.8957041666666665,0.9154688095238094,0.9166205952380952,0.9166666666666666,0.1
Rpl7_M0,Rpl4_M0,Rpl7_M0<==>Rpl4_M0,Rpl7,Rpl4,M0,M0,M0<==>M0,0.8,0.2856785501377324,0.7685566741298941,0.0011475259021809,0.0030072959779545,0.2595238095238095,0.2596138095238094,0.2618638095238095,0.3004738095238095,0.4911032142857142,0.5583333333333331,0.7078780952380952,0.8370422619047618,0.8604840476190474,0.8618501190476189,0.8619047619047618,0.0
Rpl7_M0,Rps12_M5,Rpl7_M0<==>Rps12_M5,Rpl7,Rps12,M0,M5,M0<==>M5,0.0,0.2250096986218212,0.7299388252666379,0.0008093207959289,0.0027828088323352,0.2357142857142856,0.2357603571428571,0.2369121428571428,0.2566767857142856,0.340132619047619,0.5369047619047619,0.6786195238095237,0.777200595238095,0.7942073809523806,0.7951984523809521,0.7952380952380951,0.0
Rpl7_T1,Rps8_T1,Rpl7_T1<==>Rps8_T1,Rpl7,Rps8,T1,T1,T1<==>T1,0.6,0.0938411867543145,0.3682727103873385,0.0020052861927299,0.0037075830211113,0.0547619047619047,0.0548122619047618,0.0560711904761904,0.0776744047619047,0.2033395238095238,0.5785714285714285,0.6891499999999999,0.8023029761904761,0.8248254761904761,0.8261379761904761,0.8261904761904763,0.0
Rpl7_T1,Rpl9_T1,Rpl7_T1<==>Rpl9_T1,Rpl7,Rpl9,T1,T1,T1<==>T1,1.0,0.0416020060663868,0.1982457016680165,0.0002940991893,0.0018186395016758,0.4523809523809523,0.4523948809523809,0.4527430952380952,0.4587184523809523,0.5250996428571427,0.7273809523809522,0.8261904761904763,0.8356577380952381,0.8379559523809524,0.838089880952381,0.8380952380952381,0.0
Rpl7_T1,Cd9_M4,Rpl7_T1<==>Cd9_M4,Rpl7,Cd9,T1,M4,M4<==>T1,0.5,0.4912256164240559,0.9680143864330846,0.0023757987692824,0.0039776669508445,-0.6833333333333332,-0.6833022619047618,-0.6825254761904761,-0.6691958333333333,-0.6142857142857143,-0.375,-0.102200595238095,0.0123357142857142,0.0141742857142856,0.0142814285714285,0.0142857142857142,0.8
Rpl7_T1,Rpl18a_T1,Rpl7_T1<==>Rpl18a_T1,Rpl7,Rpl18a,T1,T1,T1<==>T1,0.6,0.0441696180081672,0.2099296630584178,0.0023757987692824,0.0039776669508445,-0.1785714285714285,-0.1784171428571428,-0.1745599999999998,-0.1083714285714285,0.2936594047619048,0.6059523809523809,0.7735260714285714,0.8980285714285713,0.9200914285714284,0.9213771428571428,0.9214285714285714,0.1
Rpl7_T1,Ccl7_O7,Rpl7_T1<==>Ccl7_O7,Rpl7,Ccl7,T1,O7,O7<==>T1,0.8,0.3066888585120899,0.8677589747905812,0.0,0.0,0.1928571428571428,0.1928967857142857,0.1938878571428571,0.2108946428571428,0.3206813095238094,0.5738095238095238,0.7404882142857142,0.8138898809523807,0.8299773809523807,0.8309148809523808,0.8309523809523808,0.0
Rpl7_T1,Rpl30_T1,Rpl7_T1<==>Rpl30_T1,Rpl7,Rpl30,T1,T1,T1<==>T1,0.7,0.0079340121417591,0.0460944143411434,0.0002014862933871,0.0014959614764371,0.3904761904761904,0.390527619047619,0.3918133333333333,0.4138761904761904,0.511892738095238,0.6345238095238095,0.7143217857142857,0.7489684523809523,0.7521859523809523,0.7523734523809523,0.7523809523809524,0.0
Rpl7_T1,Ltb_T5,Rpl7_T1<==>Ltb_T5,Rpl7,Ltb,T1,T5,T1<==>T5,0.7,0.2342660995176267,0.7536565148652357,7.780052586078936e-05,0.0008418415875193,-0.0476190476190475,-0.0475129761904761,-0.0448611904761904,0.0006434523809523,0.2583848809523809,0.5940476190476189,0.7276369047619048,0.8107601190476189,0.8185740476190474,0.8190294047619046,0.8190476190476189,0.1
Rpl7_T1,H2-T23_O4,Rpl7_T1<==>H2-T23_O4,Rpl7,H2-T23,T1,O4,O4<==>T1,0.3,0.3916965627788599,0.9598219120693354,0.0003603928163726,0.0019385804840049,-0.0976190476190475,-0.0975194047619047,-0.0950283333333332,-0.0522815476190476,0.1594636904761905,0.3809523809523809,0.5693911904761904,0.7020767857142856,0.7337921428571426,0.7356403571428569,0.7357142857142857,0.1
