Variable 1,Variable 2,Edge Name,Measurable 1,Measurable 2,Cell Type 1,Cell Type 2,Edge Type,Percent Inclusion,Median Combined p-Value,Median Corrected p-Value,metapy_comb_pval,metapy_fdr_adj_pvals,Min,99.99% Confidence Interval Lower Bound,99.74% Confidence Interval Lower Bound,95.45% Confidence Interval Lower Bound,68.27% Confidence Interval Lower Bound,Median,68.27% Confidence Interval Upper Bound,95.45% Confidence Interval Upper Bound,99.74% Confidence Interval Upper Bound,99.99% Confidence Interval Upper Bound,Max,Percentile of 0
Tcea1_B4,Clec2d_T2,Tcea1_B4<==>Clec2d_T2,Tcea1,Clec2d,B4,T2,B4<==>T2,0.2,0.4085630543684431,1.0,0.0165500545715257,0.0196326769383447,-0.2825396825396825,-0.2825039682539682,-0.281611111111111,-0.2662896825396825,-0.0924769047619047,0.1968253968253968,0.3422661904761905,0.4873861111111109,0.5097553968253965,0.511058968253968,0.511111111111111,0.2
Tcea1_B4,Rab8b_M1,Tcea1_B4<==>Rab8b_M1,Tcea1,Rab8b,B4,M1,B4<==>M1,0.9,0.1436645770327153,1.0,0.0115526079018976,0.0147154377857255,0.2619047619047619,0.2619497619047619,0.2630747619047619,0.2823797619047619,0.3775246825396824,0.6206349206349205,0.6696202380952381,0.782836111111111,0.8094953968253965,0.811048968253968,0.811111111111111,0.0
Tcea1_B4,H2-Q7_M4,Tcea1_B4<==>H2-Q7_M4,Tcea1,H2-Q7,B4,M4,B4<==>M4,0.0,0.0079935973921183,0.0834520426834869,0.0123922303809794,0.0155386053079589,0.2555555555555554,0.2555576984126982,0.2556112698412697,0.2565305555555554,0.2643922222222222,0.3730158730158729,0.504882142857143,0.677174603174603,0.7016888888888886,0.70311746031746,0.703174603174603,0.0
Pcmtd1_B4,Arpc2_M4,Pcmtd1_B4<==>Arpc2_M4,Pcmtd1,Arpc2,B4,M4,B4<==>M4,0.3,0.495874712838128,1.0,0.0433580759327594,0.0456032192244444,-0.684126984126984,-0.6840712698412698,-0.6826784126984126,-0.658776984126984,-0.5154950793650792,-0.296031746031746,-0.092742619047619,-0.0074892857142858,0.0130414285714283,0.014237857142857,0.0142857142857142,0.9
Pcmtd1_B4,Akap13_M1,Pcmtd1_B4<==>Akap13_M1,Pcmtd1,Akap13,B4,M1,B4<==>M1,0.4,0.5722772011193068,1.0,0.0052812878003528,0.0103938071751297,-0.3015873015873015,-0.3013987301587301,-0.2966844444444443,-0.2157873015873016,0.1432671428571428,0.3999999999999999,0.6117982539682539,0.779972222222222,0.8198079365079362,0.8221293650793647,0.8222222222222221,0.1
Pcmtd1_B4,Pfn1_M4,Pcmtd1_B4<==>Pfn1_M4,Pcmtd1,Pfn1,B4,M4,B4<==>M4,0.4,0.1916127807274327,1.0,0.047879810309289,0.0500789248294763,-0.6285714285714284,-0.6285299999999999,-0.6274942857142856,-0.6097214285714285,-0.5358288095238095,-0.2928571428571428,0.0030016666666667,0.0690027777777778,0.0772763492063492,0.077758492063492,0.0777777777777778,0.8
Pcmtd1_B4,Itm2b_B5,Pcmtd1_B4<==>Itm2b_B5,Pcmtd1,Itm2b,B4,B5,B4<==>B5,0.4,0.0824526697794333,0.5,0.0168911033974113,0.0199275735545592,-0.7111111111111109,-0.7110789682539681,-0.7102753968253966,-0.6964861111111109,-0.6288165079365079,-0.4888888888888888,-0.1910350793650793,0.0008710317460316,0.0299817460317458,0.0316781746031744,0.0317460317460317,0.9
Pcmtd1_B4,Satb1_T5,Pcmtd1_B4<==>Satb1_T5,Pcmtd1,Satb1,B4,T5,B4<==>T5,0.5,0.1287912214356294,0.5,0.0091771314097633,0.0128156935922771,-0.703174603174603,-0.7031460317460316,-0.7024317460317459,-0.690174603174603,-0.6301747619047618,-0.4714285714285714,-0.1344625396825396,-0.1165984126984126,-0.1129212698412698,-0.112706984126984,-0.1126984126984126,1.0
Pcmtd1_B4,Rgs13_B4,Pcmtd1_B4<==>Rgs13_B4,Pcmtd1,Rgs13,B4,B4,B4<==>B4,0.5,0.135614549140288,1.0,0.004726739774812,0.0099909181833868,0.0511456616617521,0.0512695499001048,0.0543667558589229,0.1075148101122396,0.3306626003588044,0.5362038935626683,0.7171580960963674,0.7466483879982649,0.7534775485428609,0.7538755182715668,0.7538914370607152,0.0
Tram1_B3,Ncl_B0,Tram1_B3<==>Ncl_B0,Tram1,Ncl,B3,B0,B0<==>B3,0.7,0.0244451237556428,0.5,0.0021421019741561,0.0075629931886189,0.0523809523809523,0.0524480952380952,0.0541266666666667,0.0829309523809523,0.2878364285714285,0.6198412698412699,0.6957202380952381,0.7152230158730157,0.7158358730158728,0.7158715873015871,0.7158730158730157,0.0
Tram1_B3,4930523C07Rik_B3,Tram1_B3<==>4930523C07Rik_B3,Tram1,4930523C07Rik,B3,B3,B3<==>B3,0.8,0.2411284017223328,0.9986242178150176,0.0052812878003528,0.0103938071751297,0.2492063492063492,0.2492149206349206,0.2494292063492063,0.2531063492063492,0.3083224603174602,0.5865079365079364,0.6982878571428571,0.7776646825396825,0.782261111111111,0.7825289682539681,0.7825396825396824,0.0
Tram1_B3,Sec61b_B3,Tram1_B3<==>Sec61b_B3,Tram1,Sec61b,B3,B3,B3<==>B3,0.8,0.0548440044834633,0.3263034933622674,0.0046862415919141,0.0099107489439416,0.1650793650793651,0.1651079365079365,0.1658222222222223,0.1780793650793651,0.3684715873015872,0.6785714285714284,0.8707654761904762,0.8998869047619047,0.9044833333333332,0.9047511904761903,0.9047619047619048,0.0
Tram1_B3,Igkv5-48_B3,Tram1_B3<==>Igkv5-48_B3,Tram1,Igkv5-48,B3,B3,B3<==>B3,0.0,0.0656557840971999,0.4705699884226552,2.6121569743187974e-05,0.000360057182943,-0.7898927121623697,-0.7898680497113195,-0.7892514884350649,-0.7786712969345365,-0.7321592753703879,-0.6869094658815369,-0.3115946003279629,-0.0853028634466566,-0.0346255623157091,-0.0316723396390803,-0.031554210732015,1.0
Tram1_B3,Tpm4_B1,Tram1_B3<==>Tpm4_B1,Tram1,Tpm4,B3,B1,B1<==>B3,0.8,0.1454530174774639,0.9906977036932036,0.0036516524321277,0.0090542844205439,-0.1015873015873015,-0.1014001587301587,-0.0967215873015871,-0.0164373015873015,0.3631828571428571,0.5809523809523809,0.7274582539682538,0.7422071428571428,0.74282,0.7428557142857143,0.7428571428571429,0.1
Tram1_B3,Smarca5_B1,Tram1_B3<==>Smarca5_B1,Tram1,Smarca5,B3,B1,B1<==>B3,0.8,0.0715658806382532,0.5,0.0061986865028256,0.0112844526622972,0.1666666666666666,0.166685238095238,0.1671495238095238,0.1751166666666666,0.3057307936507937,0.4944444444444443,0.612943492063492,0.6755638888888887,0.6881274603174601,0.688859603174603,0.6888888888888888,0.0
Tram1_B3,Rhoa_B3,Tram1_B3<==>Rhoa_B3,Tram1,Rhoa,B3,B3,B3<==>B3,0.7,0.2255801517030747,0.949273914584634,0.0015648931905298,0.0066106756776496,0.1587301587301587,0.1587544444444444,0.1593615873015873,0.1697801587301587,0.2452965079365079,0.5507936507936506,0.7007592857142857,0.7943242063492062,0.8056620634920634,0.8063227777777776,0.8063492063492063,0.0
