Edge name,partner1,partner2
A_ENSMUSG00000056666<==>L_ENSMUSG00000031877,A_ENSMUSG00000056666,L_ENSMUSG00000031877
A_ENSMUSG00000056666<==>L_ENSMUSG00000033096,A_ENSMUSG00000056666,L_ENSMUSG00000033096
A_ENSMUSG00000032946<==>mes_wt,A_ENSMUSG00000032946,mes_wt
A_ENSMUSG00000032946<==>L_ENSMUSG00000022875,A_ENSMUSG00000032946,L_ENSMUSG00000022875
A_ENSMUSG00000032946<==>L_ENSMUSG00000033096,A_ENSMUSG00000032946,L_ENSMUSG00000033096
A_ENSMUSG00000032946<==>L_ENSMUSG00000078597,A_ENSMUSG00000032946,L_ENSMUSG00000078597
A_ENSMUSG00000056708<==>A_ENSMUSG00000015340,A_ENSMUSG00000056708,A_ENSMUSG00000015340
A_ENSMUSG00000056708<==>A_ENSMUSG00000015745,A_ENSMUSG00000056708,A_ENSMUSG00000015745
A_ENSMUSG00000056708<==>A_ENSMUSG00000021403,A_ENSMUSG00000056708,A_ENSMUSG00000021403
A_ENSMUSG00000056708<==>A_ENSMUSG00000024621,A_ENSMUSG00000056708,A_ENSMUSG00000024621
A_ENSMUSG00000056708<==>A_ENSMUSG00000025355,A_ENSMUSG00000056708,A_ENSMUSG00000025355
A_ENSMUSG00000056708<==>A_ENSMUSG00000026796,A_ENSMUSG00000056708,A_ENSMUSG00000026796
A_ENSMUSG00000056708<==>A_ENSMUSG00000032046,A_ENSMUSG00000056708,A_ENSMUSG00000032046
A_ENSMUSG00000056708<==>A_ENSMUSG00000034612,A_ENSMUSG00000056708,A_ENSMUSG00000034612
A_ENSMUSG00000056708<==>A_ENSMUSG00000034708,A_ENSMUSG00000056708,A_ENSMUSG00000034708
A_ENSMUSG00000056708<==>A_ENSMUSG00000037295,A_ENSMUSG00000056708,A_ENSMUSG00000037295
A_ENSMUSG00000056708<==>A_ENSMUSG00000040528,A_ENSMUSG00000056708,A_ENSMUSG00000040528
A_ENSMUSG00000056708<==>A_ENSMUSG00000043421,A_ENSMUSG00000056708,A_ENSMUSG00000043421
