TF	gene	highConfAnnot	nMotifs	bestMotif	NES	motifDb	coexModule	spearCor	CoexWeight
Ar	Adora2a	FALSE	1	tfdimers__MD00440	3.24	10kb	top50perTarget	0.0715215462689143	0.0040261818433585
Ar	Ankrd40	FALSE	1	tfdimers__MD00440	3.24	10kb	top50perTarget	0.0946257126244848	0.00381850542033189
Ar	Myo1e	FALSE	1	tfdimers__MD00440	3.24	10kb	top50perTarget	0.076792290901589	0.00401027055831741
Ar	Runx2	FALSE	1	tfdimers__MD00440	3.24	10kb	top50perTarget	0.124045365398021	0.00989290129781137
Ar	Smad1	FALSE	1	tfdimers__MD00440	3.24	10kb	top50perTarget	0.0537678676243274	0.00753790719481396
Arid3a	Arid3a	FALSE	2	tfdimers__MD00101	4.97	500bp	top10perTarget	1	NA
Arid3a	Nfkbil1	FALSE	3	tfdimers__MD00101	4.97	500bp	top10perTarget	0.036807086441678	0.0056509147634981
Arid3a	Fech	FALSE	1	tfdimers__MD00568	3.8	10kb	top10perTarget	0.037793945213874	0.00595555891286775
Arid3a	Pdxdc1	FALSE	1	tfdimers__MD00209	3.41	500bp	top10perTarget	0.0721577184492983	0.00468132347482647
Arid3a	1110051M20Rik	TRUE	6	tfdimers__MD00380	3.25	10kb	top1sd	0.0431810672674401	0.00531705976185301
Arid3a	1700017B05Rik	TRUE	1	tfdimers__MD00380	3.25	10kb	top1sd	0.0721040700056844	0.00473909284153637
Arid3a	Arhgap6	TRUE	1	tfdimers__MD00380	3.25	10kb	top1sd	0.0545315423431771	0.00461841288073648
Arid3a	Bcl9l	TRUE	1	tfdimers__MD00380	3.25	10kb	top1sd	0.0426713215390296	0.00311945752438465
Arid3a	Patl1	TRUE	1	tfdimers__MD00380	3.25	10kb	top1sd	0.0721871603477846	0.0032379365166395
Arid3a	Rad52	TRUE	1	tfdimers__MD00380	3.25	10kb	top1sd	0.0747031244926687	0.00316980164465459
Arid3a	Slc45a4	TRUE	1	tfdimers__MD00380	3.25	10kb	top1sd	0.0575288355161719	0.00707516580572239
Arid3a	Zfand1	TRUE	1	tfdimers__MD00380	3.25	10kb	top1sd	0.0591531822766508	0.00286937903233653
Arid3a	Invs	FALSE	1	tfdimers__MD00141	3.24	10kb	w0.005Andtop50	0.0851675550922856	0.0089421392516606
Arid3a	Pkig	FALSE	1	tfdimers__MD00141	3.24	10kb	w0.005Andtop50	0.0740821416622197	0.00516647412821237
Arid3a	Mtmr3	TRUE	4	tfdimers__MD00436	3.08	10kb	top10perTarget	0.0738439111727588	0.00523063719940806
Arid3a	Tmem229b	TRUE	3	tfdimers__MD00436	3.08	10kb	top10perTarget	0.0645410044368052	0.00669993812080152
Arid5b	AB124611	FALSE	1	tfdimers__MD00006	4.53	500bp	top50	0.185200888347279	0.00858400218819909
Arid5b	Arid5b	FALSE	1	tfdimers__MD00006	4.53	500bp	top50	1	NA
Arid5b	BC028528	FALSE	1	tfdimers__MD00006	4.53	500bp	top50	0.163307840220236	0.00815298591957405
Arid5b	Ccr5	FALSE	1	tfdimers__MD00006	4.53	500bp	top50	0.199287982921472	0.00993373290641466
Arid5b	Clec4e	FALSE	1	tfdimers__MD00006	4.53	500bp	top50	0.157581981477455	0.00971515490583831
Arid5b	Fam20b	FALSE	1	tfdimers__MD00006	4.53	500bp	top50	0.0664336115557226	0.0105976002401227
Arid5b	Fcgr1	FALSE	1	tfdimers__MD00006	4.53	500bp	top50	0.210110065812379	0.00983252004809658
Arid5b	Gbp4	FALSE	1	tfdimers__MD00006	4.53	500bp	top50	0.159704299216388	0.00749195587790654
Arid5b	Ifi203	FALSE	1	tfdimers__MD00006	4.53	500bp	top50	0.222645928194963	0.00975619320097056
Arid5b	Ifi44	FALSE	1	tfdimers__MD00006	4.53	500bp	top50	0.234669719856035	0.0121129331147069
Arid5b	Igsf6	FALSE	1	tfdimers__MD00006	4.53	500bp	top50	0.196787246797893	0.0100041711230189
Arid5b	Mmp14	FALSE	1	tfdimers__MD00006	4.53	500bp	top50	0.186859656070165	0.0111016440053817
Arid5b	Mndal	FALSE	1	tfdimers__MD00006	4.53	500bp	top50	0.237100156596539	0.00929609530558774
Arid5b	Ms4a6b	FALSE	1	tfdimers__MD00006	4.53	500bp	top50	0.251794167968683	0.0101209817054925
Arid5b	Nupr1	FALSE	1	tfdimers__MD00006	4.53	500bp	top50	0.153590732314483	0.00923327431954998
Arid5b	Smpd4	FALSE	1	tfdimers__MD00006	4.53	500bp	top50	0.0336254941098178	0.00793867207915997
Arid5b	Spon1	FALSE	1	tfdimers__MD00006	4.53	500bp	top50	0.138569511254143	0.00746819241838974
Arid5b	Treml4	FALSE	1	tfdimers__MD00006	4.53	500bp	top50	0.123319230749868	0.00826979305789146
Arid5b	1600014C10Rik	FALSE	1	tfdimers__MD00356	3.12	10kb	top50perTarget	0.089932457448065	0.0034133386330484
Arid5b	E2f2	FALSE	1	tfdimers__MD00356	3.12	10kb	top50perTarget	0.0852535724573388	0.00334522091284096
Arid5b	Eif4ebp1	FALSE	1	tfdimers__MD00356	3.12	10kb	top50perTarget	0.0923647743963294	0.00330325311940536
Arid5b	Fbxo42	FALSE	1	tfdimers__MD00356	3.12	10kb	top50perTarget	0.115189879464049	0.0043838800544164
Arid5b	Itpkb	FALSE	1	tfdimers__MD00356	3.12	10kb	top50perTarget	0.103951142458351	0.00359600755776333
Arid5b	Jund	FALSE	1	tfdimers__MD00356	3.12	10kb	top50perTarget	0.198045204721704	0.0100670744059051
Arid5b	Ldlrap1	FALSE	1	tfdimers__MD00356	3.12	10kb	top50perTarget	0.079746897782463	0.00636663758700935
Arid5b	Ndufs1	FALSE	1	tfdimers__MD00356	3.12	10kb	top50perTarget	0.0849121280748515	0.00335421421292713
Arid5b	Nfatc2ip	FALSE	1	tfdimers__MD00356	3.12	10kb	top50perTarget	0.0530469263830755	0.00468381457536582
Arid5b	Pik3cb	FALSE	1	tfdimers__MD00356	3.12	10kb	top50perTarget	0.123910661993543	0.00455567117634923
Arid5b	Pik3cd	FALSE	1	tfdimers__MD00356	3.12	10kb	top50perTarget	0.100655785041195	0.00349171698840347
Arid5b	Pitpnc1	FALSE	1	tfdimers__MD00356	3.12	10kb	top50perTarget	0.0714663841834208	0.00363167988741254
Arid5b	Pld2	FALSE	1	tfdimers__MD00356	3.12	10kb	top50perTarget	0.0414985776657983	0.00516961219155478
