Edge Name,partner1,partner2
Tcea1_B4<==>Hk2_T7,Tcea1_B4,Hk2_T7
Pcmtd1_B4<==>Hnrnpdl_M3,Pcmtd1_B4,Hnrnpdl_M3
Pcmtd1_B4<==>Asah1_M0,Pcmtd1_B4,Asah1_M0
Pcmtd1_B4<==>Sypl_B4,Pcmtd1_B4,Sypl_B4
Tram1_B3<==>Rpl37a_M2,Tram1_B3,Rpl37a_M2
Tram1_B3<==>Sec61b_B3,Tram1_B3,Sec61b_B3
Tram1_B3<==>Rpl29_B3,Tram1_B3,Rpl29_B3
Tram1_B3<==>Rps15_B3,Tram1_B3,Rps15_B3
Tram1_B3<==>Rtn4_M3,Tram1_B3,Rtn4_M3
Tram1_B3<==>Ift20_B3,Tram1_B3,Ift20_B3
Tram1_B3<==>Prkar1a_M3,Tram1_B3,Prkar1a_M3
Tram1_B3<==>Calm1_B1,Tram1_B3,Calm1_B1
Tram1_B3<==>Hsp90aa1_B0,Tram1_B3,Hsp90aa1_B0
Tram1_B3<==>Eif5_B3,Tram1_B3,Eif5_B3
Rpl7_M3<==>Rpl7a_M3,Rpl7_M3,Rpl7a_M3
Rpl7_M3<==>B2m_M2,Rpl7_M3,B2m_M2
Rpl7_M3<==>Rps6_M3,Rpl7_M3,Rps6_M3
Rpl7_M3<==>Rpl11_B1,Rpl7_M3,Rpl11_B1
Rpl7_M3<==>Rpl11_M3,Rpl7_M3,Rpl11_M3
Rpl7_M3<==>Rbpj_M0,Rpl7_M3,Rbpj_M0
Rpl7_M3<==>Foxp1_B2,Rpl7_M3,Foxp1_B2
Rpl7_M3<==>Rpl32_M3,Rpl7_M3,Rpl32_M3
Rpl7_M3<==>Rps5_M3,Rpl7_M3,Rps5_M3
Rpl7_M3<==>Rps11_M3,Rpl7_M3,Rps11_M3
Rpl7_M3<==>Rpl13a_M3,Rpl7_M3,Rpl13a_M3
Rpl7_M3<==>Rpl27a_M3,Rpl7_M3,Rpl27a_M3
Rpl7_M3<==>Rpl13_M0,Rpl7_M3,Rpl13_M0
Rpl7_M3<==>Rpl13_M3,Rpl7_M3,Rpl13_M3
Rpl7_M3<==>Eef1a1_M3,Rpl7_M3,Eef1a1_M3
