"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"M_5","M_5","Tgfb1","TGFbR1_R2",0.00846888320063314,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"M_3","M_5","Tgfb1","TGFbR1_R2",0.00748852077377074,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"M_0","M_5","Tgfb1","TGFbR1_R2",0.0103735665932605,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"M_5","M_0","Tgfb1","TGFbR1_R2",0.00592720593713389,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"M_3","M_0","Tgfb1","TGFbR1_R2",0.00523993595261714,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"M_0","M_0","Tgfb1","TGFbR1_R2",0.00726506095932125,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"M_5","M_5","Ccl5","Ccr1",0.0321870847345824,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_0","M_5","Ccl5","Ccr1",0.024561505237691,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_5","M_3","Ccl5","Ccr1",0.04069097198045,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_0","M_3","Ccl5","Ccr1",0.0311154732472707,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_5","M_0","Ccl5","Ccr1",0.0471707902090984,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_0","M_0","Ccl5","Ccr1",0.0361278710418683,0,"CCL5_CCR1","Ccl5  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_0","M_5","Ccl3","Ccr1",0.00327537290222125,0,"CCL3_CCR1","Ccl3  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_0","M_3","Ccl3","Ccr1",0.00417367346844987,0,"CCL3_CCR1","Ccl3  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_0","M_0","Ccl3","Ccr1",0.00486781645106226,0,"CCL3_CCR1","Ccl3  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_5","M_5","Ccl8","Ccr1",0.00223237876037555,0,"CCL8_CCR1","Ccl8  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_0","M_5","Ccl8","Ccr1",0.00331344815768264,0,"CCL8_CCR1","Ccl8  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_5","M_3","Ccl8","Ccr1",0.00284544539009168,0,"CCL8_CCR1","Ccl8  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_0","M_3","Ccl8","Ccr1",0.0042221469716263,0,"CCL8_CCR1","Ccl8  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_5","M_0","Ccl8","Ccr1",0.00331942094953524,0,"CCL8_CCR1","Ccl8  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_0","M_0","Ccl8","Ccr1",0.00492431194179808,0,"CCL8_CCR1","Ccl8  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_0","M_5","Ccl9","Ccr1",0.00370784293277482,0,"CCL9_CCR1","Ccl9  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_0","M_3","Ccl9","Ccr1",0.00472419013440172,0,"CCL9_CCR1","Ccl9  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_0","M_0","Ccl9","Ccr1",0.00550938554790208,0,"CCL9_CCR1","Ccl9  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_5","M_5","Ccl6","Ccr1",0.0029994105445743,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_0","M_5","Ccl6","Ccr1",0.00543837401254688,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_5","M_3","Ccl6","Ccr1",0.00382231618799716,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_0","M_3","Ccl6","Ccr1",0.0069257751188747,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_5","M_0","Ccl6","Ccr1",0.00445828492809926,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_0","M_0","Ccl6","Ccr1",0.00807392184293689,0,"CCL6_CCR1","Ccl6  - Ccr1","CCL","Secreted Signaling","KEGG: mmu04060"
"M_5","T_4","Ccl8","Ccr2",0.00335127077793958,0,"CCL8_CCR2","Ccl8  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"M_0","T_4","Ccl8","Ccr2",0.0049714838812713,0,"CCL8_CCR2","Ccl8  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"M_5","M_5","Ccl8","Ccr2",0.00084908773475838,0,"CCL8_CCR2","Ccl8  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"M_0","M_5","Ccl8","Ccr2",0.00126112037155162,0,"CCL8_CCR2","Ccl8  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"M_5","M_0","Ccl8","Ccr2",0.00230663270184264,0,"CCL8_CCR2","Ccl8  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"M_0","M_0","Ccl8","Ccr2",0.00342353751847692,0,"CCL8_CCR2","Ccl8  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"M_5","T_4","Ccl6","Ccr2",0.00450101280287356,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"M_0","T_4","Ccl6","Ccr2",0.0081510180019776,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"M_5","M_5","Ccl6","Ccr2",0.00114137282094939,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"M_0","M_5","Ccl6","Ccr2",0.00207261823868414,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"M_5","M_0","Ccl6","Ccr2",0.00309909844453112,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
"M_0","M_0","Ccl6","Ccr2",0.00561866606375228,0,"CCL6_CCR2","Ccl6  - Ccr2","CCL","Secreted Signaling","KEGG: mmu04060"
