Unnamed: 0,p_val,avg_log2FC,p_val_adj
AW112010,1.59E-05,-0.935764195,0.000629222
B2m,1.59E-05,-0.203112541,0.000629222
Tapbp,1.59E-05,-0.563453473,0.000629222
Eif5,1.59E-05,0.343222794,0.000629222
Scand1,1.59E-05,-0.491915206,0.000629222
Samhd1,1.59E-05,-0.82971894,0.000629222
Npc2,1.59E-05,-0.7867369,0.000629222
H2-K1,1.59E-05,-0.252758149,0.000629222
Psmb9,1.59E-05,-0.764500845,0.000629222
Rps3a1,1.59E-05,0.21205162,0.000629222
Psmb8,1.59E-05,-0.47804188,0.000629222
Atox1,1.59E-05,0.156771022,0.000629222
S100a6,1.59E-05,0.796010712,0.000629222
Ppp2ca,1.59E-05,0.408959496,0.000629222
H2-Q7,1.59E-05,-0.43813847,0.000629222
Havcr2,1.59E-05,0.900634849,0.000629222
H2-T23,1.59E-05,-0.930308501,0.000629222
Sec61b,1.59E-05,0.569279769,0.000629222
Srsf7,1.59E-05,0.408044149,0.000629222
Akr1a1,1.59E-05,-0.340453121,0.000629222
Sh3bgrl3,1.59E-05,0.477322369,0.000629222
Ddx6,1.59E-05,0.461428338,0.000629222
Tmsb4x,1.59E-05,0.077561819,0.000629222
Cd9,1.59E-05,1.000712775,0.000629222
Gsn,1.59E-05,0.656453251,0.000629222
Fcer1g,1.59E-05,-0.745439978,0.000629222
S100a4,1.59E-05,0.862474112,0.000629222
Tspo,1.59E-05,-0.599889773,0.000629222
Il1r2,1.59E-05,0.505787055,0.000629222
App,1.59E-05,-0.596487199,0.000629222
Actr3,1.59E-05,-0.255815345,0.000629222
Psme2,1.59E-05,-0.618248569,0.000629222
Stat1,1.59E-05,-0.868016422,0.000629222
Ctsb,1.59E-05,-0.574626271,0.000629222
Psme1,1.59E-05,-0.41445032,0.000629222
Arpc2,1.59E-05,-0.153945436,0.000629222
Csf2rb,1.59E-05,0.666399553,0.000629222
Sp140,1.59E-05,-0.898693352,0.000629222
Bri3,3.18E-05,-0.557127771,0.001017466
Prdx2,3.18E-05,0.772915843,0.001017466
Rrbp1,3.18E-05,-0.527267099,0.001017466
Arpc3,3.18E-05,0.169055767,0.001017466
Arf4,3.18E-05,0.371130379,0.001017466
Ahr,3.18E-05,0.519606383,0.001017466
Lsp1,3.18E-05,-0.260629744,0.001017466
Ehd1,3.18E-05,0.54443959,0.001017466
H2-D1,3.18E-05,-0.19405395,0.001017466
H2-DMb1,6.35E-05,-0.449748299,0.001621048
Ly6e,6.35E-05,-0.439185171,0.001621048
Cd274,6.35E-05,-0.419188371,0.001621048
Mdh2,6.35E-05,0.548566793,0.001621048
Mxd1,6.35E-05,-0.643615037,0.001621048
Rps2,6.35E-05,0.184250182,0.001621048
Ptpn18,6.35E-05,-0.487524958,0.001621048
Tmbim6,6.35E-05,-0.283098022,0.001621048
Cyba,6.35E-05,-0.231414971,0.001621048
Sppl2a,6.35E-05,-0.546861642,0.001621048
Cytip,6.35E-05,0.291061371,0.001621048
Cmtr1,6.35E-05,0.911054526,0.001621048
Tpr,0.000111138,-0.379690378,0.002498107
mt-Co3,0.000111138,0.065813474,0.002498107
Txn1,0.000111138,-0.37693722,0.002498107
Myl6,0.000111138,0.138415918,0.002498107
Gpr183,0.000111138,0.917460271,0.002498107
Rps15a,0.000111138,0.071967707,0.002498107
Fkbp1a,0.000111138,0.464333351,0.002498107
Cap1,0.000111138,-0.649496039,0.002498107
Ifngr1,0.000190522,0.759788589,0.003825673
Mpc1,0.000190522,0.612959987,0.003825673
Rps13,0.000190522,0.088367477,0.003825673
Gm42418,0.000190522,0.165232149,0.003825673
Prdx1,0.000190522,-0.307771138,0.003825673
Ptms,0.000190522,-0.438127629,0.003825673
Ywhaz,0.000190522,0.266735823,0.003825673
Tubb5,0.000221996,-1.396898345,0.00407603
Crem,0.000246294,1.592023369,0.00407603
Ube2j2,0.000246294,0.847011063,0.00407603
Ssu72,0.000242334,-0.530728788,0.00407603
Nabp1,0.000242334,1.53439753,0.00407603
Tuba1b,0.000234555,-1.059528253,0.00407603
Stx7,0.000242334,-0.730202443,0.00407603
Unc93b1,0.000246294,-0.949424063,0.00407603
Appl1,0.000242334,1.561635808,0.00407603
H2-Q6,0.000246294,-0.914697489,0.00407603
Got1,0.000246294,1.202659138,0.00407603
Fos,0.000246294,1.024915076,0.00407603
Psmb10,0.000242334,-0.989272291,0.00407603
Pik3r5,0.000246294,0.961435657,0.00407603
Tap1,0.000242334,-1.131469013,0.00407603
Map3k14,0.000246294,1.149755221,0.00407603
S100a11,0.000301659,0.170619915,0.004542986
Lgals3,0.000301659,0.46342302,0.004542986
Ubl5,0.000301659,0.126892593,0.004542986
Map3k1,0.000301659,0.448007771,0.004542986
Eif2s2,0.000301659,0.232245626,0.004542986
Psma5,0.000301659,-0.52882812,0.004542986
Rel,0.000301659,0.323948214,0.004542986
St8sia4,0.000301659,1.337448526,0.004542986
Foxn3,0.000316854,2.269632285,0.004724569
Rap2a,0.000326943,1.26041178,0.004827216
Pten,0.000476304,0.588810273,0.006404586
Itgb1,0.000476304,-0.434886326,0.006404586
Vdac2,0.000476304,-0.497001527,0.006404586
Asah1,0.000451669,-1.907109265,0.006404586
Atrx,0.000476304,-0.386675168,0.006404586
Hnrnpa0,0.000476304,0.302231772,0.006404586
H2afy,0.000476304,-0.227857126,0.006404586
Crtc3,0.00043861,0.876739234,0.006404586
Atp5h,0.000476304,0.091409923,0.006404586
Gnb2,0.000476304,-0.30635298,0.006404586
Anxa5,0.000190522,0.417621692,0.007361948
Eef1a1,0.000190522,-0.045681335,0.007361948
Gfod1,0.000568467,1.390727141,0.007509747
Irf2bp2,0.000568467,-0.845439351,0.007509747
Pfkp,0.000593558,-0.793588937,0.007773034
Irf8,0.000605664,-2.083273134,0.007863194
Arap2,0.000242334,2.50829997,0.008117863
Lamp2,0.000714456,-0.50726406,0.008406019
Rhog,0.000714456,-0.289877153,0.008406019
Msn,0.000714456,-0.183154067,0.008406019
Kras,0.000714456,0.36013117,0.008406019
Tgfb1,0.000714456,0.418794913,0.008406019
