gene_cell,source,log2fc_median_TLS
1700017B05Rik_B3,DEG,0.4496707891334369
1810037I17Rik_M0,DEG,-2.3409018556212464
1810037I17Rik_M3,DEG,-0.3895264268340172
1810037I17Rik_T5,DEG,0.0578001860899574
2410006H16Rik_B1,DEG,-0.3621248053550978
2410006H16Rik_B2,DEG,-0.1645041646020038
2410006H16Rik_B5,DEG,-0.8816214949063805
2410006H16Rik_M1,DEG,-3.107292200606917
2410006H16Rik_M3,DEG,-3.209120300640401
2410006H16Rik_T2,DEG,-0.4245430723394521
4930523C07Rik_B3,DEG,1.770989135321975
4930523C07Rik_B5,DEG,-1.7046548676852211
A530032D15Rik_B1,Signature,0.1999574402753703
A930005H10Rik_T6_0,Signature,
AI662270_M4,DEG,0.014546187830506
AU020206_T4,DEG,-0.4556811706751811
AW112010_M0,DEG;Signature,-0.7466851895042188
AW112010_M1,DEG,-0.6123669876301582
AW112010_M3,DEG,-0.2920663992652139
AW112010_M4,DEG,-0.7417428035407767
AW112010_M5,DEG,-0.8771124810036806
AW112010_O10,DEG,-2.138324605072076
AW112010_T0,DEG,-0.292485124583968
AW112010_T1,DEG,-0.3319841516693095
AW112010_T2,DEG,-0.2612255445876266
AW112010_T3,DEG,-0.3656101659776459
AW112010_T4,DEG,-0.5892115266328813
AW112010_T5,DEG,-0.3233239455646151
AW112010_T7,DEG,-0.6334914472211177
AY036118_B1,DEG,0.0396504431776963
AY036118_B2,DEG,0.1664500737472951
AY036118_B3,DEG,0.0244211016996569
AY036118_B7,Signature,0.1463435345521903
AY036118_M0,DEG,0.3076987752662381
AY036118_O10,DEG,0.249257709197001
Abca1_M1,Signature,0.2697251450147105
Abi1_M3,DEG,0.1989342427037859
Abi3bp_O4,Signature,
Abi3bp_T4,DEG;Signature,-0.2789244509818128
Ablim1_B1,DEG,-0.4509542602564509
Ablim1_B2,DEG,-0.2281564243005059
Ablim1_B4,DEG,-0.3172438921365986
Ablim1_M7,Signature,0.7537114378901911
Ablim1_T3,DEG,-0.7639037794431583
Ablim1_T6,DEG;Signature,-0.3399145526265935
Abracl_M0,DEG,-1.060869711174015
Abracl_M3,DEG,-0.2432112039923357
Abracl_M4,DEG,-0.226684333903037
Abracl_M5,DEG,-0.4227494195138252
Abracl_T2,DEG,-0.3754575163970152
Abracl_T3,DEG,-0.6227212267004912
Abracl_T4,DEG,-0.3643866490096633
Acbd3_B3,DEG,0.6745744970354985
Acbd3_M4,DEG,0.6901568577220711
Acod1_M2,DEG;Signature,-0.2153193797787425
Acp5_M1,DEG;Signature,-0.8748360548907635
Acsl1_M0,Signature,
Acta2_O13,Signature,0.5362344365377238
Actb_B1,DEG,-0.2018145945365749
Actb_B4,DEG,-0.1304849211685524
Actb_B5,DEG,-0.1020071100381725
Actb_M0,DEG,-0.0944427779333862
Actb_M3,DEG,-0.2478383020310008
Actb_M4,DEG,-0.0940608841791907
Actb_T0,DEG,-0.2551649935745763
Actb_T1,DEG,-0.2370036498865583
Actb_T2,DEG,-0.1784180487263904
Actb_T3,DEG,-0.3406875205899091
Actb_T4,DEG,-0.3365100477483906
Actb_T5,DEG,-0.1427476218124832
Actb_T6,DEG,-0.2697175676624251
Actb_T6_1,DEG,-0.3719879508787732
Actg1_B0,DEG,0.1822501235990447
Actg1_B3,DEG,0.3651401260566287
Actg1_B4,DEG,-0.2454596663826553
Actg1_M0,DEG,-0.1611921691016741
Actg1_M3,DEG,-0.1548869211730584
Actg1_M5,DEG,0.107562950662609
Actg1_M6,Signature,0.0837150719786067
Actg1_M7,DEG,0.2256213858370468
Actg1_T1,DEG,0.1240493032162512
Actg1_T3,DEG,0.0264339430505761
Actg1_T4,DEG,0.0080300461373191
Actg1_T6,DEG,0.1825105524595118
Actg1_T7,DEG,0.2179970751079516
Actn1_M3,Signature,
Actn1_M4,DEG,-0.5639244633790433
Actr2_B4,DEG,-0.1949525968478335
Actr2_M0,DEG,-0.2960195011664028
Actr2_M3,DEG,-0.2328217794385232
Actr2_M4,DEG,-0.269415236945542
Actr2_T1,DEG,-1.3756121391602525
Actr3_B1,DEG,-0.342421158202659
Actr3_B4,DEG,-0.2513303363964668
Actr3_M0,DEG,-0.2849340023356669
Actr3_M3,DEG,-0.2321717876259583
Actr3_M4,DEG,-0.2578189241852222
Actr3_T2,DEG,-0.2187705039884625
Actr3_T3,DEG,-0.2460675659817598
Actr3_T4,DEG,-0.207046189657322
Actr3_T5,DEG,-0.2394950216536649
Adam17_M1,DEG,-0.2743573235738672
Adam17_M3,DEG,0.7872241003183453
Adam19_M4,DEG,0.5748975028932457
Adamdec1_O4,Signature,
Adamts1_O7,DEG,0.8937613054935988
Adgre5_M4,DEG,0.3007660375906932
Adgre5_M7,DEG,1.8237892907353723
Adgrf5_O10,Signature,0.1054829468932547
Adgrl4_O10,Signature,2.0365713490979056
Adipor1_M5,DEG,-0.6626577544073204
Adk_T6_3,Signature,
Aebp2_M4,DEG,0.481263898854143
Aebp2_M5,DEG,0.4836727595783659
Aebp2_T1,DEG;Signature,0.1864937529998118
Aebp2_T2,DEG,0.2828935960175698
Aebp2_T5,DEG,0.3416216103897874
Aff4_B4,DEG,0.3674345021249848
Ago2_M3,DEG,0.3027938142986197
Ago2_M4,DEG,0.4544609770283891
Ago2_T5,DEG,0.46957386504886
Agpat3_M4,DEG;Signature,-0.3807306542306832
Ahnak_B7,Signature,3.047533311007753
Ahnak_M1,Signature,
Ahnak_O7,DEG,0.2550066797300616
Ahnak_T2,DEG,1.5569994396724884
Ahnak_T4,DEG,0.2908086669587509
Ahr_M1,DEG,0.0924382810775276
Ahr_M5,DEG,2.759396678368951
Aif1_M1,DEG,-0.2379474066222894
Aif1_M3,DEG,0.5206301897266952
Aif1_M4,DEG,-0.1766721007703035
Aif1_M5,DEG,-0.3817439036010319
Akap13_B1,DEG,-0.2768668194518683
Akap13_B3,DEG,0.2844670046613593
Akap13_M1,DEG,0.2413996611555638
Akap13_M3,DEG,-0.2621564793596092
Akap13_T3,DEG,-0.0974361924620977
Akap13_T4,DEG,-0.2745925758515837
Akirin1_B4,DEG,-0.4128974105351075
Akr1a1_B4,DEG,-0.3955631977098123
Akr1a1_M0,DEG,-0.580200114868638
Akr1a1_M1,DEG,-0.1598297337431164
Akr1a1_M4,DEG,-0.2378430809487947
Aldh1a1_O13,Signature,
Aldoa_B1,DEG,-0.5413045926166717
Aldoa_B3,DEG,0.3449445083432332
Aldoa_M0,DEG,-1.1282868888868651
Aldoa_M3,DEG,-0.1293907024531974
Aldoa_M5,DEG,-0.5403189846269667
Aldoa_T0,DEG,-0.774254484283099
Aldoa_T2,DEG,-2.8243367401182216
Aldoa_T5,DEG,-0.5816844713419853
Aldoa_T7,DEG,-1.5528244454097409
Alox5ap_M0,DEG,-1.3879027487797302
Alox5ap_M4,DEG,-0.2193839453853859
Alox5ap_M5,DEG,-2.082226450077768
Alyref_M4,DEG,-0.3062892323606271
Anapc13_B3,DEG,-0.4893170609343872
Ankrd11_M4,DEG,0.2066651177903685
Ankrd12_B1,DEG,-0.228618916737023
Ankrd12_B4,DEG,0.0987023683003806
Ankrd12_T1,DEG,-0.3286122009956032
Ankrd12_T2,DEG,-0.9841812163589454
Ankrd12_T4,DEG,-0.4493704599265912
Anp32a_T4,DEG,0.7378096381606973
Anp32b_B5,DEG,0.4169992103066973
Anp32b_M0,DEG,-1.4504736050812832
Anp32b_M1,DEG,-0.3356107615041297
Anp32b_M3,DEG,-0.8566173624489682
Anp32e_M4,DEG,-0.5855919625786197
Antxr2_M1,DEG,2.8673104636509503
Antxr2_M4,DEG,1.2485009578609574
Anxa2_M4,DEG,0.7395715399755376
Anxa5_M1,DEG,0.2135726265914393
Anxa5_M3,DEG,0.7909675869951541
Anxa5_M4,DEG,0.6943980221981763
Ap2s1_M3,DEG,-0.4990974695909578
Ap2s1_M4,DEG,-0.2495459331450338
Ap2s1_M5,DEG,-0.6209404109611318
Apoe_B1,DEG;Signature,0.6692723961906992
Apoe_M0,DEG,0.6751103607663616
Apoe_M1,Signature,-0.1919666073964632
Apoe_O7,DEG,-3.4343684330074966
Apold1_O10,Signature,0.1628098765328527
App_M0,DEG,-0.9890832284378488
App_M3,DEG,0.1570053138328297
App_M5,DEG,-0.4636718444547402
Appl1_M3,Signature,
Appl1_M4,DEG,0.6108799323838903
Aprt_M0,DEG,-1.550378854709621
Aprt_M1,DEG,0.2561420021393936
Aprt_M3,DEG,1.214888419893231
Ar_T8,Signature,
Arap2_B5,DEG,-0.403428116462157
Arap2_M3,Signature,
Arap2_M5,Signature,0.1408354832571284
Arap2_T0,Signature,-0.0990209518066573
Arap2_T3,DEG,-0.2623053872428439
Arap2_T4,DEG,0.3923530479791965
Arap2_T5,DEG,-2.602155602161865
Arf1_M0,DEG,-0.2586143595115576
Arf1_T1,DEG,0.2518645581577353
Arf4_B1,DEG,-0.2969014582401503
Arf4_M4,DEG,0.28953000650027
Arf4_T2,DEG,-0.2809631139349441
Arf4_T5,DEG,0.2025788096478129
Arf5_M0,DEG,-1.0386285876965031
Arf5_M3,DEG,-0.1901778638419513
Arf5_T0,DEG,-0.5454284432195015
Arf5_T2,DEG,-0.1699091642355284
Arf5_T3,DEG,-0.3081112311177954
Arhgap15_M4,DEG,-3.012363953206896
Arhgap5_M4,DEG,-0.5229293222317304
Arhgdia_M0,DEG,-0.4793118591760864
Arhgdib_B3,DEG,0.5200163755718586
Arhgdib_B4,DEG,-0.1443289391161974
Arhgdib_B5,DEG,-0.5795931459196041
Arhgdib_M0,DEG,-0.2565331152808162
Arhgdib_M5,DEG,-0.2887737740561811
Arhgdib_T1,DEG,-0.3229943049551145
Arhgdib_T2,DEG,-0.2511640354662936
Arhgdib_T3,DEG,-0.379592299112616
Arhgdib_T4,DEG,-0.377705863382354
Arhgdib_T5,DEG,-0.2504519767205743
Arhgef1_B4,DEG,-0.53548339449245
Arid1a_T5,DEG,-2.1760960408262333
Arid4a_M4,DEG,-0.6577319452490709
Arid4b_B1,DEG,-0.2772037140498057
Arid4b_B5,DEG,-2.531312211672182
Arih2_M1,DEG,-0.3208273586158801
Arl1_T5,DEG,-2.2824046028987617
Arl4c_M1,DEG,0.3312251609442096
Arl4c_M3,DEG,0.7413971168242048
Arl4c_M4,DEG,3.4691438005712474
Arl4c_M5,DEG,0.6924060405597781
Arl4c_M6,Signature,2.1930140195449925
Arl6ip1_M3,DEG,0.2794328801067769
Arl6ip1_T3,DEG,0.4284695139844965
Arl6ip5_M4,DEG,1.3599275001801563
Arl8b_M1,DEG,0.5032718192211802
Arpc1b_B1,DEG,-0.2341665058704625
Arpc1b_B2,DEG,-0.1793659387122015
Arpc1b_B3,DEG,0.3509428121807297
Arpc1b_M0,DEG,-0.2008796184828809
Arpc1b_M3,DEG,-0.176223492997031
Arpc1b_M4,DEG,-0.1009762999786992
Arpc1b_M5,DEG,-0.1497971570915929
Arpc1b_O7,DEG,-0.6482612187663287
Arpc1b_T1,DEG,-0.3183664655802601
Arpc1b_T2,DEG,-0.2287151399240006
Arpc1b_T3,DEG,-0.3567569017496673
Arpc1b_T4,DEG,-0.2708906041235283
Arpc1b_T5,DEG,-0.277332283159272
Arpc1b_T7,DEG,-0.433067123991494
Arpc2_B1,DEG,-0.1639281439791075
Arpc2_B4,DEG,-0.0781302924262241
Arpc2_B5,DEG,-0.1315393683215454
Arpc2_M0,DEG,-0.3219542259947469
Arpc2_M2,DEG,-0.2330344726835902
Arpc2_M3,DEG,-0.2271264850336122
Arpc2_M4,DEG,-0.1412589334489246
Arpc2_T2,DEG,-0.1040666524936153
Arpc2_T5,DEG,-0.1274106880004145
Arpc3_B0,DEG,0.204205120078048
Arpc3_B1,DEG,0.1676771656912503
Arpc3_B3,DEG,0.2834252257986738
Arpc3_B4,DEG,0.0815155812936755
Arpc3_B5,DEG,0.1361065216027203
Arpc3_M1,DEG,0.1303409418772808
Arpc3_M2,DEG,0.16548208566647
Arpc3_M3,DEG,-0.0714316522472512
Arpc3_T0,DEG,0.1726683389198565
Arpc3_T1,DEG;Signature,0.3111495172239824
Arpc3_T2,DEG,0.1718481463655414
Arpc3_T3,DEG,0.1554036324308174
Arpc3_T4,DEG,0.095297642754361
Arpc3_T5,DEG,0.2092961576965182
Arpc3_T6,DEG,0.3389209506351525
Arpc4_B4,DEG,-0.2483772214521122
Arpc4_M3,DEG,-0.4265486571503664
Arpc4_M4,DEG,-0.2719881653679272
Arpc5_M3,DEG,-0.187353811439842
Arpc5_T1,DEG,0.0860333902501058
Arpc5l_B4,Signature,0.024059466614619
Arpc5l_M4,DEG,-0.352425711459303
Arpp19_M3,DEG,-1.8725774797735617
Asah1_M0,DEG,-0.976369062714729
Asah1_M3,DEG,0.4842983308489663
Asah1_M4,DEG,-0.7210599412306857
Asah1_M5,DEG,-0.965775773983356
Asap1_M4,DEG,-1.6537310341937057
Asap1_T6_3,Signature,-0.9584438701261782
Asap2_M4,Signature,-1.403844689188174
Asf1b_T5,Signature,-0.9329459903761004
Atf4_B3,DEG,0.4827953858221888
Atf4_M1,DEG,0.5113339437288468
Atf4_M3,DEG,0.3413199740358953
Atf4_M4,DEG,0.4074342283000347
Atf4_M5,DEG,0.4007128804104375
Atf4_O7,DEG,0.5899299046649203
Atf6_B3,DEG,0.6012853082792754
Atg3_M4,DEG,-0.9174935229916202
Atox1_M1,DEG,0.0657069539129477
Atox1_M2,DEG,0.374203469350677
Atox1_M3,DEG,-0.3325275489166471
Atox1_M4,DEG,0.1899438089750979
Atox1_M5,DEG,0.2610116577452731
Atp10b_O15,Signature,-0.2380532556570763
Atp13a2_M0,Signature,
Atp1a1_M1,DEG,0.2510904871087167
Atp1a1_M3,DEG,0.7001700277217204
Atp1a1_M4,DEG,0.5217255330811343
Atp1a1_M5,DEG,0.3382419955427336
Atp1b1_M7,DEG;Signature,-0.9900707694444294
Atp1b3_M0,DEG,-1.0599055119669596
Atp1b3_M3,DEG,0.4215545011801068
Atp2b1_M2,DEG,0.5830249455631638
Atp2b1_M3,DEG,0.9571163248346812
Atp2b1_M4,DEG,0.8502492294804072
Atp2b1_T1,DEG,0.337279820465707
Atp2b1_T2,DEG,0.5347822646477816
Atp5a1_M0,DEG,-0.2110836077789707
Atp5a1_M1,DEG,-0.0942757662843117
Atp5a1_M4,DEG,-0.2051587087937019
Atp5a1_T5,DEG,-0.2377128569267667
Atp5b_M0,DEG,-0.3320740023308663
Atp5b_M3,DEG,-0.23808509995042
Atp5b_M4,DEG,-0.3044745135684539
Atp5b_T3,DEG,0.0323234330534815
Atp5c1_B4,DEG,-0.1879518836989737
Atp5c1_M0,DEG,-0.464445741752774
Atp5c1_M1,DEG,-0.27326079021954
Atp5c1_M3,DEG,-0.5029790816976223
Atp5c1_M4,DEG,-0.275064882438094
Atp5c1_T5,DEG,-0.1701514768671108
Atp5d_B1,DEG,0.0841457332026115
Atp5d_B3,DEG,0.096222897843476
Atp5d_M3,DEG,-0.2988125943280031
Atp5d_T1,DEG,0.115015868715786
Atp5d_T3,DEG,0.0336997436860087
Atp5d_T5,DEG,0.096705241773611
Atp5e_B1,DEG,-0.1337760502168352
Atp5e_M3,DEG,-0.210782205528517
Atp5e_M5,DEG,0.1102924309600271
Atp5e_T4,DEG,-0.0909210865473743
Atp5e_T7,DEG,-0.2055383470802799
Atp5f1_M0,DEG,-0.3689614944046821
Atp5f1_M3,DEG,-0.320189753968632
Atp5f1_M4,DEG,-0.1547892525542747
Atp5f1_T4,DEG,-0.1179167070934625
Atp5g1_M0,DEG,-0.5496402420105798
Atp5g1_M3,DEG,-0.4381418445801012
Atp5g1_M4,DEG,-0.1693945679220541
Atp5g1_T4,DEG,-0.282801089169842
Atp5g2_B1,DEG,-0.18997632743668
Atp5g2_B2,DEG,-0.1371178453609144
Atp5g2_B5,DEG,-0.1552621897128879
Atp5g2_M3,DEG,-0.2759435451785428
Atp5g2_T1,DEG,-0.1182999586150373
Atp5g2_T2,DEG,-0.2557949956902189
Atp5g2_T3,DEG,-0.1759914709739111
Atp5g2_T4,DEG,-0.1694897368390058
Atp5g3_M0,DEG,-1.0847355211679237
Atp5g3_T3,DEG,-0.7228478019500095
Atp5h_B2,DEG,0.0625455054128524
Atp5h_M3,DEG,-0.2323662324395183
Atp5j2_M0,DEG,-0.4815493237450459
Atp5j2_M1,DEG,-0.1326284117974746
Atp5j2_M3,DEG,-0.3557650415984925
Atp5j2_T4,DEG,-0.1603169186241874
Atp5j_M0,DEG,-0.3808912729405762
Atp5j_M3,DEG,-0.3006013941413611
Atp5j_T4,DEG,-0.2061633471744187
Atp5k_M0,DEG,-0.7822894642322089
Atp5k_M3,DEG,-0.3994797794125589
Atp5k_M4,DEG,-0.3055499485114093
Atp5l_B1,DEG,-0.1171627303315832
Atp5l_M0,DEG,-0.1729464100215763
Atp5l_M1,DEG,-0.096695751867488
Atp5l_M2,DEG,0.2436370247717681
Atp5l_M3,DEG,-0.2046057086548175
Atp5l_M4,DEG,-0.0878486838601767
Atp5l_O10,DEG,-0.3253164083947408
Atp5l_T0,DEG,-0.243802740529688
Atp5l_T2,DEG,-0.151150884003367
