file,Starting_edges,After_PUC,After_difference_filters,After_combined_p_meta,After_meta_Fisher_FDR,After_individual_p_values,KO_WK3_MIN,KO_WK3_MAX,KO_WK6_MIN,KO_WK6_MAX,WK3_WK6_MIN,WK3_WK6_MAX,KO_PVAL,WK3_PVAL,WK6_PVAL,META_P,FISHER_P,META_FDR,FISHER_FDR,Edges,Nodes,Density,Positive_nodes,Negative_nodes,Positive_edges,Negative_edges,Observed_+,Expected_+,Normalized_deviation,KO_N,KO_Mean,KO_Median,KO_Std,KO_Minimum,KO_Maximum,KO_Mean_abs,KO_Median_abs,wk3_N,wk3_Mean,wk3_Median,wk3_Std,wk3_Minimum,wk3_Maximum,wk3_Mean_abs,wk3_Median_abs,wk6_N,wk6_Mean,wk6_Median,wk6_Std,wk6_Minimum,wk6_Maximum,wk6_Mean_abs,wk6_Median_abs,AbsDiff_KO_wk3_N,AbsDiff_KO_wk3_Mean,AbsDiff_KO_wk3_Median,AbsDiff_KO_wk3_Std,AbsDiff_KO_wk3_Minimum,AbsDiff_KO_wk3_Maximum,AbsDiff_KO_wk3_Mean_abs,AbsDiff_KO_wk3_Median_abs,AbsDiff_KO_wk6_N,AbsDiff_KO_wk6_Mean,AbsDiff_KO_wk6_Median,AbsDiff_KO_wk6_Std,AbsDiff_KO_wk6_Minimum,AbsDiff_KO_wk6_Maximum,AbsDiff_KO_wk6_Mean_abs,AbsDiff_KO_wk6_Median_abs,AbsDiff_wk3_wk6_N,AbsDiff_wk3_wk6_Mean,AbsDiff_wk3_wk6_Median,AbsDiff_wk3_wk6_Std,AbsDiff_wk3_wk6_Minimum,AbsDiff_wk3_wk6_Maximum,AbsDiff_wk3_wk6_Mean_abs,AbsDiff_wk3_wk6_Median_abs,Meta_FDR_N,Meta_FDR_Mean,Meta_FDR_Median,Meta_FDR_Std,Meta_FDR_Minimum,Meta_FDR_Maximum,Meta_FDR_Mean_abs,Meta_FDR_Median_abs,Wilcox_KO_vs_wk3_Statistic,Wilcox_KO_vs_wk3_P,Wilcox_KO_vs_wk6_Statistic,Wilcox_KO_vs_wk6_P,Wilcox_wk3_vs_wk6_Statistic,Wilcox_wk3_vs_wk6_P
TLS_present11_KO-0.16_Wk3-0.47_Wk6-0.39_comb-0.05_FDR-1_DIFF_0.4_report.txt,511046.0,309795.0,199411.0,48422.0,48422.0,6021.0,-0.4,0.4,-0.4,0.4,-100.0,100.0,0.16,0.47,0.39,0.05,1.0,1.0,1.0,6021.0,3081.0,0.001269,1367.0,1714.0,4823.0,1198.0,- ratio: 4.0300,- ratio: 1.0300,2.91,6021.0,0.3927,0.6071,0.5153,-0.8929,0.9762,0.6435,0.619,6021.0,0.4411,0.7,0.5794,-1.0,1.0,0.7179,0.8,6021.0,0.4638,0.8,0.6086,-1.0,1.0,0.7607,0.8,6021.0,-0.0745,-0.0929,0.1341,-0.3929,0.3976,0.1284,0.1262,6021.0,-0.1173,-0.1333,0.1033,-0.3929,0.3976,0.1363,0.1376,6021.0,-0.0428,0.0,0.1377,-0.5,0.4,0.1024,0.1,6021.0,0.2023,0.2023,0.0,0.2023,0.2023,0.2023,0.2023,3908816.5,0.0,1232045.0,0.0,2056057.0,4.3494e-110
TLS_present11_KO-0.17_Wk3-0.48_Wk6-0.41_comb-0.05_FDR-1_DIFF_0.4_report.txt,511046.0,309795.0,199411.0,48422.0,48422.0,9879.0,-0.4,0.4,-0.4,0.4,-100.0,100.0,0.17,0.48,0.41,0.05,1.0,1.0,1.0,9879.0,3861.0,0.001326,1692.0,2169.0,7726.0,2153.0,- ratio: 3.5900,- ratio: 1.0300,2.49,9879.0,0.3601,0.5952,0.5218,-0.8929,0.9762,0.6297,0.6071,9879.0,0.4106,0.7,0.595,-1.0,1.0,0.7127,0.8,9879.0,0.4,0.6,0.578,-1.0,1.0,0.6912,0.7,9879.0,-0.083,-0.1015,0.1354,-0.3929,0.3976,0.1337,0.1333,9879.0,-0.0615,-0.069,0.139,-0.3929,0.3976,0.1274,0.1214,9879.0,0.0214,0.0,0.1673,-0.5,0.6,0.1255,0.1,9879.0,0.2023,0.2023,0.0,0.2023,0.2023,0.2023,0.2023,9537358.5,0.0,12837165.0,0.0,9484016.0,4.0795e-35
TLS_present11_KO-0.19_Wk3-0.5_Wk6-0.43_comb-0.05_FDR-1_DIFF_0.4_report.txt,511046.0,309795.0,199411.0,48422.0,48422.0,12196.0,-0.4,0.4,-0.4,0.4,-100.0,100.0,0.19,0.5,0.43,0.05,1.0,1.0,1.0,12196.0,4170.0,0.001403,1819.0,2351.0,9456.0,2740.0,- ratio: 3.4500,- ratio: 1.0300,2.35,12196.0,0.3413,0.5714,0.5124,-0.8929,0.9762,0.6108,0.5952,12196.0,0.3994,0.7,0.6007,-1.0,1.0,0.7112,0.8,12196.0,0.3889,0.6,0.5833,-1.0,1.0,0.6897,0.7,12196.0,-0.1003,-0.1167,0.1373,-0.3952,0.3976,0.144,0.1452,12196.0,-0.0788,-0.081,0.1402,-0.3952,0.3976,0.1352,0.131,12196.0,0.0215,0.0,0.1672,-0.5,0.6,0.1255,0.1,12196.0,0.2023,0.2023,0.0,0.2023,0.2023,0.2023,0.2023,11667206.5,0.0,15938330.5,0.0,14444607.0,1.9603e-43
TLS_present11_KO-0.19_Wk3-0.5_Wk6-0.43_comb-0.1_FDR-1_DIFF_0.4_report.txt,511046.0,309795.0,199411.0,91838.0,91838.0,12275.0,-0.4,0.4,-0.4,0.4,-100.0,100.0,0.19,0.5,0.43,0.1,1.0,1.0,1.0,12275.0,4190.0,0.001399,1828.0,2362.0,9514.0,2761.0,- ratio: 3.4500,- ratio: 1.0300,2.35,12275.0,0.3407,0.5714,0.5122,-0.8929,0.9762,0.6103,0.5952,12275.0,0.3985,0.7,0.6,-1.0,1.0,0.7099,0.8,12275.0,0.3876,0.6,0.5824,-1.0,1.0,0.6879,0.7,12275.0,-0.0996,-0.1167,0.1376,-0.3952,0.3976,0.1438,0.1429,12275.0,-0.0775,-0.0805,0.1407,-0.3952,0.3976,0.1352,0.131,12275.0,0.022,0.0,0.1672,-0.5,0.6,0.1256,0.1,12275.0,0.2023,0.2023,0.0,0.2023,0.2039,0.2023,0.2023,11982504.5,0.0,16490990.5,0.0,14603751.0,1.0427e-45
TLS_present11_KO-0.19_Wk3-0.5_Wk6-0.43_comb-0.1_FDR-1_DIFF_0.5_report.txt,511046.0,309795.0,249981.0,113814.0,113814.0,12443.0,-0.5,0.5,-0.5,0.5,-100.0,100.0,0.19,0.5,0.43,0.1,1.0,1.0,1.0,12443.0,4197.0,0.001413,1829.0,2368.0,9663.0,2780.0,- ratio: 3.4800,- ratio: 1.0300,2.38,12443.0,0.3422,0.5714,0.5109,-0.8929,0.9762,0.61,0.5952,12443.0,0.4028,0.7,0.6008,-1.0,1.0,0.7125,0.8,12443.0,0.3903,0.6,0.5819,-1.0,1.0,0.6888,0.7,12443.0,-0.1026,-0.1211,0.1416,-0.4881,0.481,0.1469,0.1452,12443.0,-0.0788,-0.081,0.1427,-0.4762,0.469,0.1366,0.1333,12443.0,0.0238,0.0,0.1695,-0.6,0.6,0.1277,0.1,12443.0,0.2177,0.2177,0.0,0.2177,0.2177,0.2177,0.2177,12161257.5,0.0,16830014.5,0.0,14969542.0,1.5512e-52
TLS_present11_KO-0.25_Wk3-0.55_Wk6-0.48_comb-0.05_FDR-1_DIFF_0.4_report.txt,511046.0,309795.0,199411.0,48422.0,48422.0,21980.0,-0.4,0.4,-0.4,0.4,-100.0,100.0,0.25,0.55,0.48,0.05,1.0,1.0,1.0,21980.0,4934.0,0.001806,2117.0,2817.0,16729.0,5251.0,- ratio: 3.1900,- ratio: 1.0400,2.07,21980.0,0.3016,0.5238,0.4896,-0.8929,0.9762,0.5687,0.5476,21980.0,0.3575,0.6,0.5865,-1.0,1.0,0.6719,0.7,21980.0,0.3683,0.6,0.5975,-1.0,1.0,0.6917,0.7,21980.0,-0.1032,-0.1214,0.1631,-0.4,0.3976,0.1638,0.1531,21980.0,-0.1229,-0.1289,0.1451,-0.4,0.3976,0.1617,0.1524,21980.0,-0.0198,0.0,0.1841,-0.6,0.6,0.1414,0.1,21980.0,0.2023,0.2023,0.0,0.2023,0.2023,0.2023,0.2023,46458543.0,0.0,30050849.5,0.0,54242388.0,8.5912e-53
TLS_present11_KO-0.25_Wk3-0.55_Wk6-0.48_comb-0.1_FDR-1_DIFF_0.25_report.txt,511046.0,309795.0,113630.0,49575.0,49575.0,14636.0,-0.25,0.25,-0.25,0.25,-100.0,100.0,0.25,0.55,0.48,0.1,1.0,1.0,1.0,14636.0,4711.0,0.001319,2034.0,2677.0,11000.0,3636.0,- ratio: 3.0300,- ratio: 1.0400,1.91,14636.0,0.3026,0.5595,0.5101,-0.8929,0.9762,0.5871,0.5833,14636.0,0.3284,0.6,0.5598,-0.9,1.0,0.6339,0.6,14636.0,0.3396,0.6,0.5732,-1.0,1.0,0.6548,0.6,14636.0,-0.0469,-0.0524,0.1284,-0.25,0.2476,0.1165,0.1119,14636.0,-0.0678,-0.0857,0.1171,-0.25,0.2476,0.1152,0.1119,14636.0,-0.0209,0.0,0.1613,-0.4108,0.4162,0.1231,0.1,14636.0,0.227,0.227,0.0,0.227,0.2275,0.227,0.227,32638594.0,0.0,22638823.0,0.0,22298653.0,1.7636e-52
TLS_present11_KO-0.25_Wk3-0.55_Wk6-0.48_comb-0.1_FDR-1_DIFF_0.3_report.txt,511046.0,309795.0,143418.0,64350.0,64350.0,19715.0,-0.3,0.3,-0.3,0.3,-100.0,100.0,0.25,0.55,0.48,0.1,1.0,1.0,1.0,19715.0,4949.0,0.00161,2134.0,2815.0,14881.0,4834.0,- ratio: 3.0800,- ratio: 1.0400,1.96,19715.0,0.2983,0.5238,0.4976,-0.8929,0.9762,0.5745,0.5595,19715.0,0.3398,0.6,0.5732,-1.0,1.0,0.6507,0.6325,19715.0,0.3505,0.6,0.5847,-1.0,1.0,0.67,0.7,19715.0,-0.0762,-0.0881,0.1483,-0.3,0.3,0.1412,0.131,19715.0,-0.0956,-0.1048,0.1334,-0.3,0.2976,0.1389,0.1262,19715.0,-0.0194,0.0,0.1771,-0.5,0.5581,0.1357,0.1,19715.0,0.2023,0.2016,0.0021,0.2016,0.2215,0.2023,0.2016,46593676.0,0.0,31831357.5,0.0,43325301.0,6.1193e-50
TLS_present11_KO-0.25_Wk3-0.55_Wk6-0.48_comb-0.1_FDR-1_DIFF_0.4_report.txt,511046.0,309795.0,199411.0,91838.0,91838.0,23650.0,-0.4,0.4,-0.4,0.4,-100.0,100.0,0.25,0.55,0.48,0.1,1.0,1.0,1.0,23650.0,5080.0,0.001833,2189.0,2891.0,17881.0,5769.0,- ratio: 3.1000,- ratio: 1.0400,1.98,23650.0,0.2932,0.5119,0.4877,-0.8929,0.9762,0.5627,0.5476,23650.0,0.3461,0.6,0.582,-1.0,1.0,0.661,0.7,23650.0,0.3558,0.6,0.5911,-1.0,1.0,0.678,0.7,23650.0,-0.0983,-0.1119,0.1624,-0.4,0.3976,0.16,0.1452,23650.0,-0.1153,-0.1238,0.1455,-0.4,0.3976,0.1568,0.1381,23650.0,-0.017,0.0,0.1851,-0.6,0.6165,0.1425,0.1,23650.0,0.2023,0.2023,0.0006,0.2023,0.2162,0.2023,0.2023,56817022.5,0.0,39038901.0,0.0,65834070.0,3.0591e-42
TLS_present11_KO-0.25_Wk3-0.55_Wk6-0.48_comb-0.1_FDR-1_DIFF_0.5_report.txt,511046.0,309795.0,249981.0,113814.0,113814.0,24043.0,-0.5,0.5,-0.5,0.5,-100.0,100.0,0.25,0.55,0.48,0.1,1.0,1.0,1.0,24043.0,5085.0,0.00186,2190.0,2895.0,18224.0,5819.0,- ratio: 3.1300,- ratio: 1.0400,2.01,24043.0,0.2951,0.5119,0.4863,-0.8929,0.9762,0.5624,0.5372,24043.0,0.351,0.6,0.5833,-1.0,1.0,0.6642,0.7,24043.0,0.3593,0.6,0.5908,-1.0,1.0,0.6794,0.7,24043.0,-0.1018,-0.1119,0.1666,-0.5,0.481,0.1637,0.1476,24043.0,-0.117,-0.1238,0.1474,-0.5,0.469,0.1586,0.1405,24043.0,-0.0152,0.0,0.1872,-0.6,0.6165,0.1442,0.1,24043.0,0.2177,0.2177,0.0,0.2177,0.2183,0.2177,0.2177,57822388.5,0.0,40004620.0,0.0,69965870.5,4.1092e-33
TLS_present11_KO-1_Wk3-1_Wk6-1_comb-1_FDR-1_DIFF_100_report.txt,511046.0,309795.0,309795.0,309795.0,309795.0,309795.0,-100.0,100.0,-100.0,100.0,-100.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,309795.0,5885.0,0.017893,2499.0,3386.0,216624.0,93171.0,- ratio: 2.3300,- ratio: 1.0500,1.22,309795.0,0.1424,0.25,0.3417,-0.8929,0.9762,0.3438,0.3214,309795.0,0.2286,0.4,0.5423,-1.0,1.0,0.5597,0.5,309795.0,0.2279,0.4,0.5241,-1.0,1.0,0.5464,0.5,309795.0,-0.2159,-0.2071,0.2245,-0.9286,0.65,0.2551,0.219,309795.0,-0.2026,-0.1929,0.2123,-0.8929,0.669,0.2398,0.2071,309795.0,0.0133,0.0,0.2405,-0.8,0.8,0.1881,0.2,309795.0,0.2667,0.253,0.0298,0.253,0.6399,0.2667,0.253,4259217986.0,0.0,4267377770.5,0.0,13479156629.5,6.5843e-201
