"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"B_6","B_8","Tgfb1","TGFbR1_R2",0.00264939104912301,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"B_2","B_8","Tgfb1","TGFbR1_R2",0.00163418533485186,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"B_8","B_8","Tgfb1","TGFbR1_R2",0.000401911796342637,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"B_0","B_8","Tgfb1","TGFbR1_R2",0.00199180408516246,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"B_1","B_8","Tgfb1","TGFbR1_R2",0.00181306042512451,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"B_5","B_8","Tgfb1","TGFbR1_R2",0.00195067121745585,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"B_7","B_8","Tgfb1","TGFbR1_R2",0.000698092567418974,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"B_4","B_8","Tgfb1","TGFbR1_R2",0.00114026338041595,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"T_1","B_8","Tgfb1","TGFbR1_R2",0.00156136475410802,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"T_2","B_8","Tgfb1","TGFbR1_R2",0.00215314175374109,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"T_8","B_8","Tgfb1","TGFbR1_R2",0.00162388684258386,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"T_4","B_8","Tgfb1","TGFbR1_R2",0.00188015549931693,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"T_3","B_8","Tgfb1","TGFbR1_R2",0.001437379601063,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"T_5","B_8","Tgfb1","TGFbR1_R2",0.0030093548646663,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"T_0","B_8","Tgfb1","TGFbR1_R2",0.00113047773495659,0.01,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"T_7","B_8","Tgfb1","TGFbR1_R2",0.00160153169400186,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"M_1","B_8","Tgfb1","TGFbR1_R2",0.00908013946727865,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"M_5","B_8","Tgfb1","TGFbR1_R2",0.0043325584171101,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"M_7","B_8","Tgfb1","TGFbR1_R2",0.00362747165052342,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"M_3","B_8","Tgfb1","TGFbR1_R2",0.00383063793977219,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
"M_4","B_8","Tgfb1","TGFbR1_R2",0.0028348849714812,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350"
