"B1-B1","B1-B3","B1-T4","B1-M3","B1-M5","B1-M0","B3-B1","B3-B3","B3-T4","B3-M3","B3-M5","B3-M0","T4-B1","T4-B3","T4-T4","T4-M3","T4-M5","T4-M0","Ligand","Receptor","Condition","InteractionStrength"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Csf1","Csf1r","M5-M3",0.480462843093201
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Csf1","Csf1r","M5-M0",0.54139826299473
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jag1","Notch1","M0-T4",0.842834067689051
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jag1","Notch1","M0-M0",0.798680366088746
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jag1","Notch2","M0-T4",0.844149171030223
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jag1","Notch2","M0-M3",0.877637852704975
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jag1","Notch2","M0-M0",0.794069986063204
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ifng","Ifngr1","M5-B1",0.247768306373009
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ifng","Ifngr1","M5-T4",0.694720996716115
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ifng","Ifngr1","M5-M3",0.732055462254653
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ifng","Ifngr1","M5-M5",0.517323383862765
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ifng","Ifngr1","M5-M0",0.727648414365765
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ifng","Ifngr2","M5-B1",0.255721860009334
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ifng","Ifngr2","M5-T4",0.674220540752379
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ifng","Ifngr2","M5-M3",0.734166073013664
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ifng","Ifngr2","M5-M5",0.51188752548219
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ifng","Ifngr2","M5-M0",0.7358920905857
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Igf1","Igf1r","M0-T4",0.784300982295513
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Igf1","Igf1r","M0-M5",0.305564777035363
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Il1a","Il1r1","M5-T4",0.45965418724822
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Il1a","Il1r1","M0-T4",0.486580084726438
