"Ligand","Receptor","From","To","LR_score","TF","TF_activity","Combined_score"
"Mfng","Notch2","M5","T4",0.976169951736854,"Stat3",2.07454432325585,2.02510783190863
"Mfng","Notch1","M5","T4",0.974843035412053,"Stat3",2.07454432325585,2.02235508517958
"Mfng","Notch2","M5","T4",0.976169951736854,"Ets1",1.95022776531686,1.90375374354523
"Mfng","Notch1","M5","T4",0.974843035412053,"Ets1",1.95022776531686,1.90116595448636
"Mfng","Notch2","M5","T4",0.976169951736854,"Rbpj",1.79473944373661,1.7519707161726
"Jag1","Notch2","M0","T4",0.844149171030223,"Stat3",2.07454432325585,1.75122487074188
"Mfng","Notch1","M5","T4",0.974843035412053,"Rbpj",1.79473944373661,1.74958924710594
"Jag1","Notch1","M0","T4",0.842834067689051,"Stat3",2.07454432325585,1.74849663057096
"Il6","Il6st","M3","M3",1,"Stat4",1.72979620592574,1.72979620592574
"Il6","Il6st","M3","M3",1,"Stat5a",1.66539579265451,1.66539579265451
"Jag1","Notch2","M0","T4",0.844149171030223,"Ets1",1.95022776531686,1.64628315141235
"Jag1","Notch1","M0","T4",0.842834067689051,"Ets1",1.95022776531686,1.64371840036214
"Il6","Il6ra","M3","M3",0.944433892669946,"Stat4",1.72979620592574,1.63367816428815
"Igf1","Igf1r","M0","T4",0.784300982295513,"Stat3",2.07454432325585,1.62706715054515
"Il6","Il6st","M3","M3",1,"Stat3",1.62049763535197,1.62049763535197
"Mfng","Notch2","M5","T4",0.976169951736854,"Nfkb1",1.65906288136941,1.61952733283478
"Mfng","Notch1","M5","T4",0.974843035412053,"Nfkb1",1.65906288136941,1.61732589521362
"Mfng","Notch2","M5","M3",0.92928747829648,"Stat4",1.72979620592574,1.60747795417155
"Mfng","Notch2","M5","T4",0.976169951736854,"Hif1a",1.61243559260554,1.57401117461253
"Il6","Il6ra","M3","M3",0.944433892669946,"Stat5a",1.66539579265451,1.57285623129285
"Mfng","Notch1","M5","T4",0.974843035412053,"Hif1a",1.61243559260554,1.57187160750202
"Il6","Il6st","M3","M3",1,"Foxo1",1.5660531765895,1.5660531765895
"Il6","Il6st","M3","M3",1,"Relb",1.55684305291437,1.55684305291437
"Mfng","Notch1","M5","M0",0.930246795200023,"Mitf",1.67135383867107,1.55477155206902
"Mfng","Notch2","M5","M3",0.92928747829648,"Stat5a",1.66539579265451,1.54763145652148
