Endpoint_CellType_Pair,B0,B1,B2,B3,B4,B5,B6_0,B7,M0,M1,M2,M3,M4,M5,M7,O10,O4,O7,T0,T1,T2,T3,T4,T5,T6,T6_2,T6_3,T7
B0__B0,991,461,226,374,60,101,0,0,358,243,6,261,101,143,15,37,0,41,30,163,126,108,221,139,29,7,5,66
B0__B1,13275,13275,2814,4377,986,1329,23,28,4993,2435,177,3386,1223,1566,228,373,0,432,566,1699,1882,1518,2988,1688,318,26,63,786
B0__B2,6345,2539,6345,2253,386,607,1,8,2622,1133,142,1728,702,732,120,168,0,236,398,846,732,821,1539,843,157,22,23,327
B0__B3,18225,6276,3156,18225,1300,1781,20,13,5946,3608,403,4189,1968,2224,398,496,90,874,1193,2330,2878,2057,3581,2573,353,27,144,1005
B0__B4,6840,2679,1196,2510,6840,825,45,16,2991,1335,49,1820,750,672,188,271,0,242,380,971,801,719,2031,844,192,22,23,656
B0__B5,7290,3007,1675,2591,632,7290,57,2,3093,1250,82,1835,778,891,155,271,0,196,377,975,1098,991,1771,996,126,16,34,526
B0__B6_0,720,196,173,323,115,91,720,0,256,181,2,267,156,84,19,14,0,41,54,101,96,89,150,229,16,5,0,47
B0__B7,855,366,151,362,45,120,0,855,325,116,5,287,108,108,13,17,0,54,112,175,147,86,213,134,25,4,1,58
B0__M0,17550,5403,3263,5143,1032,1428,6,45,17550,2853,180,3907,1401,1963,220,541,0,306,710,1907,1717,1455,4235,2413,377,13,48,989
B0__M1,14715,5161,2397,5563,1082,1315,4,14,4778,14715,125,3856,1616,1820,397,512,2,579,674,2268,2428,1878,2986,2066,265,33,77,950
B0__M2,2925,1035,696,1414,179,284,15,3,1212,503,2925,684,302,389,35,101,9,99,195,595,434,327,665,480,183,17,9,166
B0__M3,20160,6970,3945,6813,1594,1859,21,19,7948,3971,119,20160,2464,2669,455,737,0,545,1140,2425,2356,2612,4779,2656,458,58,81,1063
B0__M4,15885,5894,3199,6033,1229,1619,7,18,6786,3279,260,4811,15885,1964,489,476,0,428,1026,2388,2368,1973,3858,2336,570,29,75,1054
B0__M5,13590,4920,2746,4389,1135,1414,12,21,5947,2315,274,3698,1051,13590,181,458,0,495,936,1590,1623,1632,3302,2017,250,38,108,811
B0__M7,2025,736,469,648,182,312,0,3,703,455,26,544,213,304,2025,229,0,142,123,308,217,233,538,374,47,5,7,161
B0__O10,2340,918,488,947,244,280,0,1,918,450,12,739,355,471,43,2340,46,88,174,337,280,262,507,347,53,3,15,187
B0__O4,450,165,58,311,66,43,1,0,210,78,7,112,54,57,9,10,450,12,25,60,70,51,121,58,6,0,5,86
B0__O7,2745,1021,549,910,158,195,7,26,1133,464,71,633,171,522,23,62,4,2745,98,359,339,264,686,380,67,1,25,185
B0__T0,3825,1434,774,1479,276,308,20,18,1855,601,23,874,451,718,39,101,0,192,3825,514,554,501,929,640,94,6,17,221
B0__T1,7830,3359,1584,2817,521,911,4,7,3176,1410,110,1929,843,980,184,309,0,459,579,7830,1111,1032,1745,1263,232,54,27,529
B0__T2,11070,4406,2065,3746,623,1101,7,5,4499,2291,178,2770,1099,1573,197,253,1,291,640,1466,11070,1637,2614,1658,198,27,50,662
B0__T3,7335,2766,1707,2561,517,753,12,14,3198,1225,109,1929,822,1165,108,178,2,202,624,1015,1097,7335,1811,938,122,16,34,501
B0__T4,10440,3810,2240,3387,961,1066,3,34,4921,1798,63,3025,1066,1505,153,363,0,168,526,1202,1248,1034,10440,1396,200,25,40,672
B0__T5,13545,5297,2717,4802,945,1412,1,139,5533,2283,238,3361,1415,1785,199,354,50,649,805,1745,2247,1350,2928,13545,265,24,109,863
B0__T6,1980,749,409,843,249,230,1,2,788,452,74,601,235,312,25,57,0,97,87,303,216,230,462,324,1980,40,7,173
B0__T6_2,495,183,102,135,54,38,0,21,285,119,5,112,111,123,3,18,0,1,149,166,80,70,113,123,20,495,0,34
B0__T6_3,450,241,92,188,34,75,0,0,205,88,2,121,21,106,7,55,0,6,39,43,66,38,174,88,15,0,450,33
B0__T7,3330,1353,670,1270,366,474,6,1,1299,735,45,882,497,483,80,138,0,103,208,433,415,355,779,474,84,10,22,3330
B1__B1,1604,43366,8983,10423,3477,3896,154,141,15810,5268,883,10768,4066,4070,764,940,0,1426,2369,4402,5871,4744,9292,4700,919,34,156,2061
B1__B2,1561,41597,41597,10998,2922,3870,91,126,17322,4895,1208,10784,4515,4121,887,730,0,1338,3096,4059,5240,4950,9700,5177,696,127,81,1678
B1__B3,4489,119477,17418,119477,11386,12296,332,216,39607,18953,3816,26694,12022,12720,1950,2733,592,5189,9109,11120,19534,13915,24143,14999,1734,129,695,6001
B1__B4,1715,44840,7292,11844,44840,4371,383,118,18535,6144,687,11637,5062,3978,1123,1411,0,1528,3192,4828,5562,4894,13013,4786,1230,87,96,3472
B1__B5,1543,47790,10570,12639,4438,47790,468,94,20414,5550,871,11071,5340,5088,857,1272,0,1222,3103,4814,7417,6322,11818,5448,807,74,76,2658
B1__B6_0,97,4720,953,1825,807,672,4720,4,1710,1050,63,1678,996,487,58,49,0,195,384,411,764,556,1012,1403,71,9,3,298
B1__B7,236,5605,887,1790,302,723,11,5605,2324,458,59,2040,712,626,62,77,0,346,844,1013,1010,674,1373,953,89,3,6,270
B1__M0,3206,115050,20096,21644,6764,7999,305,504,115050,10173,2120,22709,8568,11952,1584,1857,1,2469,5910,8059,11524,9528,24671,12752,2120,64,246,4591
B1__M1,4860,96466,15146,29512,9358,9051,206,251,32349,96466,1516,25509,10961,10290,2206,2847,5,3739,5519,11802,15710,12260,19207,12032,1496,161,173,5652
B1__M2,450,19175,4044,7678,1333,1877,136,67,7929,2414,19175,4452,1866,2251,196,524,85,603,1320,3570,2851,2088,4175,2845,926,41,26,844
B1__M3,3887,132160,22854,33740,12984,11561,354,322,51764,20071,1998,132160,15466,15049,2187,3747,1,3088,8404,11166,15859,16758,31783,14459,2644,175,221,5380
B1__M4,3120,104135,18633,29944,9198,10448,209,225,43631,16746,2703,30553,104135,11789,2793,2409,5,2605,7737,12040,15581,13281,24431,13305,2970,81,320,5797
B1__M5,2484,89090,17372,20010,6156,8438,212,311,37470,9857,2178,23261,7019,89090,1124,2628,0,3212,7228,7150,10930,9592,21338,10644,1728,315,154,4304
B1__M7,376,13275,2846,3253,1399,2073,25,25,5129,2329,308,3773,1433,1628,13275,1316,0,840,832,1527,1641,1473,3347,2160,290,14,19,888
B1__O10,614,15340,2944,4978,1874,1725,22,26,5997,2161,233,4564,2310,2877,248,15340,307,522,1243,1856,1885,1685,3222,1812,311,7,15,1087
B1__O4,160,2950,343,1889,464,208,8,6,1355,376,61,666,308,342,29,56,2950,76,171,332,417,431,787,294,44,0,3,520
B1__O7,618,17995,3689,5043,1279,1242,64,157,7048,1783,515,4232,1071,3377,147,357,8,17995,923,1616,2604,1567,3934,2488,341,8,198,998
B1__T0,857,25075,4598,7095,1772,1807,196,215,11766,2481,367,5453,2935,4588,276,465,0,1198,25075,2226,3508,3103,5741,3861,371,22,71,1193
B1__T1,2139,51330,9747,13955,3648,5716,148,120,20868,6356,1145,12041,5552,5541,1120,1659,1,2751,4485,51330,7520,6348,10840,7489,1536,334,71,2998
B1__T2,1795,72570,12634,18135,4543,6801,186,148,29019,10665,1825,17316,7401,8840,1215,1293,1,1748,4972,7577,72570,10208,16721,9555,1074,77,194,3350
B1__T3,1185,48086,10425,12166,3394,4381,167,166,21076,5208,1079,12303,5121,6834,704,877,10,1235,4768,4721,7318,48086,11522,5491,725,33,87,2581
B1__T4,1943,68440,13304,14795,6668,6055,175,329,30482,8211,979,19312,6612,8955,996,1615,0,1257,4207,5312,8730,6549,68440,7551,1184,36,256,3471
