Edge Name,KO_pval,KO_median,wk3_pval,wk3_median,wk6_pval,wk6_median,meta_r,meta_p,meta_fdr
Rpl37a_T2<==>Rpl35_B1,0.0208151272535253,0.7857142857142857,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rpl37a_T2<==>Rps27_B2,0.1292448816497496,0.5833333333333333,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rpl37a_T2<==>Rps27_T2,0.0065300172547153,0.8571428571428571,0.1,0.8999999999999999,0.0,1.0,inf,0.0,0.0
Rpl37a_T2<==>Rps29_T1,0.0644889862427802,0.6785714285714286,0.1,0.8999999999999999,0.1,0.8999999999999999,1.0570893612570267,7.644947430547006e-05,9.62060800248612e-05
Rpl37a_T2<==>Rps29_T6_2,0.0644889862427802,0.6785714285714286,0.1,0.8999999999999999,0.0,1.0,inf,0.0,0.0
Rpl37a_T2<==>Rpl37_T1,0.0051901688592238,0.8690476190476191,0.1,0.8999999999999999,0.1,0.8999999999999999,1.3802624888850585,2.4112199748030894e-07,3.375707964724325e-07
Rpl37a_T2<==>Rps28_T2,0.0322788501029663,0.75,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rpl37a_T2<==>Rpl39_B2,0.0365527610528608,0.7380952380952381,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rpl37a_T2<==>mt-Co2_T5,0.1511252783392538,-0.5595238095238095,0.0,-1.0,0.1,-0.8999999999999999,-inf,0.0,0.0
Ptgs2_M0<==>Il1b_M0,0.0065300172547153,0.8571428571428571,0.0,1.0,0.0,1.0,inf,0.0,0.0
Lpgat1_M7<==>Dbnl_M4,0.0660435616484202,-0.6785714285714286,0.0,-1.0,0.0,-1.0,-inf,0.0,0.0
Il1rn_M0<==>Eif4e_M0,0.0465282322841672,0.7142857142857143,0.0,1.0,0.1,0.8999999999999999,inf,0.0,0.0
Rpl12_T5<==>Eef2_T5,0.1462950705063365,0.5714285714285714,0.1,0.8999999999999999,0.1,0.8999999999999999,0.9434193483215909,0.00041563510805973334,0.00044760703944894355
Rpl35_B1<==>Rps27_B1,0.0020082755054294,0.9047619047619048,0.1,0.8999999999999999,0.1,0.8999999999999999,1.4887066199220755,2.5440309734958243e-08,3.652967551686312e-08
Rpl35_B1<==>Rps27_B2,0.1106314217965286,0.6071428571428572,0.0,1.0,0.0,1.0,inf,0.0,0.0
Rpl35_T1<==>Rpl39_B2,0.1292448816497496,0.5833333333333333,0.1,0.8999999999999999,0.0,1.0,inf,0.0,0.0
Rpl35_T3<==>Rpl6_B2,0.1106314217965286,0.6071428571428572,0.1,0.8999999999999999,0.1,0.8999999999999999,0.9786107088778478,0.00025061956055063276,0.0002864223549150089
Sppl2a_M0<==>Actr2_M0,0.0936459642334688,0.6309523809523809,0.1,0.8999999999999999,0.0,1.0,inf,0.0,0.0
Bcl2l11_B3<==>Rap2a_M3,0.0537702076869242,0.7023809523809523,0.1,0.8999999999999999,0.1,0.8999999999999999,1.0863540765841984,4.808093250763986e-05,6.261702838204261e-05
