variable,p_val,avg_log2FC,p_val_adj
Ptpn18_B5,0.0005684668718268,-0.3886873064542675,0.0138868335831975
Eif5b_B5,0.0276556527566731,0.3413855196516432,0.1179974151084613
Stk17b_B5,0.004096213384139,-0.3215257955754518,0.0382064993829692
Hspe1_B5,0.0003016591251885,0.313241206105767,0.0096719457013562
Bzw1_B5,0.0314201794077955,0.4631696171328877,0.1259261877828054
Clk1_B5,0.0824958323410335,-0.2759531153047947,0.2105490646315929
Nop58_B5,0.0048460129906725,0.3199302157903077,0.0436141169160525
Rpl37a_B5,0.0252441057394617,-0.0603902271058907,0.1116398814167573
Arpc2_B5,0.5208065412399778,-0.0400365789346138,0.6994077373196561
Sp140_B5,0.1152655394141462,-0.2123145845049544,0.2675620892283122
Ncl_B5,0.0004763038818766,0.2831447184496208,0.0122171945701347
Ptma_B5,0.0001111375724378,0.1715039817515734,0.0063348416289546
Snrpe_B5,0.0337983621149569,0.2611641160000312,0.1344074400385495
Ptprc_B5,0.0015241724220052,-0.2747204356672368,0.0217194570135741
Tpr_B5,0.4268635389378423,-0.0807822344436458,0.6238774799860772
4930523C07Rik_B5,0.0060909879265175,-1.7046548676852211,0.0477673979429718
H3f3a_B5,0.0095578312296578,0.0781392409711528,0.0603097362176685
Set_B5,0.0021592442645074,0.3572122835857222,0.0257602862254022
Ssb_B5,0.0692486716781744,0.2733736142027454,0.1899709549246175
B2m_B5,0.0003016591251885,-0.1291199852843079,0.0096719457013562
Eif2s2_B5,0.0123997777248551,0.2810013482396635,0.0731159307224214
Ppp1r16b_B5,0.0218317488739345,-0.3299241340597519,0.1037008071511888
Gnas_B5,0.0473446058585377,-0.1534550931830887,0.157019177865158
Serp1_B5,0.0123997777248551,-0.2728352239153248,0.0731159307224214
Mbnl1_B5,0.1568627450980392,-0.1553643078998366,0.319327731092437
Ccnl1_B5,0.0895124226007759,-0.2145510524083811,0.2273261029415744
Rps3a1_B5,0.0054933714376438,0.1392877355010257,0.0454532185082462
Ctss_B5,0.0029848376597602,-0.2165403757063525,0.0319004524886871
Csde1_B5,0.5713582599031516,-0.0192243170267509,0.7290427648192622
Gng5_B5,0.0054933714376438,0.3074689321790965,0.0454532185082462
Rps20_B5,0.0054933714376438,-0.035215013846781,0.0454532185082462
Pnrc1_B5,0.1753350899594907,-0.1893423714356105,0.3527329456832107
Dnaja1_B5,0.038707628800508,0.2503712374724887,0.1398381237652155
Clta_B5,0.0076818062802948,0.6543543460719042,0.0544684124435751
Anp32b_B5,0.0021358168527197,0.8224539216379216,0.0257602862254022
Nr4a3_B5,0.0149354467126296,1.350855538292815,0.0847567873303166
Tut4_B5,0.0061455131856455,-0.2841982201403212,0.0477673979429718
