Edge Name,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw0_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw0_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw1_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw1_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw10_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw10_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw2_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw2_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw3_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw3_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw4_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw4_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw5_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw5_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw6_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw6_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw7_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw7_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw8_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw8_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw9_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw9_sign,Present_Count
2410006H16Rik_B2<==>Avpi1_T4,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
AW112010_M0<==>Alox5ap_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
AW112010_M0<==>Tspo_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Abracl_M0<==>Psma3_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Actb_M0<==>Psme2_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Actr2_M0<==>Sppl2a_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
App_M0<==>Ubl5_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Arf5_M0<==>Psmb8_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Arhgap5_M4<==>Crem_M3,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,11
Arpc1b_B3<==>Sub1_B3,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Asah1_M5<==>Mpeg1_M5,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Atf4_B3<==>Bcl2l11_B3,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Atf6_B3<==>Sub1_B3,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Atp5e_B1<==>Mrpl52_B1,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
