Present_Count_Threshold,Edge_Count,Unique_Variable_Count,Unique_Variable_Fraction,Density,Positive_Nodes,Negative_Nodes,Positive_Edges,Negative_Edges,Mixed_Sign_Edges,Observed_PosNeg_Ratio,Expected_PosNeg_Ratio,Normalized_Deviation
11,2193,1516,0.2514,0.00191,607,909,1809,384,0,4.71,1.08,3.36
10,5052,2431,0.4031,0.00171,1019,1412,4049,1003,0,4.04,1.05,2.85
9,9203,3280,0.5439,0.001711,1369,1911,7213,1990,0,3.62,1.06,2.42
8,15385,4088,0.6778,0.001842,1731,2357,11946,3439,0,3.47,1.05,2.3
7,24633,4757,0.7888,0.002178,2037,2720,18809,5824,0,3.23,1.04,2.11
6,38686,5304,0.8795,0.002751,2281,3023,29062,9624,0,3.02,1.04,1.9
5,60210,5675,0.941,0.00374,2443,3232,44667,15543,0,2.87,1.04,1.76
4,95654,5902,0.9786,0.005493,2531,3371,69615,26035,4,2.67,1.04,1.57
3,159482,5986,0.9925,0.008903,2568,3418,114100,45361,21,2.52,1.04,1.42
2,294227,6008,0.9962,0.016305,2579,3429,205482,88599,146,2.32,1.04,1.23
1,715695,6031,1.0,0.03936,2592,3439,479249,236280,146,2.03,1.04,0.95
