,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw0.csv,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw1.csv,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw10.csv,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw2.csv,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw3.csv,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw4.csv,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw5.csv,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw6.csv,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw7.csv,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw8.csv,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw9.csv
comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw0.csv,16075.0,3020.0,3110.0,2793.0,3164.0,3034.0,2967.0,3296.0,3005.0,3362.0,2928.0
comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw1.csv,3020.0,14802.0,2968.0,2808.0,2984.0,2799.0,2879.0,2894.0,3033.0,3268.0,3130.0
comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw10.csv,3110.0,2968.0,15146.0,2775.0,2870.0,2780.0,3137.0,3072.0,2820.0,3252.0,2935.0
comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw2.csv,2793.0,2808.0,2775.0,14160.0,2763.0,2789.0,2713.0,2859.0,2803.0,2910.0,2756.0
comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw3.csv,3164.0,2984.0,2870.0,2763.0,15891.0,2827.0,2944.0,2962.0,2872.0,3266.0,3072.0
comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw4.csv,3034.0,2799.0,2780.0,2789.0,2827.0,15113.0,2945.0,2947.0,2967.0,3008.0,3030.0
comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw5.csv,2967.0,2879.0,3137.0,2713.0,2944.0,2945.0,15753.0,3023.0,2801.0,3410.0,2846.0
comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw6.csv,3296.0,2894.0,3072.0,2859.0,2962.0,2947.0,3023.0,16796.0,2924.0,3313.0,2881.0
comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw7.csv,3005.0,3033.0,2820.0,2803.0,2872.0,2967.0,2801.0,2924.0,15459.0,2984.0,3116.0
comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw8.csv,3362.0,3268.0,3252.0,2910.0,3266.0,3008.0,3410.0,3313.0,2984.0,16453.0,3187.0
comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw9.csv,2928.0,3130.0,2935.0,2756.0,3072.0,3030.0,2846.0,2881.0,3116.0,3187.0,15671.0
