gene_id	gene_name	Anderson1B	Anderson2B	Barrow1B	Barrow2B	Bechtel1B	Bechtel2B	Bierek1B	Bierek2B	Bolong1B	Bolong2B	Bolong3B	Carey1B	Carey2B	Carroll1B	Carroll2B	Carroll3B	Chandler1B	Chandler2B	Cloquet1B	Cloquet2B	Colton1B	Colton2B	Cooper1B	Cooper2B	Fischer1B	Fischer2B	Foster1B	Foster2B	Greenwell1B	Greenwell2B	Greenwell3B	Halbert1B	Halbert2B	Heiss1B	Heiss2B	Howard1B	Howard2B	Hutter1B	Hutter2B	Jones1B	Jones2B	Keith1B	Keith2B	Klein1B	Klein2B	Lam1B	Lam2B	Martin1B	Martin2B	Max1B	Max2B	McFarland1B	McFarland2B	MJones1B	MJones2B	MJones3B	Murray1B	Pentz1B	Pentz2B	Porbandarwalla1B	Pratt1B	Pratt2B	Ptak1B	Ptak2B	Randolph1B	Randolph2B	Rothery1B	Rothery2B	Smith1B	Smith2B	Strople1B	Strople2B	Swenson1B	Swenson2B	Taucher1B	Taucher2B	Taylor1B	Taylor2B	Wells1B	Wells2B	Willoughby1B	Willoughby2B	Woolsey1B	Woolsey2B
ENSCAFG00845000002	PHLPP1	0	0	0	0	1.999999866692	0	0	0.999999543753054	0	0	0	0	0	0	0	0	1.00349925866105	1.99999945253618	0	0	2.00000005341939	0	0	0	0	0	0	0	0.999999641711999	2.99999347985892	0.99999997507348	0	0	3.65932189521966	0	0.999999635681691	0	0	0	1.00000055973558	0	3.99999920779089	0	0	2.99999996369576	0	0	0	0.999999957716791	0	0.999999846341476	7.00000008345849	8.99999954961531	0.999999462647902	0	0	0	0	0	0	1.00000015840439	0	0	0	0	0	1.9999994521096	0	0	0	0	0	0.99999996559781	0.999999637120093	1.99999955265891	0.999999634216089	0	0	2.37768748466287	1.02636606582829	0	0	0	1.99999986755563
ENSCAFG00845000003	ENSCAFG00845000003	0	0	0	0	0	0	0	0	0	0	0	1.00000019982937	0	0	0	1.00000002202662	0	0	0	0	0	0	0.999999835711155	0	0	0	0	0.999999751750309	0	0	0	0	0	0	0	0	0	0	0	1.00000055973558	0	0	0	1.00000000193819	0	0	0	0	0	1.00000004021387	0.999999846341476	0.999999901050643	0	0.999999462647902	0	0	0	0	0	0	0	0	0	0	0.999999849189442	0	0	0	0.999999796043206	0	0	0	0	0	0	0.999999634216089	0	0	0	0	0	0	1.00000040278886	0
ENSCAFG00845000004	ENSCAFG00845000004	0	0	0	0	0	0	0	0.999999543753054	0	0	0	1.00000019982937	0	0	0	2.00000004405324	0	0.99999972626809	0	0	0	0.999999805173415	0.999999835711155	0	0	0	0	0	0	0	0.99999997507348	0	0	0	0	0	0	0	0	3.99999974748039	0	0	0	0	0.999999987898586	0	0.999999428213352	0	0	1.00000004021387	0	0	0	4.0000003422215	0	0	0	0	0	0	0	0	0.999999514371679	0	1.99999969837888	0	0	0	0	0.999999843435983	0	0	0.99999996559781	0	0	2.00000000634017	0	0	0.999999630625999	0	0	0	0	0
ENSCAFG00845000005	ENSCAFG00845000005	0	0	1.99999987448681	0	2.999999800038	0	0	7.00000071577242	0	1.0000001320167	0	1.00000019982937	1.00000017527179	0	1.00000032005667	1.00000002202662	1.99999996482931	6.99999955487764	0.999999783084425	0	0	0	0.999999835711155	0	0	0	0	0	0	0	0	0	0	0.999999809118742	0	0.999999635681691	1.00000013125192	0	0.999999612934406	3.00000043347577	0	1.00000006858071	0	0	6.9999999152901	0	0	0	0	2.00000008042774	3.00000000771841	0	0	2.99999963375865	0	0.999999893116342	1.9999998646161	0.9999998073708	0	4.99999966981001	1.00000015840439	1.99999968704089	2.99999969067202	0	4.00000059718878	0	0	0	0	1.99999968687197	0	0	1.99999993119562	0	0.999999776329456	2.99999964055626	0	1.00000003407187	0	0.999999716308899	0.999999882805096	0	1.00000040278886	0
ENSCAFG00845000006	ENSCAFG00845000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845000007	RMND1	1.9999997528763	0	1.00000023232639	0	1.999999866692	0	0	14.0000001283778	0	3.9999998107668	0.999999737160999	1.00000019982937	1.00000017527179	7.99999975888335	9.00000033321389	6.00000013215972	0	8.00000075214674	0	0	0	3.00000000061827	0	0.999999916222184	0	0.999999938375811	0	0	0	0	0	0.99999986519816	0	1.99999961823748	0	2.99999965789307	3.99999980222871	7.99999903520594	0	3.99999974748039	0.999999892100041	1.99999960389544	0	0	0	0.999999609830308	0.999999428213352	0.99999984719904	0	3.00000012064162	0.999999846341476	0	0	4.0000003422215	0.999999923167474	0.999999893116342	0.999999656075583	0.9999998073708	0	4.99999966981001	0	0	4.99999986697236	0	0	3.99999942954655	2.99999961417435	1.00000008119267	0.999999796043206	0	0	0	0.99999996559781	0.999999637120093	1.99999955265891	2.00000000634017	0.99999971905771	2.00000006814373	2.99999954933995	0	0	2.99999995146937	1.99999963553774	0
ENSCAFG00845000008	ENPP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99999993119562	0	0	0	0	0	0	1.00251177810649	0	0	0	0
ENSCAFG00845000009	CLVS2	0	0.999999747462977	0	0	0	0	0	0.999999543753054	0	0	0	0	0	0.999999731355168	0	0	0	0	0	0	0	0	0	0.999999916222184	0	0	0	0	0	0	1.99999995014696	0	0	0.999999809118742	0	0	0	0	0	0	0.999999892100041	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999999923167474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999999315535338	0	0	0	0	0	0	0	0	0	0	1.00000040278886	0
ENSCAFG00845000010	ENSCAFG00845000010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845000011	U4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999999770574128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
