Cell_Type,Network_X_N,Network_Y_N,Network_X_Top_N,Network_Y_Top_N,Intersection_N,Union_N,Jaccard
T6_2,12,12,2,2,1,3,0.3333333333333333
T3,169,155,17,16,7,26,0.2692307692307692
T2,270,290,27,29,7,49,0.14285714285714285
M0,373,282,38,29,8,59,0.13559322033898305
M5,287,251,29,26,6,49,0.12244897959183673
T7,82,91,9,10,2,17,0.11764705882352941
M7,51,51,6,6,1,11,0.09090909090909091
T4,246,235,25,24,4,45,0.08888888888888889
M1,373,412,38,42,6,74,0.08108108108108109
O7,65,63,7,7,1,13,0.07692307692307693
O10,66,67,7,7,1,13,0.07692307692307693
T0,79,51,8,6,1,13,0.07692307692307693
T1,209,224,21,23,3,41,0.07317073170731707
M2,71,75,8,8,1,15,0.06666666666666667
M3,476,508,48,51,6,93,0.06451612903225806
T5,309,288,31,29,3,57,0.05263157894736842
M4,374,429,38,43,3,78,0.038461538461538464
B3,423,467,43,47,0,90,0.0
T6_3,9,5,1,1,0,2,0.0
B2,139,157,14,16,0,30,0.0
T6,51,56,6,6,0,12,0.0
B7,17,52,2,6,0,8,0.0
B4,177,291,18,30,0,48,0.0
B6_0,25,53,3,6,0,9,0.0
O4,8,15,1,2,0,3,0.0
B1,317,417,32,42,0,74,0.0
B5,189,241,19,25,0,44,0.0
B0,67,208,7,21,0,28,0.0
