shared name,nodeType
bat_wt,pheno
cal_cum,pheno
fat_mass,pheno
fat_percent,pheno
fecal_CHL,pheno
HOMA,pheno
lv_TAG,pheno
lv_wt,pheno
mes_wt,pheno
pla_CHL,pheno
pla_HDL,pheno
pla_INS,pheno
pla_LDL,pheno
pla_LEP,pheno
subq_wt,pheno
wt,pheno
wt_gained,DEP
ASV_102,micro
ASV_105,micro
ASV_107,micro
ASV_115,micro
ASV_117,micro
ASV_125,micro
ASV_127,micro
ASV_131,micro
ASV_132,micro
ASV_133,micro
ASV_134,micro
ASV_135,micro
ASV_136,micro
ASV_137,micro
ASV_138,micro
ASV_14,micro
ASV_143,micro
ASV_145,micro
ASV_146,micro
ASV_150,micro
ASV_151,micro
ASV_153,micro
ASV_161,micro
ASV_165,micro
ASV_174,micro
ASV_175,micro
ASV_179,micro
ASV_183,micro
ASV_198,micro
ASV_2,micro
ASV_20,micro
ASV_220,micro
ASV_23,micro
ASV_24,micro
ASV_26,micro
ASV_27,micro
ASV_28,micro
ASV_29,micro
ASV_30,micro
ASV_31,micro
ASV_32,micro
ASV_33,micro
ASV_34,micro
ASV_35,micro
ASV_36,micro
ASV_37,micro
ASV_39,micro
ASV_40,micro
ASV_42,micro
ASV_43,micro
ASV_46,micro
ASV_47,micro
ASV_48,micro
ASV_49,micro
ASV_51,micro
ASV_52,micro
ASV_53,micro
ASV_54,micro
ASV_56,micro
ASV_59,micro
ASV_6,micro
ASV_61,IND
ASV_63,micro
ASV_64,micro
ASV_65,micro
ASV_66,micro
ASV_69,micro
ASV_7,micro
ASV_70,micro
ASV_72,micro
ASV_74,micro
ASV_75,micro
ASV_76,micro
ASV_77,micro
ASV_78,micro
ASV_79,micro
ASV_8,micro
ASV_80,micro
ASV_81,micro
ASV_85,micro
ASV_91,micro
ASV_92,micro
ASV_93,micro
ASV_94,micro
ASV_95,micro
L_ENSMUSG00000000303,liv
L_ENSMUSG00000000594,liv
L_ENSMUSG00000002475,liv
L_ENSMUSG00000002550,liv
L_ENSMUSG00000004221,liv
L_ENSMUSG00000006373,liv
L_ENSMUSG00000006777,liv
L_ENSMUSG00000006818,liv
L_ENSMUSG00000010025,liv
L_ENSMUSG00000012187,liv
L_ENSMUSG00000020102,liv
L_ENSMUSG00000020122,liv
L_ENSMUSG00000020926,liv
L_ENSMUSG00000021213,liv
L_ENSMUSG00000021236,liv
L_ENSMUSG00000021792,liv
L_ENSMUSG00000021947,liv
L_ENSMUSG00000021996,liv
L_ENSMUSG00000022181,liv
L_ENSMUSG00000022215,liv
L_ENSMUSG00000022332,liv
L_ENSMUSG00000022841,liv
L_ENSMUSG00000022875,liv
L_ENSMUSG00000023057,liv
L_ENSMUSG00000023791,liv
L_ENSMUSG00000024029,liv
L_ENSMUSG00000024391,liv
L_ENSMUSG00000024423,liv
L_ENSMUSG00000024526,liv
L_ENSMUSG00000024537,liv
L_ENSMUSG00000024924,liv
L_ENSMUSG00000025396,liv
L_ENSMUSG00000025825,liv
L_ENSMUSG00000025921,liv
L_ENSMUSG00000025934,liv
L_ENSMUSG00000026473,liv
L_ENSMUSG00000026688,liv
L_ENSMUSG00000027559,liv
L_ENSMUSG00000027618,liv
L_ENSMUSG00000027750,liv
L_ENSMUSG00000027792,liv
L_ENSMUSG00000027870,liv
L_ENSMUSG00000027951,liv
L_ENSMUSG00000027984,liv
L_ENSMUSG00000028359,liv
L_ENSMUSG00000028464,liv
L_ENSMUSG00000028692,liv
L_ENSMUSG00000028995,liv
L_ENSMUSG00000029201,liv
L_ENSMUSG00000029260,liv
L_ENSMUSG00000029656,liv
L_ENSMUSG00000030513,liv
L_ENSMUSG00000030590,liv
L_ENSMUSG00000031521,liv
L_ENSMUSG00000031703,liv
L_ENSMUSG00000031877,liv
L_ENSMUSG00000031886,liv
L_ENSMUSG00000031924,liv
L_ENSMUSG00000031938,liv
