cell_type,intercell_weighted_degree,intercell_edge_count,mean_abs_correlation
B1,691.229666812211,971,0.711874013194862
M3,561.1902991967805,808,0.694542449500966
T2,468.9426914048875,645,0.7270429324106783
B3,403.5694920776314,577,0.6994271959750978
M1,374.9921456149554,541,0.6931462950368862
T4,360.3246521424123,516,0.6983035894232796
T1,301.64602711936294,415,0.7268578966731637
B2,277.6110319325026,382,0.7267304500850854
M0,268.54997962942457,382,0.7030104178780748
B5,244.6365388281375,350,0.6989615395089643
T5,201.98172368866503,284,0.7112032524248768
T3,190.5659655564563,266,0.71641340434758
M4,184.63327719589157,271,0.6813036058888987
M5,130.74679163701387,192,0.6809728731094472
B4,108.84058274683564,161,0.6760284642660599
B0,79.99166106502406,116,0.6895832850433109
O7,77.69323456282133,110,0.7063021323892849
T7,57.363578064905546,85,0.6748656242930064
T0,49.56102696060509,70,0.708014670865787
O10,35.353386832185784,53,0.6670450345695431
T6,30.94790103931855,45,0.6877311342070789
T6_2,24.819047619047627,32,0.7755952380952383
M7,22.541714563298722,34,0.6629916048029036
M2,16.670968560758965,24,0.6946236900316235
B7,5.404971133279983,8,0.6756213916599979
B6_0,4.659171694686074,7,0.6655959563837248
T6_3,2.7284562032101203,4,0.6821140508025301
O4,2.0095238095238095,3,0.6698412698412698
