cell_type,intercell_weighted_degree,intercell_edge_count,mean_abs_correlation
B1,1317.1818762066641,1967,0.669639998071512
M3,1215.5022697462975,1853,0.655964527655854
T2,858.9231514212067,1265,0.6789906335345508
B3,822.563804743393,1245,0.6606938190709984
M1,785.2629332444296,1203,0.6527538929712632
T4,783.2085646582187,1184,0.6614937201505225
M0,621.5735608749945,931,0.6676407743018201
T1,571.6906776936748,845,0.6765570150221004
B5,494.6545903381403,754,0.6560405707402391
T5,494.3747920981922,742,0.6662733047145447
M4,477.4435353085118,746,0.6400047390194528
B2,470.0783526447669,684,0.6872490535742206
T3,396.8733771234599,591,0.6715285568924871
M5,326.8829991046094,506,0.6460138322225482
B4,248.70021825300992,390,0.6376928673154101
T7,157.43306136548347,248,0.6348107313124334
B0,156.0742849690026,242,0.6449350618553826
O7,154.88605027278567,233,0.6647469968789085
O10,107.13822168052086,168,0.6377275100031004
T0,102.92990286734958,154,0.6683759926451271
T6,63.41456770598521,97,0.6537584299586104
M2,56.86527341714149,88,0.6461962888311533
M7,52.317905039489204,82,0.6380232321888928
T6_2,29.56190476190477,40,0.7390476190476193
B7,16.9357153760774,27,0.6272487176324963
B6_0,12.584410673062402,20,0.6292205336531201
T6_3,7.225844800106551,12,0.6021537333422126
O4,5.371428571428571,9,0.5968253968253968
