cell_type,intercell_weighted_degree,intercell_edge_count,mean_abs_correlation
B1,2273.211230469844,3536,0.6428764792052726
M3,2231.625533541705,3523,0.6334446589672736
B3,1447.5790876537055,2274,0.636578314711392
T2,1441.8454771738448,2213,0.6515343322068887
T4,1441.7026146821247,2253,0.6399035129525631
M1,1399.6472225849986,2228,0.6282079095982939
M0,1360.491035247593,2118,0.6423470421376737
T5,989.6642667649064,1539,0.6430567035509464
T1,984.308012433446,1529,0.643759327948624
M4,957.1334228526051,1553,0.6163125710576981
B5,938.8192511679737,1484,0.6326275277412221
B2,857.6296669587972,1306,0.6566842779163837
T3,779.7692808803607,1209,0.6449704556495953
M5,717.312020220363,1146,0.6259267192149764
B4,477.5822142637684,774,0.6170312845785121
O7,298.2220606783148,475,0.6278359172175049
T7,282.061501817765,459,0.6145130758556973
B0,276.77242612299545,447,0.6191776870760525
T0,247.638913275334,382,0.6482694064799319
O10,235.46827401332652,382,0.6164090942757239
T6,126.52620358071744,202,0.6263673444589972
M2,121.6898464495079,196,0.6208665635178975
M7,119.31996593277916,196,0.6087753363917304
T6_2,42.52380952380951,60,0.7087301587301585
B7,35.15951094354817,56,0.6278484097062174
B6_0,29.512102664254677,48,0.6148354721719724
T6_3,13.495587633570665,23,0.5867646797204636
O4,11.990476190476189,21,0.5709750566893423
