cell_type_1,cell_type_2,total_strength,edge_count,mean_strength
B1,T2,83.79638324349469,113,0.741560913659245
M1,M3,83.09999999999998,119,0.6983193277310923
B3,M3,75.37126757692502,108,0.6978821071937502
B1,T4,74.63809523809525,106,0.7041329739442947
B1,M3,72.48095238095239,103,0.703698566805363
T1,T2,66.85238095238091,87,0.7684181718664472
B1,T1,61.64285714285713,84,0.7338435374149659
B1,B2,54.225296505443964,76,0.7134907434926837
B1,B5,51.03095238095238,74,0.6896074646074646
M0,M3,49.67931507881609,72,0.689990487205779
B3,T2,49.49088942408382,69,0.7172592670157075
B1,M1,49.21135063589363,70,0.7030192947984805
B3,M1,45.940490340611255,66,0.6960680354638069
B2,T2,44.66065723665237,60,0.7443442872775395
M3,T4,43.90476190476189,64,0.6860119047619045
B1,B3,42.94105034932268,61,0.7039516450708636
M3,M4,37.75476190476191,55,0.6864502164502165
M0,T4,37.07871046053493,52,0.7130521242410564
T2,T5,35.311904761904756,48,0.7356646825396824
B2,M3,32.19425510043384,44,0.7316876159189509
B5,M3,29.418932393686323,43,0.6841612184578214
M3,T2,29.038095238095238,42,0.6913832199546486
B1,T3,28.89285714285714,40,0.7223214285714284
T2,T4,26.96428571428572,38,0.7095864661654137
B1,T5,26.588095238095242,36,0.7385582010582011
M1,T2,25.91428571428571,37,0.7003861003861003
M3,T3,25.87619047619048,36,0.7187830687830689
M0,T5,25.630952380952387,36,0.7119708994708996
B2,M0,25.361904761904764,35,0.7246258503401362
M1,T4,24.6047619047619,36,0.6834656084656083
M1,M4,23.65,35,0.6757142857142857
B3,T1,23.33796546733672,32,0.7293114208542725
B1,B4,22.842857142857138,33,0.692207792207792
B1,M0,22.740476190476194,31,0.7335637480798772
M0,M5,22.253228246550037,32,0.6954133827046887
B0,B1,21.660472834593964,31,0.6987249301481924
T1,T5,20.988095238095237,30,0.6996031746031746
B3,M4,20.843921393288607,30,0.6947973797762869
B3,T4,20.81943995236841,30,0.6939813317456136
B2,B5,19.704602087164726,26,0.7578693110447972
B1,M5,19.388095238095243,28,0.6924319727891158
B5,T4,19.209523809523816,28,0.6860544217687077
B3,B5,19.025252216576952,27,0.7046389709843316
M1,T1,18.79285714285714,27,0.696031746031746
T2,T3,18.149999999999995,25,0.7259999999999998
B3,T3,17.710578301912737,26,0.6811760885351053
B2,T1,17.283333333333328,23,0.7514492753623186
M4,T4,17.002380952380946,25,0.6800952380952379
B5,M1,16.775047896632053,24,0.6989603290263355
M1,T3,16.299999999999997,23,0.708695652173913
B2,T4,15.598933085640414,21,0.7428063374114483
B1,M4,15.459523809523805,23,0.6721532091097306
B5,T2,14.946383243494719,20,0.7473191621747359
B4,M3,14.910877407707648,22,0.6777671548958022
B2,B3,14.810568627858077,20,0.7405284313929038
M5,T4,14.747619047619049,21,0.7022675736961451
M3,M5,14.559523809523807,22,0.6617965367965367
B1,O7,14.444683969226958,20,0.7222341984613478
B4,T4,13.598406193051002,20,0.6799203096525501
B3,B4,13.335653909027027,20,0.6667826954513514
T1,T4,12.726190476190474,18,0.7070105820105819
M3,T5,12.714285714285708,19,0.6691729323308268
M0,T2,12.519047619047619,18,0.6955026455026455
M0,T1,12.169047619047616,18,0.6760582010582009
O7,T2,11.554761904761904,16,0.722172619047619
T1,T3,11.133333333333333,15,0.7422222222222222
M4,T5,11.019047619047615,16,0.688690476190476
M0,M1,10.773455392706722,16,0.6733409620441702
B5,T5,10.647619047619045,15,0.7098412698412697
M4,T2,10.552380952380949,16,0.6595238095238093
T3,T4,10.545238095238094,15,0.703015873015873
B5,T1,10.27142857142857,15,0.6847619047619047
M3,O10,10.266666666666664,15,0.6844444444444443
B5,T3,10.090476190476188,14,0.7207482993197277
O7,T1,10.035714285714283,14,0.7168367346938773
B3,M0,9.944360293938436,14,0.7103114495670312
B2,T3,9.437217436795578,13,0.725939802830429
B3,O7,9.021548318490499,13,0.6939652552685
T3,T5,9.007142857142856,12,0.750595238095238
T4,T5,8.961904761904762,13,0.6893772893772894
T2,T6_2,8.842857142857142,11,0.8038961038961038
M1,T7,8.8062650558432,13,0.6774050042956308
B1,T0,8.463407912986057,12,0.705283992748838
B0,T1,8.390476190476189,12,0.699206349206349
B3,T5,8.201325433723856,12,0.6834437861436546
M1,T5,8.16904761904762,12,0.6807539682539683
B5,M4,8.123694298448214,12,0.6769745248706845
B2,M1,7.559523809523809,11,0.6872294372294372
B2,T5,7.426190476190475,10,0.7426190476190475
B0,B3,7.3534920344601415,11,0.6684992758600129
M5,T2,7.333333333333332,11,0.6666666666666665
M4,T3,7.2404761904761905,10,0.724047619047619
B1,T7,7.220550770128912,11,0.6564137063753557
B3,O10,7.175693204914021,11,0.6523357459012746
B5,M0,7.099999999999999,10,0.7099999999999999
M0,O7,7.0857142857142845,10,0.7085714285714284
M1,M5,7.073809523809523,10,0.7073809523809522
M3,T1,6.959523809523809,10,0.6959523809523809
B0,B2,6.883333333333333,10,0.6883333333333332
B5,M5,6.499999999999999,10,0.6499999999999999
M5,T3,6.199999999999998,9,0.6888888888888887
B4,M1,5.993031265248208,9,0.6658923628053564
M1,O10,5.773809523809522,9,0.6415343915343913
M0,M4,5.633333333333331,8,0.7041666666666664
B0,T4,5.572019593674062,8,0.6965024492092577
T1,T6_2,5.469047619047618,7,0.7812925170068026
T0,T3,5.399999999999999,7,0.7714285714285712
B2,M5,5.399999999999999,8,0.6749999999999998
M4,T1,5.345238095238095,8,0.6681547619047619
T4,T7,5.323809523809524,8,0.6654761904761906
M5,T5,5.185714285714284,8,0.6482142857142855
B0,M1,5.152380952380952,7,0.7360544217687074
M1,T0,4.919047619047618,7,0.702721088435374
M3,T0,4.802380952380951,7,0.6860544217687073
B5,T7,4.557142857142857,7,0.6510204081632652
B0,B5,4.299999999999999,6,0.7166666666666665
O7,T5,4.285160159703148,6,0.7141933599505247
B4,M5,4.23095238095238,6,0.70515873015873
T2,T6,4.18095238095238,6,0.6968253968253967
B4,M0,4.174596669241482,6,0.695766111540247
M3,O7,4.160889734448393,6,0.6934816224080654
B1,T6_2,4.1,5,0.82
T0,T2,4.099999999999999,6,0.6833333333333331
B2,T7,4.085714285714285,6,0.6809523809523809
B5,M7,3.975960025467859,6,0.6626600042446432
B3,M5,3.908646008224152,6,0.651441001370692
M4,M5,3.9071428571428566,6,0.6511904761904761
B4,T2,3.8880952380952376,6,0.6480158730158729
B2,M4,3.8180424565356743,6,0.6363404094226124
T0,T4,3.499999999999999,5,0.6999999999999998
B0,T2,3.4690476190476187,5,0.6938095238095238
B3,T0,3.4238095238095227,5,0.6847619047619046
B4,M4,3.2666666666666666,5,0.6533333333333333
B0,M3,3.2666666666666657,5,0.6533333333333331
B3,T7,3.2481088382162824,5,0.6496217676432565
B4,T7,3.1714285714285713,5,0.6342857142857142
M0,T0,2.9142857142857137,4,0.7285714285714284
M0,T7,2.9082182495415454,4,0.7270545623853863
M2,M3,2.9071428571428566,4,0.7267857142857141
M5,T0,2.8999999999999995,4,0.7249999999999999
B2,T6,2.8154455072848634,4,0.7038613768212159
T3,T7,2.799122198700342,4,0.6997805496750855
M1,O7,2.759523809523809,4,0.6898809523809523
M3,T6,2.7595238095238086,4,0.6898809523809522
B1,T6,2.7324555320336756,4,0.6831138830084189
B4,T1,2.657142857142857,4,0.6642857142857143
M0,T3,2.6190476190476186,4,0.6547619047619047
B4,B5,2.6071428571428568,4,0.6517857142857142
B1,M7,2.5285714285714285,4,0.6321428571428571
M2,T2,2.5190476190476185,4,0.6297619047619046
M0,T6,2.414285714285714,4,0.6035714285714285
B3,M2,2.3035261006375793,3,0.7678420335458598
T3,T6,2.2190476190476187,3,0.7396825396825396
M4,T0,2.207142857142857,3,0.7357142857142857
B2,B4,2.1404761904761904,3,0.7134920634920635
M2,M4,2.0999999999999996,3,0.6999999999999998
M0,M7,2.0595238095238093,3,0.6865079365079364
B4,T6,2.0547619047619046,3,0.6849206349206348
M7,T2,2.0428571428571427,3,0.6809523809523809
B5,O7,2.030952380952381,3,0.6769841269841269
T1,T7,2.026190476190476,3,0.6753968253968253
T0,T5,1.9999999999999996,3,0.6666666666666665
M5,O7,1.9999999999999996,3,0.6666666666666665
B3,T6,1.9952380952380948,3,0.6650793650793649
B0,T3,1.9452380952380952,3,0.6484126984126984
O10,T4,1.9285714285714286,3,0.6428571428571429
B4,O7,1.9142857142857141,3,0.638095238095238
M3,T7,1.8595238095238091,3,0.6198412698412697
B0,M5,1.7872983346207414,3,0.5957661115402472
B5,T0,1.5999999999999996,2,0.7999999999999998
T2,T7,1.5378647873726217,2,0.7689323936863108
M7,T7,1.5062307283070526,2,0.7531153641535263
T0,T1,1.4999999999999996,2,0.7499999999999998
B3,T6_2,1.4999999999999996,2,0.7499999999999998
T5,T7,1.4999999999999996,2,0.7499999999999998
B0,M0,1.4904761904761903,2,0.7452380952380951
B4,T5,1.4309523809523808,2,0.7154761904761904
M4,O10,1.407142857142857,2,0.7035714285714285
T5,T6,1.3999999999999997,2,0.6999999999999998
B4,B6_0,1.3999999999999997,2,0.6999999999999998
M0,M2,1.3999999999999997,2,0.6999999999999998
O7,T3,1.3999999999999997,2,0.6999999999999998
B4,T3,1.3999999999999997,2,0.6999999999999998
M4,M7,1.3999999999999997,2,0.6999999999999998
O10,O7,1.3999999999999997,2,0.6999999999999998
M4,T7,1.3714285714285712,2,0.6857142857142856
B1,T6_3,1.3595238095238094,2,0.6797619047619047
M7,O10,1.3547619047619046,2,0.6773809523809523
B0,T7,1.3428571428571425,2,0.6714285714285713
B1,B7,1.341157916228144,2,0.670578958114072
B0,M4,1.3309523809523807,2,0.6654761904761903
B6_0,M1,1.316314551828932,2,0.658157275914466
B2,M2,1.3055376982166225,2,0.6527688491083112
M1,T6,1.2999999999999998,2,0.6499999999999999
B0,O7,1.2976190476190474,2,0.6488095238095237
B0,B4,1.2923030168460061,2,0.6461515084230031
B0,T6,1.2738095238095237,2,0.6369047619047619
M5,T7,1.2714285714285714,2,0.6357142857142857
O10,T7,1.2276936272717711,2,0.6138468136358856
M3,M7,1.207142857142857,2,0.6035714285714285
M4,T6,1.1999999999999997,2,0.5999999999999999
M7,T1,1.1999999999999997,2,0.5999999999999999
B3,M7,1.1666666666666665,2,0.5833333333333333
O7,T7,0.7999999999999998,1,0.7999999999999998
B2,O7,0.7999999999999998,1,0.7999999999999998
B7,M5,0.7999999999999998,1,0.7999999999999998
B0,O10,0.7999999999999998,1,0.7999999999999998
T5,T6_2,0.7999999999999998,1,0.7999999999999998
M7,T3,0.7999999999999998,1,0.7999999999999998
B5,T6,0.7999999999999998,1,0.7999999999999998
M7,T4,0.7999999999999998,1,0.7999999999999998
T1,T6,0.7999999999999998,1,0.7999999999999998
T6,T7,0.7999999999999998,1,0.7999999999999998
T6,T6_2,0.7999999999999998,1,0.7999999999999998
B2,T6_2,0.7999999999999998,1,0.7999999999999998
B1,M2,0.7999999999999998,1,0.7999999999999998
B0,T5,0.7142857142857143,1,0.7142857142857143
O7,T6,0.7023809523809523,1,0.7023809523809523
B5,M2,0.7023809523809523,1,0.7023809523809523
T4,T6,0.6999999999999998,1,0.6999999999999998
O10,T1,0.6999999999999998,1,0.6999999999999998
B3,T6_3,0.6999999999999998,1,0.6999999999999998
T4,T6_2,0.6999999999999998,1,0.6999999999999998
B1,O10,0.6999999999999998,1,0.6999999999999998
M7,O7,0.6999999999999998,1,0.6999999999999998
B7,T3,0.6999999999999998,1,0.6999999999999998
B7,M3,0.6999999999999998,1,0.6999999999999998
B4,O10,0.6999999999999998,1,0.6999999999999998
B2,M7,0.6999999999999998,1,0.6999999999999998
O4,T4,0.6999999999999998,1,0.6999999999999998
O10,T2,0.6999999999999998,1,0.6999999999999998
M2,M5,0.6999999999999998,1,0.6999999999999998
O7,T4,0.6999999999999998,1,0.6999999999999998
B6_0,T3,0.6999999999999998,1,0.6999999999999998
B7,T1,0.6866330805977447,1,0.6866330805977447
M2,T1,0.6785714285714286,1,0.6785714285714286
B0,T6_3,0.6689323936863109,1,0.6689323936863109
M2,O4,0.6547619047619048,1,0.6547619047619048
M3,O4,0.6547619047619048,1,0.6547619047619048
B6_0,M3,0.6428571428571428,1,0.6428571428571428
B4,T0,0.6309523809523809,1,0.6309523809523809
B5,O10,0.6190476190476191,1,0.6190476190476191
M1,T6_2,0.6071428571428572,1,0.6071428571428572
B4,M2,0.5999999999999999,1,0.5999999999999999
O10,T0,0.5999999999999999,1,0.5999999999999999
M5,M7,0.5999999999999999,1,0.5999999999999999
B2,T0,0.5999999999999999,1,0.5999999999999999
B5,B6_0,0.5999999999999999,1,0.5999999999999999
B4,T6_2,0.5999999999999999,1,0.5999999999999999
M0,T6_2,0.5999999999999999,1,0.5999999999999999
B7,O7,0.5999999999999999,1,0.5999999999999999
B7,T2,0.5771801364540952,1,0.5771801364540952
M1,M7,0.4999999999999999,1,0.4999999999999999
