cell_type_1,cell_type_2,total_strength,edge_count,mean_strength
M1,M3,152.22142857142828,230,0.6618322981366447
B1,M3,147.92619047619036,224,0.6603847789115641
B1,T2,141.79638324349455,205,0.69168967435851
B3,M3,133.497698713991,200,0.6674884935699551
B1,T4,123.5023809523808,183,0.6748763986468896
M3,T4,114.6714285714285,175,0.6552653061224486
M0,M3,105.88340188459114,160,0.6617712617786946
T1,T2,98.76666666666657,136,0.7262254901960777
B1,T1,97.51666666666661,141,0.69160756501182
B3,M1,92.72161600217277,141,0.657600113490587
B1,B3,91.77840345516543,139,0.6602762838501111
B1,M1,91.19482210037643,139,0.6560778568372405
B1,B5,86.56428571428572,131,0.6607960741548528
B3,T2,84.20819196026183,125,0.6736655356820946
M3,M4,83.93809523809522,130,0.6456776556776554
B1,B2,81.4695534355678,119,0.6846180960972085
M0,T4,75.61680569863012,110,0.6874255063511828
T2,T5,73.07380952380956,107,0.6829327992879398
B1,T5,69.5238095238095,103,0.6749884419787331
M3,T2,64.0857142857143,98,0.6539358600583092
M1,M4,63.326190476190476,98,0.6461856171039845
B5,M3,61.37031409625891,94,0.6528756818750948
M0,T5,61.1952380952381,91,0.6724751439037154
B1,M0,60.25725919558876,89,0.6770478561302108
M1,T2,59.73571428571432,91,0.6564364207221354
M3,T3,57.96904761904763,87,0.6663108921729612
B1,T3,57.70714285714285,85,0.6789075630252099
T2,T4,56.98809523809524,86,0.6626522702104097
B2,T2,56.67970485569999,79,0.7174646184265822
B2,M3,54.41516173805507,79,0.6887995156715832
M1,T4,53.50714285714291,82,0.6525261324041818
B3,M4,50.28915948852673,78,0.6447328139554709
B3,T4,49.39594339696112,75,0.6586125786261483
B1,M4,47.36666666666668,74,0.6400900900900903
B2,M0,46.87632276321586,67,0.6996466084062068
B1,B4,46.11340791298607,70,0.6587629701855153
B1,M5,45.80793000257485,71,0.6451821127123218
M3,T5,43.81190476190479,68,0.6442927170868352
M0,M5,43.33418062750244,66,0.6565784943560976
M4,T4,41.92857142857144,66,0.6352813852813854
M3,M5,40.0714285714286,62,0.6463133640552999
B3,T1,39.81273625896925,58,0.6864264872236078
T2,T3,39.514285714285734,58,0.6812807881773403
B3,B5,38.032532456298526,59,0.6446191941745513
B5,T4,37.302762391810525,57,0.6544344279265004
B0,B1,35.94130999018505,54,0.6655798146330564
T1,T5,35.838095238095235,53,0.6761904761904761
M1,T1,34.53333333333334,52,0.6641025641025642
M5,T4,33.63095238095239,50,0.6726190476190478
B3,T3,33.01627826790681,51,0.6473780052530748
B2,B5,32.364488786213194,46,0.7035758431785477
T4,T5,31.714285714285722,50,0.6342857142857145
B5,T1,31.6309523809524,50,0.632619047619048
M3,O10,31.573809523809533,49,0.6443634596695823
M0,M1,31.570687873838608,50,0.6314137574767722
B5,M1,30.879809801393968,48,0.6433293708623743
B2,T4,30.8440559555172,45,0.6854234656781599
T1,T4,30.657142857142862,47,0.6522796352583587
B4,T4,30.64602524067007,48,0.6384588591806265
M0,T2,30.520027200242097,46,0.663478852179176
M3,T1,29.569047619047623,47,0.6291286727456941
M1,T3,28.228571428571435,42,0.6721088435374151
B3,B4,27.488853314993104,43,0.6392756584882118
B2,T1,27.318168181668455,39,0.7004658508120116
B3,M0,26.988111963000183,41,0.6582466332439069
M1,T5,26.364285714285717,41,0.6430313588850175
B3,T5,25.91831859241964,39,0.6645722716005036
B4,M3,25.73706788389813,40,0.6434266970974533
B5,T2,25.67495467206615,37,0.6939176938396256
M0,M4,25.209523809523812,38,0.6634085213032582
T3,T4,24.123809523809527,36,0.6701058201058202
B1,O7,23.750949025070156,35,0.6785985435734331
B5,T5,23.704646679400597,35,0.6772756194114457
M4,T2,23.688095238095244,38,0.6233709273182959
B5,T3,23.656588731131716,35,0.6759025351751919
M4,T1,23.092857142857152,37,0.6241312741312743
M0,T1,21.738095238095237,33,0.6587301587301587
M1,M5,21.714285714285722,34,0.6386554621848742
B3,O7,21.32857595027205,32,0.6665179984460016
B2,B3,20.655267289466323,29,0.712250596188494
B5,M0,20.32857142857143,31,0.6557603686635944
B2,M1,20.274516100050313,31,0.6540166483887198
T3,T5,19.97619047619047,29,0.6888341543513955
M4,T5,19.4047619047619,30,0.6468253968253967
T1,T3,19.35714285714285,28,0.6913265306122447
M5,T2,19.12857142857143,30,0.6376190476190476
B1,T7,18.668169817747962,29,0.643729993715447
M1,T7,18.02904722545561,28,0.6438945437662718
B3,M5,17.6167131689097,26,0.6775658911119116
B2,T3,17.611026960605102,25,0.7044410784242041
O7,T2,17.416666666666668,25,0.6966666666666668
B5,M4,17.304646679400594,28,0.6180230956928784
M4,T3,16.8047619047619,25,0.672190476190476
B2,T5,16.219047619047615,23,0.7051759834368528
O7,T1,16.20238095238095,24,0.6750992063492062
